GCCSA_CODE_2021,C16_F_65_69_Tot_LF,C16_F_65_69_Not_LF,C16_F_65_69_LF_NS,C16_F_65_69_Tot,C16_F_70_74_Em_FT,C16_F_70_74_Em_PT,C16_F_70_74_Em_AFW,C16_F_70_74_Em_Hrs_NS,C16_F_70_74_Em_Tot,C16_F_70_74_Unem_Look_FT,C16_F_70_74_Unem_Look_PT,C16_F_70_74_Unem_Tot,C16_F_70_74_Tot_LF,C16_F_70_74_Not_LF,C16_F_70_74_LF_NS,C16_F_70_74_Tot,C16_F_75over_Em_FT,C16_F_75over_Em_PT,C16_F_75over_Emp_A_fr_wo,C16_F_75over_Em_Hou_wor_ns,C16_F_75over_Em_Tot,C16_F_75over_Unem_Lo_ft_wor,C16_F_75over_Unem_Lo_pt_wor,C16_F_75over_Unem_Tot,C16_F_75over_Tot_LF,C16_F_75over_N_lab_forc,C16_F_75over_LF_NS,C16_F_75over_Tot,C16_F_Tot_Em_FT,C16_F_Tot_Em_PT,C16_F_Tot_Em_AFW,C16_F_Tot_Em_Hrs_NS,C16_F_Tot_Em_Tot,C16_F_Tot_Unem_Look_FT,C16_F_Tot_Unem_Look_PT,C16_F_Tot_Unem_Tot,C16_F_Tot_Tot_labo_for,C16_F_Tot_Not_LF,C16_F_Tot_LF_NS,C16_F_Tot_Tot,C21_F_15_19_Em_FT,C21_F_15_19_Em_PT,C21_F_15_19_Em_AFW,C21_F_15_19_Em_Hrs_NS,C21_F_15_19_Em_Tot,C21_F_15_19_Unem_Look_FT,C21_F_15_19_Unem_Look_PT,C21_F_15_19_Unem_Tot,C21_F_15_19_Tot_LF,C21_F_15_19_Not_LF,C21_F_15_19_LF_NS,C21_F_15_19_Tot,C21_F_20_24_Em_FT,C21_F_20_24_Em_PT,C21_F_20_24_Em_AFW,C21_F_20_24_Em_Hrs_NS,C21_F_20_24_Em_Tot,C21_F_20_24_Unem_Look_FT,C21_F_20_24_Unem_Look_PT,C21_F_20_24_Unem_Tot,C21_F_20_24_Tot_LF,C21_F_20_24_Not_LF,C21_F_20_24_LF_NS,C21_F_20_24_Tot,C21_F_25_29_Em_FT,C21_F_25_29_Em_PT,C21_F_25_29_Em_AFW,C21_F_25_29_Em_Hrs_NS,C21_F_25_29_Em_Tot,C21_F_25_29_Unem_Look_FT,C21_F_25_29_Unem_Look_PT,C21_F_25_29_Unem_Tot,C21_F_25_29_Tot_LF,C21_F_25_29_Not_LF,C21_F_25_29_LF_NS,C21_F_25_29_Tot,C21_F_30_34_Em_FT,C21_F_30_34_Em_PT,C21_F_30_34_Em_AFW,C21_F_30_34_Em_Hrs_NS,C21_F_30_34_Em_Tot,C21_F_30_34_Unem_Look_FT,C21_F_30_34_Unem_Look_PT,C21_F_30_34_Unem_Tot,C21_F_30_34_Tot_LF,C21_F_30_34_Not_LF,C21_F_30_34_LF_NS,C21_F_30_34_Tot,C21_F_35_39_Em_FT,C21_F_35_39_Em_PT,C21_F_35_39_Em_AFW,C21_F_35_39_Em_Hrs_NS,C21_F_35_39_Em_Tot,C21_F_35_39_Unem_Look_FT,C21_F_35_39_Unem_Look_PT,C21_F_35_39_Unem_Tot,C21_F_35_39_Tot_LF,C21_F_35_39_Not_LF,C21_F_35_39_LF_NS,C21_F_35_39_Tot,C21_F_40_44_Em_FT,C21_F_40_44_Em_PT,C21_F_40_44_Em_AFW,C21_F_40_44_Em_Hrs_NS,C21_F_40_44_Em_Tot,C21_F_40_44_Unem_Look_FT,C21_F_40_44_Unem_Look_PT,C21_F_40_44_Unem_Tot,C21_F_40_44_Tot_LF,C21_F_40_44_Not_LF,C21_F_40_44_LF_NS,C21_F_40_44_Tot,C21_F_45_49_Em_FT,C21_F_45_49_Em_PT,C21_F_45_49_Em_AFW,C21_F_45_49_Em_Hrs_NS,C21_F_45_49_Em_Tot,C21_F_45_49_Unem_Look_FT,C21_F_45_49_Unem_Look_PT,C21_F_45_49_Unem_Tot,C21_F_45_49_Tot_LF,C21_F_45_49_Not_LF,C21_F_45_49_LF_NS,C21_F_45_49_Tot,C21_F_50_54_Em_FT,C21_F_50_54_Em_PT,C21_F_50_54_Em_AFW,C21_F_50_54_Em_Hrs_NS,C21_F_50_54_Em_Tot,C21_F_50_54_Unem_Look_FT,C21_F_50_54_Unem_Look_PT,C21_F_50_54_Unem_Tot,C21_F_50_54_Tot_LF,C21_F_50_54_Not_LF,C21_F_50_54_LF_NS,C21_F_50_54_Tot,C21_F_55_59_Em_FT,C21_F_55_59_Em_PT,C21_F_55_59_Em_AFW,C21_F_55_59_Em_Hrs_NS,C21_F_55_59_Em_Tot,C21_F_55_59_Unem_Look_FT,C21_F_55_59_Unem_Look_PT,C21_F_55_59_Unem_Tot,C21_F_55_59_Tot_LF,C21_F_55_59_Not_LF,C21_F_55_59_LF_NS,C21_F_55_59_Tot,C21_F_60_64_Em_FT,C21_F_60_64_Em_PT,C21_F_60_64_Em_AFW,C21_F_60_64_Em_Hrs_NS,C21_F_60_64_Em_Tot,C21_F_60_64_Unem_Look_FT,C21_F_60_64_Unem_Look_PT,C21_F_60_64_Unem_Tot,C21_F_60_64_Tot_LF,C21_F_60_64_Not_LF,C21_F_60_64_LF_NS,C21_F_60_64_Tot,C21_F_65_69_Em_FT,C21_F_65_69_Em_PT,C21_F_65_69_Em_AFW,C21_F_65_69_Em_Hrs_NS,C21_F_65_69_Em_Tot,C21_F_65_69_Unem_Look_FT,C21_F_65_69_Unem_Look_PT,C21_F_65_69_Unem_Tot,C21_F_65_69_Tot_LF,C21_F_65_69_Not_LF,C21_F_65_69_LF_NS,C21_F_65_69_Tot,C21_F_70_74_Em_FT,C21_F_70_74_Em_PT,C21_F_70_74_Em_AFW,C21_F_70_74_Em_Hrs_NS,C21_F_70_74_Em_Tot,C21_F_70_74_Unem_Look_FT,C21_F_70_74_Unem_Look_PT,C21_F_70_74_Unem_Tot,C21_F_70_74_Tot_LF,C21_F_70_74_Not_LF,C21_F_70_74_LF_NS,C21_F_70_74_Tot,C21_F_75over_Em_FT,C21_F_75over_Em_PT,C21_F_75over_Emp_Aw_fr_w,C21_F_75over_Emp_Hou_w_ns,C21_F_75over_Em_Tot,C21_F_75over_Unem_Lo_ft_wor,C21_F_75over_Unem_Lo_pt_wor,C21_F_75over_Unemp_Tot,C21_F_75over_Tot_lab_for,C21_F_75over_N_lab_forc,C21_F_75over_LF_NS,C21_F_75over_yr_Tot,C21_F_Tot_Em_FT,C21_F_Tot_Em_PT,C21_F_Tot_Em_AFW,C21_F_Tot_Em_Hrs_NS
1GSYD,24374,79555,6489,110425,1903,5241,384,232,7759,29,133,162,7924,69288,5437,82645,609,2126,179,298,3215,50,87,135,3357,151652,17610,172611,570101,438791,40252,18636,1067782,30299,40350,70649,1138436,751075,119869,2009384,4306,31627,13477,732,50142,1201,5930,7124,57272,79413,5851,142533,42814,46971,18383,2167,110339,3636,5017,8648,118986,38971,8611,166569,86836,37553,14199,2747,141341,4009,2987,6993,148336,36362,11813,196510,84698,43338,18905,2755,149700,3670,2965,6633,156332,45591,11765,213685,78463,49522,16329,2254,146571,3435,2780,6212,152785,46047,10662,209496,72265,45847,10064,1541,129719,2771,2377,5153,134866,39551,8341,182755,71098,42903,9329,1354,124681,2752,2132,4884,129564,38277,7313,175147,62905,39502,9499,1224,113132,2507,1944,4452,117582,41088,6566,165240,48964,35586,9006,1031,94588,2018,1887,3898,98487,49496,6031,154011,29185,28757,7478,718,66140,1360,1770,3128,69267,67732,5488,142487,10536,15248,3660,371,29821,297,608,907,30723,87383,5232,123339,2690,6488,1442,216,10828,38,178,214,11047,90782,5432,107264,709,2836,648,257,4448,25,61,88,4544,171807,22579,198924,595468,426181,132432,17364
1RNSW,15080,63974,6268,85313,1362,3220,322,263,5172,18,61,82,5252,56805,5570,67629,803,1532,191,462,2992,31,35,65,3053,114120,17975,135146,234165,263915,24515,9542,532139,16318,18916,35238,567378,457950,80319,1105645,5903,30254,4031,959,41146,1193,3623,4816,45961,28169,4807,78934,22697,25091,4131,1101,53016,1691,1914,3607,56628,12998,4762,74384,30740,21713,5399,1122,58981,1304,1228,2533,61517,14067,5210,80789,27237,27911,6638,1058,62849,1043,1208,2256,65103,15418,5316,85838,27480,30184,4638,871,63174,950,1171,2119,65294,14497,5167,84966,29941,27869,2813,750,61371,968,1053,2021,63395,12798,4821,81022,35366,27808,2675,783,66632,1108,1022,2128,68757,14154,4933,87841,34581,27916,3192,793,66480,983,1093,2075,68555,17638,4695,90890,28545,28809,3647,700,61698,896,1108,2004,63706,26576,5160,95443,18371,25638,3334,627,47968,657,1214,1868,49841,45618,5010,100460,6391,12492,1672,332,20885,130,383,514,21403,66057,4978,92442,1883,4998,550,248,7672,17,99,115,7788,71339,5140,84267,870,2297,304,403,3878,15,44,61,3944,133364,16664,153972,270003,292979,43018,9762
19499,26,235,66,327,4,3,0,0,6,0,0,0,5,119,24,152,0,0,0,0,4,0,0,0,3,123,40,169,656,520,69,51,1290,233,128,353,1651,1880,1060,4583,9,48,6,0,66,9,19,27,95,105,87,279,48,50,21,0,122,16,19,37,154,130,134,418,95,93,15,3,209,14,18,35,241,126,160,533,70,68,26,3,163,15,9,27,187,135,166,495,52,33,11,5,102,21,12,37,134,111,145,392,43,34,6,4,97,20,8,30,123,97,138,357,44,33,7,4,84,15,3,18,107,116,113,332,45,46,9,4,101,7,11,18,116,127,86,333,37,46,11,0,95,5,8,14,107,161,93,359,18,36,8,0,61,6,8,15,77,207,59,339,8,18,3,0,29,0,4,6,32,153,51,236,7,3,0,0,7,0,0,0,7,147,17,163,0,0,0,0,0,0,0,0,0,102,32,137,470,506,136,20
19799,7,25,8,41,0,0,0,0,3,0,0,0,3,20,3,27,0,0,0,0,0,0,0,0,0,19,9,32,23,20,24,0,74,0,0,5,71,110,40,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
