GCCSA_CODE_2021,C16_P_25_29_Em_FT,C16_P_25_29_Em_PT,C16_P_25_29_Em_AFW,C16_P_25_29_Em_Hrs_NS,C16_P_25_29_Em_Tot,C16_P_25_29_Unem_Look_FT,C16_P_25_29_Unem_Look_PT,C16_P_25_29_Unem_Tot,C16_P_25_29_Tot_LF,C16_P_25_29_Not_LF,C16_P_25_29_LF_NS,C16_P_25_29_Tot,C16_P_30_34_Em_FT,C16_P_30_34_Em_PT,C16_P_30_34_Em_AFW,C16_P_30_34_Em_Hrs_NS,C16_P_30_34_Em_Tot,C16_P_30_34_Unem_Look_FT,C16_P_30_34_Unem_Look_PT,C16_P_30_34_Unem_Tot,C16_P_30_34_Tot_LF,C16_P_30_34_Not_LF,C16_P_30_34_LF_NS,C16_P_30_34_Tot,C16_P_35_39_Em_FT,C16_P_35_39_Em_PT,C16_P_35_39_Em_AFW,C16_P_35_39_Em_Hrs_NS,C16_P_35_39_Em_Tot,C16_P_35_39_Unem_Look_FT,C16_P_35_39_Unem_Look_PT,C16_P_35_39_Unem_Tot,C16_P_35_39_Tot_LF,C16_P_35_39_Not_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Not_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Not_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Not_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Not_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Not_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Not_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Not_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Em_FT,C16_P_75over_Em_PT,C16_P_75over_Emp_Aw_fr_w,C16_P_75over_Emp_Hou_w_ns,C16_P_75over_Em_Tot,C16_P_75over_Unem_Lo_ft_wor,C16_P_75over_Unem_Lo_pt_wor,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_Tot_Tot_labo_for,C16_P_Tot_Not_LF,C16_P_Tot_LF_NS,C16_P_Tot_Tot,C21_P_15_19_Em_FT,C21_P_15_19_Em_PT,C21_P_15_19_Em_AFW,C21_P_15_19_Em_Hrs_NS,C21_P_15_19_Em_Tot,C21_P_15_19_Unem_Look_FT,C21_P_15_19_Unem_Look_PT,C21_P_15_19_Unem_Tot,C21_P_15_19_Tot_LF,C21_P_15_19_Not_LF,C21_P_15_19_LF_NS,C21_P_15_19_Tot,C21_P_20_24_Em_FT,C21_P_20_24_Em_PT,C21_P_20_24_Em_AFW,C21_P_20_24_Em_Hrs_NS,C21_P_20_24_Em_Tot,C21_P_20_24_Unem_Look_FT,C21_P_20_24_Unem_Look_PT,C21_P_20_24_Unem_Tot,C21_P_20_24_Tot_LF,C21_P_20_24_Not_LF,C21_P_20_24_LF_NS,C21_P_20_24_Tot,C21_P_25_29_Em_FT,C21_P_25_29_Em_PT,C21_P_25_29_Em_AFW,C21_P_25_29_Em_Hrs_NS,C21_P_25_29_Em_Tot,C21_P_25_29_Unem_Look_FT,C21_P_25_29_Unem_Look_PT,C21_P_25_29_Unem_Tot,C21_P_25_29_Tot_LF,C21_P_25_29_Not_LF,C21_P_25_29_LF_NS,C21_P_25_29_Tot,C21_P_30_34_Em_FT,C21_P_30_34_Em_PT,C21_P_30_34_Em_AFW,C21_P_30_34_Em_Hrs_NS,C21_P_30_34_Em_Tot,C21_P_30_34_Unem_Look_FT,C21_P_30_34_Unem_Look_PT,C21_P_30_34_Unem_Tot,C21_P_30_34_Tot_LF,C21_P_30_34_Not_LF,C21_P_30_34_LF_NS,C21_P_30_34_Tot,C21_P_35_39_Em_FT,C21_P_35_39_Em_PT,C21_P_35_39_Em_AFW,C21_P_35_39_Em_Hrs_NS,C21_P_35_39_Em_Tot,C21_P_35_39_Unem_Look_FT,C21_P_35_39_Unem_Look_PT,C21_P_35_39_Unem_Tot
1GSYD,198634,64684,7600,6318,277236,11184,6973,18154,295395,59409,26650,381453,212447,63559,12145,5816,293965,9375,5101,14478,308443,59014,25491,392946,190009,64299,8910,4710,267929,7928,4686,12615,280539,54195,20727,355461,184173,65966,5361,4176,259681,7343,4662,12002,271687,50610,18279,340581,173087,61345,4303,4099,242838,7343,4144,11488,254322,50328,17109,321766,159095,56401,4813,3779,224085,6916,3782,10699,234792,54928,16106,305816,127464,51494,5171,2896,187019,5734,3782,9512,196535,69956,15069,281554,72520,43103,4174,2012,121802,3925,3255,7180,128981,100211,13264,242452,27208,26882,2303,1030,57423,630,1056,1684,59110,141828,12588,213529,7110,11919,841,496,20369,149,403,552,20915,127598,10449,158956,2617,6024,481,596,9725,123,218,340,10065,261287,28721,300077,1480218,682604,65070,44830,2272715,77148,69041,146187,2418898,1266781,238020,3923699,13884,57965,24837,1606,98284,3307,11941,15247,113531,168796,12438,294764,90477,89561,36776,5097,221909,9914,10768,20685,242589,81732,18740,343064,178808,70841,28601,6606,284859,10703,5928,16626,301489,67310,24732,393535,196119,71926,32729,6617,307390,9150,4581,13729,321119,72436,24229,417779,199353,74845,28641,5522,308367,8454,3973,12421
1RNSW,67564,27680,4441,1995,101678,5196,2629,7822,109503,24870,9763,144133,66738,31340,5546,1857,105485,4125,2305,6431,111913,24909,9429,146252,65983,33295,3773,1809,104856,3940,2112,6054,110912,23610,8780,143293,78030,37115,3138,1972,120253,4160,2166,6327,126582,24923,10119,161625,82918,37186,3320,2057,125485,4318,2018,6334,131818,26927,11037,169779,82681,38306,4029,1999,127022,4188,2025,6215,133232,33621,11922,178772,72910,38865,5020,1800,118601,3770,2251,6023,124625,49993,12667,187283,42450,31814,4033,1377,79678,2684,2147,4828,84507,79817,12353,176683,15566,17374,1940,870,35755,273,591,866,36617,120802,12669,170094,5131,7563,745,583,14015,79,212,287,14302,107772,11066,133138,3285,4365,523,979,9146,91,117,206,9359,200906,29863,240131,652283,387476,42393,22016,1104163,46138,32281,78415,1182577,817220,158475,2158269,19702,52438,7014,1932,81082,3312,7100,10415,91498,60985,10116,162601,56536,42252,7017,2542,108351,5061,3783,8841,117188,24909,10195,152295,75948,34113,7920,2633,120614,4095,2235,6329,126941,23607,10770,161317,77306,38494,9118,2456,127372,3088,1871,4960,132336,24001,10872,167210,78667,39930,7010,2093,127701,2702,1712,4415
19499,429,174,20,33,660,96,43,147,807,310,442,1561,275,117,23,16,431,105,28,134,561,261,317,1139,223,86,7,15,331,81,20,105,431,232,299,959,188,83,10,14,299,50,10,66,364,207,363,938,155,78,8,9,246,68,12,84,331,253,295,878,138,90,17,11,255,51,12,68,316,283,319,920,124,76,16,6,222,48,20,60,291,329,236,857,72,64,13,5,145,32,17,50,199,459,211,866,29,30,6,0,69,5,6,6,76,532,168,781,5,7,0,0,15,0,0,3,24,319,75,417,3,4,0,4,10,0,0,0,9,254,94,358,1976,1048,146,156,3327,701,238,939,4275,4059,3215,11549,31,66,17,6,123,22,26,46,169,186,175,532,112,97,24,10,245,50,41,86,336,224,266,829,226,153,40,11,430,50,27,79,517,233,372,1118,185,137,52,10,381,45,24,72,449,252,369,1068,157,78,27,9,269,57,13,74
19799,6,0,0,0,11,0,0,0,11,0,0,17,8,0,3,0,9,0,0,0,9,4,3,19,3,0,3,0,6,0,0,0,6,0,0,7,5,3,9,0,18,0,0,0,18,0,4,24,5,0,3,0,11,0,0,0,11,3,0,16,12,5,6,0,18,0,0,0,18,6,3,36,5,0,5,4,12,0,0,0,12,17,8,35,4,7,5,0,12,0,0,0,13,24,5,45,0,6,3,0,9,0,0,0,9,45,17,64,0,0,0,0,4,0,0,0,4,29,6,40,0,0,0,0,0,0,0,0,3,34,20,53,47,27,44,8,130,3,3,3,133,184,62,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
