GCCSA_CODE_2021,C16_M_25_29_Tot_LF,C16_M_25_29_Not_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Not_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Not_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Not_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Not_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Not_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Not_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Not_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Not_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Not_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75over_Em_FT,C16_M_75over_Em_PT,C16_M_75over_Em_AFW,C16_M_75over_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75over_Unem_Lo_pt_wor,C16_M_75over_Unempl_Tot,C16_M_75over_Tot_LF,C16_M_75over_Not_LF,C16_M_75over_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_Tot_Tot_labo_for,C16_M_Tot_Not_LF,C16_M_Tot_LF_NS,C16_M_Tot_Tot,C21_M_15_19_Em_FT,C21_M_15_19_Em_PT,C21_M_15_19_Em_AFW,C21_M_15_19_Em_Hrs_NS,C21_M_15_19_Em_Tot,C21_M_15_19_Unem_Look_FT,C21_M_15_19_Unem_Look_PT,C21_M_15_19_Unem_Tot,C21_M_15_19_Tot_LF,C21_M_15_19_Not_LF,C21_M_15_19_LF_NS,C21_M_15_19_Tot,C21_M_20_24_Em_FT,C21_M_20_24_Em_PT,C21_M_20_24_Em_AFW,C21_M_20_24_Em_Hrs_NS,C21_M_20_24_Em_Tot,C21_M_20_24_Unem_Look_FT,C21_M_20_24_Unem_Look_PT,C21_M_20_24_Unem_Tot,C21_M_20_24_Tot_LF,C21_M_20_24_Not_LF,C21_M_20_24_LF_NS,C21_M_20_24_Tot,C21_M_25_29_Em_FT,C21_M_25_29_Em_PT,C21_M_25_29_Em_AFW,C21_M_25_29_Em_Hrs_NS,C21_M_25_29_Em_Tot,C21_M_25_29_Unem_Look_FT,C21_M_25_29_Unem_Look_PT,C21_M_25_29_Unem_Tot,C21_M_25_29_Tot_LF,C21_M_25_29_Not_LF,C21_M_25_29_LF_NS,C21_M_25_29_Tot,C21_M_30_34_Em_FT,C21_M_30_34_Em_PT,C21_M_30_34_Em_AFW,C21_M_30_34_Em_Hrs_NS,C21_M_30_34_Em_Tot,C21_M_30_34_Unem_Look_FT,C21_M_30_34_Unem_Look_PT,C21_M_30_34_Unem_Tot,C21_M_30_34_Tot_LF,C21_M_30_34_Not_LF,C21_M_30_34_LF_NS,C21_M_30_34_Tot,C21_M_35_39_Em_FT,C21_M_35_39_Em_PT,C21_M_35_39_Em_AFW,C21_M_35_39_Em_Hrs_NS,C21_M_35_39_Em_Tot,C21_M_35_39_Unem_Look_FT,C21_M_35_39_Unem_Look_PT,C21_M_35_39_Unem_Tot,C21_M_35_39_Tot_LF,C21_M_35_39_Not_LF,C21_M_35_39_LF_NS,C21_M_35_39_Tot,C21_M_40_44_Em_FT,C21_M_40_44_Em_PT,C21_M_40_44_Em_AFW,C21_M_40_44_Em_Hrs_NS
1GSYD,152968,21671,13515,188149,131173,20608,2781,3545,158106,5450,1503,6948,165058,15353,13142,193555,124467,16757,2479,2925,146629,4796,1117,5910,152542,13599,10804,176949,117744,15757,2269,2470,138242,4452,1050,5497,143741,14223,9549,167513,106508,15427,2040,2442,126421,4394,1035,5426,131850,15846,8926,156618,97655,16023,2256,2195,118121,4145,1136,5283,123409,19023,8341,150772,79230,16025,2526,1675,99451,3626,1443,5068,104523,24706,7639,136867,46762,16901,2035,1171,66862,2776,1650,4427,71288,38847,6619,116747,18870,12872,1199,592,33538,510,688,1201,34737,62274,6093,103107,5204,6680,450,268,12603,117,272,388,12995,58308,5006,76311,2012,3897,300,296,6510,69,132,204,6710,109640,11113,127461,910116,243811,24815,26191,1204925,46847,28685,75540,1280468,515705,118147,1914319,9575,26332,11360,872,48144,2105,6012,8116,56263,89382,6586,152229,47656,42593,18391,2926,111568,6277,5755,12033,123604,42757,10132,176492,91971,33287,14404,3854,143516,6694,2937,9633,153154,30950,12925,197024,111419,28588,13824,3862,157693,5480,1621,7096,164785,26845,12464,204099,120884,25326,12309,3273,161796,5022,1194,6215,168008,24680,11220,203911,108847,21761,10240,2450
1RNSW,57778,8637,5094,71504,45529,7692,1500,1147,55869,2673,693,3367,59232,7657,4846,71736,44950,7069,1268,1061,54353,2455,551,3005,57356,7879,4553,69789,50089,8074,1451,1105,60721,2607,592,3200,63921,9565,5242,78731,50838,8604,1613,1170,62228,2670,636,3302,65530,11130,5739,82406,50764,9941,1960,1127,63788,2649,707,3354,67140,14148,6204,87492,45576,11617,2426,980,60598,2591,947,3533,64128,20695,6565,91387,27977,12216,2040,759,42996,1982,1136,3119,46115,34602,6325,87047,10973,8427,1030,498,20930,209,396,607,21535,56832,6408,84776,3764,4339,418,317,8843,60,145,204,9052,50967,5495,65508,2486,2830,334,517,6163,62,76,149,6308,86782,11888,104981,418122,123561,17875,12475,572028,29820,13363,43180,615203,359272,78151,1052625,13797,22180,2989,966,39936,2117,3474,5596,45533,32816,5310,83664,33837,17164,2888,1434,55330,3371,1864,5233,60561,11908,5435,77907,45201,12399,2515,1508,61633,2790,1010,3798,65425,9539,5559,80528,50073,10581,2480,1394,64527,2042,658,2699,67232,8579,5554,81370,51188,9746,2373,1220,64522,1749,541,2296,66818,8724,5318,80859,47939,9026,2174,1068
19499,465,169,294,927,186,60,10,7,267,69,15,88,354,140,195,685,166,55,5,14,238,62,7,68,301,122,206,622,149,38,10,13,209,31,3,38,247,115,281,644,107,37,3,10,161,41,9,51,208,151,218,568,88,50,10,11,159,34,7,37,201,152,225,584,92,38,13,4,140,38,3,42,186,157,177,512,43,34,9,0,89,18,5,28,114,226,138,476,22,23,4,0,48,4,0,9,52,301,107,456,4,4,0,0,11,0,0,0,11,204,53,267,4,4,0,0,4,0,0,0,8,133,50,193,1322,527,86,105,2043,465,121,586,2627,2183,2155,6959,23,22,10,4,57,13,9,24,78,83,90,253,70,48,10,11,128,36,15,49,181,92,136,411,131,59,22,13,221,38,12,49,276,107,208,586,109,69,24,12,218,35,11,43,261,113,201,574,107,45,14,7,167,36,5,45,208,111,238,562,79,25,15,6
19799,4,0,0,5,7,0,0,0,7,0,0,0,7,0,0,11,0,0,0,0,5,0,0,0,5,0,0,5,6,0,6,0,9,0,0,0,9,0,4,9,0,0,3,0,5,0,0,0,5,3,0,9,7,0,3,0,14,0,0,0,14,4,0,14,0,0,0,0,5,0,0,0,5,4,6,7,0,0,5,0,10,0,0,0,10,9,0,16,0,0,0,0,6,0,0,0,6,19,9,31,0,0,0,0,0,0,0,0,0,14,0,19,0,0,0,0,0,0,0,0,3,19,4,23,28,7,19,6,61,0,0,3,60,73,21,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
