GCCSA_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
1GSYD,174941,98975,273919,194389,117375,311765,220241,148631,368876,256412,270153,526565,284777,313024,597804,333295,378435,711729,213278,38199,251472,224085,40965,265056,212076,42485,254555,63980,118082,182060,71740,146468,218209,69070,155997,225062,87975,245458,333433,89726,241411,331136,92915,241593,334504,77734,108210,185945,86016,119034,205054,80969,107592,188556,105121,13010,118140,113474,14550,128021,115972,20061,136033,100392,50933,151327,114746,56703,171450,107848,56488,164335,24166,16243,40410,25976,18261,44232,26885,20166,47052,1103996,959275,2063271,1204925,1067782,2272715,1259257,1171441,2430704
1RNSW,93958,50120,144075,91791,52253,144050,102251,65457,167707,76928,109309,186236,77418,122249,199664,90840,149064,239901,138308,24339,162653,138157,25530,163684,152823,28928,181749,32734,82411,115144,36825,94780,131605,45350,120023,165378,25973,113340,139312,25341,111226,136565,27665,118206,145868,35778,68531,104306,37624,68498,106125,38496,67660,106151,75185,5761,80950,72307,6158,78465,77478,8421,85905,78791,42514,121307,81673,44169,125843,87539,48671,136208,10540,6863,17403,10895,7269,18166,12735,9331,22065,568188,503189,1071376,572028,532139,1104163,635185,615759,1250938
19499,220,116,341,169,104,271,133,104,234,381,364,742,318,329,648,236,264,500,470,72,542,395,79,476,241,47,279,200,266,466,182,246,434,122,216,334,103,285,389,92,173,263,63,168,236,92,151,237,112,111,224,69,104,171,321,30,347,309,25,334,216,35,253,368,120,491,396,182,583,254,165,419,57,38,96,67,38,103,55,22,77,2204,1441,3653,2043,1290,3327,1388,1128,2511
19799,0,0,0,3,0,5,0,0,0,0,3,3,11,10,17,0,0,0,4,0,4,11,11,17,0,0,0,0,0,0,4,13,15,0,0,0,0,3,3,0,18,16,0,0,0,0,0,0,4,15,15,0,0,0,0,0,0,11,0,11,0,0,0,12,0,12,12,3,15,0,0,0,0,0,0,5,3,6,0,0,0,22,13,28,61,74,130,0,0,0
