GCCSA_CODE_2021,C21_15_19_NonInd_F,C21_15_19_NonInd_P,C21_15_19_Ind_st_ns_M,C21_15_19_Ind_st_ns_F,C21_15_19_Ind_st_ns_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Indigen_M,C21_20_24_Indigen_F,C21_20_24_Indigen_P,C21_20_24_NonInd_M,C21_20_24_NonInd_F,C21_20_24_NonInd_P,C21_20_24_Ind_st_ns_M,C21_20_24_Ind_st_ns_F,C21_20_24_Ind_st_ns_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Indigen_M,C21_25_29_Indigen_F,C21_25_29_Indigen_P,C21_25_29_NonInd_M,C21_25_29_NonInd_F,C21_25_29_NonInd_P,C21_25_29_Ind_st_ns_M,C21_25_29_Ind_st_ns_F,C21_25_29_Ind_st_ns_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Indigen_M,C21_30_34_Indigen_F,C21_30_34_Indigen_P,C21_30_34_NonInd_M,C21_30_34_NonInd_F,C21_30_34_NonInd_P,C21_30_34_Ind_st_ns_M,C21_30_34_Ind_st_ns_F,C21_30_34_Ind_st_ns_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Indigen_M,C21_35_39_Indigen_F,C21_35_39_Indigen_P,C21_35_39_NonInd_M,C21_35_39_NonInd_F,C21_35_39_NonInd_P,C21_35_39_Ind_st_ns_M,C21_35_39_Ind_st_ns_F,C21_35_39_Ind_st_ns_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Indigen_M,C21_40_44_Indigen_F,C21_40_44_Indigen_P,C21_40_44_NonInd_M,C21_40_44_NonInd_F,C21_40_44_NonInd_P,C21_40_44_Ind_st_ns_M,C21_40_44_Ind_st_ns_F,C21_40_44_Ind_st_ns_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Indigen_M,C21_45_49_Indigen_F,C21_45_49_Indigen_P,C21_45_49_NonInd_M,C21_45_49_NonInd_F,C21_45_49_NonInd_P,C21_45_49_Ind_st_ns_M,C21_45_49_Ind_st_ns_F,C21_45_49_Ind_st_ns_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Indigen_M,C21_50_54_Indigen_F,C21_50_54_Indigen_P,C21_50_54_NonInd_M,C21_50_54_NonInd_F,C21_50_54_NonInd_P,C21_50_54_Ind_st_ns_M,C21_50_54_Ind_st_ns_F,C21_50_54_Ind_st_ns_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Indigen_M,C21_55_59_Indigen_F,C21_55_59_Indigen_P,C21_55_59_NonInd_M,C21_55_59_NonInd_F,C21_55_59_NonInd_P,C21_55_59_Ind_st_ns_M,C21_55_59_Ind_st_ns_F,C21_55_59_Ind_st_ns_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Indigen_M,C21_60_64_Indigen_F,C21_60_64_Indigen_P,C21_60_64_NonInd_M,C21_60_64_NonInd_F,C21_60_64_NonInd_P,C21_60_64_Ind_st_ns_M,C21_60_64_Ind_st_ns_F,C21_60_64_Ind_st_ns_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_over_Indigen_M,C21_65_over_Indigen_F,C21_65_over_Indigen_P,C21_65over_NonInd_M,C21_65over_NonInd_F,C21_65over_NonInd_P,C21_65over_Indig_st_ns_M,C21_65over_Indig_st_ns_F,C21_65over_Indig_st_ns_P,C21_65_over_Tot_M,C21_65_over_Tot_F,C21_65_over_Tot_P,C21_Tot_Indig_M,C21_Tot_Indig_F,C21_Tot_Indig_P,C21_Tot_NonInd_M,C21_Tot_NonInd_F,C21_Tot_NonInd_P,C21_Tot_Indig_st_ns_M,C21_Tot_Indig_st_ns_F,C21_Tot_Indig_st_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
1GSYD,132796,274149,6164,5456,11616,152229,142533,294764,4234,4261,8488,163742,154872,318610,8518,7444,15957,176492,166569,343064,3750,3825,7571,182816,182770,365584,10465,9912,20374,197024,196510,393535,2914,3111,6028,191026,200781,391805,10153,9789,19945,204099,213685,417779,2397,2682,5082,192020,197684,389705,9493,9126,18618,203911,209496,413405,2127,2376,4503,171517,173067,344579,7942,7311,15255,181586,182755,364341,2220,2477,4694,160395,166230,326626,6954,6443,13396,169568,175147,344721,2026,2361,4387,148889,157307,306201,6290,5570,11864,157208,165240,322446,1693,1956,3650,141868,146846,288711,5919,5208,11125,149478,154011,303485,1414,1556,2967,126860,136349,263210,4919,4584,9505,133198,142487,275683,2458,2949,5411,346690,406282,752973,16047,20290,36336,365194,429520,794713,44979,45959,90939,2426917,2489570,4916487,113343,110383,223727,2585238,2645912,5231147
1RNSW,65112,134214,5203,4752,9960,83664,78934,162601,7802,7576,15376,65057,62362,127422,5049,4446,9497,77907,74384,152295,6683,6683,13364,68810,69308,138109,5044,4800,9840,80528,80789,161317,5622,5777,11396,70756,75230,145983,4991,4830,9825,81370,85838,167210,4810,5049,9860,71111,74995,146114,4932,4919,9856,80859,84966,165827,4086,4422,8506,67838,71939,139772,4804,4658,9464,76723,81022,157744,4284,4853,9136,74107,78188,152294,5092,4807,9898,83478,87841,171323,4228,4813,9044,76567,81592,158152,5100,4489,9584,85888,90890,176779,3782,4274,8056,81213,86211,167427,5392,4955,10348,90390,95443,185830,3338,3702,7044,86093,92067,178157,5247,4688,9936,94668,100460,195135,5922,6586,12510,274602,305227,579831,16851,18865,35710,297377,330679,628050,92491,93386,185873,1216888,1262762,2479648,83174,80944,164116,1392556,1437081,2829637
19499,183,334,57,51,106,253,279,532,56,56,116,296,314,612,56,43,101,411,418,829,67,67,129,436,400,832,87,68,152,586,533,1118,67,50,121,448,387,829,62,58,123,574,495,1068,66,51,117,424,288,710,67,54,125,562,392,954,55,43,97,422,266,689,66,53,111,542,357,902,65,40,99,411,237,648,72,60,125,540,332,877,50,21,66,348,275,627,77,33,107,473,333,801,37,14,46,378,289,662,74,61,129,480,359,844,25,10,32,369,295,664,73,37,114,470,339,808,28,23,49,704,449,1153,106,66,176,842,535,1373,712,527,1236,4689,3676,8364,980,800,1771,6375,4997,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
