GCCSA_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
1GSYD,12,1458,29094,28223,22988,15416,6858,2155,487,106687,9,320,4548,5921,5007,4180,1426,451,92,21955,167,19801,81618,66972,50479,35343,15570,6425,1910,278281,696,11561,32288,32523,26373,18266,9426,4498,1389,137018,3885,22677,57534,63654,62561,47888,30718,15815,4684,309421,973,1884,3014,2422,2059,1563,790,274,73,13041,394,1409,3233,3692,4204,4099,2556,1086,268,20942,5255,25971,63776,69769,68826,53546,34068,17168,5023,343404,463,1938,5444,5452,5519,4809,3204,2013,813,29654,14107,14164,30078,24681,22953,19406,15782,12808,6017,159982,20713,75212,246845,233546,202139,150966,86325,45521,15729,1076998,17,1809,39243,42049,28183,19694,11079,3629,869,146568,23,407,5062,6959,5847,5159,2637,767,165,27023,250,26925,102760,80127,56381,42237,24127,9100,2853,344759,884,10386,35831,35402,31481,22281,12941,5368,1903,156478,3925,22178,61483,60583,62606,50786,35962,18976,6174,322676,766,1641,2669,2177,1928,1434,986,331,100,12031,483,1681,4502,5230,5870,5940,4841,2106,645,31291,5176,25502,68654,67984,70410,58163,41785,21407,6925,366002,296,1156,3634,3489,3124,2692,2118,1137,429,18073
1RNSW,6,158,2748,4359,4987,4946,2658,926,191,20976,0,73,962,1809,2375,2713,922,266,36,9162,29,3608,15099,16695,14388,14561,7047,2709,763,74896,159,2189,7542,12346,12747,11791,6585,2971,740,57075,3420,18239,41953,48952,56278,46783,31153,15213,3764,265754,1001,1683,2179,1533,1369,1110,559,214,31,9674,299,734,1523,1694,2160,2713,1700,765,199,11787,4713,20654,45655,52182,59811,50608,33412,16192,3989,287219,183,503,1192,1474,1950,2163,1595,856,250,10166,8744,6477,11409,12844,14493,14323,13672,12376,4880,99230,13839,33663,84614,101697,110751,101105,65899,36307,10848,558724,5,141,4040,5670,5647,5742,4341,1427,332,27345,7,90,1229,1979,2331,3184,1878,464,98,11268,45,4071,17963,18258,15304,16061,10940,3879,1082,87604,202,2188,9218,13181,14782,13936,9867,3791,1081,68254,3244,18926,48591,47504,53822,52768,39172,18996,5187,288210,956,1767,2129,1567,1462,1260,824,279,57,10304,348,892,1985,2408,3050,3733,3554,1685,465,18120,4547,21588,52706,51482,58334,57762,43555,20959,5715,316636,134,311,815,867,931,1131,1246,683,223,6339
19499,0,6,73,39,9,17,15,0,0,159,0,0,15,9,13,9,3,0,0,44,0,84,227,109,73,71,28,8,0,597,0,21,68,52,53,55,33,4,0,295,17,82,242,217,201,173,147,14,3,1083,11,17,11,12,5,3,7,0,0,69,0,10,26,6,14,12,8,0,0,66,30,106,277,232,221,187,158,14,3,1222,3,6,27,15,16,15,9,0,0,83,72,141,385,450,468,294,154,44,24,2032,102,361,1067,917,851,634,396,78,28,4434,0,6,91,43,18,10,17,4,0,189,0,3,13,3,12,18,6,0,0,48,0,89,213,96,68,53,45,8,0,572,0,29,69,47,37,46,50,6,0,297,6,92,229,174,182,203,148,15,0,1060,14,16,20,13,4,5,5,0,0,68,3,13,17,17,15,24,15,3,0,104,24,128,263,202,195,232,157,21,3,1236,0,9,13,7,5,4,7,0,0,47
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,9,8,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,8,9,11,9,6,0,38,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,3,0,0,3,9,0,0,10,0,0,4,5,4,5,12,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,5,12,3,0,39,0,0,0,0,0,0,0,0,0,0
