GCCSA_CODE_2021,Age_0_C11_M,Age_0_C11_F,Age_0_C11_P,Age_0_C16_M,Age_0_C16_F,Age_0_C16_P,Age_0_C21_M,Age_0_C21_F,Age_0_C21_P,Age_1_C11_M,Age_1_C11_F,Age_1_C11_P,Age_1_C16_M,Age_1_C16_F,Age_1_C16_P,Age_1_C21_M,Age_1_C21_F,Age_1_C21_P,Age_2_C11_M,Age_2_C11_F,Age_2_C11_P,Age_2_C16_M,Age_2_C16_F,Age_2_C16_P,Age_2_C21_M,Age_2_C21_F,Age_2_C21_P,Age_3_C11_M,Age_3_C11_F,Age_3_C11_P,Age_3_C16_M,Age_3_C16_F,Age_3_C16_P,Age_3_C21_M,Age_3_C21_F,Age_3_C21_P,Age_4_C11_M,Age_4_C11_F,Age_4_C11_P,Age_4_C16_M,Age_4_C16_F,Age_4_C16_P,Age_4_C21_M,Age_4_C21_F,Age_4_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_C11_M,Age_5_C11_F,Age_5_C11_P,Age_5_C16_M,Age_5_C16_F,Age_5_C16_P,Age_5_C21_M,Age_5_C21_F,Age_5_C21_P,Age_6_C11_M,Age_6_C11_F,Age_6_C11_P,Age_6_C16_M,Age_6_C16_F,Age_6_C16_P,Age_6_C21_M,Age_6_C21_F,Age_6_C21_P,Age_7_C11_M,Age_7_C11_F,Age_7_C11_P,Age_7_C16_M,Age_7_C16_F,Age_7_C16_P,Age_7_C21_M,Age_7_C21_F,Age_7_C21_P,Age_8_C11_M,Age_8_C11_F,Age_8_C11_P,Age_8_C16_M,Age_8_C16_F,Age_8_C16_P,Age_8_C21_M,Age_8_C21_F,Age_8_C21_P,Age_9_C11_M,Age_9_C11_F,Age_9_C11_P,Age_9_C16_M,Age_9_C16_F,Age_9_C16_P,Age_9_C21_M,Age_9_C21_F,Age_9_C21_P,Age_5_9_C11_M,Age_5_9_C11_F,Age_5_9_C11_P,Age_5_9_C16_M,Age_5_9_C16_F,Age_5_9_C16_P,Age_5_9_C21_M,Age_5_9_C21_F,Age_5_9_C21_P,Age_10_C11_M,Age_10_C11_F,Age_10_C11_P,Age_10_C16_M,Age_10_C16_F,Age_10_C16_P,Age_10_C21_M,Age_10_C21_F,Age_10_C21_P,Age_11_C11_M,Age_11_C11_F,Age_11_C11_P,Age_11_C16_M,Age_11_C16_F,Age_11_C16_P,Age_11_C21_M,Age_11_C21_F,Age_11_C21_P,Age_12_C11_M,Age_12_C11_F,Age_12_C11_P,Age_12_C16_M,Age_12_C16_F,Age_12_C16_P,Age_12_C21_M,Age_12_C21_F,Age_12_C21_P,Age_13_C11_M,Age_13_C11_F,Age_13_C11_P,Age_13_C16_M,Age_13_C16_F,Age_13_C16_P,Age_13_C21_M,Age_13_C21_F,Age_13_C21_P,Age_14_C11_M,Age_14_C11_F,Age_14_C11_P,Age_14_C16_M,Age_14_C16_F,Age_14_C16_P,Age_14_C21_M,Age_14_C21_F,Age_14_C21_P,Age_10_14_C11_M,Age_10_14_C11_F,Age_10_14_C11_P,Age_10_14_C16_M,Age_10_14_C16_F,Age_10_14_C16_P,Age_10_14_C21_M,Age_10_14_C21_F,Age_10_14_C21_P,Age_15_C11_M,Age_15_C11_F,Age_15_C11_P,Age_15_C16_M,Age_15_C16_F,Age_15_C16_P,Age_15_C21_M,Age_15_C21_F,Age_15_C21_P,Age_16_C11_M,Age_16_C11_F,Age_16_C11_P,Age_16_C16_M,Age_16_C16_F,Age_16_C16_P,Age_16_C21_M,Age_16_C21_F,Age_16_C21_P,Age_17_C11_M,Age_17_C11_F,Age_17_C11_P,Age_17_C16_M,Age_17_C16_F,Age_17_C16_P,Age_17_C21_M,Age_17_C21_F,Age_17_C21_P,Age_18_C11_M,Age_18_C11_F,Age_18_C11_P,Age_18_C16_M,Age_18_C16_F,Age_18_C16_P,Age_18_C21_M,Age_18_C21_F,Age_18_C21_P,Age_19_C11_M,Age_19_C11_F
1GSYD,30403,28848,59249,30085,28778,58861,31675,29689,61363,31316,29793,61115,32300,30442,62741,31807,30414,62225,30430,28963,59393,31936,30551,62485,32305,30254,62565,30682,29011,59691,32405,30561,62967,32130,30081,62214,30652,28800,59449,32303,30816,63123,32877,31127,64006,153488,145412,298896,159029,151144,310170,160794,151568,312364,29628,27902,57532,32091,30348,62440,33542,31910,65452,28910,26895,55804,32339,30623,62964,33569,31439,65004,27974,26289,54262,31342,29852,61196,33624,32167,65795,27945,26382,54321,31694,30095,61788,34117,32235,66350,27153,25634,52791,31252,29599,60848,34165,32307,66471,141610,133106,274713,158718,150522,309234,169015,160061,329072,27672,26099,53776,30176,28378,58553,33599,31667,65269,27817,26458,54275,29197,27362,56561,33650,31703,65355,27651,25893,53546,28855,26992,55853,32902,31222,64129,27437,26059,53498,28631,27064,55698,32775,31153,63925,27976,26541,54516,27853,26382,54237,32508,30592,63100,138559,131045,269598,144711,136177,280889,165443,156334,321768,28039,26141,54182,28669,26939,55603,31471,29496,60970,28420,26682,55099,29166,27424,56585,30756,28600,59359,28161,26757,54918,28878,27214,56084,30100,28033,58138,28364,26709,55074,29592,28451,58041,29923,28197,58121,28937,27573
1RNSW,15433,14497,29922,14801,13974,28770,15346,14721,30065,16019,15377,31392,15462,14594,30053,15919,14993,30914,16466,15592,32061,15877,15150,31026,16057,14881,30933,16514,15970,32481,16629,15529,32151,16037,15282,31312,17117,16305,33427,16875,15739,32609,16307,15695,32001,81545,77731,159279,79634,74979,154618,79655,75571,155229,16825,15915,32744,16755,15962,32719,17354,16250,33608,16351,15448,31799,17020,16439,33456,17081,16254,33334,16204,15208,31415,17469,16437,33905,17476,16518,33995,16147,15434,31590,17330,16659,33989,18126,16817,34947,16371,15659,32031,17790,16828,34624,18174,17255,35430,81906,77663,159569,86368,82336,168703,88216,83093,171313,17139,16070,33213,17191,16365,33558,18046,17026,35068,17127,16411,33539,16729,15753,32479,18340,17700,36038,17322,16787,34113,16510,15411,31923,18456,17425,35887,17503,16604,34113,16309,15552,31869,18346,17569,35914,17728,16554,34288,16343,15772,32114,18631,17459,36094,86827,82428,169257,83082,78860,161944,91820,87172,178998,17462,16694,34156,16705,15810,32514,17759,16868,34628,17850,17066,34921,16664,16111,32777,17270,16191,33467,17751,16937,34689,16757,16212,32971,16664,15701,32375,16850,15598,32445,16150,15119,31274,16247,15232,31480,16005,14661
19499,72,58,124,40,35,75,51,33,89,53,53,109,41,39,78,55,46,101,63,42,104,41,21,69,50,37,95,59,48,107,31,30,61,48,50,102,59,50,110,31,29,60,45,38,82,308,248,552,187,149,339,258,203,460,46,37,79,24,24,53,39,44,86,25,29,59,24,28,55,44,45,89,39,35,71,22,18,40,34,46,78,30,21,54,29,22,51,49,45,98,34,23,53,22,24,43,42,50,84,165,152,317,117,122,242,199,227,428,40,34,75,21,17,34,28,44,73,30,30,56,16,19,36,41,41,77,24,24,52,16,16,31,28,33,60,44,32,78,18,12,30,48,43,93,26,21,51,17,18,31,34,26,59,166,145,312,82,80,157,185,185,369,46,45,88,20,16,34,33,50,83,76,62,134,34,27,56,47,49,96,73,75,150,36,31,67,51,60,114,76,101,175,66,59,121,58,67,121,123,96
19799,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,11,5,13,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,5,3,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,5,11,12,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0
