GCCSA_CODE_2021,C21_20_24_Div_M,C21_20_24_Div_F,C21_20_24_Div_P,C21_20_24_Wid_M,C21_20_24_Wid_F,C21_20_24_Wid_P,C21_20_24_Nvr_marrd_M,C21_20_24_Nvr_marrd_F,C21_20_24_Nvr_marrd_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Married_M,C21_25_29_Married_F,C21_25_29_Married_P,C21_25_29_Sep_M,C21_25_29_Sep_F,C21_25_29_Sep_P,C21_25_29_Div_M,C21_25_29_Div_F,C21_25_29_Div_P,C21_25_29_Wid_M,C21_25_29_Wid_F,C21_25_29_Wid_P,C21_25_29_Nvr_marrd_M,C21_25_29_Nvr_marrd_F,C21_25_29_Nvr_marrd_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Married_M,C21_30_34_Married_F,C21_30_34_Married_P,C21_30_34_Sep_M,C21_30_34_Sep_F,C21_30_34_Sep_P,C21_30_34_Div_M,C21_30_34_Div_F,C21_30_34_Div_P,C21_30_34_Wid_M,C21_30_34_Wid_F,C21_30_34_Wid_P,C21_30_34_Nvr_marrd_M,C21_30_34_Nvr_marrd_F,C21_30_34_Nvr_marrd_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Married_M,C21_35_39_Married_F,C21_35_39_Married_P,C21_35_39_Sep_M,C21_35_39_Sep_F,C21_35_39_Sep_P,C21_35_39_Div_M,C21_35_39_Div_F,C21_35_39_Div_P,C21_35_39_Wid_M,C21_35_39_Wid_F,C21_35_39_Wid_P,C21_35_39_Nvr_marrd_M,C21_35_39_Nvr_marrd_F,C21_35_39_Nvr_marrd_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Married_M,C21_40_44_Married_F,C21_40_44_Married_P,C21_40_44_Sep_M,C21_40_44_Sep_F,C21_40_44_Sep_P,C21_40_44_Div_M,C21_40_44_Div_F,C21_40_44_Div_P,C21_40_44_Wid_M,C21_40_44_Wid_F,C21_40_44_Wid_P,C21_40_44_Nvr_marrd_M,C21_40_44_Nvr_marrd_F,C21_40_44_Nvr_marrd_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Married_M,C21_45_49_Married_F,C21_45_49_Married_P,C21_45_49_Sep_M,C21_45_49_Sep_F,C21_45_49_Sep_P,C21_45_49_Div_M,C21_45_49_Div_F,C21_45_49_Div_P,C21_45_49_Wid_M,C21_45_49_Wid_F,C21_45_49_Wid_P,C21_45_49_Nvr_marrd_M,C21_45_49_Nvr_marrd_F,C21_45_49_Nvr_marrd_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Married_M,C21_50_54_Married_F,C21_50_54_Married_P,C21_50_54_Sep_M,C21_50_54_Sep_F,C21_50_54_Sep_P,C21_50_54_Div_M,C21_50_54_Div_F,C21_50_54_Div_P,C21_50_54_Wid_M,C21_50_54_Wid_F,C21_50_54_Wid_P,C21_50_54_Nvr_marrd_M,C21_50_54_Nvr_marrd_F,C21_50_54_Nvr_marrd_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Married_M,C21_55_59_Married_F,C21_55_59_Married_P,C21_55_59_Sep_M,C21_55_59_Sep_F,C21_55_59_Sep_P,C21_55_59_Div_M,C21_55_59_Div_F,C21_55_59_Div_P,C21_55_59_Wid_M,C21_55_59_Wid_F,C21_55_59_Wid_P,C21_55_59_Nvr_marrd_M,C21_55_59_Nvr_marrd_F,C21_55_59_Nvr_marrd_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Married_M,C21_60_64_Married_F,C21_60_64_Married_P,C21_60_64_Sep_M,C21_60_64_Sep_F,C21_60_64_Sep_P,C21_60_64_Div_M,C21_60_64_Div_F,C21_60_64_Div_P,C21_60_64_Wid_M,C21_60_64_Wid_F,C21_60_64_Wid_P,C21_60_64_Nvr_marrd_M,C21_60_64_Nvr_marrd_F,C21_60_64_Nvr_marrd_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Married_M,C21_65_69_Married_F,C21_65_69_Married_P,C21_65_69_Sep_M,C21_65_69_Sep_F,C21_65_69_Sep_P,C21_65_69_Div_M,C21_65_69_Div_F,C21_65_69_Div_P,C21_65_69_Wid_M,C21_65_69_Wid_F,C21_65_69_Wid_P,C21_65_69_Nvr_marrd_M,C21_65_69_Nvr_marrd_F,C21_65_69_Nvr_marrd_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Married_M,C21_70_74_Married_F,C21_70_74_Married_P,C21_70_74_Sep_M,C21_70_74_Sep_F,C21_70_74_Sep_P,C21_70_74_Div_M,C21_70_74_Div_F,C21_70_74_Div_P,C21_70_74_Wid_M,C21_70_74_Wid_F,C21_70_74_Wid_P,C21_70_74_Nvr_marrd_M,C21_70_74_Nvr_marrd_F,C21_70_74_Nvr_marrd_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Married_M,C21_75_79_Married_F,C21_75_79_Married_P,C21_75_79_Sep_M,C21_75_79_Sep_F,C21_75_79_Sep_P,C21_75_79_Div_M,C21_75_79_Div_F
1GSYD,180,440,617,65,69,132,171069,154226,325291,176492,166569,343064,33503,53178,86681,1462,2802,4267,1423,2565,3982,92,136,223,160550,137836,298386,197024,196510,393535,89165,112061,201227,3410,5491,8903,4708,7237,11950,154,305,465,106655,88583,195239,204099,213685,417779,127533,136270,263806,5248,7634,12882,8460,12113,20574,210,624,836,62452,52852,115307,203911,209496,413405,121684,120572,242262,6465,8592,15056,10770,15797,26565,360,1113,1475,42303,36680,78988,181586,182755,364341,112748,111639,224391,7230,9295,16521,14148,21212,35358,609,1995,2602,34836,31010,65842,169568,175147,344721,102595,102740,205331,7207,8900,16109,17161,25691,42850,975,3370,4347,29270,24539,53812,157208,165240,322446,98524,94271,192797,6730,7719,14447,18812,26845,45653,1541,5941,7480,23870,19239,43108,149478,154011,303485,89573,85808,175378,5769,6521,12287,17944,25984,43920,2283,9754,12041,17629,14423,32059,133198,142487,275683,77580,72336,149919,4752,5023,9777,14473,21924,36399,3217,14090,17313,11211,9962,21173,111238,123339,234579,69119,59267,128391,3778,3453,7230,12122,17992,30113,5023,19893,24920,7590,6656,14243,97631,107264,204890,49725,37672,87400,2287,1765,4051,7211,11310
1RNSW,46,66,109,60,45,103,76072,71121,147190,77907,74384,152295,13235,19425,32656,708,1439,2145,440,832,1271,50,82,131,66099,59012,125106,80528,80789,161317,32530,39844,72378,1866,3052,4921,1836,2904,4737,61,232,292,45079,39804,84883,81370,85838,167210,43170,47481,90654,2899,4245,7143,3646,5347,8992,136,377,512,31008,27515,58521,80859,84966,165827,43521,45690,89209,3591,4842,8433,5385,7804,13196,220,703,920,24003,21981,45989,76723,81022,157744,46900,49081,95980,4515,5586,10103,8676,12144,20825,395,1251,1646,22988,19783,42776,83478,87841,171323,47797,50901,98699,4772,5527,10295,11791,15746,27544,757,2100,2859,20771,16617,37388,85888,90890,176779,51426,54205,105633,4727,5368,10094,14207,18381,32585,1232,3835,5064,18798,13652,32449,90390,95443,185830,57121,58423,115546,4662,5103,9761,15996,20006,36005,2196,6431,8626,14696,10507,25207,94668,100460,195135,56391,54826,111221,4288,3721,8003,15278,17936,33218,3180,9597,12771,9698,6360,16057,88832,92442,181273,55446,48450,103897,3493,2682,6172,12915,14622,27536,5043,14644,19690,5766,3859,9626,82664,84267,166927,40032,32012,72045,1934,1321,3256,7613,8640
19499,0,0,0,0,0,0,400,406,801,411,418,829,39,43,76,10,14,26,0,12,13,0,3,3,532,462,998,586,533,1118,91,102,189,38,35,73,14,21,36,0,0,0,432,344,777,574,495,1068,120,97,213,73,37,106,31,30,64,3,0,3,336,230,563,562,392,954,88,75,164,68,42,109,58,53,110,0,6,5,331,178,510,542,357,902,86,77,162,80,38,120,95,75,168,4,8,12,281,144,420,540,332,877,99,88,192,63,35,101,82,95,177,7,17,17,218,96,314,473,333,801,121,136,255,67,29,98,123,107,237,4,8,11,168,71,242,480,359,844,149,130,280,48,34,86,140,111,245,18,21,38,111,44,156,470,339,808,157,113,263,49,15,69,110,71,180,19,20,39,68,21,85,403,236,637,89,73,162,37,19,53,81,41,120,16,27,39,26,10,37,250,163,415,57,31,86,10,4,10,34,21
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
