GCCSA_CODE_2021,C11_F_CL_Tot_15_19,C11_F_CL_Tot_20_24,C11_F_CL_Tot_25_34,C11_F_CL_Tot_35_44,C11_F_CL_Tot_45_54,C11_F_CL_Tot_55_64,C11_F_CL_Tot_65_74,C11_F_CL_Tot_75_84,C11_F_CL_Tot_85over,C11_F_CL_Tot_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85over,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85over,C11_F_LE_NS_Tot,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85over,C11_F_Tot_Tot,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85over,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85over,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85over,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85over,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85over,C16_F_CL_C_III_IV_Tot,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85over,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85over,C16_F_CL_CL_nfd_Tot,C16_F_CL_Tot_15_19,C16_F_CL_Tot_20_24,C16_F_CL_Tot_25_34,C16_F_CL_Tot_35_44,C16_F_CL_Tot_45_54,C16_F_CL_Tot_55_64,C16_F_CL_Tot_65_74,C16_F_CL_Tot_75_84,C16_F_CL_Tot_85over,C16_F_CL_Tot_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85over,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85over,C16_F_LE_NS_Tot,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_Post_Deg_15_19_yrs,C21_F_Post_Deg_20_24_yrs,C21_F_Post_Deg_25_34_yrs,C21_F_Post_Deg_35_44_yrs,C21_F_Post_Deg_45_54_yrs,C21_F_Post_Deg_55_64_yrs,C21_F_Post_Deg_65_74_yrs,C21_F_Post_Deg_75_84_yrs,C21_F_Post_Deg_85over,C21_F_Post_Deg_Tot,C21_F_GrDip_GrCe_15_19,C21_F_GrDip_GrCe_20_24,C21_F_GrDip_GrCe_25_34,C21_F_GrDip_GrCe_35_44,C21_F_GrDip_GrCe_45_54,C21_F_GrDip_GrCe_55_64,C21_F_GrDip_GrCe_65_74,C21_F_GrDip_GrCe_75_84,C21_F_GrDip_GrCe_85over,C21_F_GrDip_GrCe_Tot,C21_F_BD_15_19,C21_F_BD_20_24,C21_F_BD_25_34,C21_F_BD_35_44,C21_F_BD_45_54,C21_F_BD_55_64,C21_F_BD_65_74,C21_F_BD_75_84,C21_F_BD_85over,C21_F_BD_Tot,C21_F_AdD_DL_15_19,C21_F_AdD_DL_20_24,C21_F_AdD_DL_25_34,C21_F_AdD_DL_35_44,C21_F_AdD_DL_45_54,C21_F_AdD_DL_55_64,C21_F_AdD_DL_65_74,C21_F_AdD_DL_75_84,C21_F_AdD_DL_85over,C21_F_AdD_DL_Tot,C21_F_CL_C_III_IV_15_19,C21_F_CL_C_III_IV_20_24,C21_F_CL_C_III_IV_25_34,C21_F_CL_C_III_IV_35_44,C21_F_CL_C_III_IV_45_54,C21_F_CL_C_III_IV_55_64,C21_F_CL_C_III_IV_65_74,C21_F_CL_C_III_IV_75_84,C21_F_CL_C_III_IV_85over,C21_F_CL_C_III_IV_Tot
1GSYD,6082,21029,43888,43521,38662,24216,10105,4689,2037,194223,471,1960,5226,6871,9078,8408,5455,3222,1406,42098,12259,11673,24796,22757,22081,21119,19420,19730,14631,168452,20464,81383,261170,233803,184559,127637,65101,39608,21702,1035433,34,3485,50323,40496,24012,14718,6587,1532,356,141536,78,1025,9035,10428,9169,8159,4017,976,218,43099,310,37726,132138,100454,65052,41900,20680,7428,2335,408011,1677,14334,43233,46289,43618,31779,18299,7543,2750,209510,3917,15663,36222,32241,30105,19537,8370,2876,1361,150290,1370,2199,3825,4829,4820,3796,1884,523,213,23472,730,2307,5189,8426,11328,10699,7704,2982,1548,50927,6022,20174,45244,45487,46252,34026,17964,6386,3128,224683,273,1093,3478,3584,4234,4647,3749,1881,887,23825,9568,12437,30250,23505,22160,21645,20949,17816,14873,173210,17957,90265,313685,270241,214499,156881,92234,43563,24552,1223878,5,3018,62427,65005,35342,20619,11051,3312,557,201329,60,1618,11254,13395,11913,9547,7044,2108,390,57329,188,39430,153248,127484,84505,53192,31463,11717,3471,504699,1312,15150,42897,48153,49602,38141,24570,10914,3472,234209,4152,15902,36904,35896,33899,26872,12454,4257,1447,171786
1RNSW,5462,17170,33133,34783,35098,21783,8198,3328,1085,160021,211,640,1226,2297,4365,4462,2932,1479,577,18198,7944,4548,8086,11045,13904,15888,17976,18403,10625,108415,14101,33682,88445,102107,103950,83552,48264,30185,14103,518387,6,301,6040,7022,6225,5595,2770,608,102,28670,25,368,3376,4421,4662,5710,2562,589,105,21822,34,7356,32392,32328,23768,21521,12261,4335,1226,135225,646,4987,16607,19991,23096,22587,13430,5310,1551,108207,3697,14565,30256,27580,28586,20681,7949,2139,944,136405,1445,2531,3558,3593,3881,3502,1909,438,125,20984,605,1640,3134,4574,7157,8116,6131,2280,797,34439,5751,18732,36945,35753,39629,32304,15991,4862,1870,191828,104,341,856,945,1479,2315,2357,1148,513,10054,8132,5937,11516,11990,15745,19228,21433,18897,12764,125635,14702,38017,107721,112454,114607,109256,70807,35746,18127,621441,0,446,10089,11410,9164,7602,5226,1384,182,45509,32,652,4770,6090,6134,6240,5165,1319,199,30609,28,8605,41293,39673,31470,24313,18713,6987,1701,172791,478,4682,18216,21549,25039,25579,18711,7763,2113,124131,3895,15548,36177,32859,33063,29630,13852,3552,993,169565
19499,38,92,145,92,107,71,31,4,0,581,0,8,20,15,16,20,5,0,0,86,73,84,200,162,144,113,85,50,36,936,111,331,872,504,418,380,164,61,44,2883,0,8,70,39,27,18,4,6,0,175,0,5,17,18,14,12,7,0,0,71,0,107,287,102,75,57,43,7,0,677,3,37,73,52,63,81,48,10,0,373,9,42,80,50,74,68,21,3,0,353,0,13,8,9,9,14,5,0,0,66,6,13,12,9,13,23,15,0,0,91,9,69,101,74,96,104,47,6,0,507,0,5,10,8,8,6,5,0,0,35,53,140,290,192,192,168,114,42,13,1197,71,370,847,481,469,445,264,61,19,3037,0,0,62,40,31,28,14,0,0,181,0,0,20,14,13,20,11,0,0,76,0,25,207,99,86,70,45,11,0,540,0,27,64,54,64,81,40,8,0,339,7,55,107,77,86,91,34,9,0,463
19799,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,6,0,0,0,0,0,10,9,9,0,25,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,7,0,0,0,21,0,0,0,0,5,5,5,0,0,17,0,0,3,0,6,4,5,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,9,0,0,3,3,3,10,6,6,0,31,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,8,10,8,0,45,4,4,17,7,13,28,29,12,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
