GCCSA_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
1GSYD,1171441,27712,30631,58338,1229785,832495,115676,2177951,22015,60071,4297,3603,89980,6385,12751,19135,109115,154065,12602,275789,108598,76314,6370,6596,197878,12101,10346,22447,220319,67529,19408,307256,185291,50431,8635,5922,250275,10366,4826,15187,265462,52111,23197,340770,182165,51270,11685,4745,249859,8098,3877,11976,261834,53992,20295,336122,174553,60833,9755,4727,249873,7443,4201,11643,261511,55136,17952,334607,166493,61823,6639,4834,239785,7092,4136,11226,251014,51846,16021,318887,164857,58034,5972,4932,233792,7030,3559,10594,244392,48064,15025,307479,150020,51810,6369,4190,212386,6245,2973,9222,221611,51557,14337,287496,112177,43830,6106,3114,165227,4796,2506,7301,172532,65117,12493,250145,65072,38521,4579,2092,110256,3020,2271,5290,115545,98309,11606,225463,20650,19779,2000,903,43338,360,666,1028,44366,114602,9917,168880,4595,7873,716,430,13608,86,242,325,13938,106425,8900,129256,1709,4198,560,534,7007,48,162,210,7216,231041,28053,266309,1358195,584775,73680,46614,2063271,73074,52513,125582,2188853,1149800,209808,3548459,19238,70151,3723,2765,95879,5012,17045,22058,117941,157676,12753,288366,106612,96782,5243,6130,214768,11475,13940,25413,240180,79745,20817,340739
1RNSW,615759,10966,15168,26138,641894,472692,76661,1191247,21071,44476,3377,2592,71521,6049,7381,13432,84943,74696,7228,166874,56524,31043,3628,2673,93867,7426,3738,11165,105032,28956,7120,141112,63832,22587,4451,2014,92881,4977,2059,7035,99920,24847,6207,130964,60128,26679,4982,1920,93713,3890,2035,5920,99633,25416,5932,130975,70754,34648,4506,2339,112250,3960,2161,6124,118373,27398,6693,152468,79255,37753,4044,2592,123637,4044,2190,6232,129868,26551,7137,163555,86128,38081,4278,2536,131021,4018,1940,5960,136987,28743,7273,172999,86852,37802,5244,2386,132280,3629,1803,5428,137713,35144,7711,180566,66449,33186,5271,1854,106763,2766,1646,4411,111174,50218,7220,168608,37831,26548,3705,1399,69480,1848,1507,3349,72834,84229,7303,164364,12152,12524,1560,755,26982,160,355,516,27497,100430,6901,134827,4048,5159,598,439,10246,55,135,192,10431,90620,6669,107723,2401,3195,555,580,6732,36,71,111,6839,181775,21177,209794,647427,353682,46201,24066,1071376,42853,27020,69874,1141253,779023,104569,2024847,16022,45252,2659,2133,66067,5440,8774,14219,80285,70263,8981,159532,52998,37319,3221,2582,96123,7871,4930,12800,108927,28806,9827,147559
19499,1128,135,124,252,1382,1722,1273,4381,82,73,10,9,177,77,59,131,312,324,119,760,333,188,19,22,562,106,36,143,704,400,210,1314,446,150,49,21,670,117,41,159,828,327,270,1420,365,115,21,16,519,96,36,138,652,310,269,1235,255,89,21,13,369,85,24,111,482,290,278,1053,221,82,25,9,339,87,20,109,448,310,297,1047,188,88,18,20,313,69,17,87,396,275,265,938,166,78,19,11,278,66,12,80,352,316,279,954,141,63,15,9,228,38,17,54,281,366,199,847,73,48,15,9,147,17,17,36,180,487,160,829,12,17,0,4,38,5,4,6,49,459,99,604,10,0,0,0,12,0,0,0,14,265,83,364,0,0,0,0,8,0,0,5,9,245,109,361,2287,1004,227,140,3653,771,295,1062,4716,4391,2632,11736,52,44,3,11,108,51,24,72,184,219,116,516,288,192,18,28,526,112,45,155,679,390,285,1359
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,4,0,8,0,0,0,8,0,0,8,4,0,0,0,7,0,0,0,7,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,0,6,7,0,6,3,0,0,0,8,0,0,0,8,14,0,17,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,19,0,22,0,0,0,0,0,0,0,0,0,21,7,31,18,3,13,0,28,0,0,0,28,65,9,107,0,0,0,0,9,3,0,0,6,8,0,13,3,0,4,0,8,0,0,0,8,6,3,9
