region_id,C01_SH_FH_CF_no_ch,C01_SH_FH_CF_w_ch,C01_SH_FH_One_PFam,C01_SH_FH_oth_fa,C01_SH_FH_Tot,C01_SH_LP_H,C01_SH_GH,C01_SH_OH,C01_SH_Tot,C01_SDRTHT1S_FH_CF_no_ch,C01_SDRTHT1S_FH_CF_w_ch,C01_SDRTHT1S_FH_One_PFam,C01_SDRTHT1S_FH_oth_fa,C01_SDRTHT1S_FH_Tot,C01_SDRTHT1S_LP_H,C01_SDRTHT1S_GH,C01_SDRTHT1S_OH,C01_SDRTHT1S_Tot,C01_SDRTHT2S_FH_CF_no_ch,C01_SDRTHT2S_FH_CF_w_ch,C01_SDRTHT2S_FH_One_PFam,C01_SDRTHT2S_FH_oth_fa,C01_SDRTHT2S_FH_Tot,C01_SDRTHT2S_LP_H,C01_SDRTHT2S_GH,C01_SDRTHT2S_OH,C01_SDRTHT2S_Tot,C01_SDRTHT_FH_CF_no_ch,C01_SDRTHT_FH_CF_w_ch,C01_SDRTHT_FH_One_PFam,C01_SDRTHT_FH_oth_fa,C01_SDRTHT_FH_Tot,C01_SDRTHT_LP_H,C01_SDRTHT_GH,C01_SDRTHT_OH,C01_SDRTHT_Tot,C01_F_u_a_1_2_FH_CF_no_ch,C01_F_u_a_1_2_FH_CF_w_ch,C01_F_u_a_1_2_FH_One_PFam,C01_F_u_a_1_2_FH_oth_fa,C01_F_u_a_1_2_FH_Tot,C01_F_u_a_1_2_LP_H,C01_F_u_a_1_2_GH,C01_F_u_a_1_2_OH,C01_F_u_a_1_2_Tot,C01_F_u_a_3_FH_CF_no_ch,C01_F_u_a_3_FH_CF_w_ch,C01_F_u_a_3_FH_One_PFam,C01_F_u_a_3_FH_oth_fa,C01_F_u_a_3_FH_Tot,C01_F_u_a_3_LP_H,C01_F_u_a_3_GH,C01_F_u_a_3_OH,C01_F_u_a_3_Tot,C01_F_u_a_4m_FH_CF_no_ch,C01_F_u_a_4m_FH_CF_w_ch,C01_F_u_a_4m_FH_One_PFam,C01_F_u_a_4m_FH_oth_fa,C01_F_u_a_4m_FH_Tot,C01_F_u_a_4m_LP_H,C01_F_u_a_4m_GH,C01_F_u_a_4m_OH,C01_F_u_a_4m_Tot,C01_F_u_a_a_h_FH_CF_no_ch,C01_F_u_a_a_h_FH_CF_w_ch,C01_F_u_a_a_h_FH_One_PFam,C01_F_u_a_a_h_FH_oth_fa,C01_F_u_a_a_h_FH_Tot,C01_F_u_a_a_h_LP_H,C01_F_u_a_a_h_GH,C01_F_u_a_a_h_OH,C01_F_u_a_a_h_Tot,C01_F_u_a_T_FH_CF_no_ch,C01_F_u_a_T_FH_CF_w_ch,C01_F_u_a_T_FH_One_PFam,C01_F_u_a_T_FH_oth_fa,C01_F_u_a_T_FH_Tot,C01_F_u_a_T_LP_H,C01_F_u_a_T_GH,C01_F_u_a_T_OH,C01_F_u_a_T_Tot,C01_OD_C_c_hb_FH_CF_no_ch,C01_OD_C_c_hb_FH_CF_w_ch,C01_OD_C_c_hb_FH_One_PFam,C01_OD_C_c_hb_FH_oth_fa,C01_OD_C_c_hb_FH_Tot,C01_OD_C_c_hb_LP_H,C01_OD_C_c_hb_GH,C01_OD_C_c_hb_OH,C01_OD_C_c_hb_Tot,C01_OD_Ih_t_s_FH_CF_no_ch,C01_OD_Ih_t_s_FH_CF_w_ch,C01_OD_Ih_t_s_FH_One_PFam,C01_OD_Ih_t_s_FH_oth_fa,C01_OD_Ih_t_s_FH_Tot,C01_OD_Ih_t_s_LP_H,C01_OD_Ih_t_s_GH,C01_OD_Ih_t_s_OH,C01_OD_Ih_t_s_Tot,C01_OD_H_f_so_FH_CF_no_ch,C01_OD_H_f_so_FH_CF_w_ch,C01_OD_H_f_so_FH_One_PFam,C01_OD_H_f_so_FH_oth_fa,C01_OD_H_f_so_FH_Tot,C01_OD_H_f_so_LP_H,C01_OD_H_f_so_GH,C01_OD_H_f_so_OH,C01_OD_H_f_so_Tot,C01_OD_T_FH_CF_no_ch,C01_OD_T_FH_CF_w_ch,C01_OD_T_FH_One_PFam,C01_OD_T_FH_oth_fa,C01_OD_T_FH_Tot,C01_OD_Tot_LP_H,C01_OD_Tot_GH,C01_OD_Tot_OH,C01_OD_T_T,C01_DS_ns_FH_CF_no_ch,C01_DS_ns_FH_CF_w_ch,C01_DS_ns_FH_One_PFam,C01_DS_ns_FH_oth_fa,C01_DS_ns_FH_Tot,C01_DS_ns_LP_H,C01_DS_ns_GH,C01_DS_ns_OH,C01_DS_NS_T,C01_T_FH_CF_no_ch,C01_T_FH_CF_w_ch,C01_T_FH_One_PFam,C01_T_FH_oth_fa,C01_T_FH_Tot,C01_Tot_LP_H,C01_Tot_GH,C01_Tot_OH,C01_T_T,C06_SH_FH_CF_no_ch,C06_SH_FH_CF_w_ch,C06_SH_FH_One_PFam,C06_SH_FH_oth_fa,C06_SH_FH_Tot,C06_SH_LP_H,C06_SH_GH,C06_SH_OH,C06_SH_Tot,C06_Sd_r_t_1_FH_CF_no_ch,C06_Sd_r_t_1_FH_CF_w_ch,C06_Sd_r_t_1_FH_One_PFam,C06_Sd_r_t_1_FH_oth_fa,C06_Sd_r_t_1_FH_Tot,C06_Sd_r_t_1_LP_H,C06_Sd_r_t_1_GH,C06_Sd_r_t_1_OH,C06_Sd_r_t_1_Tot,C06_Sd_r_t_2m_FH_CF_no_ch,C06_Sd_r_t_2m_FH_CF_w_ch,C06_Sd_r_t_2m_FH_One_PFam,C06_Sd_r_t_2m_FH_oth_fa,C06_Sd_r_t_2m_FH_Tot,C06_Sd_r_t_2m_LP_H,C06_Sd_r_t_2m_GH,C06_Sd_r_t_2m_OH,C06_Sd_r_t_2m_Tot,C06_Sd_r_t_T_FH_CF_no_ch,C06_Sd_r_t_T_FH_CF_w_ch,C06_Sd_r_t_T_FH_One_PFam,C06_Sd_r_t_T_FH_oth_fa,C06_Sd_r_t_T_FH_Tot,C06_Sd_r_t_T_LP_H,C06_Sd_r_t_T_GH,C06_Sd_r_t_T_OH,C06_Sd_r_t_T_Tot,C06_F_u_a_1_2_FH_CF_no_ch,C06_F_u_a_1_2_FH_CF_w_ch,C06_F_u_a_1_2_FH_One_PFam,C06_F_u_a_1_2_FH_oth_fa,C06_F_u_a_1_2_FH_Tot,C06_F_u_a_1_2_LP_H,C06_F_u_a_1_2_GH,C06_F_u_a_1_2_OH,C06_F_u_a_1_2_Tot,C06_F_u_a_3_FH_CF_no_ch,C06_F_u_a_3_FH_CF_w_ch,C06_F_u_a_3_FH_One_PFam,C06_F_u_a_3_FH_oth_fa,C06_F_u_a_3_FH_Tot,C06_F_u_a_3_LP_H,C06_F_u_a_3_GH,C06_F_u_a_3_OH,C06_F_u_a_3_Tot,C06_F_u_a_4m_FH_CF_no_ch,C06_F_u_a_4m_FH_CF_w_ch,C06_F_u_a_4m_FH_One_PFam,C06_F_u_a_4m_FH_oth_fa,C06_F_u_a_4m_FH_Tot,C06_F_u_a_4m_LP_H,C06_F_u_a_4m_GH,C06_F_u_a_4m_OH,C06_F_u_a_4m_Tot,C06_F_u_a_a_h_FH_CF_no_ch,C06_F_u_a_a_h_FH_CF_w_ch
10101,6029,7144,2136,200,15509,4338,381,843,21071,117,72,89,13,291,382,31,44,748,26,18,17,3,64,43,7,6,120,143,90,106,16,355,425,38,50,868,103,36,77,7,223,554,34,90,901,7,0,3,0,10,52,3,6,71,0,0,0,0,0,0,0,0,0,7,0,0,0,7,20,0,0,27,117,36,80,7,240,626,37,96,999,28,6,12,0,46,92,3,81,222,8,6,3,0,17,13,0,17,47,46,52,10,0,108,53,5,8,174,82,64,25,0,171,158,8,106,443,33,36,16,0,85,39,5,31,160,6404,7370,2363,223,16360,5586,469,1126,23541,6661,7174,2304,185,16324,4996,420,697,22437,140,87,85,8,320,432,24,31,807,33,21,19,0,73,69,9,7,158,173,108,104,8,393,501,33,38,965,103,34,55,9,201,528,43,77,849,10,0,3,0,13,54,4,8,79,0,0,0,0,0,0,0,3,3,5,6
10102,3155,5273,1239,103,9770,1814,215,374,12173,250,153,139,14,556,483,36,51,1126,111,77,49,11,248,257,25,29,559,361,230,188,25,804,740,61,80,1685,154,66,94,21,335,812,76,130,1353,92,54,42,14,202,444,33,74,753,35,24,21,5,85,158,13,24,280,9,7,4,0,20,29,0,4,53,290,151,161,40,642,1443,122,232,2439,24,7,11,0,42,44,4,49,139,8,3,3,0,14,6,0,6,26,18,22,8,3,51,25,0,5,81,50,32,22,3,107,75,4,60,246,17,18,7,0,42,30,3,27,102,3873,5704,1617,171,11365,4102,405,773,16645,3674,5889,1358,106,11027,2171,245,609,14052,302,157,149,5,613,535,59,76,1283,98,68,65,14,245,236,31,56,568,400,225,214,19,858,771,90,132,1851,177,97,126,23,423,838,58,181,1500,77,48,41,3,169,324,27,77,597,69,35,37,6,147,249,28,52,476,6,6
10103,1663,1798,514,29,4004,1315,119,408,5846,15,14,9,0,38,59,5,29,131,22,14,0,0,36,29,6,149,220,37,28,9,0,74,88,11,178,351,74,35,28,6,143,257,39,460,899,22,10,3,3,38,21,24,168,251,3,0,0,0,3,0,0,31,34,4,0,3,0,7,15,3,25,50,103,45,34,9,191,293,66,684,1234,10,5,4,3,22,30,6,172,230,0,0,0,0,0,9,0,12,21,13,10,0,0,23,8,0,6,37,23,15,4,3,45,47,6,190,288,11,14,3,0,28,14,6,82,130,1837,1900,564,41,4342,1757,208,1542,7849,1851,1753,556,41,4201,1471,125,668,6465,22,16,7,0,45,66,0,49,160,21,10,8,0,39,18,4,118,179,43,26,15,0,84,84,4,167,339,55,26,12,3,96,224,28,435,783,15,0,0,0,15,24,6,175,220,0,0,0,0,0,0,3,3,6,7,7
10104,7104,5847,2115,125,15191,4218,423,792,20624,250,47,86,6,389,415,27,52,883,234,122,79,5,440,313,33,64,850,484,169,165,11,829,728,60,116,1733,295,96,125,11,527,784,73,518,1902,14,3,3,0,20,24,3,24,71,3,0,3,0,6,0,0,14,20,18,5,9,3,35,59,5,14,113,330,104,140,14,588,867,81,570,2106,189,59,31,3,282,302,11,418,1013,12,10,0,0,22,12,0,12,46,59,46,24,0,129,47,12,12,200,260,115,55,3,433,361,23,442,1259,35,28,7,0,70,44,0,101,215,8213,6263,2482,153,17111,6218,587,2021,25937,8000,6047,2417,149,16613,4693,503,739,22548,299,86,93,11,489,436,24,37,986,131,52,64,4,251,200,21,39,511,430,138,157,15,740,636,45,76,1497,346,112,158,11,627,977,82,132,1818,4,3,4,0,11,18,3,14,46,15,0,0,0,15,11,0,0,26,20,9
10201,12375,17665,5313,362,35715,8098,1131,1338,46282,1414,362,493,51,2320,2293,125,119,4857,491,307,371,32,1201,742,128,99,2170,1905,669,864,83,3521,3035,253,218,7027,679,147,281,33,1140,1795,142,144,3221,108,35,61,15,219,304,39,39,601,120,18,28,9,175,162,32,30,399,54,16,31,3,104,151,6,12,273,961,216,401,60,1638,2412,219,225,4494,295,52,79,9,435,762,39,106,1342,3,3,0,0,6,12,0,0,18,18,15,12,3,48,39,11,7,105,316,70,91,12,489,813,50,113,1465,235,77,53,8,373,424,14,61,872,15792,18697,6722,525,41736,14782,1667,1955,60140,12620,16786,5748,386,35540,9153,1119,2401,48213,1219,358,517,47,2141,2187,118,189,4635,827,453,469,34,1783,1236,148,197,3364,2046,811,986,81,3924,3423,266,386,7999,667,209,311,29,1216,2013,114,233,3576,175,41,75,17,308,323,70,116,817,189,41,48,7,285,246,51,109,691,13,21
10202,11647,14367,5485,369,31868,8253,1047,996,42164,688,250,381,34,1353,1366,102,87,2908,240,145,247,14,646,469,55,44,1214,928,395,628,48,1999,1835,157,131,4122,305,53,155,7,520,1110,54,92,1776,18,4,8,0,30,71,4,26,131,38,11,16,0,65,73,11,34,183,24,18,20,3,65,101,10,12,188,385,86,199,10,680,1355,79,164,2278,269,34,77,8,388,742,43,144,1317,4,0,0,0,4,3,0,3,10,27,16,20,0,63,40,0,9,112,300,50,97,8,455,785,43,156,1439,103,42,33,3,181,313,8,44,546,13363,14940,6442,438,35183,12541,1334,1491,50549,12324,14833,6348,334,33839,9210,1197,1295,45541,675,245,386,31,1337,1532,90,109,3068,313,173,242,18,746,472,58,77,1353,988,418,628,49,2083,2004,148,186,4421,349,89,159,16,613,1384,53,98,2148,36,13,33,5,87,137,10,29,263,77,21,16,0,114,106,18,69,307,3,4
10301,3172,4471,1283,116,9042,2079,355,387,11863,101,59,87,7,254,292,57,41,644,18,24,32,4,78,45,33,26,182,119,83,119,11,332,337,90,67,826,122,35,76,19,252,695,110,62,1119,0,5,7,0,12,27,3,8,50,0,0,0,0,0,0,0,0,0,0,4,3,0,7,26,0,5,38,122,44,86,19,271,748,113,75,1207,10,3,3,0,16,27,3,36,82,3,0,3,0,6,4,0,6,16,23,19,8,0,50,52,18,16,136,36,22,14,0,72,83,21,58,234,19,19,6,0,44,21,0,15,80,3468,4639,1508,146,9761,3268,579,602,14210,3565,4424,1349,108,9446,2537,398,416,12797,137,65,96,12,310,371,71,38,790,24,20,27,3,74,40,34,19,167,161,85,123,15,384,411,105,57,957,117,28,71,21,237,534,123,41,935,3,4,7,3,17,28,3,6,54,0,0,0,0,0,0,0,0,0,5,0
10302,5765,6667,1961,183,14576,4355,330,430,19691,41,13,38,3,95,217,14,17,343,11,0,3,0,14,6,3,3,26,52,13,41,3,109,223,17,20,369,99,26,79,11,215,713,41,45,1014,3,0,0,3,6,22,0,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,3,20,0,0,23,105,26,79,14,224,755,41,45,1065,24,10,7,0,41,99,3,146,289,3,3,0,0,6,5,0,4,15,48,47,8,3,106,45,6,10,167,75,60,15,3,153,149,9,160,471,20,33,9,0,62,29,3,27,121,6017,6799,2105,203,15124,5511,400,682,21717,6087,5998,2114,173,14372,4708,368,453,19901,75,39,23,4,141,270,8,20,439,8,3,4,0,15,19,0,0,34,83,42,27,4,156,289,8,20,473,115,33,57,4,209,684,26,58,977,3,0,0,0,3,12,0,0,15,0,0,0,0,0,0,0,0,0,3,3
10303,3996,4917,1546,150,10609,3122,284,485,14500,73,46,74,4,197,256,21,26,500,12,11,16,0,39,41,6,7,93,85,57,90,4,236,297,27,33,593,75,26,48,8,157,369,12,34,572,4,0,0,0,4,12,3,3,22,0,0,0,0,0,0,0,0,0,4,3,0,0,7,9,3,3,22,83,29,48,8,168,390,18,40,616,24,15,13,3,55,131,8,82,276,0,3,3,0,6,3,0,6,15,35,29,12,3,79,43,10,10,142,59,47,28,6,140,177,18,98,433,26,33,12,0,71,55,4,28,158,4249,5083,1724,168,11224,4041,351,684,16300,4465,4574,1578,143,10760,3592,297,654,15303,92,49,85,6,232,313,21,29,595,6,3,11,0,20,33,7,3,63,98,52,96,6,252,346,28,32,658,50,24,36,6,116,334,15,34,499,7,5,10,0,22,23,0,3,48,0,0,0,0,0,0,0,0,0,0,0
10304,4256,6011,1810,157,12234,3070,371,326,16001,119,75,100,8,302,461,33,35,831,12,11,16,3,42,49,11,7,109,131,86,116,11,344,510,44,42,940,101,32,69,5,207,598,40,82,927,5,0,3,3,11,35,5,0,51,0,0,0,0,0,0,0,0,0,6,0,5,0,11,37,4,3,55,112,32,77,8,229,670,49,85,1033,11,4,5,3,23,52,0,32,107,0,3,0,0,3,3,0,0,6,22,29,9,0,60,47,10,21,138,33,36,14,3,86,102,10,53,251,24,25,4,0,53,46,5,19,123,4556,6190,2021,179,12946,4398,479,525,18348,4701,5803,1920,159,12583,3580,386,536,17085,78,32,47,8,165,229,26,29,449,8,7,11,0,26,25,10,5,66,86,39,58,8,191,254,36,34,515,131,50,91,8,280,715,65,96,1156,3,3,3,3,12,23,3,0,38,9,3,3,3,18,39,5,14,76,6,0
