SA4_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
101,2092,1303,5265,35147,49475,24518,18822,32455,19660,180076
102,4363,2462,10278,56414,70415,33906,27056,57006,22510,267307
103,2299,1062,5075,31161,41613,20801,18024,33323,20324,165251
104,1740,962,4052,20288,29523,15488,13018,22245,11858,112427
105,1319,559,2741,16114,22003,10650,9349,20802,12228,91150
106,2398,1077,5219,40368,54660,27759,24045,43091,20220,210150
107,3393,1350,7332,52625,63073,30086,22922,53196,17828,239730
108,3421,1816,7749,29888,44458,24987,21013,37674,19474,177488
109,1485,739,3208,18433,23972,11817,9448,19964,10718,94353
110,1848,962,4248,27241,36683,18389,15719,30172,17723,145922
111,3823,2578,9928,66145,81499,37986,27865,60884,21316,295691
112,3481,1949,8042,38410,52489,26518,20273,38575,22252,198521
113,1725,909,3951,24558,31225,15207,12738,26575,14549,124846
114,1881,1103,4588,22526,32210,17355,13936,23725,12920,122671
115,1677,823,4003,44280,49553,24162,18251,35319,9226,180785
116,2035,492,3575,56068,62022,26763,24287,73968,19213,262316
117,1532,776,3426,84219,66045,17420,10183,72585,34846,285297
118,2773,1238,6342,65949,55566,18870,12004,49576,24319,226282
119,6771,2084,13419,100207,100300,44449,38602,145999,34776,464334
120,3294,728,6153,63583,63432,24004,16192,60858,18999,247072
121,4261,1553,10139,89461,93828,39846,26524,60724,20008,330375
122,2838,1420,6945,53918,57932,24645,15787,36800,13934,203023
123,1371,863,3174,45148,51745,23273,19882,48751,15274,204085
124,2316,697,4571,54861,66450,29305,23705,51994,18469,244791
125,4009,1158,7583,74717,77273,34117,30906,112523,30384,359916
126,2411,634,4930,37386,39316,17665,12256,36707,7894,151220
127,3328,682,5545,64216,63310,28124,27291,112055,25580,320571
128,3060,680,5949,44323,49492,22186,15381,35384,9566,176329
197,5,0,10,23,36,19,40,163,93,374
199,41,26,78,1976,1606,620,412,3500,3428,11545
