SA4_CODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
121,9124,9051,4413,2729,3865,2545,1415,33148,2400,2686,1552,915,1308,717,361,9930,2762,2795,1395,829,1140,672,333,9930,7308,8471,5052,3181,4331,2388,1368,32099,75,64,33,19,30,6,6,236,21668,23068,12450,7677,10674,6322,3484,85342,424,847,685,529,864,630,376,4344,168,276,216,188,282,161,89,1384,142,286,186,161,219,137,66,1188,301,757,600,459,705,429,256,3507,27,39,25,17,22,10,10,140,1062,2200,1707,1354,2083,1364,800,10563,22726,25265,14151,9030,12758,7689,4285,95902
122,3388,3846,1972,1245,1731,852,427,13467,2003,2203,1207,691,875,363,170,7514,2040,2116,1057,536,805,386,197,7136,6523,7293,4070,2613,3277,1484,714,25972,27,43,30,13,19,10,3,150,13984,15505,8343,5103,6705,3100,1516,54239,133,289,209,153,282,138,92,1296,152,326,206,148,207,96,62,1200,97,220,161,116,193,83,44,912,365,722,570,415,648,268,148,3133,28,43,21,11,16,3,4,125,772,1600,1160,837,1343,594,353,6661,14752,17103,9505,5938,8050,3691,1861,60901
123,4170,4272,2243,1552,2145,1335,704,16421,1334,1312,796,495,609,220,104,4878,1134,1076,544,367,456,156,84,3814,8417,8105,4505,2838,3363,1198,575,29005,78,120,62,53,22,15,3,364,15139,14892,8149,5313,6602,2927,1464,54487,343,509,373,289,423,244,149,2337,338,444,290,219,274,90,50,1707,189,240,172,126,159,60,27,972,2071,2630,1561,977,1228,309,136,8918,159,151,67,46,26,8,6,465,3107,3975,2461,1657,2120,703,374,14394,18244,18870,10610,6966,8723,3630,1839,68880
124,2465,2542,1391,878,1339,746,413,9778,1513,1571,888,581,806,320,143,5820,1214,1261,658,406,590,223,114,4464,10992,10516,5846,3632,4613,1548,644,37787,108,91,38,23,33,6,0,298,16289,15983,8819,5524,7375,2843,1314,58154,243,324,267,180,313,133,93,1549,330,473,306,217,301,88,46,1760,192,310,220,154,190,79,36,1172,2454,2974,1755,1247,1540,442,193,10613,150,116,55,38,38,5,3,405,3360,4208,2594,1834,2382,748,370,15497,19650,20188,11415,7358,9753,3588,1689,73647
125,18280,14982,7030,4331,6229,4752,2542,58149,2728,2538,1324,787,849,384,184,8809,2160,1835,812,474,513,281,116,6191,5710,4957,2493,1483,1776,922,393,17736,158,169,77,40,34,14,10,505,29038,24486,11735,7124,9407,6358,3244,91398,1193,1685,1209,931,1474,1028,695,8214,494,578,332,211,264,112,49,2046,236,323,197,145,183,73,44,1207,951,1109,689,435,574,220,115,4112,144,137,87,50,64,22,11,513,3018,3839,2508,1777,2558,1460,919,16086,32060,28327,14250,8893,11970,7818,4159,107476
126,5010,4255,1970,1265,1982,1551,920,16947,807,939,551,293,411,223,113,3340,989,946,465,248,372,235,99,3357,2719,3114,1907,1199,1594,1005,540,12074,44,21,9,14,10,4,3,103,9571,9279,4895,3014,4366,3018,1678,35817,298,454,298,249,353,341,220,2218,51,117,77,66,104,55,31,507,51,103,52,48,89,52,34,426,175,339,220,167,240,139,93,1383,15,16,14,3,7,3,3,50,592,1031,654,532,793,593,381,4580,10165,10303,5555,3544,5161,3606,2058,40399
127,11762,12787,7685,5240,7430,5390,2960,53263,2230,1839,1050,663,852,378,169,7187,1955,1578,769,408,524,251,123,5609,6133,5278,2856,1802,2312,944,408,19728,172,186,119,71,60,20,8,630,22255,21668,12474,8193,11187,6983,3674,86426,1772,2687,1891,1375,2020,1351,754,11850,537,625,369,228,309,114,56,2241,350,432,243,158,205,84,36,1516,1320,1486,888,632,798,218,116,5459,255,245,155,120,104,48,22,943,4226,5470,3540,2521,3439,1824,987,22007,26481,27138,16014,10709,14618,8808,4655,108428
128,1487,1401,788,545,847,599,323,5992,1247,1272,753,466,609,296,146,4789,1266,1185,617,369,505,275,148,4357,7956,8237,4548,2930,3720,1911,940,30240,33,39,11,23,15,4,0,131,11984,12135,6718,4325,5700,3090,1557,45509,93,157,121,107,156,107,68,806,161,237,164,113,146,79,48,950,89,191,121,95,146,58,23,717,563,928,744,536,761,319,184,4046,38,45,22,16,19,4,0,154,945,1560,1172,873,1231,564,324,6667,12935,13694,7897,5201,6930,3652,1873,52178
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
