SA4_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,20951,15200,6902,2622,108862
102,26191,19634,10777,5143,155541
103,15989,11675,5656,2049,94905
104,13593,9496,4694,1965,65577
105,8361,5377,2744,1112,49615
106,19719,14050,6507,2399,119550
107,23213,14965,7723,3189,143053
108,20599,17277,9029,3810,101308
109,9326,6505,3442,1314,52776
110,14320,10075,4968,1743,81332
111,29027,19961,10398,5139,177661
112,24360,16344,7992,3725,119152
113,11365,7194,3739,1558,68893
114,14425,12869,6567,2422,74787
115,19977,12465,4928,2197,119030
116,18753,9810,3778,1246,148750
117,17876,9994,4290,1580,205159
118,18947,13437,6562,3362,164327
119,31561,18319,10053,5158,259934
120,21049,12119,5171,2360,168461
121,35301,24740,12471,6013,244299
122,21014,14700,7704,3862,141119
123,16904,9653,3742,1568,114410
124,23054,14181,5802,1988,142630
125,23334,13424,6756,2994,211214
126,14531,8939,4687,2650,104102
127,19365,10498,4555,1547,150970
128,18931,11779,5855,2932,114699
197,43,60,25,3,212
199,1142,722,150,41,7741
