SA4_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
101,89016,91060,180076,36906,22584,59489,10718,21150,31861,2828,3156,5979,2748,2232,4985,53201,49121,102324,28845,34841,63685,5.2,4.5,4.9,59.8,53.9,56.8,56.7,51.5,54,3102,2924,6029,1313,2411,3724,7802,11853,19657,6321,9424,15744,23651,10555,34206,823,1641,2464,1436,2837,4271,25915,15030,40940,83433,84325,167758,14215,14812,29026,57433,57438,114863,36001,37937,73946
102,127602,139707,267307,53462,29325,82786,15180,34046,49224,3448,4145,7589,5247,4850,10105,77335,72363,149701,42632,58761,101390,6.8,6.7,6.8,60.6,51.8,56,56.5,48.3,52.2,3153,3239,6391,1248,2350,3600,11083,16325,27408,9583,15087,24672,36265,18292,54557,1203,2478,3687,2439,4450,6888,39916,25215,65133,123670,131278,254948,20819,22709,43534,82070,86779,168850,56759,61990,118746
103,81605,83644,165251,34717,18700,53418,8127,19509,27636,2449,2777,5231,3164,2540,5707,48461,43531,91992,26097,33066,59168,6.5,5.8,6.2,59.4,52,55.7,55.5,49,52.2,1549,1730,3284,767,1557,2327,5595,9882,15484,4447,7618,12063,21764,10365,32125,891,1789,2679,1359,2595,3951,24013,14744,38752,77009,78303,155311,13021,13855,26881,52581,52442,105020,32790,35274,68058
104,54349,58077,112427,17697,10439,28134,7261,13664,20928,1428,1585,3017,2506,1957,4464,28892,27647,56542,21275,26127,47405,8.7,7.1,7.9,53.2,47.6,50.3,48.5,44.2,46.3,1014,1124,2136,608,1059,1664,4333,6827,11166,3476,5949,9418,14947,7399,22352,628,1212,1842,1010,1942,2952,16580,10555,27142,50451,52851,103301,9338,10140,19481,34321,35405,69725,23111,25452,48566
105,44921,46226,91150,18829,11596,30431,4052,9351,13402,1393,1486,2876,2002,1519,3527,26277,23962,50234,14312,17997,32310,7.6,6.3,7,58.5,51.8,55.1,54,48.5,51.2,575,801,1369,331,702,1032,2490,5053,7546,2059,3717,5777,11015,5584,16601,460,967,1431,666,1163,1827,12142,7710,19859,42182,42949,85135,6760,7418,14176,29914,29989,59905,16390,17855,34247
106,103276,106875,210150,44650,22324,66980,11300,26304,37609,3080,3299,6378,4580,4078,8665,63615,56012,119628,32597,43731,76329,7.2,7.3,7.2,61.6,52.4,56.9,57.2,48.6,52.8,1682,1791,3476,754,1516,2271,6165,10381,16544,6584,10132,16715,32620,15652,48274,1029,2351,3375,1701,3291,4992,35344,21293,56637,99722,101790,201513,17493,18530,36023,65964,66396,132360,45547,48581,94129
107,116898,122829,239730,49134,26338,75471,13965,30976,44937,3239,3679,6923,5088,4303,9391,71421,65297,136719,39043,50874,89924,7.1,6.6,6.9,61.1,53.2,57,56.7,49.7,53.1,4916,4956,9877,1461,2808,4276,12617,16566,29182,9109,12658,21770,31768,14495,46264,986,2098,3084,2042,3978,6021,34799,20573,55370,114038,118071,232111,18389,18926,37308,79512,82212,161719,47657,49697,97359
108,85557,91932,177488,24853,14761,39615,10112,19477,29594,2458,2489,4950,3666,2860,6524,41099,39586,80684,38003,45641,83637,8.9,7.2,8.1,48,43.1,45.5,43.7,40,41.8,1378,1428,2803,772,1500,2266,5720,8664,14391,5159,9093,14254,24541,11686,36226,971,1898,2871,1683,3321,5004,27194,16914,44104,78938,83442,162381,13871,14995,28870,53282,55720,109000,35845,39171,75023
109,46131,48220,94353,19710,10245,29955,4923,12079,16996,1485,1658,3146,1643,1395,3041,27764,25375,53140,14374,18804,33181,5.9,5.5,5.7,60.2,52.6,56.3,56.6,49.7,53.1,692,922,1614,436,967,1408,3102,5487,8587,2792,4464,7258,12278,6038,18316,424,904,1327,697,1207,1910,13401,8151,21550,43300,44205,87507,7558,8235,15789,30074,30194,60269,18373,20114,38486
110,71154,74766,145922,30033,17113,47151,7665,16552,24215,2148,2464,4618,2769,2456,5223,42615,38593,81209,22167,29556,51727,6.5,6.4,6.4,59.9,51.6,55.7,56,48.3,52.1,1711,1782,3491,619,1373,1993,4809,8584,13393,3725,6671,10394,17166,8980,26145,757,1489,2249,1125,2193,3318,19040,12669,31708,66900,68939,135841,12067,13140,25210,46008,46716,92728,28781,31348,60125
