SA4_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
111,37578,74431,560,3072,3751,17132,1199,5342,21006,81447,26518,106994,2004,8184,3233,10870,7969,24946,13212,43992,39725,150988,236,1021,1103,3843,564,1999,6373,17194,8274,24064,621,1960,1692,3723,6518,13870,8828,19555,17101,43616,1501,3087,95901,272126
112,26928,53424,346,1864,2304,10704,685,3036,12086,47464,15420,63074,929,3771,1859,5999,4382,13576,7163,23344,22588,86420,144,653,848,2951,391,1391,4738,12567,6115,17562,418,1290,1237,2677,4115,8654,5768,12619,11888,30184,862,1807,62258,171835
113,16142,31865,331,1847,1754,8125,568,2628,8908,36018,11559,48613,636,2554,1107,3470,2890,9088,4635,15111,16193,63727,86,399,472,1726,268,1015,2732,7742,3557,10876,192,573,465,995,2134,4566,2794,6133,6351,17013,586,1235,39273,113836
114,19229,37985,272,1522,1333,6133,475,2167,7319,28960,9398,38774,589,2409,1026,3253,2890,8966,4503,14629,13898,53408,90,383,442,1577,266,944,2451,6778,3245,9695,220,675,561,1207,2304,4863,3082,6745,6328,16439,421,874,39882,108705
115,18818,37609,615,3516,4074,18707,811,3725,17438,69432,22940,95383,2714,11488,3875,13712,7533,24594,14123,49790,37064,145171,87,365,495,1737,190,625,1843,4937,2614,7670,414,1329,794,1889,2625,5841,3829,9064,6440,16729,522,1115,62850,200625
116,22131,45144,1033,6114,4851,23407,1489,7172,26282,103441,33656,140128,2998,13041,3743,13229,9149,30551,15889,56820,49547,196950,325,1654,1155,4546,763,2964,5690,16602,7943,25776,803,2723,1326,3092,5992,13729,8123,19542,16065,45317,1460,3213,89208,290627
117,35920,70740,133,741,1266,5616,273,1202,13507,48204,15189,55767,751,3124,1580,5199,3080,9802,5404,18124,20590,73892,61,264,354,1198,194,667,2638,6424,3241,8552,273,851,1130,2452,3410,7282,4814,10581,8052,19141,2406,5107,66970,168875
118,25640,50400,193,982,2372,10593,270,1153,16562,61895,19395,74631,1301,5188,2691,9165,3922,12191,7906,26548,27306,101175,48,208,417,1332,143,449,2716,6611,3320,8597,333,1012,1175,2606,3183,6714,4690,10329,8011,18932,1596,3343,62552,173840
119,44946,91274,1413,8361,7069,34325,1753,8288,38057,149670,48289,200645,4573,19942,6406,22661,15552,51364,26528,93963,74823,294607,359,1785,1514,5654,713,2631,7157,20005,9750,30073,1292,4346,2799,6632,10777,24168,14873,35142,24621,65211,3301,7236,147685,458331
120,28385,56648,271,1468,2700,12074,381,1643,20147,74734,23500,89925,1797,7554,3332,11533,5848,18790,10975,37872,34482,127801,41,171,525,1740,158,501,3050,7576,3773,9989,438,1396,1552,3521,4244,9217,6234,14131,10003,24119,1813,3872,74687,212442
