SA4_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
101,0,16,0,16,..,269,9,276,0,283,..,190,22,209,7,213,..,35,3,37,0,42,..,68,11,76,3,80,..,35,3,39,0,40,..,82,16,101,0,101,..,783,128,914,30,941,..,5513,668,6182,117,6296,..,308,23,334,8392,8726,94095,5821,694,6518,8509,109123,95256,..,..,..,..,95256,..,69,3,71,0,71,..,178,39,218,6,226,..,33,3,35,0,35,..,111,39,153,0,154,..,246,72,320,7,323,..,16,3,19,0,19,..,376,118,492,12,498,..,192,22,221,3,220,..,179,3,177,3,182,..,172,11,178,3,182,..,441,10,452,8,463,..,180,36,212,0,215,..,92,13,106,0,106,..,156,8,170,0,170,..,198,39,235,6,236,..,56,4,56,0,61,..,59,9,70,0,67,..,143,11,158,0,158,..,704,87,789,8,801,..,444,47,493,7,506,..,59,3,63,3,67,..,48,26,81
102,3,56,0,56,..,447,23,474,4,476,..,644,70,707,8,719,..,57,0,57,0,57,..,133,31,168,4,167,..,53,6,65,0,65,..,129,32,159,0,164,..,1467,241,1709,42,1752,..,7663,1036,8692,120,8810,..,451,38,491,8519,9007,140949,8111,1073,9182,8637,158768,148827,..,..,..,..,148827,..,205,3,213,0,215,..,214,30,241,0,244,..,26,5,29,0,29,..,295,133,427,0,430,..,627,264,892,11,899,..,29,15,41,0,41,..,948,418,1360,12,1371,..,111,3,109,3,114,..,230,3,237,3,239,..,361,16,378,0,377,..,468,18,481,8,488,..,290,55,347,11,361,..,36,0,37,0,37,..,158,12,166,0,166,..,100,21,119,0,117,..,40,0,37,0,37,..,53,5,50,0,50,..,111,14,132,0,131,..,494,52,550,3,550,..,494,45,542,6,548,..,229,23,252,0,252,..,231,90,325
103,0,18,0,16,..,219,3,220,11,231,..,91,10,103,3,105,..,50,6,54,0,54,..,47,16,62,0,58,..,17,0,13,0,13,..,73,16,91,4,91,..,676,132,809,21,829,..,3025,441,3463,73,3537,..,260,14,275,9556,9834,89329,3286,454,3742,9627,102700,91275,..,..,..,..,91275,..,88,5,98,0,98,..,113,24,135,4,138,..,67,3,74,4,70,..,106,59,164,4,166,..,150,61,209,0,213,..,8,9,13,0,13,..,260,127,388,7,392,..,53,8,61,3,60,..,67,0,71,3,73,..,74,8,79,0,79,..,179,5,184,0,184,..,76,8,83,3,83,..,38,6,48,0,48,..,77,0,81,0,80,..,83,20,101,0,99,..,27,0,27,0,27,..,38,3,42,0,43,..,104,12,117,3,120,..,366,43,411,6,418,..,151,24,181,0,186,..,57,3,56,0,56,..,40,20,55
104,3,13,0,13,..,88,4,94,3,95,..,134,17,149,0,149,..,21,0,21,0,21,..,37,3,46,0,46,..,3,0,3,0,3,..,20,11,31,0,31,..,582,241,819,19,837,..,2619,542,3163,58,3221,..,171,15,185,4811,4993,58373,2790,552,3345,4868,66583,61086,..,..,..,..,61086,..,45,3,46,0,46,..,68,9,82,0,82,..,53,0,53,3,56,..,61,24,90,4,88,..,108,61,168,3,172,..,14,3,14,3,19,..,185,87,271,9,279,..,10,0,9,0,9,..,113,4,114,4,120,..,122,3,131,3,132,..,253,8,252,5,264,..,41,5,38,6,45,..,6,0,6,0,6,..,50,0,51,0,51,..,506,132,637,9,646,..,7,0,13,0,13,..,12,4,18,0,20,..,28,4,34,0,37,..,611,142,753,12,763,..,110,3,117,7,124,..,70,9,78,0,77,..,17,7,25
105,0,12,0,12,..,143,5,148,0,149,..,28,6,37,0,37,..,37,3,42,0,41,..,11,3,16,0,16,..,7,0,7,0,8,..,27,6,34,0,34,..,333,48,384,4,390,..,1707,193,1904,27,1930,..,162,11,168,5806,5976,48570,1870,205,2075,5831,56474,49888,..,..,..,..,49888,..,56,0,56,0,56,..,54,4,55,3,59,..,77,8,86,9,88,..,49,22,77,0,77,..,101,22,121,4,124,..,3,0,6,0,6,..,151,47,200,4,204,..,15,4,20,0,20,..,22,0,22,0,22,..,35,0,35,0,35,..,85,0,87,3,90,..,39,7,45,0,48,..,38,8,46,0,46,..,49,4,54,0,54,..,32,3,37,0,39,..,62,9,70,0,69,..,30,15,44,0,44,..,163,14,178,0,174,..,379,46,422,3,425,..,65,5,74,0,72,..,19,4,21,0,18,..,21,10,30
106,0,18,0,18,..,264,3,270,0,271,..,178,18,197,5,198,..,26,6,36,0,36,..,50,19,71,0,74,..,29,0,30,0,30,..,80,26,99,0,104,..,673,156,831,27,861,..,3376,454,3830,77,3902,..,275,22,296,9409,9704,117025,3651,477,4127,9485,130635,119871,..,..,..,..,119871,..,189,6,194,3,190,..,78,13,90,3,96,..,40,3,40,3,44,..,117,54,175,0,175,..,187,79,262,0,266,..,9,4,11,0,12,..,314,143,456,3,456,..,51,6,57,0,57,..,87,5,92,0,92,..,134,10,146,0,146,..,227,4,231,3,237,..,90,13,105,0,103,..,30,9,41,0,40,..,99,7,106,0,109,..,93,8,105,0,105,..,22,0,28,0,23,..,42,3,46,0,46,..,67,5,77,0,77,..,359,38,391,3,400,..,145,14,161,4,165,..,68,4,71,0,68,..,32,18,55
107,10,104,0,107,..,474,31,512,3,518,..,972,134,1104,8,1114,..,119,3,121,0,118,..,165,47,218,0,221,..,528,108,632,3,635,..,477,135,608,0,610,..,2211,523,2732,55,2790,..,17163,3052,20216,259,20468,..,375,49,424,6988,7406,116613,17534,3103,20635,7242,144488,119797,..,..,..,..,119797,..,105,0,108,0,109,..,1155,366,1522,11,1538,..,15,0,15,3,22,..,288,99,395,4,397,..,1135,354,1491,12,1503,..,102,51,153,0,153,..,1530,509,2036,12,2054,..,419,86,504,15,513,..,259,6,264,8,276,..,228,12,237,0,238,..,603,28,626,15,643,..,875,191,1070,24,1087,..,79,5,81,0,81,..,209,14,226,5,226,..,51,7,61,0,61,..,105,9,117,0,117,..,104,18,122,0,122,..,132,4,142,0,142,..,684,52,741,7,746,..,1847,404,2251,51,2305,..,164,19,177,0,183,..,136,62,198
108,0,9,0,9,..,109,4,117,0,117,..,135,16,150,0,150,..,10,0,10,0,10,..,45,3,46,4,53,..,9,0,9,0,9,..,43,9,52,0,52,..,452,68,526,32,553,..,2253,255,2510,69,2576,..,283,17,293,7503,7797,92920,2532,269,2803,7568,103296,98220,..,..,..,..,98220,..,64,0,64,0,67,..,58,0,62,0,62,..,79,4,87,9,90,..,78,35,114,0,119,..,116,43,158,3,161,..,10,3,12,0,11,..,202,83,285,7,291,..,32,0,33,0,33,..,133,0,132,0,132,..,128,6,134,0,141,..,262,6,272,11,278,..,69,7,72,3,76,..,16,0,16,0,16,..,45,6,51,0,53,..,40,3,43,0,43,..,16,3,16,0,16,..,8,0,8,0,8,..,55,6,67,0,67,..,181,15,198,0,202,..,135,8,151,4,153,..,62,7,71,0,71,..,27,16,46
109,0,17,0,17,..,126,7,132,3,136,..,44,3,47,0,47,..,27,0,27,0,34,..,26,5,32,0,32,..,9,0,10,0,8,..,12,10,24,0,24,..,384,85,463,17,487,..,2057,423,2483,47,2530,..,142,11,146,4463,4611,49918,2197,431,2632,4510,57060,51413,..,..,..,..,51413,..,37,0,37,0,42,..,36,9,48,0,46,..,45,3,48,3,52,..,48,12,60,3,63,..,105,54,161,0,160,..,0,0,0,0,0,..,155,66,220,0,220,..,29,7,31,0,31,..,74,0,74,0,73,..,49,0,50,0,50,..,103,10,112,0,116,..,81,9,94,0,90,..,39,7,52,0,52,..,78,3,77,0,81,..,129,20,146,3,152,..,49,3,49,0,49,..,10,6,20,0,20,..,169,148,315,3,317,..,473,193,665,4,671,..,183,26,214,4,216,..,24,7,31,0,31,..,19,5,28
110,0,22,0,22,..,336,8,340,7,351,..,66,3,70,0,66,..,39,11,49,0,51,..,44,7,56,0,56,..,8,3,9,0,15,..,60,21,77,0,77,..,493,103,601,19,615,..,2744,546,3290,54,3343,..,250,18,267,7615,7879,78038,3000,564,3560,7660,89260,81184,..,..,..,..,81184,..,102,0,102,0,107,..,131,42,179,0,178,..,40,3,48,0,47,..,84,29,117,4,118,..,238,106,345,4,354,..,14,8,20,0,20,..,341,143,485,9,491,..,10,0,9,0,9,..,60,0,60,0,59,..,80,7,84,0,87,..,165,4,171,0,170,..,42,4,47,0,48,..,46,3,56,0,56,..,79,4,82,3,87,..,58,12,75,0,75,..,45,0,52,0,53,..,32,3,32,0,32,..,140,10,150,0,149,..,408,37,441,4,446,..,84,5,95,0,92,..,45,11,54,0,55,..,37,27,72
