SA4_CODE_2016,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
101,6,3,0,3,0,3,3,0,4,45,0,67,0,0,0,3,0,5,0,4,3,16,0,32,3,7,0,8,3,3,0,9,0,25,0,51,6,0,0,3,0,10,0,11,0,17,0,38,14,5,3,19,0,10,0,29,4,80,0,159,17,13,3,14,3,37,4,54,8,83,0,233,19,37,0,34,4,71,0,93,11,147,7,424,36,64,10,104,11,206,17,134,20,170,3,783,94,122,12,306,22,390,23,133,27,246,9,1391,184,135,13,584,48,370,27,119,25,142,13,1664,203,102,14,605,45,334,16,73,22,110,3,1535,325,74,15,656,67,294,21,63,22,84,9,1637,913,109,41,1135,158,506,46,78,36,116,6,3134,837,87,37,942,144,200,46,48,19,59,4,2418,711,52,21,639,135,122,16,27,7,37,3,1764,630,26,14,273,55,148,12,12,14,8,0,1188,1378,52,33,713,116,230,23,28
102,13,0,3,3,0,5,0,3,4,57,0,83,4,5,5,8,0,7,0,10,0,22,0,55,0,3,0,3,0,9,0,23,3,35,0,74,0,0,0,3,0,8,0,15,3,25,0,51,3,3,0,12,4,19,0,28,3,114,4,181,3,14,0,21,0,46,0,74,7,105,6,280,23,37,0,37,6,119,14,117,17,212,3,576,36,84,6,131,17,338,23,206,23,276,6,1142,71,162,13,417,30,659,30,261,61,408,14,2128,180,180,16,866,79,800,25,239,51,324,10,2774,243,158,16,1038,79,859,33,162,43,261,6,2893,438,124,24,1156,111,750,28,121,44,197,12,2997,1206,224,52,2530,246,1147,80,172,65,242,11,5978,1247,139,39,2002,227,460,69,75,24,135,6,4430,1040,91,35,1158,133,190,27,50,19,65,5,2815,730,42,17,487,99,354,11,33,17,29,0,1825,1290,72,29,1188,140,366,21,47
103,14,0,4,10,0,4,0,0,0,40,0,73,8,0,3,3,3,0,0,0,0,11,0,34,6,10,0,6,0,9,0,12,3,32,0,71,6,0,0,0,0,7,0,5,3,18,0,44,12,13,0,9,0,17,0,27,5,95,0,178,8,7,0,23,5,39,4,46,7,98,0,245,20,24,6,47,4,85,0,85,11,199,0,487,43,42,15,115,14,203,9,131,22,203,4,798,98,94,17,355,36,409,16,126,46,251,10,1460,199,84,11,600,57,439,11,97,18,152,7,1681,219,75,26,606,65,380,16,67,21,100,9,1588,292,80,10,667,48,337,23,42,23,67,8,1598,794,106,32,1326,130,583,38,65,30,74,15,3186,788,53,30,1017,136,199,30,30,9,37,4,2346,686,30,16,597,95,67,23,15,6,20,3,1551,423,10,9,226,65,149,7,11,8,6,0,924,747,20,18,623,85,146,21,12
104,10,0,0,3,0,3,0,4,0,34,3,59,3,0,0,4,0,6,0,4,0,13,0,35,0,7,0,3,0,0,0,12,3,29,0,49,0,0,0,0,0,3,0,6,3,6,0,16,3,9,0,13,0,3,0,37,6,66,0,133,4,13,0,16,5,25,0,39,3,70,3,176,17,42,0,25,3,76,3,83,11,146,0,410,27,59,0,75,4,154,12,109,11,184,9,651,45,125,10,253,24,317,23,130,30,199,7,1164,123,117,6,378,38,309,13,107,18,154,3,1268,136,77,6,437,34,232,13,96,16,104,4,1161,206,69,7,417,41,184,15,52,11,61,0,1065,488,100,16,710,77,274,25,42,18,68,3,1820,418,45,11,435,46,104,20,23,6,28,6,1157,271,31,6,257,25,45,8,10,5,18,5,686,168,13,7,106,22,87,5,5,5,6,0,420,245,21,5,214,12,49,10,7
105,9,0,0,3,0,4,0,0,0,15,0,35,6,0,0,3,0,6,0,0,0,12,0,24,5,7,0,3,0,7,0,9,0,13,0,35,3,0,0,0,0,0,0,3,0,11,0,17,10,3,0,8,0,10,0,7,3,73,3,112,14,8,0,16,0,22,3,29,3,52,0,141,16,12,3,21,0,51,3,39,7,124,0,286,47,18,0,57,4,113,9,73,13,119,0,459,68,42,8,177,15,215,6,64,16,133,4,755,137,57,7,261,28,175,11,51,7,95,4,834,98,36,6,305,30,188,13,30,21,50,3,785,189,25,4,288,43,178,7,17,13,36,4,800,464,52,17,514,69,219,17,25,14,27,0,1417,444,24,7,430,62,88,25,8,8,15,3,1116,335,11,7,221,50,37,8,5,0,7,0,691,204,3,7,94,25,58,0,6,0,0,0,403,344,9,10,191,33,32,7,13
106,11,0,0,3,3,3,0,7,3,37,3,76,0,0,0,4,0,4,0,0,0,12,0,25,0,7,0,10,0,0,0,12,5,33,0,75,0,4,0,3,0,3,0,14,4,19,0,49,8,9,0,8,0,15,0,32,5,98,3,165,6,21,0,22,0,28,4,71,10,108,3,270,13,25,4,39,3,78,11,103,14,273,0,569,31,58,8,89,14,269,6,168,37,290,4,973,75,107,12,319,34,583,23,195,43,400,6,1796,151,133,25,665,66,701,22,154,32,279,9,2241,226,107,19,857,62,675,20,130,30,176,4,2308,297,98,13,889,85,628,25,109,39,120,3,2312,1006,168,37,1789,178,1094,63,133,66,172,22,4735,964,121,37,1702,176,367,51,59,31,94,7,3599,826,59,26,856,121,154,30,25,11,44,5,2157,575,27,17,344,51,289,9,19,24,27,3,1377,1086,46,50,994,127,305,30,37
107,12,0,4,5,0,3,0,9,6,74,3,106,3,0,0,3,0,3,0,11,3,23,0,44,8,4,0,0,0,13,0,11,0,44,0,79,0,0,0,0,0,7,0,9,0,26,0,49,4,6,0,10,0,18,3,49,4,171,3,261,5,14,3,15,0,42,6,80,12,151,0,326,13,37,3,32,0,106,9,152,17,269,3,643,12,62,0,103,10,258,4,192,30,346,3,1031,49,118,5,322,31,559,11,224,52,429,12,1813,138,152,18,666,54,611,30,192,38,403,10,2302,204,108,11,848,82,681,29,122,24,274,4,2390,320,132,19,1046,89,640,41,123,22,227,3,2666,1012,214,28,2274,219,1132,58,178,55,291,11,5463,1121,126,47,2095,211,471,59,108,33,144,5,4415,931,85,31,1262,162,258,45,69,11,92,0,2948,770,32,25,552,115,364,15,38,32,34,0,1970,1534,103,38,1489,182,414,45,60
108,8,4,0,3,0,7,0,3,0,35,3,61,5,0,0,0,0,3,0,3,0,19,0,36,3,0,0,0,0,3,0,12,0,32,0,54,3,0,0,0,0,5,0,3,0,16,0,25,12,9,0,9,0,9,3,43,0,113,0,204,9,11,0,19,3,37,3,68,8,85,3,242,22,33,0,40,0,90,12,121,13,276,6,606,40,88,8,115,14,238,9,207,42,281,10,1041,97,152,15,349,17,379,28,235,34,416,19,1736,162,146,18,601,50,409,39,163,39,277,10,1912,223,122,9,578,59,319,33,125,38,153,4,1672,282,82,9,552,58,272,22,64,10,104,3,1452,691,129,27,1002,86,376,36,79,25,124,7,2592,572,61,24,709,67,130,25,29,7,48,3,1671,404,28,12,317,45,50,14,15,0,22,0,896,248,4,8,98,19,76,10,3,3,4,3,476,348,37,9,269,32,77,6,14
109,11,0,0,5,0,0,0,0,0,21,0,43,4,0,0,0,0,5,0,0,0,4,0,22,3,3,0,0,0,13,0,4,0,5,0,32,0,0,0,3,0,0,0,0,0,3,0,10,5,0,0,14,0,12,0,18,0,36,0,90,3,4,0,17,4,26,0,40,5,57,0,161,16,15,0,29,9,49,5,41,10,92,0,265,30,30,0,75,6,146,5,69,17,105,0,488,73,58,9,235,21,238,13,71,12,106,4,837,125,49,10,434,34,243,19,58,16,86,11,1081,138,45,8,399,43,195,21,39,15,50,0,946,179,41,5,409,43,155,19,33,7,33,4,925,484,73,20,779,88,211,32,43,11,40,9,1794,414,39,12,498,84,94,14,9,3,25,3,1189,286,22,11,329,36,44,9,8,0,9,0,751,183,10,13,102,17,44,3,3,0,3,0,386,294,22,11,242,25,62,10,6
110,19,0,3,7,0,7,0,0,0,35,6,78,8,3,3,6,0,5,0,6,0,20,0,61,6,0,3,4,0,9,0,10,3,19,0,51,3,3,0,0,0,0,0,4,3,18,3,33,21,9,0,11,3,13,0,28,3,116,0,197,15,10,3,19,3,40,3,41,6,89,0,228,25,24,3,33,3,93,3,64,7,190,3,453,48,42,6,129,13,242,3,110,26,170,3,796,114,87,12,342,17,394,22,130,21,203,6,1357,240,83,15,548,59,400,16,80,24,154,5,1626,229,59,15,576,61,321,21,64,15,86,7,1452,302,64,14,573,73,243,27,38,12,51,6,1400,782,96,26,989,126,359,38,53,18,66,8,2552,666,43,18,658,74,117,22,14,10,33,0,1666,464,20,12,400,45,56,14,3,4,12,0,1045,293,3,9,150,23,92,6,7,5,9,0,598,513,31,9,331,45,81,8,3
