SA4_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
101,966,6816,5207,76178,1647,90817,9,51,12,911,29,1012,1073,74,119,466,26,1758,733,123,48,275,14,1188,1630,483,353,912,32,3407,11854,6377,4882,63496,1528,88142,964,29,173,38,9,1207,424,82,66,566,16,1158,2378,728,548,5745,124,9518,635,156,60,467,12,1330,394,100,50,159,3,710,1399,52,32,68,14,1571,2326,1587,1045,23590,415,28964,1884,619,230,2222,71,5027,183,9,11,15,0,216,325,85,41,172,7,633,946,137,67,173,14,1322,457,152,67,388,16,1083,405,104,66,104,14,691,623,267,231,176,15,1305,734,138,96,345,15,1328,311,52,42,149,3,554,3053,1721,1278,16645,323,23018,413,56,53,77,14,606,268,83,50,39,0,439,352,36,35,158,14,603,143,15,15,19,0,194,85,15,3,0,0,107,219,11,8,7,0,242,498,172,92,668,21,1447,6618,1210,928,2141,146,11047,377,124,89,1887,15101,17577,34824,12695,9360,143350,18615,218843
102,1684,13931,9672,109393,2463,137137,6,81,39,1275,32,1433,2920,203,256,743,42,4166,523,152,79,274,9,1039,2099,658,396,1289,43,4491,24285,12726,8978,94025,2368,142375,1778,106,456,89,38,2460,789,169,129,896,28,2011,2605,951,604,6834,165,11162,1029,331,136,846,15,2357,486,129,55,175,8,854,1861,135,94,149,6,2257,5234,3057,1916,31464,579,42252,2717,1141,406,3859,112,8240,695,11,38,17,3,762,410,168,63,263,6,911,83,24,7,33,0,151,1401,411,210,1210,46,3279,1103,330,221,226,22,1896,1483,803,521,438,27,3270,928,225,141,449,20,1764,697,94,96,206,6,1100,5767,3105,2118,22431,479,33906,258,36,15,83,5,397,1014,187,140,92,11,1441,1069,101,70,377,9,1628,211,44,29,33,4,318,169,40,21,29,0,263,336,13,45,18,3,410,952,276,191,1049,21,2495,10129,2613,1771,3444,200,18158,575,189,147,2249,16527,19680,60471,24662,16940,203827,21832,327736
103,544,4973,3639,82447,1853,93460,3,36,19,1248,30,1337,911,54,60,413,23,1456,205,57,15,86,6,367,957,343,219,790,26,2341,6478,4616,3476,67556,1702,83829,721,19,193,43,35,1003,185,59,32,504,6,791,1124,437,334,5435,141,7467,253,91,32,337,20,730,190,44,17,85,4,346,1029,41,24,43,6,1146,1285,1117,686,23044,426,26550,825,383,164,1835,33,3252,135,11,14,14,0,169,164,58,23,157,11,413,42,17,5,6,0,74,260,108,75,346,7,799,288,115,68,102,12,575,443,230,190,204,4,1074,392,108,53,260,14,818,174,43,41,105,0,360,1759,1213,899,15822,326,20022,92,16,16,29,6,162,300,41,50,23,3,420,204,16,12,130,7,373,114,10,9,20,3,155,38,10,0,7,0,57,193,3,18,6,0,218,260,125,81,576,17,1054,3844,840,513,1641,89,6919,248,75,68,2279,16453,19125,19363,9004,6471,151117,20204,206155
104,557,4239,2997,48608,1036,57433,3,41,14,1004,20,1081,545,74,67,262,13,960,90,24,11,50,0,183,927,284,157,465,15,1843,7161,3952,2878,42294,1100,57386,433,13,133,29,17,626,257,49,41,365,8,723,1127,351,262,4215,79,6036,131,86,18,213,9,459,157,36,19,61,0,273,1269,72,101,84,13,1541,1429,920,580,14237,272,17443,575,277,89,1447,40,2428,56,3,4,13,0,80,46,17,10,73,0,147,20,3,0,9,0,38,160,57,42,193,6,455,226,78,48,73,3,431,373,229,154,127,10,900,295,70,41,150,7,561,135,32,20,67,3,249,1694,1079,761,11527,208,15265,22,3,8,11,0,49,208,43,35,22,0,309,202,18,35,146,6,403,55,8,0,6,0,73,35,12,0,7,0,50,79,3,11,3,3,103,279,90,52,428,4,860,4094,750,596,1376,96,6909,256,78,46,1371,8992,10740,18619,7675,5464,93242,11278,136288
105,225,2139,1472,49475,1147,54466,4,40,13,2884,112,3058,424,22,32,297,8,794,96,13,11,55,0,180,338,114,94,326,4,884,2121,1834,1327,35559,963,41808,438,13,102,22,17,584,86,17,25,265,9,391,474,197,127,3128,66,3991,128,35,25,160,9,357,62,10,6,19,3,102,653,23,11,50,4,737,514,410,316,10954,193,12381,326,165,56,984,22,1546,72,3,4,5,3,80,66,23,11,76,3,176,14,3,0,8,0,29,121,74,29,216,7,451,154,55,46,64,3,322,138,113,78,88,6,417,119,26,27,114,3,295,53,9,13,28,0,101,621,481,366,8119,145,9731,65,7,5,11,0,87,108,12,10,12,5,152,56,10,3,71,11,145,132,11,10,3,3,156,15,8,0,0,0,25,81,5,11,0,4,95,78,40,24,244,0,384,1940,334,231,777,60,3347,120,41,34,1434,10264,11884,8240,3760,2672,86588,12523,113779
106,790,7599,5595,104661,1921,120567,9,57,19,1330,18,1439,1000,67,97,395,10,1566,262,57,24,147,7,494,1230,481,316,968,26,3026,10773,7118,5097,88346,1865,113209,1084,60,312,64,21,1549,316,71,45,557,20,1008,1631,769,484,8354,154,11388,303,132,34,437,11,909,208,59,39,112,4,420,951,70,19,83,13,1135,2208,1436,991,24647,427,29705,881,426,172,2193,51,3720,136,3,16,8,0,160,121,38,16,137,5,316,60,26,5,73,3,174,388,136,81,419,11,1032,570,180,106,176,20,1049,739,408,312,290,20,1773,817,166,111,705,15,1815,213,38,43,149,3,441,2990,2018,1390,21261,353,28007,84,13,11,25,4,143,466,64,68,75,5,684,311,54,21,274,8,669,89,18,9,19,0,139,48,12,3,7,0,75,203,10,17,8,0,241,517,226,122,1165,26,2064,4651,1201,896,2324,112,9190,276,124,78,2548,16911,19943,27415,13618,9658,191852,20867,263416
107,1998,11894,8607,82223,1699,106430,4,100,48,1067,19,1241,4979,116,191,462,51,5803,1616,274,154,490,37,2565,2205,713,460,1474,49,4900,19959,10799,8300,68020,1641,108717,1568,81,332,72,41,2091,593,110,122,687,15,1530,3560,1160,827,5863,165,11574,2118,466,248,1255,61,4144,656,127,57,243,17,1101,2241,84,68,88,23,2500,4013,2343,1730,23667,424,32172,7116,1799,863,5532,215,15522,427,14,23,20,3,487,1288,265,177,348,26,2102,6380,703,375,1313,110,8875,1590,472,238,1165,34,3505,767,177,155,145,27,1268,904,509,359,264,25,2071,1307,251,170,556,27,2317,423,52,63,180,14,728,5484,2855,2152,17671,308,28466,1771,197,113,250,35,2367,484,123,89,39,12,740,2001,272,190,540,42,3055,334,24,21,22,6,404,1225,154,79,82,16,1563,1266,49,53,40,10,1416,1190,352,260,987,27,2813,15962,2526,1933,3350,301,24076,737,144,100,1500,13346,15830,81600,22941,16680,154618,17655,293494
108,687,6467,4459,80880,1958,94448,0,40,32,2164,62,2295,699,72,78,420,13,1287,174,33,21,84,0,313,1310,378,219,570,33,2507,11335,6213,4251,69019,1898,92716,657,14,190,34,22,920,317,92,70,576,12,1070,1516,487,366,5704,137,8207,222,119,32,324,16,714,211,72,20,95,6,405,563,41,31,60,6,705,2029,1287,798,20400,418,24935,788,394,141,1928,52,3309,101,3,9,4,0,114,88,55,24,182,3,354,28,9,4,22,0,58,435,130,76,440,15,1101,223,103,63,123,7,513,519,311,215,179,25,1247,405,90,59,209,14,775,171,29,24,83,0,315,2675,1514,1107,16178,361,21845,47,8,3,17,0,76,283,57,40,39,3,427,283,31,31,180,8,530,85,11,5,11,4,110,31,3,0,8,0,40,129,9,11,7,0,153,400,152,94,606,15,1264,3521,957,687,1758,177,7104,244,95,73,1978,13840,16233,24501,11460,7834,150387,18019,212201
109,384,2634,1889,42504,885,48295,0,25,8,668,32,731,435,29,29,176,10,681,137,35,18,58,0,251,699,193,153,533,20,1596,3653,2542,1784,36383,835,45199,451,17,90,23,15,597,97,29,19,263,7,412,800,344,252,5717,107,7216,178,66,31,205,10,482,125,28,9,64,3,233,760,37,28,28,5,853,730,630,430,12788,202,14778,768,288,126,1755,44,2981,64,0,7,0,0,77,51,25,16,88,3,183,15,3,0,11,0,30,77,38,8,115,4,249,202,42,30,45,8,332,250,143,113,97,3,607,229,58,34,166,5,491,78,15,14,49,0,155,997,642,445,10427,190,12706,78,0,0,21,0,111,135,16,13,13,0,180,112,19,12,104,3,242,138,9,9,6,0,158,21,7,0,0,0,28,60,3,8,7,3,80,135,60,25,288,13,528,2796,407,287,983,60,4539,199,55,27,1358,8398,10045,12445,5036,3515,84421,10380,115803
110,430,3748,2882,76500,1631,85189,11,32,11,2424,76,2549,1065,57,51,529,25,1733,49,32,4,37,0,121,638,218,144,530,11,1541,4697,3395,2524,59020,1504,71142,881,17,102,20,23,1048,184,57,45,405,12,709,874,373,250,6500,120,8112,127,47,14,181,12,380,109,24,13,52,0,198,687,19,19,49,6,784,947,766,541,18260,337,20853,349,203,78,1290,28,1960,227,0,11,4,7,246,82,40,14,161,3,294,9,8,0,3,0,21,111,53,20,157,4,344,266,74,57,90,12,501,297,189,139,160,9,797,161,50,24,158,4,404,110,22,20,81,0,231,1334,919,671,15360,298,18575,52,3,0,13,0,74,275,32,39,26,0,372,125,19,14,128,6,292,121,7,5,3,3,142,22,8,7,5,3,39,159,5,14,0,0,182,225,77,53,487,5,844,3592,583,507,1299,66,6045,186,52,43,2120,14094,16496,15101,6549,4865,137626,17415,181555
