SA4_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
101,55000,4959,3351,604,533,64453,11544,1880,1425,370,116,15337,1813,317,229,72,86,2521,68358,7159,5001,1043,739,82309
102,79953,10326,6375,664,297,97614,12845,4060,2460,419,123,19899,2278,636,418,61,131,3532,95068,15026,9260,1150,545,121048
103,50725,2587,1272,536,434,55557,13689,1537,1051,221,198,16703,1930,195,140,56,158,2489,66348,4324,2466,819,791,74746
104,33576,3157,2463,743,331,40268,6766,1278,1168,490,77,9779,1036,199,187,85,67,1571,41380,4640,3813,1318,467,51614
105,26421,847,1032,421,219,28942,9063,521,868,218,91,10765,1242,43,123,80,45,1535,36730,1421,2022,722,351,41240
106,66109,5954,1478,527,438,74513,12859,2447,890,307,194,16700,1900,327,138,155,162,2681,80868,8736,2512,986,789,93894
107,63960,9748,10242,531,391,84866,10714,3140,3264,327,106,17550,1678,454,529,65,146,2867,76356,13339,14037,920,644,105288
108,51900,5082,3903,1037,418,62343,12614,2620,2273,745,116,18369,1799,331,312,128,71,2630,66319,8031,6484,1907,608,83341
109,29276,2553,806,346,154,33135,7192,1252,599,202,56,9312,1048,180,104,42,25,1395,37520,3985,1514,590,234,43846
110,43608,2165,1311,530,363,47978,13233,1245,1103,323,127,16033,1812,198,177,63,47,2291,58659,3610,2595,907,536,66307
111,90122,11858,7068,472,304,109811,15004,4058,2947,318,61,22381,2235,514,427,56,74,3304,107357,16426,10437,841,438,135506
112,55383,9154,4756,1604,481,71373,10197,3294,2041,990,140,16666,1779,515,367,169,82,2906,67356,12960,7162,2765,701,90951
113,37599,1139,2312,304,225,41574,9905,709,1298,163,62,12147,1425,91,214,45,25,1795,48927,1938,3826,509,310,55512
114,40443,2387,810,609,278,44523,7721,1112,381,447,80,9745,1257,148,88,82,49,1623,49428,3638,1282,1138,404,55891
115,54539,6371,2751,168,201,64025,3142,679,596,93,36,4547,929,130,108,27,49,1245,58616,7182,3450,287,279,69816
116,67710,14174,4055,278,238,86453,9271,1900,1140,115,48,12471,2199,435,232,58,71,2995,79177,16506,5431,457,348,101918
117,10901,23313,71821,846,517,107399,1973,2509,8548,120,78,13230,406,793,2530,80,233,4047,13285,26617,82907,1042,824,124676
118,19765,16815,48716,837,326,86459,1845,1362,6093,95,35,9429,478,439,1900,34,82,2938,22089,18613,56707,960,447,98825
119,80518,22014,46808,841,461,150635,14577,4133,9029,208,93,28052,2731,831,1976,49,127,5712,97827,26983,57813,1095,688,184401
120,30099,18597,41034,950,475,91150,4456,1566,4792,110,59,10994,740,413,1386,51,227,2813,35295,20570,47212,1116,766,104952
121,67103,10906,55930,235,313,134491,3559,804,5147,27,42,9577,1016,239,1304,16,68,2645,71675,11959,62380,281,419,146713
122,46840,6540,24359,352,271,78362,2990,1087,3375,52,47,7558,886,263,761,45,59,2014,50714,7895,28497,455,385,87940
123,60434,7396,1777,161,209,69980,7473,2471,628,89,47,10703,1531,375,90,9,26,2037,69437,10246,2493,264,279,82721
124,76506,8153,3293,190,294,88450,9336,2353,1327,90,76,13184,1829,434,194,27,51,2537,87678,10943,4817,306,422,104168
125,61270,18288,37181,518,414,117673,9442,2954,6044,95,81,18616,2080,710,1599,35,146,4575,72792,21950,44827,650,644,140867
126,30763,7966,16592,109,199,55632,2704,943,2093,18,24,5792,628,235,432,9,48,1349,34097,9149,19125,142,269,62777
127,73685,10159,10023,357,302,94528,11659,2541,3950,158,105,18415,2615,535,623,39,130,3948,87958,13234,14606,555,541,116885
128,44124,8687,13653,253,135,66846,3593,1433,2619,96,21,7759,807,253,438,26,36,1556,48519,10368,16714,367,199,76169
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
