SA4_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
101,22685,20771,7091,539,51089,15782,1495,68358,986,454,419,32,1886,2624,142,4651,620,320,303,33,1277,1124,105,2505,1608,775,721,64,3161,3749,248,7159,491,247,298,27,1053,2088,158,3307,121,84,37,7,251,390,36,683,194,125,61,12,390,548,46,990,4,5,0,0,11,19,0,27,814,463,389,46,1713,3044,244,5001,60,14,15,3,92,199,5,293,109,35,17,0,159,242,9,411,31,32,11,4,80,64,3,143,55,40,21,3,122,75,4,199,258,121,60,6,443,579,19,1043,211,147,52,6,423,294,20,739,25575,22279,8317,661,56832,23443,2031,82309
102,26085,33430,12824,931,73270,19068,2731,95068,2363,676,1061,98,4199,4945,237,9379,1270,849,980,45,3150,2250,251,5647,3625,1520,2046,148,7347,7194,487,15026,1248,472,670,64,2454,3362,247,6059,362,153,190,18,722,701,97,1522,459,182,189,20,849,673,85,1606,7,7,6,0,27,43,3,68,2079,811,1061,99,4054,4777,434,9260,60,9,32,3,105,220,17,338,90,46,70,4,206,318,25,552,5,10,4,0,18,10,0,29,47,56,46,3,153,63,10,228,200,129,146,9,485,614,49,1150,102,70,42,5,231,301,10,545,32097,35964,16124,1193,85380,31956,3712,121048
103,19668,20140,7804,595,48212,16455,1675,66348,617,264,396,32,1309,2169,187,3664,85,50,93,5,235,375,46,660,693,314,489,40,1539,2550,230,4324,282,115,162,32,594,1642,95,2331,6,4,4,0,13,86,4,106,8,0,0,0,14,13,0,21,0,5,0,0,5,3,0,11,302,126,167,32,623,1744,105,2466,24,13,12,0,45,138,0,183,12,15,4,0,30,52,0,85,12,14,5,0,32,24,0,54,144,119,55,12,332,147,13,497,194,159,78,12,433,364,20,819,171,135,47,9,364,407,19,791,21034,20870,8586,683,51176,21517,2050,74746
104,13743,11554,5285,344,30916,9152,1306,41380,605,248,377,21,1248,1506,95,2853,430,241,278,11,968,710,104,1787,1032,491,658,34,2218,2218,198,4640,472,218,427,35,1148,1755,174,3075,78,49,41,3,169,215,30,411,89,22,23,3,127,160,14,307,0,3,0,0,3,8,3,15,631,292,495,38,1453,2134,221,3813,140,25,15,3,178,337,14,533,138,23,30,3,198,327,23,543,33,16,12,0,60,70,3,129,36,19,10,0,61,43,13,108,340,80,71,6,499,768,52,1318,151,81,44,0,273,167,23,467,15897,12494,6542,426,35360,14452,1808,51614
105,10406,9983,5168,462,26021,9765,944,36730,229,111,142,17,509,766,57,1336,18,11,8,3,40,35,7,83,253,122,154,23,548,804,66,1421,332,110,114,14,568,1302,68,1941,8,0,3,0,16,26,3,41,0,0,0,0,0,25,0,28,0,0,0,0,0,3,0,9,347,113,116,16,589,1355,69,2022,40,7,3,0,56,97,9,157,10,5,6,0,17,18,0,38,37,25,5,0,67,98,9,177,107,88,38,6,231,107,12,351,189,125,54,4,369,324,31,722,96,65,32,6,199,149,13,351,11287,10398,5527,520,27729,12392,1121,41240
106,24026,28089,10206,763,63085,15906,1881,80868,1282,501,880,49,2713,3142,189,6045,663,360,410,20,1447,1119,124,2693,1941,859,1292,71,4160,4258,315,8736,247,101,183,24,558,1284,70,1906,65,17,19,0,104,105,6,214,111,16,31,3,166,184,19,366,0,4,7,0,8,13,0,22,426,139,241,26,837,1587,92,2512,103,19,16,3,139,241,16,401,104,14,16,0,139,208,10,363,22,16,4,0,45,21,0,71,42,25,22,0,92,56,5,158,272,74,71,8,419,532,33,986,184,109,61,6,361,415,18,789,26845,29279,11866,865,68864,22691,2337,93894
107,20847,30756,9537,750,61885,12649,1810,76356,1329,617,824,77,2840,2822,237,5903,1697,1371,1189,81,4338,2678,420,7434,3020,1989,2014,159,7182,5502,658,13339,1229,720,806,94,2851,3468,512,6833,622,296,251,44,1216,1462,392,3071,1323,423,267,74,2083,1521,479,4081,3,11,10,0,22,28,3,54,3182,1442,1332,212,6171,6475,1388,14037,47,21,23,8,99,186,14,294,75,10,23,5,120,183,4,300,0,0,0,0,0,4,0,5,60,71,58,3,193,96,30,318,189,100,100,15,407,466,43,920,174,84,47,3,302,295,46,644,27415,34371,13025,1131,75950,25390,3950,105288
108,23434,16936,8204,585,49159,15323,1837,66319,1732,346,657,49,2781,3498,218,6495,433,172,257,16,877,596,59,1535,2165,512,913,63,3665,4095,273,8031,632,192,463,39,1327,2580,172,4075,193,45,120,6,371,545,59,973,439,76,123,8,646,682,88,1417,3,0,0,0,5,11,0,18,1270,315,712,51,2346,3812,319,6484,174,18,22,11,228,401,12,644,288,28,41,10,358,558,29,947,14,5,3,0,23,41,7,71,53,30,41,6,130,101,23,247,529,83,108,22,743,1101,62,1907,170,108,59,0,341,242,20,608,27573,17954,9999,724,56249,24574,2523,83341
109,12012,10828,3958,289,27090,9423,1014,37520,574,266,305,30,1174,2197,182,3553,78,30,35,3,143,253,34,436,652,292,347,30,1318,2447,217,3985,220,73,107,12,416,946,70,1426,11,11,0,0,18,38,0,58,7,0,0,0,4,16,0,29,0,0,0,0,0,3,0,4,237,85,107,11,439,1000,70,1514,45,9,3,0,59,102,9,168,76,16,8,0,97,125,17,245,3,4,0,0,12,10,0,18,47,43,8,3,103,44,11,156,172,68,25,6,269,288,32,590,65,47,20,3,133,97,6,234,13129,11319,4456,341,29250,13257,1337,43846
110,17930,16575,7212,634,42341,14601,1712,58659,490,278,286,34,1094,1778,161,3024,92,38,55,6,194,347,44,583,580,320,346,43,1286,2123,200,3610,273,133,218,26,648,1687,98,2439,12,8,7,0,31,53,8,87,10,3,3,0,13,43,0,56,3,0,0,0,8,0,0,9,304,141,228,29,700,1783,102,2595,72,13,10,0,96,168,5,261,31,13,5,0,46,97,0,144,15,12,4,0,30,24,0,60,103,69,123,11,311,109,22,438,219,105,146,11,479,400,27,907,156,122,51,9,337,187,13,536,19186,17259,7976,721,45145,19101,2056,66307
