SA4_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
101,35,99,556,21,250,491,1442,17,96,52,50,39,6,264,225,669,404,132,100,23,1548,1026,490,665,168,128,33,2508,1041,202,656,47,85,22,2049,2151,228,827,34,188,19,3450,2815,190,966,23,234,18,4248,2353,87,668,10,101,9,3225,556,8,220,3,22,3,818,216,0,66,0,9,4,303,79,0,31,0,4,3,123,29,0,17,0,4,0,53,12,0,3,0,6,0,24,32,0,27,0,9,3,72,166,117,229,47,119,23,706,10742,2195,5378,530,1307,654,20814
102,25,148,391,35,66,322,989,8,135,25,38,11,7,229,54,1364,156,96,89,23,1776,348,658,346,211,264,24,1854,487,305,452,56,97,15,1409,1276,248,672,89,120,20,2423,4781,344,1385,43,108,40,6700,8586,141,1520,21,95,35,10394,3468,9,505,9,33,10,4034,924,10,145,0,7,3,1092,303,4,41,0,4,0,347,113,0,25,0,0,0,139,45,0,13,0,0,0,55,57,0,19,0,4,4,81,251,212,249,63,65,42,891,20722,3583,5941,669,956,551,32423
103,42,152,630,82,324,473,1703,26,135,84,55,32,0,331,430,939,495,111,107,28,2105,1361,639,797,113,116,41,3066,1136,283,694,26,71,15,2223,2388,220,758,32,88,21,3501,3079,182,707,26,79,19,4094,2139,46,340,23,32,9,2586,266,4,51,7,5,0,333,36,7,19,0,4,0,58,9,0,6,0,0,0,15,4,0,4,0,3,0,11,0,0,0,0,0,0,6,13,0,21,0,3,0,35,160,166,231,60,136,34,790,11075,2778,4830,531,1003,636,20854
104,10,55,269,51,55,188,631,8,49,29,17,18,0,122,71,596,231,78,108,14,1100,334,302,370,118,99,18,1242,421,145,403,36,62,4,1072,1325,133,610,36,88,15,2213,2352,151,855,47,93,31,3515,2406,34,591,10,57,22,3126,652,4,121,4,18,3,812,121,0,26,0,4,0,155,36,3,10,0,0,0,44,5,0,5,0,3,0,16,0,0,0,0,3,0,5,13,0,9,0,0,0,25,114,94,117,44,41,21,433,7877,1576,3640,446,653,320,14516
105,28,143,395,75,591,384,1614,12,107,69,140,103,17,443,257,538,440,222,173,36,1660,901,444,616,205,229,25,2428,632,192,453,43,78,15,1409,980,144,410,31,64,13,1649,1145,74,380,13,46,3,1663,713,21,137,3,22,3,896,93,3,23,0,9,0,118,14,0,7,0,0,0,27,6,0,8,0,0,0,14,4,0,3,0,0,0,6,0,0,3,0,0,0,6,4,0,20,0,8,5,30,69,86,186,38,126,31,541,4864,1755,3152,771,1433,530,12503
106,34,143,413,19,202,350,1160,17,143,44,40,13,0,263,194,1082,244,64,86,18,1686,857,762,403,124,130,26,2292,808,295,445,28,94,15,1686,2314,360,725,31,596,28,4048,5507,259,1079,19,193,21,7088,5392,28,684,8,65,18,6196,842,3,146,0,22,3,1014,159,3,47,0,8,0,214,40,7,15,0,7,0,63,13,0,5,0,0,0,21,6,4,3,0,0,0,17,15,0,12,0,5,0,37,216,175,196,47,133,32,798,16419,3253,4465,377,1555,516,26583
107,46,337,353,27,51,232,1045,7,262,22,40,9,5,350,90,2674,160,86,71,42,3120,397,1298,330,112,59,25,2219,465,559,332,54,41,19,1468,1395,402,554,49,66,22,2497,3273,611,941,47,81,26,4977,5755,411,1342,29,100,25,7661,3211,42,488,7,30,8,3793,1176,5,164,7,13,0,1360,364,0,76,3,9,3,452,114,3,25,0,0,0,143,58,0,12,0,0,0,70,45,3,22,0,7,0,77,216,370,195,50,41,40,908,16606,6981,5017,507,573,436,30129
108,28,85,400,25,115,362,1009,9,75,36,42,25,3,196,160,885,362,110,130,19,1668,866,548,592,264,169,25,2465,900,240,572,73,90,18,1891,2288,219,809,56,89,27,3491,3713,180,957,43,91,35,5015,3169,37,641,18,52,13,3935,797,0,135,8,3,3,945,176,0,27,0,3,7,213,31,4,11,0,3,0,52,10,0,6,0,0,0,24,6,0,0,0,3,0,12,18,3,14,0,6,0,45,168,123,187,64,61,41,646,12349,2403,4752,698,845,552,21601
109,34,48,337,53,287,257,1024,49,61,56,54,44,6,270,606,375,425,91,107,18,1616,1470,239,600,67,100,31,2505,840,96,408,24,51,9,1427,1502,94,420,17,52,13,2091,1496,29,278,4,33,5,1838,780,6,117,3,15,3,918,114,0,24,0,4,0,146,14,0,3,0,0,0,18,3,0,3,0,0,0,10,3,0,4,0,0,0,9,0,0,0,0,0,0,0,11,0,19,0,0,0,37,111,61,133,27,111,15,450,7026,1001,2831,340,804,366,12365
110,40,105,609,106,629,639,2124,52,124,78,45,50,14,371,446,629,572,154,187,37,2026,1440,639,765,224,171,50,3283,1089,238,643,57,97,20,2145,2150,270,676,59,100,23,3274,2854,99,734,24,93,25,3818,1791,27,345,3,44,5,2211,329,4,72,0,15,0,419,47,0,23,0,6,0,75,9,0,8,0,0,0,17,6,0,3,0,0,0,11,3,3,0,0,0,0,7,16,0,27,0,3,0,46,153,148,234,32,254,37,862,10418,2285,4790,707,1644,849,20696
