SA4_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
101,256,67,112,4,444,211,32,64,5,318,188,51,240,6,493,105,38,373,11,525,1202,159,565,30,1962,661,233,881,28,1807,3656,424,943,66,5093,2176,783,925,80,3970,2830,1391,892,86,5206,2505,1664,687,76,4923,1380,1535,460,47,3423,1528,1637,389,44,3588,2653,3134,528,56,6375,1591,2418,199,30,4242,998,1764,85,7,2845,625,1188,95,5,1919,1267,2633,92,14,4009,1813,3044,846,34,5741,533,209,223,26,992,26193,22418,8589,667,57863
102,435,83,236,20,775,242,55,107,10,417,207,74,369,20,667,135,51,560,4,749,1481,181,966,61,2694,809,280,1781,62,2928,5539,576,1802,116,8029,2973,1142,1984,182,6272,3425,2128,1983,159,7684,3146,2774,1389,152,7455,1774,2893,1052,69,5788,1925,2997,821,52,5799,3493,5978,1019,104,10590,2065,4430,386,55,6938,1118,2815,163,18,4114,698,1825,148,7,2673,1195,3229,118,13,4556,2051,4450,1629,80,8208,799,342,345,25,1511,33499,36311,16863,1195,87869
103,269,73,103,10,442,202,34,81,14,336,163,71,311,15,553,96,44,420,6,567,1072,178,631,43,1918,548,245,1116,30,1936,3215,487,1142,81,4915,1706,798,1003,107,3620,2229,1460,916,93,4702,2014,1681,642,70,4409,1135,1588,399,33,3156,1304,1598,322,35,3252,2263,3186,431,34,5922,1265,2346,119,32,3761,777,1551,50,7,2385,406,924,67,6,1390,857,1713,45,4,2614,1399,2787,812,41,5038,585,223,279,30,1111,21493,20978,8879,684,52041
104,170,59,80,3,309,115,35,51,3,201,104,49,179,5,340,72,16,286,8,384,953,133,469,33,1585,528,176,896,23,1627,3092,410,926,54,4483,1705,651,907,72,3335,1842,1164,781,70,3849,1660,1268,497,53,3479,853,1161,301,12,2321,930,1065,218,19,2237,1352,1820,242,21,3431,731,1157,72,10,1963,346,686,25,4,1063,183,420,33,0,634,361,585,35,4,980,1048,1689,641,25,3400,332,119,170,15,637,16370,12652,6800,426,36253
105,149,35,65,9,262,83,24,52,8,176,80,35,191,12,315,49,17,284,10,359,586,112,474,37,1207,284,141,698,24,1149,1794,286,682,67,2825,883,459,679,68,2090,1078,755,606,62,2500,1034,834,389,55,2314,573,785,218,29,1606,698,800,193,18,1710,1230,1417,257,37,2945,722,1116,73,12,1922,421,691,34,4,1148,208,403,36,0,640,427,657,33,11,1121,850,1736,535,35,3154,380,149,282,25,841,11538,10463,5786,518,28297
106,313,76,180,9,582,228,25,92,14,360,175,75,343,16,607,101,49,560,11,721,1337,165,867,43,2409,743,270,1473,45,2536,4271,569,1575,103,6507,2316,973,1408,132,4830,2806,1796,1398,117,6109,2508,2241,903,90,5735,1551,2308,667,54,4580,1632,2312,512,42,4500,3064,4735,584,65,8449,1731,3599,214,33,5572,1033,2157,81,23,3290,483,1377,91,4,1956,1026,2725,77,7,3836,1748,3754,1032,45,6582,623,263,299,19,1203,27694,29469,12349,868,70379
107,419,106,180,23,729,273,44,106,21,438,199,79,349,33,661,123,49,447,11,630,1357,261,821,47,2485,792,326,1360,59,2538,4567,643,1500,121,6834,2256,1031,1502,157,4943,2826,1813,1508,152,6296,2440,2302,1105,100,5945,1450,2390,834,65,4743,1585,2666,668,62,4977,2996,5463,899,95,9463,1930,4415,368,61,6768,1170,2948,153,26,4299,677,1970,110,8,2766,1183,3962,148,13,5301,1814,4027,1248,57,7146,574,250,273,21,1118,28632,34748,13577,1136,78091
108,335,61,113,11,516,261,36,79,4,379,189,54,312,12,571,146,25,476,11,651,1662,204,735,45,2642,966,242,1382,43,2635,6131,606,1368,93,8195,2902,1041,1421,128,5488,3327,1736,1124,110,6293,2765,1912,692,68,5441,1289,1672,464,25,3444,1396,1452,346,31,3226,1959,2592,317,37,4903,1045,1671,105,15,2835,478,896,31,3,1410,301,476,64,4,840,619,819,51,7,1496,1731,2368,979,48,5123,742,217,328,28,1308,28224,18091,10374,720,57414
109,169,43,47,3,267,118,22,50,11,192,88,32,148,15,286,59,10,214,0,285,633,90,380,19,1127,342,161,529,22,1046,2018,265,538,33,2856,1076,488,558,42,2168,1484,837,491,45,2854,1332,1081,320,37,2770,739,946,225,25,1940,821,925,161,15,1924,1370,1794,182,21,3369,770,1189,73,6,2034,363,751,19,4,1139,195,386,38,0,616,406,674,29,3,1111,926,1515,408,18,2874,414,141,147,15,718,13324,11353,4548,343,29569
110,256,78,110,16,457,129,61,82,4,279,143,51,309,15,526,72,33,436,14,551,1015,197,616,38,1870,546,228,1033,26,1839,3061,453,1053,80,4650,1615,796,977,99,3483,2005,1357,864,105,4332,1900,1626,567,77,4169,1051,1452,386,32,2924,1220,1400,303,52,2971,2041,2552,275,42,4918,1085,1666,110,17,2875,579,1045,27,10,1653,320,598,56,6,979,664,1048,46,10,1764,1308,2505,738,46,4589,572,214,293,33,1112,19583,17361,8280,725,45946
