SA4_CODE_2016,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
101,100,123,177,245,328,264,86,36,6,1353,2963,3481,7852,9620,11972,8696,2013,251,34,46886,174,327,675,879,1274,1440,1138,364,65,6334,3,25,116,121,135,67,21,3,0,497,296,401,854,837,978,747,169,26,0,4308,14,59,260,310,373,254,29,3,0,1299,451,973,1962,1881,2061,1459,321,24,4,9142,75,110,290,352,420,341,91,7,0,1690,1486,1100,1508,1583,1863,1558,373,44,3,9524,1773,1051,1416,1096,1205,1034,288,29,0,7892,59,141,451,703,957,904,301,35,3,3548,60,95,217,201,265,188,34,4,0,1072,20,81,286,270,352,199,40,5,0,1251,55,113,244,299,319,267,114,16,5,1423,81,273,842,1126,1291,954,347,49,9,4974,82,179,434,583,824,672,188,18,3,2986,108,457,2392,3723,4442,2273,277,17,0,13691,145,335,1143,1687,2001,1650,352,33,0,7346,223,696,1814,2146,3081,2834,491,30,3,11315,155,199,295,305,383,274,103,17,3,1736
102,125,179,350,444,487,389,125,28,10,2132,4653,6099,12270,14210,16178,11715,2199,156,28,67514,38,94,164,187,269,210,104,42,8,1113,8,25,189,234,186,108,13,3,0,762,305,730,1599,2039,2262,1495,268,27,3,8733,12,66,269,394,423,339,39,0,0,1550,769,1780,3683,3623,3276,2159,414,20,5,15724,80,219,574,893,946,569,140,14,0,3437,2145,2291,2797,2573,2905,2210,522,43,9,15491,3287,1863,1726,1329,1287,888,188,28,3,10589,69,178,643,1077,1557,1366,339,25,0,5260,130,207,521,619,699,423,76,10,0,2684,39,236,962,1300,1229,741,136,18,3,4665,60,208,463,546,578,413,157,17,4,2433,102,498,1508,1890,1755,1274,445,38,7,7520,136,399,873,1097,1294,940,231,15,0,4980,75,311,1541,2371,2510,1640,242,10,6,8703,200,641,2125,2365,2667,2287,390,27,3,10708,330,1429,3864,4421,5697,4714,895,44,4,21413,224,282,447,414,370,260,110,14,3,2126
103,94,94,188,233,233,209,106,40,11,1206,2548,3445,7503,8446,9582,7218,1866,319,53,40989,222,392,948,1233,1609,1895,1407,514,89,8318,55,266,1363,1307,1083,494,57,4,4,4617,255,464,1029,1160,1267,853,195,29,0,5252,6,54,203,265,350,224,23,3,0,1128,389,702,1432,1298,1214,954,187,20,0,6195,73,164,366,349,423,330,102,16,0,1824,1343,1200,1642,1397,1510,1116,302,37,8,8549,1428,923,1043,760,811,712,220,20,0,5920,43,144,383,595,939,837,301,41,0,3279,49,105,171,142,153,102,26,4,0,753,21,87,284,273,290,193,50,14,0,1207,28,92,149,203,219,194,68,8,0,969,60,188,596,723,681,527,237,33,0,3041,63,146,385,483,657,494,115,15,0,2363,73,296,1180,1454,1733,1170,182,7,3,6108,134,440,1403,1884,2050,1679,312,20,5,7930,203,809,2242,2285,2865,2491,450,33,8,11381,95,97,138,143,153,138,53,7,0,821
104,50,52,93,152,170,137,60,24,9,734,1696,1778,3978,5202,6565,5356,988,105,17,25696,81,197,536,512,634,605,345,120,17,3041,0,7,53,53,54,52,11,0,0,226,94,208,371,453,578,456,96,13,0,2264,3,12,68,122,146,98,10,0,0,451,190,432,1047,1114,1069,899,162,12,0,4924,48,70,127,214,252,183,35,7,0,929,1003,650,1056,1060,1181,979,206,30,5,6172,1142,669,774,709,748,630,134,14,3,4834,41,77,237,334,522,535,175,8,3,1925,19,41,84,110,129,89,21,0,0,500,10,40,140,169,219,149,38,3,0,761,22,71,109,183,231,155,69,9,3,853,39,108,383,502,517,418,147,13,0,2129,26,78,271,380,521,413,91,5,0,1776,34,117,496,905,999,791,93,0,0,3432,53,184,684,982,1294,1168,188,17,0,4563,101,445,1252,1687,2336,2312,385,19,3,8543,80,70,88,136,161,142,34,6,0,725
105,37,46,106,113,114,114,41,18,10,602,1235,1818,4570,4346,5110,4119,1015,186,48,22440,119,329,824,894,1240,1326,841,319,62,5952,28,146,582,472,444,252,24,6,0,1957,128,202,411,372,344,249,72,10,0,1783,3,21,117,165,159,136,19,0,3,623,168,358,673,589,595,490,107,12,0,2997,40,93,219,205,281,173,52,5,0,1067,643,549,865,737,798,703,176,30,7,4505,684,429,592,423,541,455,132,12,3,3274,22,76,214,274,479,458,189,20,0,1738,23,46,75,59,57,80,9,0,0,355,9,58,150,134,163,80,25,8,0,621,9,30,80,92,90,67,33,0,0,411,31,117,352,325,299,241,85,10,0,1452,24,83,202,248,312,270,75,8,0,1221,34,131,740,823,985,748,133,3,0,3604,63,254,1002,1039,1035,863,162,16,0,4437,103,522,1431,1228,1620,1420,261,13,7,6600,47,39,111,109,113,96,28,7,0,542
106,98,136,254,326,379,244,86,39,7,1565,3593,4829,10347,11231,12227,7933,1552,183,40,51933,101,268,553,588,737,750,523,183,37,3730,70,477,2545,3012,2431,1281,107,3,0,9936,350,662,1567,1594,1829,1208,191,28,9,7436,46,136,310,393,574,327,30,3,0,1813,475,968,2158,2069,2021,1419,292,19,5,9434,75,199,519,474,527,345,72,10,0,2217,1570,1596,2182,2036,2074,1406,292,44,3,11201,2687,1481,1503,1156,1161,817,205,15,0,9025,98,258,678,998,1304,1117,343,27,5,4826,61,82,145,118,146,114,34,0,0,698,27,166,506,519,478,250,60,10,3,2019,48,160,367,349,376,272,84,16,0,1680,85,319,978,1119,964,737,271,36,0,4509,109,322,845,946,1041,692,151,17,0,4120,185,488,1571,1839,1940,1142,152,17,3,7336,123,394,1311,1774,1973,1594,259,27,3,7454,250,923,2463,2704,3389,2758,452,16,0,12952,128,160,223,222,211,146,62,3,0,1162
107,114,169,310,344,374,210,57,26,11,1624,3899,6643,12382,13492,13933,9127,1377,114,23,60992,22,64,83,97,102,123,81,22,7,603,3,83,678,809,612,350,33,0,0,2574,189,581,1221,1693,2337,1391,181,16,0,7607,19,93,289,342,353,240,19,0,0,1349,760,1588,2899,2722,2450,1476,229,19,0,12139,53,205,521,647,630,395,69,10,3,2533,1824,2221,2538,2249,2257,1429,258,37,7,12817,2709,2288,1545,1040,1065,710,140,17,0,9506,86,293,908,1421,1661,1216,263,20,7,5878,59,162,342,389,293,137,21,3,0,1394,41,290,1133,1348,1048,530,89,5,4,4493,56,192,415,433,405,271,86,10,0,1868,134,613,1572,1772,1360,950,256,31,0,6695,113,387,844,956,1070,753,135,8,0,4270,75,471,1977,2572,2504,1497,157,15,0,9269,278,988,2819,3181,3387,2784,443,42,4,13921,313,1527,3994,4152,4635,3476,568,50,9,18725,234,310,365,320,304,219,53,7,0,1823
108,79,71,137,196,229,213,91,38,8,1065,2374,2426,5350,7180,9565,7927,1667,197,24,36723,101,156,297,411,655,801,611,190,28,3259,3,26,86,123,144,82,22,0,0,490,171,321,599,731,886,731,139,22,0,3607,8,36,207,422,469,307,25,0,0,1468,335,639,1482,1570,1832,1404,278,17,4,7562,62,78,161,301,300,234,60,12,0,1211,1259,891,1475,1483,1869,1497,393,30,4,8900,1690,811,1023,950,1121,931,230,25,3,6783,46,99,278,469,808,811,261,30,0,2795,32,41,89,97,128,113,27,3,0,540,10,55,164,281,343,230,51,13,0,1145,46,66,177,242,314,272,79,20,0,1226,37,127,433,606,701,644,251,22,4,2818,56,144,374,529,782,631,166,15,6,2709,34,145,512,921,1204,832,135,13,0,3789,69,248,963,1465,1875,1712,268,16,3,6607,189,680,1830,2441,3521,3451,575,32,4,12736,89,73,113,153,193,173,56,8,0,868
109,61,62,81,139,163,159,66,21,4,746,1556,2014,4284,4717,5586,4596,1066,141,17,23980,164,333,834,944,1202,1292,672,222,49,5704,0,8,42,33,42,29,3,0,0,160,193,367,815,908,990,731,118,4,0,4132,3,27,100,128,166,107,12,0,0,544,253,514,912,820,783,722,144,7,0,4160,36,63,199,242,275,231,69,11,0,1141,830,626,875,812,908,745,192,14,8,5008,920,583,653,538,605,550,163,14,3,4026,36,102,331,411,584,558,256,19,0,2302,30,61,94,81,62,55,13,3,0,396,13,61,170,192,201,115,22,5,3,776,21,53,87,84,104,92,48,8,0,497,42,123,371,390,397,350,125,10,3,1807,23,87,213,282,380,302,92,13,0,1393,30,135,533,762,840,678,90,7,3,3074,76,236,793,947,1056,905,156,14,0,4184,96,410,1267,1277,1587,1489,262,16,0,6411,62,66,75,83,103,70,31,3,0,482
110,73,82,177,210,206,199,110,55,8,1115,2245,2890,6552,7145,8389,6751,1818,298,49,36134,259,601,1468,1664,2254,2375,1593,514,84,10811,22,106,524,429,354,179,14,3,0,1632,225,458,1002,833,795,600,119,30,0,4067,6,39,135,161,210,135,17,3,0,710,270,582,1083,951,1053,916,208,22,0,5089,73,140,381,405,422,316,75,8,3,1823,1228,979,1402,1249,1396,1038,256,35,6,7584,1330,703,811,658,689,640,158,15,0,5008,37,109,397,582,744,783,306,42,4,2990,23,54,107,110,125,126,27,0,0,571,27,93,281,310,279,196,39,6,0,1237,38,75,179,148,192,132,72,13,0,844,75,219,587,656,629,542,174,17,0,2907,64,140,376,448,587,472,128,11,0,2227,45,195,772,1023,1194,889,158,18,3,4300,95,388,1376,1803,2180,1666,354,29,4,7883,196,680,1867,1910,2464,2185,372,22,3,9710,66,58,93,103,125,108,36,10,0,591
