SA4_CODE_2016,Canada_Before_1946,Canada_1946_1955,Canada_1956_1965,Canada_1966_1975,Canada_1976_1985,Canada_1986_1995,Canada_1996_2005,Canada_2006_2010,Canada_2011,Canada_2012,Canada_2013,Canada_2014,Canada_2015,Canada_2016,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1946,China_exc_SARs_Taiwan_46_55,China_exc_SARs_Taiwan_56_65,China_exc_SARs_Taiwan_66_75,China_exc_SARs_Taiwan_76_85,China_exc_SARs_Taiwan_86_95,China_exc_SARs_Taiwan_96_05,China_exc_SARs_Taiwan_06_10,China_exc_SARs_Taiwan_2011,China_exc_SARs_Taiwan_2012,China_exc_SARs_Taiwan_2013,China_exc_SARs_Taiwan_2014,China_exc_SARs_Taiwan_2015,China_exc_SARs_Taiwan_2016,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1946,Croatia_1946_1955,Croatia_1956_1965,Croatia_1966_1975,Croatia_1976_1985,Croatia_1986_1995,Croatia_1996_2005,Croatia_2006_2010,Croatia_2011,Croatia_2012,Croatia_2013,Croatia_2014,Croatia_2015,Croatia_2016,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1946,Egypt_1946_1955,Egypt_1956_1965,Egypt_1966_1975,Egypt_1976_1985,Egypt_1986_1995,Egypt_1996_2005,Egypt_2006_2010,Egypt_2011,Egypt_2012,Egypt_2013,Egypt_2014,Egypt_2015,Egypt_2016,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1946,Fiji_1946_1955,Fiji_1956_1965,Fiji_1966_1975,Fiji_1976_1985,Fiji_1986_1995,Fiji_1996_2005,Fiji_2006_2010,Fiji_2011,Fiji_2012,Fiji_2013,Fiji_2014,Fiji_2015,Fiji_2016,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1946,Germany_1946_1955,Germany_1956_1965,Germany_1966_1975,Germany_1976_1985,Germany_1986_1995,Germany_1996_2005,Germany_2006_2010,Germany_2011,Germany_2012,Germany_2013,Germany_2014,Germany_2015,Germany_2016,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1946,Greece_1946_1955,Greece_1956_1965,Greece_1966_1975,Greece_1976_1985,Greece_1986_1995,Greece_1996_2005,Greece_2006_2010,Greece_2011,Greece_2012,Greece_2013,Greece_2014,Greece_2015,Greece_2016,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1946,Hng_Kng_SAR_China_1946_1955,Hng_Kng_SAR_China_1956_1965,Hng_Kng_SAR_China_1966_1975,Hng_Kng_SAR_China_1976_1985,Hng_Kng_SAR_China_1986_1995,Hng_Kng_SAR_China_1996_2005,Hng_Kng_SAR_China_2006_2010,Hong_Kong_SAR_China_2011,Hong_Kong_SAR_China_2012,Hong_Kong_SAR_China_2013,Hong_Kong_SAR_China_2014,Hong_Kong_SAR_China_2015,Hong_Kong_SAR_China_2016,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1946,India_1946_1955,India_1956_1965,India_1966_1975,India_1976_1985,India_1986_1995,India_1996_2005,India_2006_2010,India_2011,India_2012,India_2013,India_2014,India_2015,India_2016,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1946,Indonesia_1946_1955,Indonesia_1956_1965,Indonesia_1966_1975,Indonesia_1976_1985,Indonesia_1986_1995,Indonesia_1996_2005,Indonesia_2006_2010,Indonesia_2011,Indonesia_2012,Indonesia_2013,Indonesia_2014,Indonesia_2015,Indonesia_2016,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1946,Iran_1946_1955,Iran_1956_1965,Iran_1966_1975,Iran_1976_1985,Iran_1986_1995,Iran_1996_2005,Iran_2006_2010,Iran_2011,Iran_2012,Iran_2013,Iran_2014,Iran_2015,Iran_2016,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1946,Iraq_1946_1955,Iraq_1956_1965,Iraq_1966_1975,Iraq_1976_1985,Iraq_1986_1995,Iraq_1996_2005,Iraq_2006_2010,Iraq_2011,Iraq_2012,Iraq_2013,Iraq_2014,Iraq_2015,Iraq_2016,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1946,Ireland_1946_1955,Ireland_1956_1965,Ireland_1966_1975,Ireland_1976_1985,Ireland_1986_1995,Ireland_1996_2005,Ireland_2006_2010
101,0,0,20,67,49,50,64,51,4,3,14,3,12,4,20,373,11,13,25,8,8,47,109,113,26,8,18,18,22,20,35,474,0,9,99,200,9,22,12,0,0,0,0,0,0,0,20,378,0,14,17,20,6,3,7,11,7,0,0,12,3,6,7,107,0,8,7,17,20,44,45,38,12,5,12,7,0,3,6,220,0,396,336,196,85,76,66,31,0,3,6,3,8,0,50,1267,0,37,118,74,10,7,4,3,3,0,0,0,0,0,15,263,3,0,13,15,14,24,9,12,0,0,0,8,3,0,17,128,3,13,16,50,14,46,114,482,54,64,64,115,85,52,30,1207,0,21,16,12,16,31,31,21,3,7,8,12,20,8,5,197,0,0,0,3,8,11,4,15,0,3,0,3,12,3,6,76,0,0,0,4,3,3,5,6,7,0,0,7,0,0,8,37,0,14,33,98,41,37,31,52
102,0,8,20,89,74,73,136,88,9,18,14,4,12,6,11,562,13,42,79,15,60,204,376,326,56,60,68,61,43,32,70,1498,0,15,75,115,9,14,6,4,0,0,8,0,0,0,13,266,0,72,95,78,21,25,10,15,6,6,4,0,0,3,12,348,0,4,18,42,58,115,45,32,12,10,5,3,4,5,25,379,7,338,252,135,96,73,102,84,9,10,13,7,0,5,45,1171,0,54,135,92,13,3,11,0,0,4,0,0,0,0,10,332,6,5,15,33,41,65,47,15,3,5,3,8,4,0,14,266,3,35,33,127,61,70,169,393,88,104,76,77,66,46,51,1393,3,24,16,23,42,45,75,54,16,8,17,16,18,5,12,384,0,0,0,16,11,23,23,19,10,3,3,0,4,8,0,123,0,0,3,7,3,8,9,8,3,0,3,0,0,6,4,58,5,35,83,259,105,178,131,121
103,3,4,5,26,19,17,30,44,10,3,7,12,4,6,3,192,0,6,32,12,35,50,81,93,23,25,16,28,15,9,50,477,0,7,33,61,3,3,6,0,0,0,0,0,0,0,7,117,0,3,6,8,0,3,11,15,0,8,0,0,0,0,6,65,0,0,6,5,14,45,30,23,5,4,0,5,3,0,17,164,3,239,101,55,40,40,9,12,7,4,0,0,3,0,23,544,0,18,46,30,5,0,3,0,0,0,0,0,0,0,9,112,0,0,9,16,28,19,7,7,0,0,0,6,3,3,14,101,0,9,5,25,8,21,71,249,60,124,53,58,51,32,27,797,0,10,13,4,3,10,14,13,3,10,4,0,4,7,8,102,0,0,0,0,3,4,14,14,10,13,7,0,8,0,7,76,0,0,0,3,0,4,8,30,0,0,3,3,0,0,21,72,0,13,25,53,14,26,38,31
104,3,3,11,46,39,25,29,23,6,7,6,4,3,6,5,214,0,5,14,0,10,23,27,45,14,11,3,12,20,8,10,193,0,7,9,13,0,0,4,0,0,0,0,0,0,0,0,28,0,12,19,9,3,3,5,9,0,3,6,0,4,0,3,69,0,4,13,17,10,18,26,8,3,3,0,9,0,0,5,114,0,152,128,69,79,64,57,26,4,3,0,5,5,7,23,619,0,3,13,11,3,0,0,0,0,0,0,0,0,0,3,34,0,0,15,17,15,18,9,9,0,0,0,6,9,3,8,102,3,29,29,85,55,108,97,385,16,44,86,83,48,39,50,1157,0,11,3,4,9,8,16,10,0,3,4,3,0,0,9,74,0,0,0,0,3,3,0,0,0,4,6,13,0,0,0,46,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,11,0,3,19,51,12,22,35,49
105,0,0,3,5,6,9,3,11,0,0,0,4,0,0,6,57,0,3,9,3,11,29,29,69,12,7,15,6,5,3,21,223,0,6,14,17,0,0,4,0,0,0,0,0,0,0,0,44,0,0,0,0,0,3,4,6,14,0,0,0,0,4,4,41,0,0,0,4,8,18,15,22,8,0,6,0,0,3,4,85,0,72,48,36,18,13,20,15,0,4,0,5,8,3,10,254,0,12,18,8,3,0,0,0,0,0,0,0,0,0,7,52,0,3,0,0,11,5,6,3,0,0,0,0,0,0,4,37,0,3,8,13,7,7,50,193,21,53,53,44,46,31,18,543,0,3,7,0,0,3,5,6,0,0,0,6,0,0,4,48,0,0,0,0,3,0,0,3,0,4,7,3,0,4,0,31,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11,0,0,8,21,3,11,11,16
106,0,7,8,34,30,25,51,57,27,11,12,13,7,4,8,286,0,7,9,14,29,74,62,123,18,15,8,17,12,13,44,440,0,3,47,46,3,4,10,0,0,0,0,0,0,0,3,122,0,18,26,17,3,4,7,13,0,0,0,0,0,0,3,85,0,3,14,11,28,44,27,25,14,6,3,3,3,4,16,200,3,398,186,69,59,45,32,29,13,20,4,10,7,0,41,895,0,20,34,20,5,3,3,0,0,0,0,0,0,0,6,98,0,0,3,26,21,30,9,11,3,0,9,0,3,3,17,136,0,10,14,41,16,37,107,274,42,52,44,31,44,25,30,763,0,9,9,16,5,7,31,21,4,6,4,0,0,3,5,122,0,0,0,0,3,3,0,4,0,3,4,0,0,0,5,22,0,0,0,10,3,3,8,5,0,0,0,0,0,0,3,29,0,9,34,89,24,50,61,51
107,0,3,18,69,50,50,104,91,27,13,18,15,11,8,11,493,0,16,20,14,40,138,375,476,136,195,292,473,560,275,188,3201,0,6,310,308,43,56,243,5,0,0,3,0,0,0,38,1013,0,27,39,43,17,24,22,34,9,4,12,13,8,0,10,264,0,4,12,16,45,71,51,22,3,4,3,8,0,9,3,257,3,529,636,205,71,66,80,36,16,17,5,16,5,8,73,1766,0,122,403,190,33,20,9,4,3,9,0,9,0,0,51,852,0,3,11,18,35,37,47,35,5,9,3,17,15,8,6,251,3,16,18,99,38,85,155,336,61,142,148,131,175,195,49,1643,0,10,11,11,23,31,86,48,11,17,10,25,30,33,7,358,0,3,0,3,32,47,53,70,28,41,72,35,39,15,5,435,0,0,0,3,7,13,40,58,13,42,94,82,26,70,24,460,0,18,73,169,54,84,76,69
108,0,3,29,43,22,40,60,21,4,9,3,12,16,3,12,273,4,14,8,9,11,45,68,66,14,10,13,11,14,16,30,330,0,5,31,37,11,3,3,0,0,0,0,0,0,0,12,89,0,24,33,18,3,4,12,17,5,0,0,0,3,0,4,130,6,8,10,14,19,36,15,15,0,0,0,7,0,3,11,148,6,284,212,99,82,44,49,32,3,3,6,0,4,5,34,866,0,12,26,13,3,0,3,0,0,3,0,0,0,0,4,72,4,5,0,20,17,8,14,11,0,0,0,0,0,0,3,87,0,23,19,41,18,18,46,125,29,59,35,36,15,13,19,492,0,14,10,9,3,11,17,10,3,0,4,3,4,0,0,102,0,0,3,3,4,5,4,3,3,3,0,3,0,0,0,35,0,0,0,9,0,6,3,4,0,0,0,0,0,0,0,27,0,11,38,89,43,42,39,29
109,0,0,5,16,9,9,16,11,5,7,0,0,0,0,3,84,0,3,0,0,6,16,30,54,3,11,9,12,8,11,6,171,0,3,9,36,4,3,3,0,0,0,0,0,0,0,4,71,0,4,3,6,0,0,3,3,0,0,3,0,4,0,0,33,0,0,3,7,10,19,11,23,4,11,0,7,0,3,4,103,0,201,118,52,19,14,14,6,3,0,3,3,0,5,21,450,0,19,31,11,5,3,0,0,0,0,0,0,0,0,3,85,0,0,5,4,13,8,3,6,0,4,3,3,5,0,3,50,0,8,3,19,10,13,51,328,37,42,48,61,47,25,22,713,0,0,0,0,0,0,4,5,0,5,0,0,0,0,0,28,0,0,0,0,4,4,3,3,0,7,0,5,3,0,0,27,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,10,0,3,14,24,7,22,10,13
110,0,0,12,29,15,17,35,18,3,5,6,4,13,0,0,162,0,0,10,3,15,43,70,93,19,32,18,49,79,52,26,517,0,0,7,15,0,7,5,0,0,0,0,0,0,0,0,30,0,3,5,4,0,0,0,6,0,0,0,0,3,4,0,23,0,0,0,7,16,28,14,30,3,8,11,10,16,3,7,167,0,98,78,53,48,26,43,18,0,5,4,5,6,0,13,408,0,3,10,6,3,0,0,0,0,0,0,9,0,0,3,41,0,0,3,7,19,14,15,3,5,0,4,0,10,0,3,79,6,5,6,18,6,14,37,228,22,36,47,51,45,34,21,580,0,6,3,5,8,4,15,7,3,6,3,3,8,3,0,82,0,0,0,0,8,7,7,3,9,8,11,0,7,7,3,62,0,0,0,0,0,0,3,14,3,5,22,30,11,0,0,100,0,3,14,27,21,28,14,15
