SA4_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
101,68358,172193,4651,7876,2505,4770,7159,12646,3307,5340,683,1160,990,1732,27,56,5001,8289,293,460,411,662,143,299,199,417,1043,1838,739,1575,82309,196547,19923,..,102226,196547
102,95068,258434,9379,15881,5647,11524,15026,27404,6059,10171,1522,2702,1606,2973,68,120,9260,15959,338,514,552,934,29,69,228,538,1150,2063,545,998,121048,304859,17224,..,138266,304859
103,66348,168130,3664,5995,660,1123,4324,7120,2331,3384,106,131,21,40,11,25,2466,3573,183,266,85,155,54,117,497,1171,819,1706,791,1605,74746,182133,11390,..,86136,182133
104,41380,105889,2853,5002,1787,3613,4640,8617,3075,5179,411,772,307,503,15,25,3813,6481,533,851,543,840,129,252,108,226,1318,2168,467,1005,51614,124160,6674,..,58293,124160
105,36730,91835,1336,2231,83,152,1421,2378,1941,2906,41,64,28,38,9,10,2022,3017,157,304,38,75,177,321,351,858,722,1559,351,752,41240,99534,7994,..,49234,99534
106,80868,217428,6045,10587,2693,5353,8736,15935,1906,2864,214,348,366,604,22,47,2512,3868,401,629,363,571,71,159,158,350,986,1699,789,1452,93894,240385,14404,..,108302,240385
107,76356,217642,5903,10874,7434,16111,13339,26984,6833,12320,3071,5495,4081,7783,54,113,14037,25708,294,473,300,471,5,14,318,771,920,1725,644,1208,105288,273269,9667,..,114956,273269
108,66319,164285,6495,10678,1535,2989,8031,13662,4075,6282,973,1548,1417,2383,18,21,6484,10240,644,984,947,1473,71,128,247,511,1907,3097,608,1262,83341,192538,13487,..,96832,192538
109,37520,92587,3553,5605,436,712,3985,6323,1426,2096,58,87,29,35,4,4,1514,2225,168,287,245,414,18,41,156,359,590,1103,234,516,43846,102750,7360,..,51199,102750
110,58659,147055,3024,5088,583,956,3610,6045,2439,3663,87,154,56,78,9,14,2595,3917,261,472,144,245,60,119,438,1125,907,1963,536,1308,66307,160284,9619,..,75924,160284
111,107357,285068,9141,15555,7287,15076,16426,30628,5580,8615,2399,3871,2257,3824,202,350,10437,16651,112,209,436,625,30,71,262,530,841,1435,438,873,135506,334657,13727,..,149235,334657
112,67356,174406,8250,15062,4711,9492,12960,24558,4618,7675,1694,3035,806,1421,39,79,7162,12212,1295,1952,1028,1623,119,228,323,785,2765,4589,701,1428,90951,217193,10768,..,101724,217193
113,48927,126615,1673,2674,263,466,1938,3138,3663,6137,117,153,31,46,16,45,3826,6379,132,219,84,152,36,78,264,654,509,1109,310,782,55512,138027,7504,..,63015,138027
114,49428,121855,2746,4306,896,1504,3638,5811,1241,1944,22,34,4,7,16,31,1282,2012,309,473,715,1109,34,62,80,170,1138,1813,404,862,55891,132353,16160,..,72053,132353
