SA4_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
118,..,4086,5995,1183,447,360,285,100,57,12516,..,659,2030,2216,1868,2316,2960,2413,1504,15959,243,443,719,307,187,191,157,118,92,2454,18516,14896,24507,19121,15264,11810,9497,5610,2698,121926,..,221,10582,20316,17022,12679,10051,5009,1373,77261,..,1561,11622,6063,3304,1742,830,210,51,25389,..,82,401,1549,2607,1671,731,540,422,8013,37239,..,..,..,..,..,..,..,..,37239,..,10469,..,..,..,..,..,..,..,10469,..,3819,3689,1118,823,472,73,3,0,9999,..,1525,1415,363,310,492,565,455,350,5476,..,1541,1870,338,185,126,63,27,10,4165,..,7956,11608,2409,1019,761,596,222,95,24664,..,1282,3947,4282,3756,4124,4478,3307,2003,27182,510,821,1333,631,396,321,266,173,113,4567,37755,29274,46465,37069,29433,22384,17651,9962,4423,234416
119,..,1849,2677,737,734,713,412,166,55,7344,..,502,1598,1654,2191,3672,4249,4170,2664,20699,615,716,949,479,435,510,436,343,192,4683,49636,35266,44747,37186,34944,29833,20310,13235,5686,270845,..,3442,39774,48167,43813,36375,25111,13617,3200,213504,..,1796,7659,4774,3513,2227,801,196,25,20995,..,409,2472,5111,6788,4629,2226,1767,1225,24620,101202,..,..,..,..,..,..,..,..,101202,..,33024,..,..,..,..,..,..,..,33024,..,17983,16672,5354,3251,1482,263,5,0,45018,..,4743,4169,1342,1682,2761,2301,1879,1099,19972,..,3713,5015,1365,1013,747,277,92,29,12253,..,4771,7821,2175,1794,1657,919,337,111,19581,..,1110,3765,3909,5036,6722,6980,5845,3650,37026,1266,1378,1984,1184,1033,952,751,540,288,9376,102468,72361,89325,73390,67928,57558,39631,24282,9632,536570
120,..,3084,3834,838,509,483,269,116,44,9172,..,479,1738,1975,1987,2543,2666,2070,1244,14704,237,367,567,316,254,268,238,168,92,2510,21473,16956,26372,21332,18930,14869,10197,5975,2552,138656,..,872,19030,25348,21289,16292,11208,5702,1340,101080,..,1721,8259,4823,3537,2100,827,166,29,21448,..,102,584,1935,3210,1969,918,769,521,10004,43305,..,..,..,..,..,..,..,..,43305,..,13331,..,..,..,..,..,..,..,13331,..,5478,5753,1797,1368,580,105,0,0,15089,..,2053,1958,598,556,954,812,755,488,8181,..,2468,3247,574,340,235,89,28,10,6984,..,6249,8705,1923,1108,1025,580,227,62,19880,..,973,3494,3726,3776,4226,4026,2871,1647,24738,447,687,1161,655,522,458,387,281,132,4730,43749,33941,52183,41382,35707,27838,18942,10804,4230,268778
121,..,1274,2734,802,391,432,272,126,72,6105,..,523,2328,2583,2247,3235,4245,3569,2409,21133,270,424,609,281,228,317,286,166,99,2673,34857,21052,27676,31040,28478,21873,16703,9295,4298,195272,..,539,20934,41175,38099,27973,20884,9956,2538,162103,..,1524,9629,5360,3727,2246,1067,275,58,23878,..,82,487,2324,4251,2606,985,720,602,12055,71174,..,..,..,..,..,..,..,..,71174,..,24730,..,..,..,..,..,..,..,24730,..,7827,6850,1777,1176,609,101,0,0,18346,..,2027,1678,553,429,1001,925,750,498,7862,..,1263,1707,534,331,241,102,43,28,4245,..,2376,5470,1663,894,847,586,257,123,12212,..,1069,4494,4963,4369,5242,6061,4710,3163,34080,547,788,1169,588,485,534,432,240,134,4919,71717,42226,52421,58940,53767,41291,31138,16945,7148,375605
122,..,502,1258,393,271,305,193,88,32,3030,..,198,683,929,1124,1829,2492,2430,1729,11412,226,286,369,205,177,210,184,108,80,1855,23155,12241,14292,18508,18080,13514,10634,6235,3035,119690,..,304,9688,24172,23796,17272,13349,6648,1656,96881,..,1017,6249,4636,3373,1848,808,171,23,18123,..,57,363,1520,2692,1631,703,507,416,7884,47300,..,..,..,..,..,..,..,..,47300,..,13601,..,..,..,..,..,..,..,13601,..,6705,4262,1253,902,432,100,3,0,13663,..,889,764,257,297,480,627,480,396,4182,..,866,1118,420,340,259,102,35,23,3149,..,979,2710,939,654,666,432,168,50,6593,..,451,1517,2114,2560,3208,3771,3249,2263,19130,450,549,741,438,419,383,335,181,101,3597,47749,25406,27414,35730,35030,26171,20229,11440,4935,234107
123,..,242,305,153,233,276,207,52,9,1479,..,168,501,537,876,1652,1924,1304,616,7582,383,520,425,204,175,258,205,120,44,2324,26958,16763,18213,17764,16594,14545,9345,3987,1380,125546,..,881,15827,22282,20828,18937,11953,3987,647,95348,..,1980,5032,3504,2749,1548,510,115,18,15464,..,524,2121,3354,3400,2050,904,469,261,13086,54690,..,..,..,..,..,..,..,..,54690,..,14190,..,..,..,..,..,..,..,14190,..,12023,6905,1886,857,346,68,3,0,22093,..,1520,1046,534,658,1056,972,664,343,6800,..,853,770,374,311,205,108,30,6,2658,..,537,839,467,556,593,419,113,21,3546,..,376,1353,1563,2145,2896,2998,1837,825,13989,788,1048,936,584,437,437,335,172,54,4797,55477,33934,34831,34548,31950,28075,18264,7394,2183,246645
124,..,467,592,272,383,464,287,113,33,2609,..,249,786,874,1452,2710,3079,2234,1016,12395,442,634,509,263,282,342,268,160,76,2970,29049,18470,20080,19888,19666,18452,12474,5748,2031,145855,..,968,16101,23336,22832,22290,14991,5327,867,106712,..,2656,7207,4846,3859,2187,868,172,19,21814,..,619,2313,3628,4052,2398,1103,632,389,15128,58617,..,..,..,..,..,..,..,..,58617,..,15033,..,..,..,..,..,..,..,15033,..,12991,6925,2082,1095,512,114,6,0,23724,..,1607,996,475,646,1117,1050,691,398,6982,..,1058,882,417,350,259,118,33,17,3137,..,1013,1401,746,918,1010,619,228,55,5987,..,569,2022,2449,3416,4863,4825,3059,1351,22542,956,1227,1117,663,611,638,460,242,104,6010,59571,37740,38960,38628,37786,35268,24142,10388,3200,285689
125,..,1008,1888,552,504,486,243,106,32,4814,..,380,1507,1465,1673,2604,2790,2501,1557,14482,407,472,726,364,298,334,314,208,118,3242,41159,25142,39810,29550,24770,20739,13600,7829,3284,205890,..,2666,40628,41912,31638,25516,16896,7847,1612,168709,..,1400,5364,3098,2254,1426,522,127,18,14213,..,339,1988,3724,4630,3147,1432,1166,694,17123,83528,..,..,..,..,..,..,..,..,83528,..,23951,..,..,..,..,..,..,..,23951,..,12953,12213,3447,1959,800,164,4,0,31553,..,3663,3645,1252,1286,2218,1634,1162,665,15522,..,2583,4311,1149,788,490,177,67,17,9574,..,3954,7942,2612,1647,1192,598,225,61,18227,..,803,3652,3634,4008,5073,4583,3577,2136,27480,856,977,1651,979,747,648,497,320,161,6836,84381,53286,81395,61813,48956,40508,26507,14494,5360,416711
126,..,1443,1384,304,213,211,122,55,25,3746,..,260,814,741,754,1213,1493,1498,1085,7866,122,204,248,150,121,123,150,82,70,1263,14499,11208,13880,12664,11795,10138,6738,4272,2049,87238,..,373,11572,17477,15950,13174,8763,4373,1143,72820,..,900,3083,1635,1184,731,336,64,13,7937,..,40,324,1134,1734,1261,473,431,336,5736,29567,..,..,..,..,..,..,..,..,29567,..,10831,..,..,..,..,..,..,..,10831,..,4163,4218,1079,701,358,66,3,0,10589,..,1236,1007,289,331,695,551,492,313,4917,..,1420,1567,332,187,151,55,22,8,3729,..,2859,3138,751,474,467,265,100,44,8090,..,540,1719,1602,1650,2160,2249,2019,1431,13360,246,420,545,297,259,206,229,129,91,2421,29814,22771,27178,24595,22469,19197,12981,7632,3372,170002
127,..,297,411,214,357,374,194,89,24,1961,..,234,642,621,965,1827,2092,1897,781,9061,570,600,724,367,324,377,351,196,87,3595,39672,27355,28273,27113,25999,22158,13343,7233,2488,193630,..,2161,23537,33516,33853,28693,17155,7187,1324,147423,..,1192,4045,3089,2536,1368,429,95,16,12772,..,510,2723,4845,5534,3745,1762,1252,641,21014,80348,..,..,..,..,..,..,..,..,80348,..,28084,..,..,..,..,..,..,..,28084,..,17463,15825,4673,2446,988,138,8,0,41540,..,3041,2434,1411,1686,2400,1978,1558,912,15419,..,1149,1426,920,888,647,225,73,18,5350,..,692,1227,740,911,868,449,176,45,5110,..,514,1784,1981,2679,3639,3434,2696,1097,17827,1151,1143,1552,976,792,741,563,330,129,7375,81494,55946,54550,52149,51333,43095,26129,13384,4174,382264
128,..,229,508,163,192,226,148,58,19,1546,..,158,612,685,866,1564,2157,1951,1401,9391,241,264,344,176,149,149,166,132,67,1679,19491,12069,12723,14779,14906,13199,9669,5407,2539,104793,..,303,9916,19799,19695,18015,12888,5871,1456,87941,..,928,4545,2808,2257,1370,503,125,27,12561,..,100,584,1679,2556,1550,656,463,383,7966,39719,..,..,..,..,..,..,..,..,39719,..,12456,..,..,..,..,..,..,..,12456,..,8401,5245,1323,873,432,63,4,0,16345,..,830,591,187,284,505,544,448,312,3710,..,391,493,187,181,110,67,20,6,1462,..,489,1198,474,462,487,296,131,45,3571,..,340,1365,1695,2097,2856,3206,2622,1845,16016,487,513,703,408,329,283,285,190,88,3287,40204,24746,24641,28564,28735,25607,18512,9863,4168,205036
197,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
199,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,222,417,504,270,247,302,191,43,15,2212,222,417,504,270,247,302,191,43,15,2212,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,474,901,1278,812,691,673,420,92,19,5356,474,901,1278,812,691,673,420,92,19,5356
