region_id,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC10001,0,81,81,220,7,227,234,0,234,373,0,373,180,0,180,79,0,79,1086,88,1174
SSC10002,0,604,604,702,68,770,342,19,361,264,4,268,77,0,77,31,0,31,1416,695,2111
SSC10003,0,49,49,74,8,82,58,3,61,71,0,71,37,0,37,15,0,15,255,60,315
SSC10004,0,235,235,272,29,301,150,5,155,119,0,119,63,0,63,29,0,29,633,269,902
SSC10005,0,211,211,257,21,278,117,0,117,115,0,115,49,0,49,18,0,18,556,232,788
SSC10006,0,14,14,29,0,29,16,0,16,13,0,13,11,0,11,0,0,0,69,14,83
SSC10007,0,88,88,236,14,250,155,3,158,240,0,240,103,0,103,37,0,37,771,105,876
SSC10008,0,185,185,267,29,296,140,0,140,129,0,129,70,0,70,28,0,28,634,214,848
SSC10009,0,13,13,18,3,21,8,0,8,13,0,13,7,0,7,7,0,7,53,16,69
SSC10010,0,88,88,224,9,233,241,4,245,327,0,327,117,0,117,66,0,66,975,101,1076
SSC10011,0,35,35,37,4,41,8,0,8,9,0,9,0,0,0,4,0,4,58,39,97
SSC10012,0,767,767,648,110,758,332,18,350,305,7,312,122,0,122,29,0,29,1436,902,2338
SSC10013,0,378,378,725,27,752,295,9,304,331,3,334,132,3,135,38,0,38,1521,420,1941
SSC10014,0,111,111,113,3,116,37,0,37,56,0,56,16,0,16,10,0,10,232,114,346
SSC10015,0,26,26,66,3,69,43,0,43,49,0,49,25,0,25,21,0,21,204,29,233
SSC10016,0,255,255,257,18,275,227,0,227,160,0,160,96,0,96,109,0,109,849,273,1122
SSC10017,0,10,10,4,0,4,4,0,4,6,0,6,0,0,0,8,0,8,22,10,32
SSC10018,0,572,572,1190,39,1229,737,3,740,965,3,968,396,0,396,200,0,200,3488,617,4105
SSC10019,0,523,523,769,44,813,452,4,456,383,3,386,179,0,179,103,0,103,1886,574,2460
SSC10020,0,744,744,652,86,738,209,32,241,198,8,206,79,4,83,22,3,25,1160,877,2037
