region_id,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC10001,280,70,28,3,1772
SSC10002,449,253,136,41,2845
SSC10003,63,25,11,3,429
SSC10004,124,61,27,6,865
SSC10005,102,30,28,0,677
SSC10006,20,12,6,0,102
SSC10007,124,55,13,3,1164
SSC10008,133,72,27,7,827
SSC10009,10,4,0,3,65
SSC10010,155,42,9,0,1660
SSC10011,19,14,11,0,93
SSC10012,290,177,117,43,2768
SSC10013,443,346,198,58,2662
SSC10014,49,31,16,3,272
SSC10015,51,30,7,0,322
SSC10016,91,68,11,6,747
SSC10017,6,0,0,0,33
SSC10018,632,263,183,61,5126
SSC10019,459,216,137,73,2695
SSC10020,496,230,153,102,2667
SSC10021,78,36,15,0,762
SSC10022,331,114,44,14,4701
SSC10023,291,62,30,11,1559
SSC10024,55,8,6,0,139
SSC10025,468,321,254,113,3353
SSC10026,32,10,7,0,128
SSC10027,303,159,76,20,2796
SSC10028,12,0,4,0,59
SSC10029,15,3,6,0,62
SSC10030,21,16,4,0,83
SSC10031,48,34,6,0,237
SSC10032,496,342,258,131,2633
SSC10033,15,9,8,0,78
SSC10034,439,158,48,12,2687
SSC10035,15,14,3,0,116
SSC10036,37,41,21,0,186
SSC10037,35,3,3,3,107
SSC10038,244,211,91,14,1588
SSC10039,737,288,128,38,5447
SSC10040,120,71,24,0,651
SSC10041,99,45,20,0,732
SSC10042,3,3,0,0,21
SSC10043,79,38,24,12,307
SSC10044,41,28,9,0,159
SSC10045,128,87,28,5,656
SSC10046,109,71,33,15,651
SSC10047,48,19,12,3,143
SSC10048,25,19,6,3,121
SSC10049,68,39,27,8,457
SSC10050,46,29,0,0,169
SSC10051,49,26,17,0,243
SSC10052,21,4,3,0,105
SSC10053,1707,1000,535,241,10492
SSC10054,388,243,132,52,3519
SSC10055,0,0,0,0,6
SSC10056,46,90,35,11,229
SSC10057,66,19,4,6,236
SSC10058,582,273,145,73,5245
SSC10059,203,91,54,13,1426
SSC10060,62,31,12,6,174
SSC10061,31,12,3,3,122
SSC10062,98,98,36,11,934
SSC10063,1307,600,496,361,12837
SSC10064,59,32,19,6,268
SSC10065,12,12,6,0,109
SSC10066,196,102,68,40,1332
SSC10067,301,120,41,5,1882
SSC10068,304,150,96,35,1795
SSC10069,72,24,7,0,325
SSC10070,1017,478,287,109,12434
SSC10071,286,140,58,19,1449
SSC10072,131,76,66,31,1018
SSC10073,1143,634,334,144,5550
SSC10074,422,210,96,33,2241
SSC10075,21,6,0,0,141
SSC10076,21,9,6,0,111
SSC10077,41,20,3,3,191
SSC10078,23,7,9,0,105
SSC10079,35,19,3,0,156
SSC10080,41,17,3,0,191
SSC10081,30,21,3,0,136
SSC10082,69,54,42,3,389
SSC10083,30,13,3,3,140
SSC10084,512,377,176,60,4125
SSC10085,273,138,99,43,1672
SSC10086,452,279,153,31,2625
SSC10087,12,3,0,3,73
SSC10088,19,15,3,3,89
SSC10089,519,421,439,319,3391
SSC10090,925,479,159,42,6234
SSC10091,251,125,49,12,1245
SSC10092,77,27,17,0,349
SSC10093,33,10,6,0,164
SSC10094,76,48,25,13,530
SSC10095,22,18,4,0,110
SSC10096,91,42,28,18,426
SSC10097,166,61,34,23,908
SSC10098,23,10,7,0,116
SSC10099,647,228,97,78,2824
SSC10100,167,92,43,16,1321
SSC10101,0,0,0,0,0
SSC10102,1152,572,313,154,11541
SSC10103,0,3,0,0,12
SSC10104,19,18,3,0,106
