region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
SSC10001,35,2200,616,433,1965,1.0,1971,3.5
SSC10002,41,3000,826,430,2248,1.1,1727,2.3
SSC10003,34,1885,765,320,2067,1.1,1849,3.1
SSC10004,33,1517,464,240,1110,1.1,936,2.5
SSC10005,36,1733,591,210,1604,1.1,1370,2.5
SSC10006,39,1525,573,50,1036,1.1,937,2.7
SSC10007,31,2015,668,360,1990,1.0,1947,3.2
SSC10008,36,1348,433,200,1175,1.1,1013,2.7
SSC10009,33,838,460,4108,1125,1.1,850,2.9
SSC10010,32,2500,837,450,2204,1.1,2217,3.4
SSC10011,45,950,393,130,942,1.1,766,2.1
SSC10012,35,1950,626,270,1641,1.1,1214,2.3
SSC10013,41,1950,626,315,1741,1.0,1448,2.6
SSC10014,40,1170,411,160,1088,1.1,832,2.4
SSC10015,33,2300,670,320,1758,1.1,1572,3.2
SSC10016,26,1213,310,144,641,1.2,544,2.9
SSC10017,26,0,256,98,460,1.2,609,3.7
SSC10018,33,1993,556,310,1607,1.1,1483,3.0
SSC10019,37,1733,466,255,1208,1.1,1028,2.7
SSC10020,41,1733,645,210,1673,1.1,1120,2.1
SSC10021,37,1415,479,190,1150,1.1,988,2.7
SSC10022,33,2500,1168,480,2501,1.2,2075,2.0
SSC10023,38,2500,707,530,2483,1.0,2496,3.6
SSC10024,50,1950,539,140,1307,1.1,1224,2.2
SSC10025,41,3000,631,325,2171,1.1,1689,2.8
SSC10026,46,2817,572,250,1974,1.1,1562,2.7
SSC10027,35,2000,568,360,1300,1.3,1204,2.5
SSC10028,42,1142,320,225,1300,1.3,700,3.0
SSC10029,38,975,394,220,1031,1.1,875,2.6
SSC10030,46,1500,378,100,1199,1.1,777,2.5
SSC10031,47,2167,594,370,1619,1.0,1341,2.6
SSC10032,48,1517,477,265,1121,1.1,888,2.3
SSC10033,46,2600,438,285,1375,1.1,979,2.6
SSC10034,31,1733,497,250,1237,1.1,1160,3.0
SSC10035,37,1105,568,203,1266,1.1,1147,2.6
SSC10036,50,2000,566,88,1112,1.0,1054,2.2
SSC10037,50,1408,571,280,1025,1.2,791,2.2
SSC10038,42,1825,445,295,1085,1.1,901,2.5
SSC10039,36,2947,1069,450,2739,1.2,2086,2.2
SSC10040,39,3000,668,320,2187,1.1,1967,3.4
SSC10041,35,2100,657,270,1786,1.1,1663,3.1
SSC10042,41,0,268,100,974,1.0,533,2.7
SSC10043,51,1343,482,200,1198,1.0,952,2.3
SSC10044,54,1538,497,160,1294,1.1,858,2.1
SSC10045,40,3000,699,300,2150,1.1,1756,2.9
SSC10046,42,1700,567,280,1414,1.1,1273,2.6
SSC10047,49,1625,416,125,1375,1.1,966,2.7
SSC10048,50,607,334,90,558,1.1,552,2.1
SSC10049,40,1603,395,208,970,1.2,810,2.4
SSC10050,50,1163,361,140,772,1.2,696,2.2
SSC10051,44,784,373,95,807,1.1,679,2.4
SSC10052,42,1640,529,0,1218,1.1,907,2.7
SSC10053,34,1470,488,210,1293,1.1,986,2.4
SSC10054,36,2277,470,340,1385,1.3,1251,2.9
SSC10055,34,0,350,0,1750,0,0,0
SSC10056,66,1246,344,180,687,1.1,563,1.9
SSC10057,46,1150,531,263,1086,1.0,909,2.5
SSC10058,34,2500,936,460,2402,1.2,1910,2.4
SSC10059,41,2500,621,443,1921,1.1,1693,3.0
SSC10060,52,1430,495,220,1029,1.1,808,2.3
SSC10061,42,1652,364,150,974,1.2,663,2.5
SSC10062,32,1647,343,150,869,1.2,694,3.0
SSC10063,35,2100,574,365,1458,1.3,1314,2.4
