region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
SSC10001,59,5,0,3,8,8,0,31,1072,13,0,0,3,0,0,0,0,0,0,16,1135,97,59,14,10,6,11,8,0,39,1379
SSC10002,50,13,12,12,9,13,12,38,859,0,0,0,0,0,0,0,0,0,0,0,1043,133,106,16,21,34,20,32,22,61,1488
SSC10003,10,0,0,0,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,36,0,13,0,7,0,0,3,0,3,62
SSC10004,0,0,0,0,0,5,13,3,37,0,0,0,0,0,0,0,0,0,0,0,75,4,6,0,0,4,0,8,16,6,119
SSC10005,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,61,7,7,4,0,0,6,6,6,6,103
SSC10006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,14
SSC10007,18,0,6,7,4,3,0,0,59,0,0,0,0,0,0,0,0,0,0,0,112,13,29,13,12,17,4,6,0,5,211
SSC10008,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,80,3,12,0,0,0,0,0,0,6,101
SSC10009,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13
SSC10010,218,51,43,39,17,38,6,27,1020,3,3,0,0,0,0,0,3,0,0,9,646,191,265,51,48,48,25,41,9,46,1370
SSC10011,0,0,0,0,3,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,3,3,3,3,40
SSC10012,23,3,6,8,9,19,6,6,239,0,0,0,0,0,0,0,0,0,6,6,369,29,51,10,12,19,15,49,13,23,590
SSC10013,22,8,14,4,13,4,4,17,317,0,0,0,0,0,0,0,0,0,0,0,463,32,52,15,21,10,34,17,4,31,679
SSC10014,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,34,6,6,0,0,0,3,3,3,0,55
SSC10015,3,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,72,3,6,0,0,3,0,0,4,0,88
SSC10016,21,3,12,3,3,0,12,10,397,0,0,0,0,0,0,0,0,0,0,0,461,80,32,3,12,3,6,3,12,33,645
SSC10017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10018,26,6,6,0,3,11,3,22,427,0,0,0,0,0,0,0,0,0,0,0,1382,79,80,17,30,15,14,19,3,57,1696
SSC10019,9,4,9,13,14,3,10,16,318,5,0,0,0,0,0,0,0,0,0,5,940,24,24,14,12,21,14,9,16,60,1134
