region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC10001,121,0,3,0,0,124,933,11,4,0,0,948,27,0,0,0,0,27,30,0,0,0,0,30,990,11,4,0,0,1005,46,0,0,0,0,46,1157,11,7,0,0,1175
SSC10002,134,65,165,0,0,364,499,284,767,5,0,1555,17,7,33,0,0,57,15,15,55,0,0,85,531,306,855,5,0,1697,18,10,24,0,0,52,683,381,1044,5,0,2113
SSC10003,36,3,0,0,0,39,250,4,0,0,0,254,13,0,0,0,0,13,4,0,0,0,0,4,267,4,0,0,0,271,4,3,0,0,0,7,307,10,0,0,0,317
SSC10004,223,30,7,0,0,260,488,44,0,3,3,538,22,0,0,0,0,22,37,9,0,0,0,46,547,53,0,3,3,606,24,9,0,0,0,33,794,92,7,3,3,899
SSC10005,186,6,3,29,0,224,449,15,11,14,0,489,28,0,0,0,0,28,26,0,0,0,0,26,503,15,11,14,0,543,24,0,0,0,0,24,713,21,14,43,0,791
SSC10006,18,0,0,0,0,18,63,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,63,4,0,0,0,0,4,85,0,0,0,0,85
SSC10007,71,12,0,0,0,83,676,30,3,0,0,709,26,3,0,0,0,29,26,6,0,0,0,32,728,39,3,0,0,770,24,0,0,0,0,24,823,51,3,0,0,877
SSC10008,242,3,3,0,0,248,493,11,6,0,0,510,25,0,0,0,0,25,21,4,0,0,0,25,539,15,6,0,0,560,36,0,4,0,0,40,817,18,13,0,0,848
SSC10009,17,0,0,0,0,17,42,3,0,0,0,45,0,0,0,0,0,0,3,0,0,0,0,3,45,3,0,0,0,48,6,0,0,0,0,6,68,3,0,0,0,71
SSC10010,56,8,0,0,0,64,789,131,0,0,0,920,18,7,0,0,0,25,24,13,0,0,0,37,831,151,0,0,0,982,28,3,0,0,0,31,915,162,0,0,0,1077
