region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC10001,0,0,4,8,25,60,57,36,12,202,0,0,3,7,8,6,10,7,6,47,16,13,12,18,36,33,25,17,0,170,203,415,423,540,789,518,185,80,21,3174
SSC10002,0,0,0,6,11,32,72,73,29,223,0,0,3,4,0,0,8,8,5,28,11,15,55,44,40,50,40,34,13,302,87,239,784,796,726,702,464,318,100,4216
SSC10003,3,3,3,0,0,3,3,3,0,18,0,3,0,3,3,0,0,0,0,9,0,3,3,3,0,6,6,6,0,27,36,43,99,161,153,91,53,23,6,665
SSC10004,3,0,3,7,16,40,30,33,7,139,0,4,0,0,0,3,0,0,0,7,17,14,27,28,22,30,30,16,3,187,100,176,345,310,282,268,180,84,23,1768
SSC10005,0,0,3,3,14,35,30,25,23,133,0,0,0,0,0,0,3,0,0,3,3,6,13,20,10,24,12,14,0,102,59,135,260,269,273,270,152,84,23,1525
SSC10006,0,3,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,3,15,28,37,23,36,15,3,3,163
SSC10007,0,3,3,5,10,20,18,6,4,69,0,0,4,0,0,0,0,0,0,4,12,6,16,17,27,16,9,8,0,111,112,153,407,480,387,249,128,43,7,1966
SSC10008,3,6,6,5,26,47,31,29,7,160,0,0,3,0,0,0,4,3,0,10,8,4,16,15,22,20,22,14,6,127,86,139,317,289,337,288,182,86,20,1744
SSC10009,0,0,3,0,7,3,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,6,0,0,3,21,6,12,29,31,33,15,8,4,6,144
SSC10010,0,3,3,6,8,13,12,14,5,64,0,0,6,0,3,6,4,4,3,26,8,9,22,24,23,14,7,4,0,111,110,242,677,628,497,280,106,38,11,2589
SSC10011,0,0,0,3,0,6,4,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,20,9,17,19,18,26,39,40,19,3,190
SSC10012,6,6,8,8,16,28,52,56,28,208,0,0,0,0,0,3,6,3,0,12,12,16,44,56,52,29,42,46,21,318,153,404,947,891,777,516,355,260,100,4403
SSC10013,0,0,6,5,9,20,37,52,24,153,0,0,0,0,0,0,5,0,5,10,3,9,13,22,26,24,25,34,21,177,125,278,519,721,667,628,593,368,106,4005
SSC10014,0,0,3,3,0,14,24,8,6,58,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,14,8,7,6,50,11,29,87,109,120,107,110,60,15,648
SSC10015,0,0,4,0,6,12,0,7,0,29,0,0,3,0,0,0,0,3,0,6,4,7,5,6,12,12,9,0,0,55,35,64,77,145,111,89,46,21,0,588
SSC10016,0,9,11,41,52,86,59,22,6,286,3,0,3,8,5,14,12,0,0,45,36,8,36,43,44,44,42,14,3,270,248,232,384,427,372,359,213,51,15,2301
SSC10017,0,0,0,6,4,6,3,0,0,19,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,9,12,7,14,14,13,16,3,0,0,79
SSC10018,6,3,13,19,68,102,93,95,26,425,0,0,0,13,4,8,12,4,0,41,27,22,50,67,72,69,50,91,30,478,499,761,1643,1975,1865,1163,645,440,174,9165
