region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC10001,213,433,12,78,88,412,23,108,254,1013,377,1611,75,334,98,383,219,752,392,1469,769,3080,0,14,9,38,3,10,38,103,50,165,9,36,13,39,57,135,79,210,129,375,18,50,1129,3938
SSC10002,626,1233,8,35,48,219,5,17,339,1234,400,1505,29,119,39,133,127,400,195,652,595,2157,3,10,11,29,3,4,61,144,78,187,10,29,23,62,90,179,123,270,201,457,27,62,1449,3909
SSC10003,65,127,0,9,20,87,5,19,86,373,111,488,12,35,22,76,13,38,47,149,158,637,0,3,4,19,0,10,18,49,22,81,0,3,4,7,11,14,15,24,37,105,0,0,260,869
SSC10004,217,433,3,19,24,110,7,41,152,590,186,760,9,48,12,33,60,192,81,273,267,1033,7,26,14,41,4,24,83,221,108,312,6,16,9,18,33,76,48,110,156,422,4,8,644,1896
SSC10005,230,448,3,8,15,81,9,39,159,628,186,756,10,39,8,29,44,139,62,207,248,963,7,19,8,19,3,6,33,101,51,145,3,15,8,21,23,52,34,88,85,233,5,16,568,1660
SSC10006,26,56,3,7,4,18,0,0,22,80,29,105,0,0,3,8,3,13,6,21,35,126,0,0,0,0,0,0,3,15,3,15,0,0,0,0,0,6,0,6,3,21,3,3,67,206
SSC10007,221,442,3,28,46,191,24,94,272,1099,345,1412,20,84,31,100,74,232,125,416,470,1828,4,7,9,40,3,17,45,118,61,182,4,14,9,22,19,33,32,69,93,251,8,19,792,2540
SSC10008,228,456,7,49,21,100,13,68,153,610,194,827,8,28,17,50,60,188,85,266,279,1093,4,12,3,9,6,32,59,164,72,217,8,14,6,15,43,96,57,125,129,342,18,33,654,1924
SSC10009,13,32,3,4,4,8,4,18,14,63,25,93,0,9,0,0,3,6,3,15,28,108,0,5,3,3,0,0,5,26,8,34,0,0,3,3,3,3,6,6,14,40,0,0,55,180
SSC10010,220,441,8,51,49,236,25,103,393,1517,475,1907,41,180,49,181,101,343,191,704,666,2611,3,10,6,32,3,9,43,129,55,180,9,27,14,36,42,90,65,153,120,333,8,21,1014,3406
SSC10011,36,59,0,4,0,6,0,0,12,36,12,46,0,4,0,0,5,18,5,22,17,68,0,0,0,4,0,0,3,6,3,10,0,0,0,4,4,10,4,14,7,24,0,4,60,155
SSC10012,521,1036,9,60,61,255,11,42,381,1445,462,1802,16,80,44,147,92,286,152,513,614,2315,6,20,19,50,7,31,117,280,149,381,8,28,41,95,91,187,140,310,289,691,26,51,1450,4093
SSC10013,646,1277,6,33,60,250,16,61,370,1481,452,1825,43,167,76,249,125,393,244,809,696,2634,0,4,11,35,8,24,51,134,70,197,10,27,20,44,80,168,110,239,180,436,20,42,1542,4389
SSC10014,101,197,3,5,9,38,6,26,61,261,79,330,3,15,10,32,12,43,25,90,104,420,0,0,3,16,0,0,14,43,17,59,0,0,3,5,7,11,10,16,27,75,3,3,235,695
SSC10015,59,116,0,15,12,59,7,33,64,257,83,364,6,30,8,29,25,87,39,146,122,510,0,0,0,8,0,3,13,29,13,40,0,0,0,5,13,26,13,31,26,71,3,4,210,701
SSC10016,108,218,28,172,30,178,15,83,82,381,155,814,15,58,21,60,67,234,103,352,258,1166,11,51,40,172,39,140,216,684,306,1047,16,57,32,70,142,324,190,451,496,1498,17,41,879,2923
SSC10017,7,7,0,8,3,12,3,21,7,36,13,77,0,0,0,0,3,9,3,9,16,86,0,0,0,4,0,0,4,13,4,17,0,0,0,0,0,0,0,0,4,17,0,3,27,113
SSC10018,1094,2183,44,233,216,1019,78,377,1012,4005,1350,5634,130,551,146,485,303,957,579,1993,1929,7627,0,11,49,175,26,82,234,679,309,947,25,78,49,111,149,319,223,508,532,1455,25,50,3580,11315
SSC10019,669,1337,23,111,84,396,30,143,392,1559,529,2209,49,205,57,187,196,627,302,1019,831,3228,9,29,31,101,24,98,197,538,261,766,13,46,27,56,129,281,169,383,430,1149,18,41,1948,5755
SSC10020,577,1129,7,30,50,216,5,26,223,869,285,1141,22,77,43,130,57,159,122,366,407,1507,0,0,12,48,4,8,63,161,79,217,3,8,29,62,54,110,86,180,165,397,14,29,1163,3062
SSC10021,99,197,3,11,8,41,3,4,24,120,38,176,7,31,9,23,16,54,32,108,70,284,0,6,6,15,0,3,17,48,23,72,0,0,0,0,11,18,11,18,34,90,3,5,206,576
SSC10022,1059,2068,0,4,19,78,6,14,365,1255,390,1351,4,16,36,108,42,133,82,257,472,1608,3,10,3,13,4,8,62,150,72,181,9,15,23,52,53,115,85,182,157,363,52,111,1740,4150
SSC10023,205,417,18,103,71,330,19,89,178,719,286,1241,91,390,81,300,159,526,331,1216,617,2457,0,4,11,32,3,12,18,54,32,102,15,42,12,30,24,66,51,138,83,240,9,22,914,3136
SSC10024,40,77,0,0,8,36,0,0,8,52,16,88,0,0,8,11,12,39,20,50,36,138,0,0,0,4,0,0,8,10,8,14,3,0,0,3,0,3,3,6,11,20,0,0,87,235
SSC10025,550,1088,7,49,101,436,18,77,585,2254,711,2816,70,278,83,274,159,517,312,1069,1023,3885,3,14,14,48,8,16,56,131,81,209,17,46,13,33,99,225,129,304,210,513,24,53,1807,5539
SSC10026,48,93,0,0,4,21,0,4,16,59,20,84,5,16,0,5,11,31,16,52,36,136,0,0,0,0,0,0,3,11,3,11,0,3,3,3,3,15,6,21,9,32,0,0,93,261
SSC10027,539,1094,10,51,37,146,6,26,380,1344,433,1567,30,143,84,279,134,425,248,847,681,2414,3,7,12,51,7,20,92,217,114,295,5,21,44,101,101,216,150,338,264,633,38,89,1522,4230
SSC10028,14,25,0,0,0,6,0,0,12,53,12,59,3,11,0,0,4,11,7,22,19,81,0,3,0,3,0,0,5,12,5,18,0,0,0,3,0,0,0,3,5,21,0,0,38,127
SSC10029,19,40,0,0,3,14,0,0,13,51,16,65,0,4,0,3,5,13,5,20,21,85,0,0,6,8,0,0,0,9,6,17,0,0,0,0,0,5,0,5,6,22,0,0,46,147
SSC10030,29,60,0,14,4,12,3,5,10,49,17,80,0,3,8,13,4,13,12,29,29,109,0,0,3,3,0,0,0,4,3,7,0,0,0,0,3,6,3,6,6,13,3,3,67,185
SSC10031,63,122,4,15,5,28,3,7,22,89,34,139,3,7,8,20,8,35,19,62,53,201,0,0,4,12,0,3,5,13,9,28,0,0,0,0,0,3,0,3,9,31,3,0,128,354
