region_id,P_85y_ov_DNUDW_,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW_,P_Tot_UDW_NS,P_Tot_Total
1100101,0,0,0,0,0,0,0,0,514,514
1100102,0,0,6,97,133,73,48,93,39,483
1100103,0,0,0,6,3,6,0,6,0,21
1100104,0,0,0,9,0,3,0,3,0,15
1100105,6,0,9,38,52,27,23,63,17,220
1100106,0,0,3,65,39,12,22,43,15,196
1100107,0,0,8,43,63,15,14,34,26,195
1100108,0,0,6,34,62,36,15,27,16,190
1100109,0,0,4,51,56,31,39,48,21,246
1100110,0,3,3,94,104,57,55,85,26,421
1100111,7,0,7,112,117,74,50,81,22,456
1100112,0,0,0,92,98,47,39,48,15,339
1100113,0,6,6,73,91,54,43,72,24,357
1100114,6,0,9,58,56,64,33,60,25,296
1100115,7,5,15,84,104,49,45,71,43,396
1100116,3,3,15,81,97,47,31,69,35,360
1100117,0,0,4,44,48,40,26,43,6,207
1100118,0,6,6,53,64,34,26,66,24,267
1100119,0,3,9,45,77,26,23,42,15,228
1100120,0,0,0,78,112,45,33,56,15,339
1100121,4,4,11,28,57,22,19,33,19,178
1100122,0,0,0,47,62,33,26,44,11,223
1100123,10,6,28,46,74,39,34,51,25,269
1100124,0,0,0,60,67,38,50,85,29,329
1100125,0,3,3,78,104,48,32,42,27,331
1100126,0,0,0,51,73,30,12,38,15,219
1100127,6,3,16,69,94,50,39,70,22,344
1100128,3,3,9,42,59,24,30,44,16,215
1100129,0,0,0,63,95,45,44,85,25,357
1100130,7,0,13,33,59,37,34,55,30,248
1100131,0,3,9,39,79,38,24,45,17,242
1100132,11,5,21,85,130,64,53,109,55,496
1100133,3,0,3,44,83,42,26,61,16,272
1100134,0,0,0,60,93,46,46,42,8,295
1100135,0,0,3,58,81,50,38,49,24,300
1100136,3,0,12,83,122,54,52,62,22,395
1100137,3,3,6,21,55,27,21,50,12,186
1100138,0,0,5,54,70,35,32,109,42,342
1100139,0,8,8,29,48,19,24,46,14,180
1100140,6,0,9,59,66,18,22,52,16,233
1100141,58,3,64,86,88,44,42,194,35,489
1100142,3,0,7,53,62,33,20,57,18,243
1100143,0,0,0,67,70,42,32,76,14,301
