region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
1100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100102,0,0,0,3,3,6,0,3,3,4,13,17,14,8,22,9,6,15,13,3,16,13,4,17,12,3,15,33,6,39,22,0,22,16,0,16,9,0,9,3,0,3,3,0,3,14,0,14,4,3,7,172,52,224
1100103,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
1100104,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
1100105,0,3,3,0,0,0,0,5,5,5,4,9,9,3,12,5,12,17,12,11,23,5,0,5,3,4,7,15,4,19,3,0,3,5,0,5,3,0,3,0,0,0,0,0,0,7,3,10,3,3,6,75,52,127
1100106,0,0,0,0,4,4,0,0,0,0,6,6,4,9,13,4,5,9,3,3,6,10,0,10,6,0,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,41,30,71
1100107,0,0,0,0,0,0,0,0,0,0,18,18,0,4,4,4,3,7,8,0,8,5,0,5,0,0,0,13,0,13,8,0,8,7,0,7,3,0,3,6,0,6,4,0,4,8,0,8,0,7,7,66,32,98
1100108,4,0,4,0,0,0,0,3,3,0,8,8,5,3,8,4,6,10,3,5,8,5,0,5,8,0,8,14,0,14,9,0,9,6,0,6,6,0,6,0,0,0,0,0,0,3,0,3,3,3,6,70,28,98
1100109,0,4,4,0,0,0,0,4,4,0,5,5,6,7,13,13,0,13,13,3,16,14,3,17,14,0,14,6,0,6,12,0,12,4,0,4,0,0,0,0,0,0,0,0,0,9,0,9,0,6,6,91,32,123
1100110,0,0,0,0,0,0,5,3,8,4,16,20,17,11,28,14,9,23,17,6,23,12,3,15,17,4,21,13,4,17,14,0,14,3,0,3,8,0,8,0,0,0,4,0,4,20,0,20,4,0,4,152,56,208
1100111,0,0,0,3,0,3,0,7,7,0,11,11,18,0,18,11,9,20,11,5,16,12,6,18,11,5,16,28,0,28,16,0,16,20,0,20,7,0,7,3,0,3,0,0,0,20,0,20,6,0,6,166,43,209
1100112,0,0,0,0,0,0,0,0,0,0,3,3,5,3,8,7,3,10,4,0,4,13,3,16,8,0,8,14,3,17,25,0,25,14,0,14,10,0,10,5,0,5,3,0,3,14,0,14,3,3,6,125,18,143
1100113,0,0,0,0,0,0,0,3,3,5,13,18,19,5,24,11,6,17,15,3,18,12,0,12,6,3,9,23,3,26,15,0,15,6,0,6,5,0,5,0,0,0,4,0,4,7,0,7,3,0,3,131,36,167
1100114,0,0,0,0,3,3,0,4,4,3,8,11,16,11,27,11,5,16,11,3,14,6,10,16,10,0,10,6,4,10,14,0,14,7,3,10,0,0,0,0,0,0,0,0,0,14,0,14,3,0,3,101,51,152
1100115,4,0,4,0,0,0,0,3,3,6,21,27,22,16,38,18,16,34,11,5,16,8,10,18,5,8,13,13,3,16,9,0,9,6,4,10,7,0,7,0,0,0,3,0,3,8,0,8,3,7,10,123,93,216
1100116,0,0,0,0,3,3,0,8,8,5,16,21,3,19,22,8,14,22,10,10,20,10,11,21,12,7,19,19,0,19,19,0,19,5,3,8,0,0,0,0,0,0,5,0,5,6,3,9,0,5,5,102,99,201
1100117,0,0,0,0,0,0,0,0,0,0,7,7,7,3,10,7,3,10,9,3,12,4,3,7,4,0,4,15,3,18,7,0,7,3,3,6,4,0,4,0,0,0,3,0,3,5,3,8,3,3,6,71,31,102
1100118,0,0,0,0,0,0,0,0,0,3,3,6,9,13,22,4,4,8,11,6,17,7,3,10,5,3,8,11,4,15,11,0,11,7,0,7,3,0,3,0,0,0,4,0,4,14,0,14,3,3,6,92,39,131
1100119,0,0,0,0,3,3,3,6,9,3,10,13,6,8,14,12,0,12,12,5,17,3,8,11,4,4,8,13,0,13,7,0,7,3,0,3,3,0,3,0,0,0,0,0,0,10,0,10,0,4,4,79,48,127
1100120,0,4,4,0,0,0,0,3,3,0,8,8,11,7,18,7,3,10,9,0,9,5,7,12,14,4,18,21,7,28,17,0,17,11,3,14,3,0,3,3,0,3,0,0,0,14,3,17,3,3,6,118,52,170
1100121,4,0,4,4,0,4,0,0,0,0,12,12,9,9,18,5,6,11,8,4,12,5,4,9,3,5,8,5,0,5,4,0,4,6,3,9,0,0,0,0,0,0,0,0,0,6,0,6,0,5,5,59,48,107
1100122,0,3,3,0,0,0,0,0,0,0,3,3,3,0,3,5,0,5,3,0,3,7,0,7,6,0,6,14,3,17,23,0,23,9,0,9,3,0,3,3,0,3,0,0,0,8,0,8,0,0,0,84,9,93
1100123,0,0,0,0,5,5,0,0,0,0,9,9,9,13,22,14,0,14,8,0,8,5,3,8,5,0,5,6,0,6,6,0,6,9,0,9,9,0,9,6,0,6,5,0,5,7,0,7,3,5,8,92,35,127
1100124,3,3,6,0,0,0,8,0,8,11,10,21,19,5,24,14,0,14,11,6,17,16,0,16,3,4,7,10,3,13,6,0,6,3,0,3,4,0,4,0,0,0,0,0,0,7,5,12,7,5,12,122,41,163
1100125,0,0,0,0,0,0,0,0,0,0,3,3,5,3,8,6,0,6,6,0,6,11,3,14,12,0,12,17,0,17,22,0,22,9,0,9,8,0,8,0,0,0,4,0,4,16,0,16,5,0,5,121,9,130
1100126,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,0,5,5,3,3,6,3,0,3,4,0,4,10,0,10,12,0,12,10,0,10,9,0,9,4,0,4,8,0,8,8,0,8,4,0,4,82,8,90
