region_id,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total
1100101,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120
1100102,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,35,0,0,3,0,0,0,0,0,3,41
1100103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
1100104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
1100105,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,3,21
1100106,3,5,0,4,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0,4,19,0,7,5,0,8,0,0,0,3,42
1100107,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,20
1100108,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,3,6,5,0,0,0,0,0,0,22
1100109,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18
1100110,0,0,6,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,20,0,0,3,6,0,0,0,3,0,32
1100111,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,3,0,0,0,0,4,27
1100112,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,3,28
1100113,3,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,11,3,3,0,5,0,0,0,0,0,22
1100114,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,6,23
1100115,3,0,0,4,0,9,3,0,22,0,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,4,0,12,3,4,50
1100116,0,0,0,0,3,7,0,0,16,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,3,7,0,0,28
1100117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,13
1100118,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,18
1100119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,0,0,17
1100120,3,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,3,0,0,0,0,27
1100121,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,3,0,0,0,0,26
1100122,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,14,5,3,0,3,0,0,0,0,3,28
1100123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,18
1100124,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,3,0,20
1100125,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,41
1100126,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,12
1100127,3,0,3,0,4,3,0,0,17,0,0,3,0,0,0,0,0,0,0,3,17,0,6,0,3,0,4,3,0,0,33
1100128,0,0,0,3,5,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,5,0,0,3,30
1100129,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,3,0,3,0,0,3,35
