region_id,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Emp_wkd_Tot_15_19,M_Emp_wkd_Tot_20_24,M_Emp_wkd_Tot_25_34,M_Emp_wkd_Tot_35_44,M_Emp_wkd_Tot_45_54,M_Emp_wkd_Tot_55_64,M_Emp_wkd_Tot_65_74,M_Emp_wkd_Tot_75_84,M_Emp_wkd_Tot_85ov,M_Emp_wkd_Tot_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Unem_look_Tot_15_19,M_Unem_look_Tot_20_24,M_Unem_look_Tot_25_34,M_Unem_look_Tot_35_44,M_Unem_look_Tot_45_54,M_Unem_look_Tot_55_64,M_Unem_look_Tot_65_74,M_Unem_look_Tot_75_84,M_Unem_look_Tot_85ov,M_Unem_look_Tot_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Emp_wkd_Tot_15_19,F_Emp_wkd_Tot_20_24,F_Emp_wkd_Tot_25_34,F_Emp_wkd_Tot_35_44,F_Emp_wkd_Tot_45_54,F_Emp_wkd_Tot_55_64,F_Emp_wkd_Tot_65_74,F_Emp_wkd_Tot_75_84,F_Emp_wkd_Tot_85ov,F_Emp_wkd_Tot_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Unem_look_Tot_15_19,F_Unem_look_Tot_20_24,F_Unem_look_Tot_25_34,F_Unem_look_Tot_35_44,F_Unem_look_Tot_45_54,F_Unem_look_Tot_55_64,F_Unem_look_Tot_65_74,F_Unem_look_Tot_75_84,F_Unem_look_Tot_85ov,F_Unem_look_Tot_Tot
POA2000,11,285,1949,806,542,382,106,14,4,4099,83,400,777,143,84,80,63,23,4,1657,3,25,65,30,16,15,5,0,0,159,6,28,72,14,15,6,3,0,0,144,103,738,2863,993,657,483,177,37,8,6059,3,44,86,33,29,16,0,0,0,211,25,110,82,13,14,11,0,0,0,255,28,154,168,46,43,27,0,0,0,466,131,892,3031,1039,700,510,177,37,8,6525,248,710,640,119,116,167,187,128,41,2356,122,455,901,283,206,177,97,38,15,2294,501,2057,4572,1441,1022,854,461,203,64,11175,15,296,1392,492,340,198,24,6,0,2763,108,463,913,200,126,113,49,11,0,1983,3,37,85,35,15,11,5,0,0,191,5,27,48,11,8,4,3,0,0,106,131,823,2438,738,489,326,81,17,0,5043,3,41,96,25,11,6,0,0,0,182,32,144,96,18,12,11,0,0,0,313,35,185,192,43,23,17,0,0,0,495
POA2006,3,5,6,4,9,6,0,0,0,33,38,74,23,0,0,0,0,0,0,135,7,11,3,0,4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,48,90,32,4,13,6,0,0,0,193,0,0,0,3,0,0,0,0,0,3,11,16,0,0,0,0,0,0,0,27,11,16,0,3,0,0,0,0,0,30,59,106,32,7,13,6,0,0,0,223,67,101,26,3,3,0,3,6,3,212,22,33,10,0,3,4,3,3,0,78,148,240,68,10,19,10,6,9,3,513,0,4,0,6,5,3,0,0,0,18,81,124,10,3,3,0,0,0,0,221,7,16,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,3,88,147,10,9,8,3,0,0,0,265,3,0,0,0,0,0,0,0,0,3,28,29,0,0,0,0,0,0,0,57,31,29,0,0,0,0,0,0,0,60
POA2007,8,84,647,256,112,68,11,0,0,1186,25,145,178,38,23,20,8,0,0,437,3,5,17,12,3,4,0,0,0,44,5,8,23,4,0,0,0,0,0,40,41,242,865,310,138,92,19,0,0,1707,0,9,28,15,7,5,0,0,0,64,24,60,33,4,0,0,0,0,0,121,24,69,61,19,7,5,0,0,0,185,65,311,926,329,145,97,19,0,0,1892,114,296,196,39,21,40,44,43,8,801,60,216,301,86,30,21,14,7,0,735,239,823,1423,454,196,158,77,50,8,3428,8,87,484,139,85,40,6,0,0,849,42,200,186,57,41,16,3,0,0,545,3,12,18,10,0,0,3,3,0,49,0,6,8,7,3,3,3,0,0,30,53,305,696,213,129,59,15,3,0,1473,0,20,41,7,0,0,0,0,0,68,21,63,31,10,7,0,0,0,0,132,21,83,72,17,7,0,0,0,0,200
POA2008,0,151,652,305,191,85,14,0,0,1398,26,161,185,67,25,34,6,3,0,507,0,5,22,9,0,5,0,0,0,41,0,3,13,3,7,3,0,0,0,29,26,320,872,384,223,127,20,3,0,1975,0,21,24,26,5,4,0,0,0,80,12,33,20,7,5,4,3,0,0,84,12,54,44,33,10,8,3,0,0,164,38,374,916,417,233,135,23,3,0,2139,63,204,153,50,42,64,58,27,5,666,23,90,125,64,41,42,16,5,3,409,124,668,1194,531,316,241,97,35,8,3214,8,154,515,167,117,50,8,3,0,1022,46,169,176,76,41,23,3,3,0,537,0,17,40,11,0,5,3,0,0,76,3,4,15,4,0,0,0,0,0,26,57,344,746,258,158,78,14,6,0,1661,3,8,22,9,6,0,0,0,0,48,17,55,28,8,3,0,0,0,0,111,20,63,50,17,9,0,0,0,0,159
POA2009,0,168,1408,758,416,300,56,3,0,3109,15,100,200,76,48,70,41,3,0,553,0,4,35,24,17,9,3,0,0,92,0,7,20,12,4,0,0,0,0,43,15,279,1663,870,485,379,100,6,0,3797,4,16,37,43,22,12,3,0,0,137,7,30,15,3,4,0,0,0,0,59,11,46,52,46,26,12,3,0,0,196,26,325,1715,916,511,391,103,6,0,3993,77,106,143,58,48,94,136,71,11,744,22,70,273,113,73,59,25,13,0,648,125,501,2131,1087,632,544,264,90,11,5385,8,175,1162,468,263,170,31,0,0,2277,31,104,288,151,113,96,32,5,0,820,0,12,49,31,20,15,0,0,0,127,0,8,16,5,6,0,0,0,0,35,39,299,1515,655,402,281,63,5,0,3259,0,12,52,14,18,6,0,0,0,102,8,21,25,8,13,5,0,0,0,80,8,33,77,22,31,11,0,0,0,182
POA2010,24,426,3275,2060,1135,460,80,5,4,7469,35,243,629,318,201,161,64,5,0,1656,3,17,94,57,31,20,4,3,0,229,0,9,49,25,20,11,7,0,0,121,62,695,4047,2460,1387,652,155,13,4,9475,9,26,98,108,62,38,5,0,0,346,13,38,51,21,21,14,0,0,0,158,22,64,149,129,83,52,5,0,0,504,84,759,4196,2589,1470,704,160,13,4,9979,90,159,303,255,327,343,338,257,66,2138,37,161,738,478,285,188,117,59,17,2080,211,1079,5237,3322,2082,1235,615,329,87,14197,20,451,2481,893,488,255,39,3,0,4630,54,295,596,285,155,122,42,0,0,1549,3,13,88,59,24,10,4,3,0,204,4,21,21,15,18,7,3,0,0,89,81,780,3186,1252,685,394,88,6,0,6472,0,28,67,40,20,9,0,0,0,164,10,32,58,25,8,17,0,0,0,150,10,60,125,65,28,26,0,0,0,314
POA2011,45,388,1909,1344,794,434,122,11,0,5047,11,116,291,190,131,129,76,27,3,974,3,6,30,47,21,12,6,3,0,128,3,17,24,14,11,3,4,3,0,79,62,527,2254,1595,957,578,208,44,3,6228,0,21,57,53,42,28,5,0,0,206,5,15,26,22,17,16,0,0,0,101,5,36,83,75,59,44,5,0,0,307,67,563,2337,1670,1016,622,213,44,3,6535,58,76,141,147,178,253,305,206,74,1438,35,133,404,278,208,151,87,47,25,1368,160,772,2882,2095,1402,1026,605,297,102,9341,24,295,1577,775,445,302,51,0,0,3469,23,166,314,213,140,164,66,10,5,1101,3,15,61,36,22,18,4,3,0,162,4,14,18,12,3,6,3,0,0,60,54,490,1970,1036,610,490,124,13,5,4792,5,15,45,35,18,16,0,0,0,134,4,21,32,10,9,11,3,0,0,90,9,36,77,45,27,27,3,0,0,224
POA2015,6,159,1043,767,415,152,24,4,0,2570,21,70,115,88,53,42,15,0,0,404,3,5,24,14,13,7,0,0,0,66,3,3,12,9,4,5,0,0,0,36,33,237,1194,878,485,206,39,4,0,3076,3,4,21,22,14,11,0,0,0,75,5,11,14,5,0,0,3,0,0,38,8,15,35,27,14,11,3,0,0,113,41,252,1229,905,499,217,42,4,0,3189,54,41,47,33,41,57,77,41,3,394,10,22,114,75,45,21,18,14,4,323,105,315,1390,1013,585,295,137,59,7,3906,10,154,905,473,236,121,11,0,0,1910,24,85,170,176,95,50,11,0,0,611,3,7,52,39,4,7,4,0,0,116,0,3,7,5,3,3,0,0,0,21,37,249,1134,693,338,181,26,0,0,2658,3,5,19,8,9,3,0,0,0,47,4,11,13,4,11,5,0,0,0,48,7,16,32,12,20,8,0,0,0,95
POA2016,7,196,1126,847,532,214,31,4,0,2957,25,157,212,129,115,75,23,4,0,740,0,14,33,24,18,6,0,0,0,95,7,3,17,11,3,8,6,0,0,55,39,370,1388,1011,668,303,60,8,0,3847,0,15,48,41,34,26,4,0,0,168,7,24,24,10,10,4,0,3,0,82,7,39,72,51,44,30,4,3,0,250,46,409,1460,1062,712,333,64,11,0,4097,67,114,137,144,178,220,272,187,36,1355,20,91,216,157,147,93,70,49,11,854,133,614,1813,1363,1037,646,406,247,47,6306,6,183,880,401,246,132,18,3,0,1869,27,158,250,131,82,64,23,6,0,741,0,12,46,32,9,8,0,0,0,107,0,3,7,7,10,3,4,0,0,34,33,356,1183,571,347,207,45,9,0,2751,6,10,16,20,21,5,0,0,0,78,5,21,17,9,11,7,0,0,0,70,11,31,33,29,32,12,0,0,0,148
POA2017,10,246,1435,855,353,160,17,3,0,3079,31,126,218,112,60,60,25,5,0,637,3,19,44,21,15,7,0,0,3,112,3,7,17,11,7,5,3,0,0,53,47,398,1714,999,435,232,45,8,3,3881,5,21,59,39,29,28,0,0,0,181,19,67,26,11,8,13,3,0,0,147,24,88,85,50,37,41,3,0,0,328,71,486,1799,1049,472,273,48,8,3,4209,207,380,185,122,173,267,324,183,36,1877,55,155,290,148,124,110,98,72,12,1064,333,1021,2274,1319,769,650,470,263,51,7150,7,205,1129,394,201,88,7,0,0,2031,45,180,255,134,87,81,16,3,0,801,4,14,50,35,15,4,0,0,0,122,0,12,18,9,7,5,0,0,0,51,56,411,1452,572,310,178,23,3,0,3005,3,19,43,14,26,6,0,0,0,111,23,52,34,15,11,12,0,0,0,147,26,71,77,29,37,18,0,0,0,258
