region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
POA2000,728,665,1393,629,666,1295,5,7,12,28,25,53,62,41,103,835,380,1215,58,123,181,6,3,9,25,8,33,59,9,68,60,36,96,2762,2299,5061,5257,4262,9519,97,104,201,0,3,3,0,0,0,16,3,19,0,8,8,6,10,16,119,128,247,6,3,9,0,0,0,6,3,9,3,3,6,9,8,17,24,17,41,21,12,33,164,157,321,19,11,30,4,0,4,3,4,7,26,15,41,200,169,369,328,380,708,85,59,144,6060,5042,11102
POA2006,8,11,19,31,35,66,0,0,0,0,0,0,0,0,0,26,27,53,4,0,4,5,0,5,0,0,0,3,4,7,0,0,0,40,44,84,117,121,238,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,10,6,16,0,3,3,0,0,0,0,0,0,0,3,3,4,21,25,63,115,178,0,0,0,194,266,460
POA2007,168,142,310,244,255,499,0,0,0,15,6,21,19,10,29,320,177,497,17,46,63,0,0,0,21,8,29,46,14,60,18,13,31,587,524,1111,1455,1195,2650,52,51,103,0,0,0,0,3,3,3,3,6,3,0,3,0,0,0,58,57,115,4,0,4,3,3,6,0,3,3,0,3,3,6,9,15,13,18,31,3,8,11,74,83,157,14,4,18,0,0,0,0,0,0,14,4,18,46,34,80,99,138,237,19,17,36,1707,1471,3178
POA2008,346,256,602,278,314,592,0,0,0,5,3,8,12,9,21,394,223,617,29,36,65,5,0,5,26,9,35,95,52,147,14,4,18,455,410,865,1659,1316,2975,58,52,110,0,0,0,0,0,0,0,5,5,0,3,3,10,3,13,68,63,131,0,3,3,0,0,0,0,0,0,5,0,5,5,5,10,10,8,18,11,0,11,89,71,160,15,5,20,0,0,0,0,0,0,15,5,20,71,53,124,126,196,322,18,19,37,1978,1660,3638
POA2009,159,158,317,300,375,675,6,4,10,46,42,88,62,60,122,1007,662,1669,62,125,187,10,0,10,53,9,62,102,33,135,33,18,51,1465,1194,2659,3305,2680,5985,67,65,132,0,0,0,15,16,31,0,0,0,0,7,7,6,7,13,88,95,183,0,4,4,3,9,12,7,6,13,5,0,5,17,15,32,32,34,66,20,10,30,140,139,279,24,18,42,8,5,13,3,3,6,35,26,61,135,140,275,168,248,416,16,27,43,3799,3260,7059
POA2010,1215,804,2019,1021,931,1952,8,3,11,48,23,71,180,98,278,1756,968,2724,123,157,280,18,0,18,155,31,186,343,115,458,64,25,89,3191,2321,5512,8122,5476,13598,148,96,244,0,0,0,3,3,6,7,9,16,11,5,16,43,9,52,212,122,334,0,4,4,0,3,3,5,6,11,4,16,20,26,25,51,35,54,89,43,22,65,290,198,488,33,15,48,3,6,9,6,9,15,42,30,72,462,265,727,479,442,921,79,61,140,9474,6472,15946
POA2011,1155,848,2003,330,370,700,3,3,6,3,3,6,167,147,314,1162,794,1956,108,132,240,13,0,13,102,27,129,154,36,190,170,58,228,1858,1543,3401,5225,3961,9186,158,148,306,0,0,0,4,0,4,13,6,19,8,10,18,35,26,61,218,190,408,3,4,7,0,0,0,5,0,5,0,0,0,15,8,23,23,12,35,38,15,53,279,217,496,30,15,45,3,3,6,0,3,3,33,21,54,317,228,545,320,332,652,52,33,85,6226,4792,11018
POA2015,569,500,1069,213,297,510,0,0,0,0,4,4,25,18,43,1156,824,1980,64,115,179,15,0,15,83,25,108,157,69,226,19,15,34,287,273,560,2588,2140,4728,83,70,153,0,0,0,0,6,6,16,5,21,7,11,18,14,4,18,120,96,216,0,0,0,0,0,0,7,3,10,0,7,7,6,13,19,13,23,36,13,6,19,146,125,271,18,21,39,0,0,0,4,0,4,22,21,43,110,109,219,186,244,430,26,19,45,3078,2658,5736
POA2016,655,447,1102,422,391,813,4,0,4,7,0,7,28,30,58,981,544,1525,74,84,158,19,3,22,75,16,91,251,115,366,17,8,25,689,578,1267,3222,2216,5438,100,68,168,3,0,3,3,0,3,8,6,14,8,0,8,17,8,25,139,82,221,0,0,0,4,0,4,0,8,8,0,6,6,4,13,17,8,27,35,25,10,35,172,119,291,20,5,25,6,5,11,3,0,3,29,10,39,141,112,253,239,258,497,44,37,81,3847,2752,6599
POA2017,246,192,438,734,771,1505,0,0,0,3,0,3,35,27,62,1494,834,2328,96,192,288,21,0,21,89,23,112,201,46,247,24,13,37,369,319,688,3312,2417,5729,114,117,231,0,0,0,3,0,3,3,5,8,8,4,12,11,6,17,139,132,271,4,0,4,3,5,8,10,11,21,11,3,14,15,16,31,43,35,78,22,8,30,204,175,379,11,7,18,4,4,8,3,3,6,18,14,32,105,71,176,206,296,502,37,30,67,3882,3003,6885
