region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA2000,19,20,1284,0,3,1326,32,11,1388,3,0,1434,65,21,3772,0,9,3867,80,134,94,0,12,320,17,4,816,0,3,840,5,6,23,0,0,34,3,0,119,0,3,125,3,3,54,0,3,63,173,168,4878,0,30,5249,3,4,35,0,3,45,8,12,222,0,0,242,235,215,7807,3,36,8296
POA2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,4,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,7,0,4,0,0,11
POA2007,0,80,201,0,0,281,6,78,395,0,4,483,12,103,976,0,3,1094,0,18,115,0,0,133,4,55,266,0,3,328,0,14,88,0,0,102,0,0,69,0,3,72,0,3,13,0,0,16,16,193,1527,0,9,1745,0,0,18,0,0,18,0,10,42,3,0,55,22,361,2183,3,13,2582
POA2008,9,165,95,0,0,269,17,215,302,0,3,537,46,303,752,3,7,1111,8,12,116,6,0,142,15,132,185,3,3,338,3,13,21,0,0,37,0,10,11,0,0,21,0,4,6,0,0,10,72,474,1091,12,10,1659,0,4,8,0,0,12,0,31,25,0,0,56,98,889,1521,12,13,2533
POA2009,4,40,677,0,3,724,3,96,1041,0,3,1143,0,85,2053,0,14,2152,0,20,229,0,0,249,3,32,366,0,3,404,0,0,168,0,0,168,0,0,43,0,0,43,3,3,23,0,0,29,6,140,2882,0,17,3045,0,0,23,0,0,23,0,7,71,0,3,81,13,283,4694,0,26,5016
POA2010,46,602,842,8,3,1501,59,798,1840,8,12,2717,75,921,3802,47,17,4862,5,62,791,0,0,858,18,382,832,27,12,1271,0,9,39,0,0,48,3,17,25,3,0,48,0,25,40,3,0,68,101,1416,5529,80,29,7155,3,13,50,0,0,66,5,72,178,0,0,255,214,2901,8439,96,44,11694
POA2011,13,82,1381,0,3,1479,5,83,1575,0,0,1663,14,115,4113,4,21,4267,4,202,201,0,0,407,4,39,870,0,10,923,0,5,31,0,0,36,0,4,57,0,0,61,0,7,50,0,0,57,22,372,5322,4,31,5751,3,5,37,0,0,45,0,17,160,0,0,177,43,559,8475,4,34,9115
POA2015,69,270,126,0,0,465,98,522,896,0,4,1520,48,324,899,4,4,1279,3,77,28,0,0,108,29,97,158,4,0,288,0,14,45,0,4,63,3,5,8,0,0,16,3,4,10,0,0,17,86,521,1148,8,8,1771,3,9,5,0,0,17,6,23,28,0,0,57,262,1345,2203,8,12,3830
POA2016,110,340,278,5,0,733,116,431,764,5,0,1316,106,352,1025,11,8,1502,6,46,1058,0,0,1110,42,160,218,3,4,427,4,5,24,0,0,33,5,8,7,0,0,20,0,10,30,0,0,40,163,581,2362,14,12,3132,0,6,28,0,0,34,11,37,104,0,0,152,400,1395,3536,24,12,5367
POA2017,20,105,317,0,0,442,33,171,1161,0,6,1371,42,135,1938,0,3,2118,22,301,1155,3,250,1731,6,51,298,0,3,358,0,10,74,0,4,88,0,0,51,0,0,51,0,8,42,0,0,50,70,505,3558,3,260,4396,0,5,26,0,17,48,6,21,159,0,25,211,129,807,5221,3,308,6468
