region_id,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA2000,651,46,6,8,0,0,5,716
POA2006,4,0,0,0,0,0,0,4
POA2007,201,19,5,3,0,0,3,231
POA2008,168,11,7,0,0,3,0,189
POA2009,616,45,11,4,0,0,3,679
POA2010,700,47,16,9,0,0,3,775
POA2011,414,30,7,0,0,0,6,457
POA2015,521,51,9,3,0,0,0,584
POA2016,452,33,7,3,0,3,3,501
POA2017,534,51,10,6,0,0,0,601
POA2018,1754,75,32,20,0,0,3,1884
POA2019,1091,67,41,16,0,0,3,1218
POA2020,1120,64,28,16,4,0,4,1236
POA2021,986,64,21,4,0,0,4,1079
POA2022,964,61,7,7,0,0,0,1039
POA2023,1084,62,36,0,0,0,0,1182
POA2024,1124,69,15,3,0,0,0,1211
POA2025,623,36,11,0,0,0,0,670
POA2026,2320,138,43,9,0,0,6,2516
POA2027,422,34,10,0,0,0,0,466
POA2028,306,26,7,0,0,0,0,339
POA2029,976,52,21,0,0,0,3,1052
POA2030,1864,80,30,10,0,0,0,1984
POA2031,3055,175,56,11,0,0,8,3305
POA2032,1356,73,25,7,0,0,3,1464
POA2033,850,35,17,7,0,0,4,913
POA2034,1723,83,21,9,0,0,0,1836
POA2035,3515,188,74,35,0,7,11,3830
POA2036,3051,182,100,38,0,3,11,3385
POA2037,747,68,18,3,3,0,3,842
POA2038,801,53,20,0,0,0,3,877
POA2039,787,53,13,3,0,3,3,862
POA2040,2195,138,37,16,0,0,8,2394
POA2041,1429,88,25,3,0,4,0,1549
POA2042,1047,71,16,5,0,0,8,1147
POA2043,438,45,9,4,0,0,0,496
POA2044,614,41,21,8,0,0,3,687
POA2045,913,24,11,3,0,0,0,951
POA2046,3005,170,60,23,4,3,0,3265
POA2047,1120,59,25,5,0,0,3,1212
POA2048,669,32,8,0,0,0,3,712
POA2049,919,53,17,7,0,0,4,1000
POA2050,328,22,7,3,0,0,0,360
POA2052,7,0,0,0,0,0,0,7
POA2060,749,47,11,3,0,0,0,810
POA2061,291,16,4,3,0,0,0,314
POA2062,598,52,12,4,0,0,0,666
POA2063,889,38,13,4,0,0,0,944
POA2064,1007,43,8,8,0,0,3,1069
POA2065,2422,136,33,15,0,0,6,2612
POA2066,3503,165,59,18,4,0,6,3755
POA2067,2598,109,33,35,0,0,3,2778
