region_id,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2000,2571,2463,5034,543,514,1057,1726,1518,3244,142,124,266,114,101,215,30,27,57,48,43,91,11,4,15,3,3,6,45,23,68,0,0,0,2119,1843,3962,3626,3847,7473,84,83,167,6372,6287,12659,2479,2027,4506,11422,10777,22199
POA2006,67,46,113,7,7,14,245,354,599,15,21,36,12,17,29,7,3,10,6,5,11,6,3,9,0,4,4,24,19,43,0,0,0,315,426,741,50,76,126,0,0,0,372,509,881,79,79,158,518,634,1152
POA2007,746,736,1482,128,127,255,634,562,1196,47,38,85,38,34,72,17,14,31,30,24,54,10,0,10,5,8,13,20,20,40,0,0,0,801,700,1501,1050,1158,2208,20,16,36,1999,2001,4000,801,644,1445,3546,3381,6927
POA2008,881,700,1581,96,77,173,955,779,1734,47,41,88,46,58,104,12,8,20,27,25,52,11,0,11,3,7,10,28,28,56,0,0,0,1129,946,2075,734,771,1505,21,14,35,1980,1808,3788,444,335,779,3305,2843,6148
POA2009,1545,1562,3107,447,439,886,1400,1299,2699,93,74,167,82,83,165,29,33,62,47,57,104,13,7,20,8,0,8,31,31,62,3,0,3,1706,1584,3290,1200,1232,2432,21,19,40,3374,3274,6648,710,617,1327,5629,5453,11082
POA2010,4250,2859,7109,759,414,1173,3850,2885,6735,225,158,383,226,210,436,81,69,150,121,93,214,36,11,47,8,13,21,75,73,148,0,0,0,4622,3512,8134,2453,2065,4518,113,100,213,7947,6091,14038,2260,1330,3590,14457,10280,24737
POA2011,2839,2354,5193,718,514,1232,2210,1978,4188,235,132,367,222,165,387,59,46,105,84,84,168,26,16,42,14,10,24,82,48,130,0,0,0,2932,2479,5411,1477,1258,2735,65,42,107,5192,4293,9485,1503,1426,2929,9534,8073,17607
POA2015,1326,1256,2582,199,198,397,1536,1446,2982,48,43,91,59,65,124,22,30,52,35,24,59,5,13,18,4,6,10,42,34,76,0,0,0,1751,1661,3412,439,426,865,27,22,49,2416,2307,4723,374,269,643,4116,3832,7948
POA2016,2436,1875,4311,327,217,544,1707,1367,3074,79,55,134,94,90,184,21,22,43,32,32,64,0,7,7,5,4,9,45,25,70,0,0,0,1983,1602,3585,797,652,1449,38,19,57,3145,2490,5635,929,723,1652,6510,5088,11598
POA2017,2171,2016,4187,315,247,562,1958,1503,3461,110,77,187,131,125,256,43,50,93,57,25,82,9,5,14,6,4,10,43,43,86,0,0,0,2357,1832,4189,1366,1337,2703,57,40,97,4095,3456,7551,1153,991,2144,7419,6463,13882
POA2018,3923,4073,7996,438,433,871,1312,1241,2553,32,37,69,40,42,82,8,14,22,5,3,8,0,3,3,0,0,0,13,10,23,0,0,0,1410,1350,2760,720,700,1420,31,18,49,2599,2501,5100,727,620,1347,7249,7194,14443
POA2019,2215,2297,4512,241,245,486,1073,1131,2204,19,12,31,32,27,59,0,4,4,8,4,12,5,0,5,0,5,5,7,8,15,0,0,0,1144,1191,2335,151,162,313,13,16,29,1549,1614,3163,253,252,505,4017,4163,8180
POA2020,2494,2580,5074,274,298,572,1196,1097,2293,22,24,46,39,41,80,9,7,16,12,20,32,4,0,4,5,3,8,16,8,24,0,0,0,1303,1200,2503,366,423,789,28,19,47,1971,1940,3911,313,268,581,4778,4788,9566
POA2021,2488,2650,5138,338,367,705,1665,1881,3546,98,126,224,81,109,190,26,38,64,38,64,102,9,7,16,5,0,5,37,31,68,0,0,0,1959,2256,4215,806,914,1720,34,31,65,3137,3568,6705,811,763,1574,6436,6981,13417
POA2022,2227,2416,4643,285,283,568,1164,1193,2357,53,42,95,42,58,100,11,26,37,21,12,33,4,0,4,0,4,4,18,15,33,0,0,0,1313,1350,2663,715,854,1569,16,19,35,2329,2506,4835,757,619,1376,5313,5541,10854
POA2023,2179,2387,4566,328,369,697,1161,1147,2308,44,29,73,41,47,88,12,9,21,18,22,40,0,3,3,0,3,3,23,21,44,0,0,0,1299,1281,2580,494,463,957,19,20,39,2140,2133,4273,672,603,1275,4991,5123,10114
POA2024,2323,2622,4945,269,273,542,1049,1221,2270,60,53,113,26,38,64,12,8,20,11,19,30,0,0,0,4,4,8,18,15,33,0,0,0,1180,1358,2538,501,578,1079,11,19,30,1961,2228,4189,563,577,1140,4847,5427,10274
POA2025,1360,1724,3084,126,147,273,821,985,1806,31,47,78,40,48,88,8,7,15,14,20,34,3,3,6,3,0,3,14,25,39,0,0,0,934,1135,2069,341,367,708,6,11,17,1407,1660,3067,284,335,619,3051,3719,6770
POA2026,5471,5519,10990,952,898,1850,2913,2935,5848,148,196,344,193,217,410,42,39,81,56,79,135,5,7,12,3,3,6,50,45,95,0,0,0,3410,3521,6931,2291,2309,4600,72,64,136,6725,6792,13517,2069,1800,3869,14265,14111,28376
POA2027,1280,1601,2881,263,292,555,728,854,1582,44,43,87,35,50,85,13,24,37,19,21,40,3,0,3,3,3,6,21,17,38,0,0,0,866,1012,1878,383,375,758,7,13,20,1519,1692,3211,453,452,905,3252,3745,6997
POA2028,757,1070,1827,149,164,313,470,642,1112,30,42,72,31,42,73,13,16,29,8,15,23,4,4,8,0,0,0,11,14,25,0,0,0,567,775,1342,205,231,436,12,10,22,933,1180,2113,245,277,522,1935,2527,4462
POA2029,1852,2190,4042,237,247,484,1028,1249,2277,30,30,60,35,57,92,6,16,22,16,11,27,0,0,0,0,5,5,8,16,24,0,0,0,1123,1384,2507,438,490,928,20,15,35,1818,2136,3954,328,398,726,3998,4724,8722
POA2030,3548,3867,7415,422,449,871,1250,1386,2636,55,34,89,49,43,92,7,5,12,23,24,47,4,4,8,3,3,6,22,21,43,3,0,3,1416,1520,2936,419,465,884,26,17,43,2283,2451,4734,462,403,865,6293,6721,13014
POA2031,6267,6980,13247,935,1005,1940,3332,3948,7280,140,144,284,153,169,322,35,46,81,42,57,99,14,28,42,19,8,27,56,87,143,0,0,0,3791,4487,8278,1977,2189,4166,55,79,134,6758,7760,14518,1191,1122,2313,14216,15862,30078
POA2032,3121,3452,6573,351,326,677,1333,1348,2681,41,30,71,31,35,66,17,14,31,14,18,32,7,8,15,3,7,10,25,15,40,0,0,0,1471,1475,2946,1680,1497,3177,33,22,55,3535,3320,6855,555,534,1089,7211,7306,14517
POA2033,1941,2036,3977,308,309,617,1226,1203,2429,49,55,104,66,64,130,15,14,29,15,9,24,5,4,9,6,5,11,27,20,47,0,0,0,1409,1374,2783,1048,997,2045,20,31,51,2785,2711,5496,543,409,952,5269,5156,10425
POA2034,3785,4219,8004,596,648,1244,1776,1959,3735,74,105,179,114,148,262,17,21,38,42,46,88,7,7,14,10,17,27,47,65,112,0,0,0,2087,2368,4455,1136,1347,2483,35,38,73,3854,4401,8255,897,764,1661,8536,9384,17920
POA2035,7884,8745,16629,932,957,1889,3082,3268,6350,89,81,170,96,98,194,17,19,36,24,24,48,9,15,24,10,8,18,39,27,66,0,0,0,3366,3540,6906,1463,1556,3019,70,66,136,5831,6119,11950,1271,1307,2578,14986,16171,31157
POA2036,7076,7433,14509,703,710,1413,2352,2362,4714,40,45,85,66,57,123,6,13,19,17,20,37,3,5,8,10,9,19,18,15,33,0,0,0,2512,2526,5038,694,689,1383,49,35,84,3958,3960,7918,2082,801,2883,13116,12194,25310
POA2037,2409,2893,5302,352,349,701,1660,1827,3487,81,94,175,86,115,201,37,33,70,35,38,73,7,13,20,13,10,23,51,67,118,0,0,0,1970,2197,4167,802,889,1691,22,30,52,3146,3465,6611,722,588,1310,6277,6946,13223
