region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2000,2492,4960,3,7,30,109,8,39,444,1482,485,1637,32,126,79,244,117,348,228,718,713,2355,3,6,8,34,8,39,113,247,132,326,10,25,94,206,142,305,246,536,378,862,409,892,3992,9069
POA2006,3,3,0,0,0,12,0,0,0,0,0,12,0,3,4,3,0,3,4,9,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24
POA2007,693,1390,3,5,11,45,3,12,154,517,171,579,3,20,25,82,34,95,62,197,233,776,0,0,5,23,4,5,42,108,51,136,6,17,23,48,37,71,66,136,117,272,97,209,1140,2647
POA2008,697,1369,3,12,9,34,3,5,137,466,152,517,3,14,13,43,19,61,35,118,187,635,0,6,5,16,0,0,32,71,37,93,5,16,17,35,41,91,63,142,100,235,84,167,1068,2406
POA2009,1764,3454,7,29,29,111,15,56,458,1556,509,1752,14,60,57,180,101,284,172,524,681,2276,0,4,17,51,9,23,116,296,142,374,13,49,47,98,112,228,172,375,314,749,111,231,2870,6710
POA2010,3516,6845,3,21,30,139,7,28,550,1887,590,2075,18,67,63,198,101,299,182,564,772,2639,0,0,9,27,9,32,104,240,122,299,10,27,43,80,161,316,214,423,336,722,185,394,4809,10600
POA2011,2343,4509,0,3,8,35,4,24,321,1057,333,1119,12,54,46,143,64,177,122,374,455,1493,0,8,14,46,6,14,111,258,131,326,8,15,31,69,132,265,171,349,302,675,88,185,3188,6862
POA2015,1222,2393,3,11,23,90,4,23,446,1526,476,1650,12,46,36,129,61,179,109,354,585,2004,5,24,12,26,3,15,83,203,103,268,11,27,31,70,68,148,110,245,213,513,62,135,2082,5045
POA2016,1394,2746,3,16,24,98,5,21,357,1218,389,1353,11,55,34,112,66,204,111,371,500,1724,0,5,6,31,3,15,97,208,106,259,10,31,49,101,152,325,211,457,317,716,104,218,2315,5404
POA2017,1632,3229,3,17,18,80,5,19,425,1440,451,1556,10,51,54,162,85,280,149,493,600,2049,10,44,15,46,14,50,184,476,223,616,14,38,88,192,187,388,289,618,512,1234,194,400,2938,6912
POA2018,1321,2648,17,103,166,721,45,200,1015,3824,1243,4848,82,358,141,482,416,1347,639,2187,1882,7035,0,3,37,133,18,59,218,566,273,761,24,75,65,141,294,659,383,875,656,1636,120,248,3979,11567
POA2019,659,1322,12,76,91,418,42,186,728,2801,873,3481,54,231,81,267,212,686,347,1184,1220,4665,0,16,26,78,11,39,144,356,181,489,17,60,40,99,157,346,214,505,395,994,42,86,2316,7067
POA2020,1013,2056,15,85,108,473,37,167,614,2318,774,3043,64,261,114,401,282,931,460,1593,1234,4636,5,20,14,59,16,52,133,343,168,474,16,54,46,101,183,406,245,561,413,1035,104,229,2764,7956
POA2021,1616,3143,0,16,66,275,8,30,740,2645,814,2966,41,151,121,407,104,309,266,867,1080,3833,0,0,21,61,3,8,127,278,151,347,14,38,58,117,107,219,179,374,330,721,81,168,3107,7865
POA2022,1204,2377,9,46,64,292,13,56,686,2568,772,2962,30,110,99,330,136,428,265,868,1037,3830,3,5,23,90,4,15,104,253,134,363,19,65,62,134,143,289,224,488,358,851,86,178,2685,7236
POA2023,1005,1969,17,81,139,630,8,43,638,2510,802,3264,77,305,142,505,161,482,380,1292,1182,4556,5,11,15,45,0,9,90,220,110,285,9,35,59,136,101,214,169,385,279,670,55,118,2521,7313
POA2024,1008,1963,4,28,104,466,14,48,770,2932,892,3474,48,206,116,397,154,468,318,1071,1210,4545,0,0,17,62,7,16,115,275,139,353,15,48,49,95,129,269,193,412,332,765,35,68,2585,7341
POA2025,829,1614,5,19,43,162,5,27,432,1620,485,1828,24,93,85,271,77,240,186,604,671,2432,0,0,13,38,3,3,72,177,88,218,11,37,34,77,97,194,142,308,230,526,44,90,1774,4662
POA2026,3215,6281,30,136,148,680,20,77,1733,6365,1931,7258,92,384,199,658,296,906,587,1948,2518,9206,3,10,36,116,11,28,306,698,356,852,33,99,94,215,261,537,388,851,744,1703,165,335,6642,17525
