region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
POA2000,390,2424,4585,22764
POA2006,83,575,164,1165
POA2007,181,830,1505,7117
POA2008,317,1763,814,6294
POA2009,427,2616,1373,11619
POA2010,1087,7481,3690,25405
POA2011,768,5887,3031,18047
POA2015,431,3206,693,8434
POA2016,549,3831,1744,12035
POA2017,412,3331,2197,14467
POA2018,506,2793,1575,15398
POA2019,504,3633,617,8897
POA2020,365,2444,710,10176
POA2021,850,5330,1800,14246
POA2022,602,3226,1492,11592
POA2023,673,3358,1428,10757
POA2024,676,4092,1267,11074
POA2025,482,2816,662,7188
POA2026,1600,8155,4250,30390
POA2027,376,2516,997,7305
POA2028,266,1644,594,4687
POA2029,497,2533,794,9401
POA2030,877,3865,1039,13911
POA2031,1794,11003,2572,32319
POA2032,565,3231,1226,15266
POA2033,454,2846,1047,10960
POA2034,1010,7029,1844,19081
POA2035,1423,9778,3041,33238
POA2036,1084,8895,3230,26892
POA2037,759,5179,1428,13848
POA2038,613,3683,590,8665
POA2039,480,3203,548,7924
POA2040,1230,8421,1339,20862
POA2041,876,6116,1108,14751
POA2042,1079,6688,1916,17721
POA2043,459,2764,297,6843
POA2044,386,2382,697,7199
POA2045,342,2400,491,6641
POA2046,1255,9129,1412,25174
POA2047,597,4595,988,11377
POA2048,445,3072,548,7698
POA2049,658,4068,922,10453
POA2050,357,2331,703,6708
POA2052,79,494,65,1814
POA2060,616,4403,1220,12274
POA2061,223,1751,761,5674
POA2062,433,2815,461,6779
POA2063,364,2742,236,5931
POA2064,487,2536,407,8644
POA2065,1538,9319,1855,27186
POA2066,1710,10899,1306,27616
POA2067,883,4528,1618,22622
POA2068,1040,6296,762,15866
POA2069,878,5532,614,13281
POA2070,783,4646,616,12292
POA2071,661,4039,509,12153
POA2072,359,2155,329,6586
POA2073,958,6467,601,15733
POA2074,1312,8977,1134,20937
POA2075,1041,6083,786,18646
POA2076,1417,9992,1125,23776
POA2077,1669,11164,1787,34900
POA2079,423,3473,246,7102
POA2080,101,845,46,1575
POA2081,347,2719,166,5169
POA2082,356,3148,213,5657
POA2083,89,895,70,1555
POA2084,267,1864,210,3540
POA2085,664,4886,468,10704
POA2086,863,5953,448,13198
POA2087,821,4984,482,12286
POA2088,1677,11242,2186,27450
POA2089,604,3937,1075,11079
POA2090,756,4837,1324,13021
POA2092,476,2805,285,6722
POA2093,1481,9263,1012,21615
POA2094,352,2272,301,5491
POA2095,844,5136,1643,15071
POA2096,942,6287,781,13865
POA2097,909,7256,733,14383
POA2099,2119,14757,2084,36680
POA2100,1157,8288,1152,19452
POA2101,1091,9047,1527,17975
POA2102,366,2968,336,6150
POA2103,701,5057,545,10166
POA2104,190,1545,194,3092
POA2105,140,781,126,1837
POA2106,602,4691,582,9043
POA2107,1065,7379,657,14462
POA2108,122,984,153,1895
POA2109,47,383,424,1785
POA2110,648,4534,472,9802
POA2111,779,5643,564,13417
POA2112,1182,8967,1551,27782
POA2113,716,5435,946,16797
