region_id,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Sede_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Fl_u_a_1_or2_st_bl_NofB_0_ib,Flt_un_at_In_1_or2_s_b_NofB_1,Flt_un_at_In_1_or2_s_b_NofB_2,Flt_un_at_In_1_or2_s_b_NofB_3,Flt_un_at_In_1_or2_s_b_NofB_4,Flt_un_at_In_1_or2_s_b_NofB_5,Fl_un_at_In_1_or2_s_b_NoB_6_m,Flt_u_at_In_1_or2_s_b_NoB_NS,Flt_un_at_In_1_or2_s_b_Total,Flt_un_apt_3_st_bl_NoB_0_ib,Flt_un_apt_In_3_st_bl_NofB_1,Flt_un_apt_In_3_st_bl_NofB_2,Flt_un_apt_In_3_st_bl_NofB_3,Flt_un_apt_In_3_st_bl_NofB_4,Flt_un_apt_In_3_st_bl_NofB_5,Flt_un_apt_In_3_s_bl_NofB_6_m,Flt_un_apt_In_3_st_bl_NofB_NS,Flt_un_apt_In_3_st_bl_Total,Ft_un_ap_4_or_m_s_b_NofB_0_ib,Ft_un_apt_4_or_m_s_b_NofB_1,Ft_un_apt_4_or_m_s_b_NofB_2,Ft_un_apt_4_or_m_s_b_NofB_3,Ft_un_apt_4_or_m_s_b_NofB_4,Ft_un_apt_4_or_m_s_b_NofB_5,Ft_un_apt_4_or_m_s_b_NofB_6_m,Ft_un_apt_4_or_m_s_b_NofB_NS,Ft_un_apt_4_or_m_s_b_Total,Fl_un_at_At_to_a_h_NofB_0_ib,Flt_un_apt_At_to_a_hse_NofB_1,Flt_un_apt_At_to_a_hse_NofB_2,Flt_un_apt_At_to_a_hse_NofB_3,Flt_un_apt_At_to_a_hse_NofB_4,Flt_un_apt_At_to_a_hse_NofB_5,Fl_un_apt_At_to_a_hs_NofB_6_m,Flt_un_apt_At_to_a_hs_NofB_NS,Flt_un_apt_At_to_a_hse_Total,Flt_un_apart_Tot_NofB_0_i_b,Flt_un_apart_Tot_NofB_1,Flt_un_apart_Tot_NofB_2,Flt_un_apart_Tot_NofB_3,Flt_un_apart_Tot_NofB_4,Flt_un_apart_Tot_NofB_5,Flt_un_apart_Tot_NofB_6_or_m,Flt_un_apart_Tot_NofB_NS,Flt_un_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
POA2000,3,47,102,63,9,3,0,8,235,3,25,59,5,3,3,3,9,110,7,24,29,29,4,3,5,4,105,10,49,88,34,7,6,8,13,215,3,25,27,27,0,0,6,5,93,0,4,0,0,0,0,0,0,4,392,2518,3587,932,52,8,28,191,7708,3,0,4,0,0,0,0,0,7,398,2547,3618,959,52,8,34,196,7812,0,4,0,0,0,0,0,0,4,0,15,12,3,3,0,0,0,33,411,2662,3820,1059,71,17,42,217,8299
POA2006,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,3,0,10
POA2007,3,3,7,6,3,3,0,0,25,0,4,6,3,0,3,0,0,16,6,31,160,99,29,8,4,10,347,6,35,166,102,29,11,4,10,363,3,87,62,26,0,0,0,5,183,7,139,188,18,8,0,0,13,373,152,762,573,104,14,0,3,18,1626,0,0,0,0,0,0,0,0,0,162,988,823,148,22,0,3,36,2182,0,0,0,0,0,0,0,3,3,0,3,3,3,3,0,0,0,12,171,1029,999,259,57,14,7,49,2585
POA2008,4,16,50,18,5,3,3,0,99,0,10,8,6,0,3,0,0,27,16,51,261,283,184,31,12,24,862,16,61,269,289,184,34,12,24,889,8,76,70,10,0,3,0,4,171,14,127,146,39,3,3,0,5,337,116,439,344,74,17,0,0,20,1010,0,5,0,0,0,0,0,0,5,138,647,560,123,20,6,0,29,1523,0,8,5,0,0,0,0,0,13,0,5,0,3,0,0,4,0,12,158,737,884,433,209,43,19,53,2536
POA2009,0,3,5,3,3,0,0,0,14,0,17,33,37,0,0,0,3,90,4,15,80,69,20,3,0,3,194,4,32,113,106,20,3,0,6,284,3,16,19,19,3,0,0,0,60,3,125,188,50,3,0,0,3,372,43,1036,2212,874,31,0,3,58,4257,0,0,4,0,0,0,0,0,4,49,1177,2423,943,37,0,3,61,4693,0,0,0,0,0,0,0,0,0,0,3,16,3,0,0,0,4,26,53,1215,2557,1055,60,3,3,71,5017
POA2010,15,39,81,47,14,5,6,6,213,0,30,61,36,8,4,4,4,147,37,300,978,892,358,98,33,59,2755,37,330,1039,928,366,102,37,63,2902,78,290,206,68,6,0,8,18,674,102,510,542,91,0,3,3,26,1277,611,3203,2283,231,17,0,11,127,6483,0,3,3,0,0,0,0,0,6,791,4006,3034,390,23,3,22,171,8440,6,34,28,21,6,0,0,0,95,6,24,12,0,0,0,0,0,42,855,4433,4194,1386,409,110,65,240,11692
POA2011,6,8,11,6,9,4,0,0,44,0,6,15,8,4,0,0,4,37,7,55,160,206,60,9,13,14,524,7,61,175,214,64,9,13,18,561,19,46,64,13,6,3,0,0,151,153,486,368,91,13,3,0,24,1138,1146,3086,2310,462,38,8,6,124,7180,0,0,5,0,0,0,0,0,5,1318,3618,2747,566,57,14,6,148,8474,0,0,0,4,0,0,0,0,4,20,13,0,0,0,0,0,0,33,1351,3700,2933,790,130,27,19,166,9116
POA2015,0,22,115,81,24,10,0,7,259,0,59,329,184,20,0,0,7,599,4,41,213,343,124,3,8,10,746,4,100,542,527,144,3,8,17,1345,14,70,130,49,0,0,0,6,269,5,201,341,58,24,0,3,10,642,20,532,610,104,6,0,0,15,1287,0,5,0,0,0,0,0,0,5,39,808,1081,211,30,0,3,31,2203,0,4,4,0,0,0,0,0,8,3,6,3,3,0,0,0,0,15,46,940,1745,822,198,13,11,55,3830
POA2016,5,29,172,139,42,9,0,5,401,0,13,64,56,9,0,0,5,147,16,50,414,461,203,41,31,31,1247,16,63,478,517,212,41,31,36,1394,24,44,58,13,0,0,0,4,143,29,267,400,74,4,0,0,39,813,45,784,1299,342,10,0,3,76,2559,0,0,13,7,0,0,0,0,20,98,1095,1770,436,14,0,3,119,3535,0,6,11,4,0,0,0,0,21,6,3,5,0,0,0,0,0,14,125,1196,2436,1096,268,50,34,160,5365
POA2017,3,20,60,34,4,3,3,3,130,12,47,180,253,60,4,3,14,573,3,31,69,86,34,3,0,9,235,15,78,249,339,94,7,3,23,808,29,116,76,8,3,3,0,8,243,4,141,251,97,0,0,3,27,523,184,1075,2598,439,10,0,3,113,4422,5,10,13,0,0,0,0,3,31,222,1342,2938,544,13,3,6,151,5219,0,0,3,0,0,0,0,0,3,0,22,258,7,0,0,0,21,308,240,1462,3508,924,111,13,12,198,6468
