region_id,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
POA2000,32,77,603,0,5,717,178,111,6359,4,20,6672,8,3,140,0,3,154,10,8,403,0,3,424,196,122,6902,4,26,7250,7,15,305,0,5,332,235,214,7810,4,36,8299
POA2006,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,10,0,0,0,0,0,0,5,0,5,0,0,10
POA2007,0,51,201,0,3,255,20,272,1738,0,7,2037,0,9,64,0,0,73,3,16,115,0,3,137,23,297,1917,0,10,2247,0,14,64,3,0,81,23,362,2182,3,13,2583
POA2008,8,84,149,5,0,246,78,718,1205,8,10,2019,3,17,27,0,0,47,8,38,99,0,3,148,89,773,1331,8,13,2214,0,31,43,0,0,74,97,888,1523,13,13,2534
POA2009,3,36,342,0,0,381,11,217,3918,0,22,4168,0,7,79,0,0,86,0,16,245,0,3,264,11,240,4242,0,25,4518,0,6,110,0,3,119,14,282,4694,0,28,5018
POA2010,23,321,1078,17,3,1442,167,2260,6222,66,35,8750,3,54,175,0,3,235,13,177,708,12,3,913,183,2491,7105,78,41,9898,8,89,257,0,0,354,214,2901,8440,95,44,11694
POA2011,4,130,1148,3,7,1292,39,364,6070,0,19,6492,0,16,244,0,0,260,0,33,802,0,3,838,39,413,7116,0,22,7590,0,18,211,0,4,233,43,561,8475,3,33,9115
POA2015,32,128,132,0,6,298,196,1082,1816,9,9,3112,7,32,40,0,0,79,14,67,159,0,0,240,217,1181,2015,9,9,3431,11,34,55,0,0,100,260,1343,2202,9,15,3829
POA2016,68,182,831,3,4,1088,295,1066,2221,19,6,3607,8,30,84,0,0,122,23,64,200,3,0,290,326,1160,2505,22,6,4019,7,50,202,0,0,259,401,1392,3538,25,10,5366
POA2017,18,184,913,3,180,1298,95,523,3698,0,74,4390,3,24,95,0,12,134,7,38,267,0,10,322,105,585,4060,0,96,4846,6,39,247,0,33,325,129,808,5220,3,309,6469
