region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size
POA2000,29,2600,578,600,1623,1.4,1422,2.1
POA2006,20,0,192,0,2562,1.3,1750,3.7
POA2007,27,2280,487,460,1555,1.4,1099,2.0
POA2008,29,2200,698,454,1977,1.3,1459,2.1
POA2009,32,2778,1095,575,2525,1.3,2184,2.1
POA2010,34,2500,1038,450,2545,1.2,1796,1.8
POA2011,36,2200,1105,400,2494,1.2,1523,1.6
POA2015,33,2500,1135,475,2469,1.2,2053,2.0
POA2016,36,2518,810,380,2141,1.2,1447,1.9
POA2017,32,2557,690,430,1836,1.2,1184,1.9
POA2018,36,2167,532,355,1362,1.3,1197,2.6
POA2019,37,2524,698,350,1905,1.2,1626,2.8
POA2020,35,2600,677,450,1652,1.3,1481,2.6
POA2021,35,3033,1204,495,2868,1.1,2114,2.0
POA2022,36,3000,924,515,2456,1.2,1785,2.2
POA2023,36,3250,1102,508,2856,1.1,2566,2.5
POA2024,37,3033,970,480,2620,1.2,2049,2.4
POA2025,40,3033,1144,550,2781,1.1,2181,2.1
POA2026,33,3000,1018,500,2436,1.2,1910,2.2
POA2027,44,3000,1292,590,2929,1.1,2276,1.9
POA2028,38,3000,1135,550,2756,1.1,2287,2.1
POA2029,37,2884,961,500,2515,1.2,1906,2.3
POA2030,39,3467,934,531,2734,1.1,2422,2.8
POA2031,35,2600,935,460,2415,1.2,1857,2.3
POA2032,31,2500,455,420,1578,1.2,1138,2.5
POA2033,31,2600,646,435,1968,1.2,1512,2.4
POA2034,35,2708,1001,455,2467,1.2,1885,2.2
POA2035,37,2600,659,420,1874,1.2,1432,2.5
POA2036,39,2500,563,310,1585,1.2,1234,2.7
POA2037,34,2869,788,350,2307,1.2,1418,2.0
POA2038,36,2924,1068,450,2739,1.2,2086,2.2
POA2039,36,3033,1276,530,2921,1.2,2597,2.3
