UCL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL121012,109,12,5,4,0,0,0,126
UCL121013,23,3,0,3,0,0,5,35
UCL121014,34,3,3,0,0,0,0,40
UCL121015,78,20,4,0,0,0,0,95
UCL121016,48,9,6,0,0,0,0,61
UCL121017,120,15,0,0,0,0,0,139
UCL121018,78,17,10,5,0,0,0,114
UCL121019,79,8,3,0,0,0,0,96
UCL121020,65,4,0,0,0,0,0,73
UCL121021,40,4,0,0,0,0,0,44
UCL121022,38,7,0,0,0,0,0,50
UCL121023,25,5,0,0,0,0,6,34
UCL121024,41,4,7,0,0,0,0,53
UCL121025,79,3,9,0,0,0,0,91
UCL121026,58,7,0,3,0,0,4,73
UCL121027,61,8,4,0,0,0,0,79
UCL121028,53,6,0,0,0,0,0,53
UCL121029,50,9,6,0,0,0,0,67
UCL121030,52,5,0,0,0,0,0,59
UCL121031,67,8,3,0,0,0,0,85
UCL121032,43,10,5,0,0,0,0,54
UCL121033,56,0,0,0,0,0,0,59
UCL121034,94,8,0,0,0,0,0,104
UCL121035,100,21,11,4,0,0,0,134
UCL121036,152,26,9,0,0,0,0,190
UCL121037,62,10,0,0,0,0,4,81
UCL121038,41,5,5,0,0,0,0,48
UCL121039,70,8,8,0,0,0,0,83
UCL121040,64,7,0,0,0,0,0,72
UCL121041,35,6,3,0,0,0,0,44
UCL121042,37,3,0,0,0,0,0,37
UCL121043,90,12,0,0,0,0,0,103
UCL121044,41,6,0,0,0,0,0,51
UCL121045,33,11,4,0,0,0,0,45
UCL121046,73,5,3,0,0,0,0,86
UCL121047,69,11,4,0,0,0,0,85
UCL121048,53,9,0,0,0,0,0,54
UCL121049,69,6,5,0,0,0,0,78
UCL121050,20,4,0,0,0,0,0,22
UCL121051,50,8,3,6,0,0,3,62
UCL121052,52,3,0,0,0,0,0,56
UCL121053,47,6,0,0,0,0,0,52
UCL121054,115,7,3,0,0,0,0,127
UCL121055,69,3,3,0,0,0,3,77
UCL121056,75,11,5,0,0,0,0,95
UCL121057,87,12,6,0,0,0,0,104
UCL121058,237,33,9,3,0,0,0,278
UCL121059,48,10,0,0,0,0,0,62
UCL121060,109,16,0,0,0,0,0,135
UCL121061,65,11,4,3,0,0,0,80
UCL121062,109,20,0,0,0,0,0,131
UCL121063,27,0,0,0,0,0,0,30
UCL121064,40,12,0,0,0,0,5,53
UCL121065,58,14,4,4,0,0,0,78
UCL121066,45,6,5,0,0,0,0,61
UCL121067,44,6,0,0,0,0,0,51
UCL121068,167,19,11,6,0,0,4,204
UCL121069,131,9,0,0,0,0,0,148
UCL121070,56,4,3,0,0,0,0,60
UCL121071,43,9,9,0,0,0,0,61
UCL121072,69,12,4,0,0,0,0,88
UCL121073,41,7,5,0,0,0,0,49
UCL121074,33,5,0,0,0,0,0,39
UCL121075,51,3,0,0,0,0,0,57
UCL121076,111,15,0,0,0,0,4,136
UCL121077,63,11,4,0,0,0,0,87
UCL121078,78,8,9,0,0,0,0,93
UCL121079,61,9,0,0,0,0,3,74
UCL121080,97,16,5,0,0,0,0,113
UCL121081,69,9,0,0,0,0,0,78
UCL121082,83,14,0,0,0,0,0,102
UCL121083,68,8,0,0,0,0,0,76
UCL121084,130,7,0,0,0,0,0,138
UCL121085,103,23,9,0,0,0,0,132
UCL121086,53,10,4,0,0,0,0,64
UCL121087,51,4,5,0,0,0,3,66
UCL121088,61,4,0,0,0,0,0,67
UCL121089,74,20,8,0,0,0,0,103
UCL121090,90,14,6,0,0,0,4,113
UCL121091,82,12,3,0,0,0,0,92
UCL121092,135,9,8,0,0,0,0,152
UCL121093,106,13,13,5,0,0,0,145
UCL121094,30,7,0,3,0,0,0,47
UCL121095,90,9,6,0,0,0,0,97
UCL121096,59,6,0,5,0,0,0,78
UCL121097,62,10,6,0,0,0,0,73
UCL121098,89,9,3,0,0,0,0,100
UCL121099,45,7,3,0,0,0,0,55
UCL121100,117,15,8,0,0,0,0,140
UCL121101,91,17,10,3,0,0,0,126
UCL121102,90,4,6,0,0,0,0,100
UCL121103,79,11,5,4,0,0,4,100
UCL121104,60,12,6,0,0,0,0,77
UCL121105,30,6,0,4,0,0,0,37
UCL121106,61,9,0,0,0,0,0,78
UCL121107,71,10,9,0,0,0,0,93
UCL121108,56,13,9,0,0,0,0,81
UCL121109,54,6,4,0,0,0,0,63
UCL121110,80,15,8,0,0,0,4,110
UCL121111,41,13,6,0,0,0,0,47
UCL121112,86,9,10,0,0,0,0,99
UCL121113,31,0,0,0,0,0,0,36
UCL121114,82,8,0,4,0,0,0,95
UCL121115,28,10,7,0,0,0,0,41
UCL121116,138,12,6,0,0,0,0,159
UCL121117,51,11,4,0,0,0,0,65
UCL121118,68,8,0,0,0,0,0,76
UCL121119,75,12,6,3,0,0,0,95
UCL121120,11,0,5,0,0,0,0,21
UCL121121,46,14,6,0,0,0,0,65
UCL121122,57,5,8,0,0,0,0,72
UCL121123,52,17,0,0,0,0,0,69
UCL121124,22,6,0,0,0,0,0,26
UCL121125,58,6,8,0,0,0,0,69
UCL121126,64,6,7,0,0,0,0,75
UCL121127,78,9,7,0,0,0,0,97
UCL121128,105,20,8,0,0,0,0,133
UCL122001,25,0,7,0,0,0,0,35
UCL122002,14,3,0,0,0,0,0,14
UCL122003,38,5,3,0,0,0,0,51
UCL122004,13,5,0,0,0,0,0,22
UCL122005,17,0,9,0,0,0,0,24
UCL122006,21,0,0,0,0,0,0,24
UCL122007,20,5,4,0,0,0,3,28
UCL122008,24,3,6,0,0,0,0,31
UCL122009,22,7,4,0,0,0,0,37
UCL122010,36,8,0,0,0,0,4,48
UCL122011,41,7,3,0,0,0,0,52
UCL122012,19,0,0,0,0,0,0,22
UCL122013,10,4,0,0,0,0,0,11
UCL122014,29,4,0,0,0,0,0,32
UCL122015,15,0,0,0,0,0,0,18
UCL122016,30,0,0,0,0,0,0,30
UCL122017,23,4,0,0,0,0,0,27
UCL122018,21,4,0,0,0,0,0,25
UCL122019,13,3,0,0,0,0,0,22
UCL122020,3,0,0,0,0,0,0,9
UCL122021,14,0,0,0,0,0,0,16
UCL122022,51,5,0,0,0,0,0,60
UCL122023,51,4,0,4,0,0,0,61
UCL122024,21,3,4,0,0,0,0,29
UCL122025,23,5,4,0,0,0,0,34
UCL122026,21,4,0,0,0,0,4,32
UCL122027,14,0,0,0,0,0,0,14
UCL122028,18,4,5,0,0,0,0,25
UCL122029,17,0,0,0,0,0,0,23
UCL122030,35,8,0,0,0,0,0,38
UCL122031,68,7,0,0,0,0,0,69
UCL122032,38,4,5,0,0,0,0,43
UCL122033,26,0,3,0,0,0,3,33
UCL122034,28,0,0,0,0,0,0,33
UCL122035,23,9,6,0,0,0,0,36
UCL122036,11,0,0,0,0,0,0,15
UCL122037,33,8,0,0,0,0,0,43
UCL122038,25,5,0,0,0,0,0,31
UCL122039,32,6,3,0,0,0,0,38
UCL122040,14,0,0,0,0,0,0,10
UCL122041,37,4,0,0,0,0,0,40
UCL122042,33,0,0,0,0,0,0,37
UCL122043,27,5,0,0,0,0,0,27
UCL122044,6,0,0,0,0,0,0,8
UCL122045,20,6,0,0,0,0,0,25
UCL122046,32,6,0,0,0,0,0,35
UCL122047,29,0,0,0,0,0,0,34
UCL122048,21,3,0,0,0,0,0,21
UCL122049,11,0,3,0,0,0,0,17
UCL122050,5,0,0,0,0,0,0,7
UCL122051,17,0,0,0,0,0,0,22
UCL122052,26,3,0,0,0,0,0,29
UCL122053,10,3,0,0,0,0,0,16
UCL122054,31,0,0,0,0,0,0,37
UCL122055,34,0,3,0,0,0,0,36
UCL122056,24,3,5,0,0,0,0,40
UCL122057,24,6,6,0,0,0,0,34
UCL122058,33,5,0,0,0,0,0,41
UCL122059,36,5,0,0,0,0,0,48
UCL122060,24,3,3,0,0,0,0,33
UCL122061,3,4,0,0,0,0,0,7
UCL122062,21,3,5,0,0,0,0,30
UCL122063,25,3,3,0,0,0,0,27
UCL122064,20,5,0,0,0,0,0,22
UCL122065,24,0,0,0,0,0,0,25
UCL122066,45,3,8,0,0,0,0,53
UCL122067,32,3,0,0,0,0,0,38
UCL122068,7,0,0,0,0,0,0,8
UCL122069,25,6,0,0,0,0,0,30
UCL122070,57,0,3,0,0,0,0,64
UCL122071,36,9,0,0,0,0,0,44
UCL122072,15,6,0,0,0,0,0,21
UCL122073,15,3,6,0,0,0,0,25
UCL122074,5,4,4,0,0,0,0,7
UCL122075,29,5,3,0,0,0,0,40
UCL122076,21,0,0,0,0,0,0,26
UCL122077,15,5,0,0,0,0,0,32
UCL122078,18,4,4,0,0,0,0,22
UCL122079,33,5,0,0,0,0,0,34
UCL122080,57,7,0,0,0,0,0,67
UCL122081,12,0,0,0,0,0,0,23
UCL122082,3,5,0,0,0,0,0,4
UCL122083,38,3,4,0,0,0,0,45
UCL122084,16,5,0,0,0,0,0,15
UCL122085,18,0,5,0,0,0,0,25
UCL122086,8,0,0,3,0,0,0,18
UCL122087,13,3,0,0,0,0,0,22
UCL122088,13,0,0,0,0,0,0,18
UCL122089,37,9,0,0,0,0,0,47
UCL122090,45,8,0,0,0,0,0,51
UCL122091,21,7,0,0,0,0,0,31
UCL122092,31,4,5,0,0,0,0,40
UCL122093,18,0,0,0,0,0,0,15
UCL122094,22,3,0,0,0,0,0,23
UCL122095,18,5,0,0,0,0,0,22
UCL122096,13,5,0,0,0,0,0,16
UCL122097,11,0,0,0,0,0,0,17
UCL122098,8,0,0,0,0,0,0,14
UCL122099,14,6,0,0,0,0,0,22
UCL122100,29,4,0,0,0,0,0,33
UCL122101,37,4,0,0,0,0,0,39
UCL122102,12,0,0,0,0,0,0,16
UCL122103,8,3,0,0,0,0,0,18
UCL122104,59,6,3,0,0,0,0,70
UCL122105,49,0,0,0,0,0,0,51
UCL122106,13,0,4,0,0,0,0,13
UCL122107,37,11,4,0,0,0,0,43
UCL122108,4,0,0,0,0,0,0,3
UCL122109,4,0,0,0,0,0,0,4
UCL122110,39,5,0,0,0,0,5,47
UCL122111,57,6,0,0,0,0,0,62
UCL122112,15,6,0,0,0,0,0,22
UCL122113,14,4,0,0,0,0,0,17
UCL122114,11,5,0,0,0,0,0,17
UCL122115,27,3,4,0,0,0,0,31
UCL122116,19,3,0,0,0,0,0,25
UCL122117,46,4,4,6,0,0,4,60
UCL122118,23,9,0,0,0,0,0,36
UCL122119,16,0,5,0,0,0,0,21
UCL122120,51,10,3,0,0,0,0,59
UCL122121,33,3,3,0,0,0,0,34
UCL122122,67,3,5,5,0,0,0,73
UCL122123,6,0,0,0,0,0,0,12
UCL122124,37,4,0,0,0,0,0,44
UCL122125,12,0,0,0,0,0,0,14
UCL122126,50,3,4,0,0,0,0,59
UCL122127,16,0,0,0,0,0,0,22
UCL122128,12,4,3,0,0,0,0,14
UCL122129,23,0,0,0,0,0,0,28
UCL122130,24,0,0,0,0,0,0,25
UCL122131,16,0,0,0,0,0,0,16
UCL122132,14,4,5,0,0,0,0,29
UCL122133,7,0,0,0,0,0,0,8
UCL122134,38,7,0,0,0,0,0,44
UCL122135,16,0,0,0,0,0,0,19
UCL122136,8,0,0,0,0,0,0,10
UCL122137,15,5,0,0,0,0,0,15
UCL122138,11,4,0,0,0,0,0,18
UCL122139,18,0,0,0,0,0,0,22
UCL122140,15,4,0,0,0,0,0,16
UCL122141,38,11,3,0,0,0,0,45
UCL122142,14,0,0,0,0,0,0,13
UCL122143,14,0,0,0,0,0,0,15
UCL122144,15,8,6,0,0,0,0,29
UCL122145,9,4,0,0,0,0,0,19
UCL122146,12,0,0,0,0,0,0,18
UCL122147,9,0,0,0,0,0,0,13
UCL122148,7,3,0,0,0,0,0,11
UCL122149,14,8,3,0,0,0,0,30
UCL122150,35,8,6,0,0,0,0,54
UCL122151,8,0,0,0,0,0,0,9
UCL122152,15,4,4,0,0,0,3,22
UCL122153,40,3,4,0,0,0,0,44
UCL122154,44,5,0,0,0,0,0,45
UCL122155,29,11,0,0,0,0,0,42
UCL122156,33,9,0,0,0,0,0,42
UCL122157,58,5,3,0,0,0,5,69
UCL122158,15,0,0,0,0,0,0,16
UCL131001,56049,5933,2502,731,120,48,560,65939
UCL179997,0,0,0,0,0,0,0,0
UCL199994,0,0,0,0,0,0,0,0
