UCL_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL101001,1144938,1194399,2339338,114621,116820,231437,556905,567956,1124862,11779,11497,23275,12438,12190,24622,3624,3609,7237,5476,5082,10559,935,926,1860,1197,1014,2209,3785,3758,7541,44,39,81,596187,606064,1202249,185326,189415,374745,15859,13714,29566,911992,926009,1838004,121922,116632,238550,2178850,2237034,4415887
UCL102001,9539,9468,19006,1003,1015,2023,2897,2880,5780,279,240,525,332,308,638,85,75,164,121,97,217,20,32,56,87,82,166,1442,1477,2912,4,9,16,5257,5202,10462,822,815,1637,141,99,242,7225,7137,14364,924,875,1791,17688,17481,35168
UCL102002,83421,88828,172253,10291,11055,21350,39068,42789,81855,513,559,1071,832,995,1819,125,127,250,245,275,519,84,98,182,79,89,171,170,189,358,0,0,4,41114,45119,86234,2823,3132,5949,1265,1167,2427,55492,60468,115965,8771,9822,18586,147686,159118,306801
UCL102003,14920,16630,31548,2305,2552,4861,5151,5800,10952,458,510,968,2645,2800,5448,61,62,125,71,95,164,31,29,64,55,54,107,38,57,98,5,0,4,8506,9419,17923,683,865,1547,288,270,556,11777,13100,24876,2059,2295,4354,28758,32025,60783
UCL102004,89913,93266,183182,9634,10144,19784,43242,46856,90100,914,990,1907,1354,1470,2825,287,287,572,387,374,763,138,162,305,269,256,528,456,468,932,11,12,20,47063,50888,97947,4468,4696,9163,1465,1318,2781,62633,67045,129677,8258,8534,16793,160801,168846,329646
UCL102005,75702,78597,154301,8910,9257,18168,30982,33262,64246,555,591,1142,696,748,1445,125,146,269,215,233,453,65,77,142,92,87,179,332,396,737,0,5,5,33064,35544,68606,3799,3627,7424,980,905,1879,46751,49338,96086,6784,7053,13838,129244,134982,264221
UCL111001,12347,13307,25649,2194,2476,4664,4481,5081,9560,1957,2120,4080,316,337,655,49,48,102,92,98,190,63,68,126,63,62,128,82,96,178,0,3,4,7100,7918,15016,616,677,1288,229,181,412,10146,11237,21389,1591,1593,3183,24075,26139,50220
UCL111002,11843,13143,24989,2224,2435,4662,5082,5761,10838,241,311,555,491,539,1030,52,54,103,77,69,147,25,29,58,28,25,59,51,61,110,0,0,3,6050,6850,12908,859,929,1788,254,251,502,9386,10465,19852,1750,1877,3630,22988,25488,48475
UCL111003,21375,22319,43697,2729,2929,5651,12492,13858,26352,186,199,388,443,489,925,104,105,210,91,85,179,34,29,64,90,92,180,65,77,140,0,0,0,13503,14936,28439,568,688,1256,359,379,732,17158,18926,36080,1858,1786,3647,40397,43035,83427
UCL112001,3983,4378,8359,1810,1883,3689,1395,1749,3147,71,87,157,226,283,507,26,32,61,37,44,83,9,7,20,25,36,58,28,37,65,0,0,4,1818,2285,4095,758,866,1621,59,55,113,4438,5082,9523,1013,1203,2218,9432,10665,20099
