UCL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
UCL101001,62495,43281,58010,50820,42066,34361,23951,16382,12252,343614,866125,575904,753648,714513,596518,509021,377790,213068,92069,4698656
UCL102001,499,321,471,359,331,349,192,106,68,2684,6836,4324,6190,5318,5340,4613,2867,1445,579,37511
UCL102002,5048,3054,2858,2994,3106,2929,2518,1915,1292,25717,58771,36195,36234,39039,41031,41494,37943,24371,10181,325255
UCL102003,954,568,630,653,702,647,605,500,286,5547,9953,5983,6014,7071,7668,8725,9131,6271,2908,63721
UCL102004,4540,3723,3303,3022,3056,2796,2247,1559,1133,25368,60126,44159,47160,43956,43254,41949,36526,21875,9530,348539
UCL102005,3942,2975,2609,2421,2490,2254,1673,1242,850,20448,50103,36900,36870,34658,34966,34272,27781,17304,7298,280153
UCL111001,954,587,603,548,536,493,378,260,106,4461,10055,6517,7189,6586,6342,6392,5776,3437,1379,53677
UCL111002,857,551,569,586,539,484,435,390,278,4685,8887,5463,5653,5951,6255,6573,6387,4087,1807,51069
UCL111003,1597,848,923,875,705,655,405,276,151,6440,18983,10831,13090,11929,10735,9777,8218,4512,1528,89597
UCL112001,478,788,351,228,183,210,149,158,115,2657,3800,3852,3073,2351,2121,2295,1870,1382,566,21312
UCL112002,590,539,637,543,455,325,217,151,79,3532,6924,5015,5068,4330,4307,4092,3455,2086,949,36230
UCL112003,336,232,177,233,294,263,232,135,61,1964,4714,2898,2719,3543,4273,4590,4484,2124,694,30049
UCL112004,282,161,102,158,204,176,216,207,183,1684,3749,2112,1927,2360,2902,3059,3673,2876,1100,23762
UCL112005,439,427,692,588,468,320,221,148,94,3397,4254,2782,3277,2879,2786,2741,2475,1379,646,23211
UCL112006,1105,575,725,555,507,398,272,218,105,4467,8360,4527,6504,4732,4137,4129,3292,2208,896,38783
UCL112007,87,50,42,59,49,74,75,66,28,529,1138,578,617,679,751,861,1120,707,215,6654
UCL112008,246,131,141,150,177,217,272,241,120,1686,2453,1564,1450,1669,2079,2986,4089,2919,1343,20554
UCL112009,491,298,432,338,347,232,201,112,56,2518,4381,2648,3348,2809,2837,2945,2616,1661,717,23963
UCL112010,431,221,315,263,221,210,149,110,77,2003,4015,2423,3333,2717,2512,2327,1745,1131,596,20799
UCL112011,420,208,259,208,208,168,122,80,26,1699,4259,2468,3202,2360,2341,2272,1912,876,322,20015
UCL112012,549,424,359,324,301,285,208,125,109,2680,4792,3375,3460,3303,3468,3714,3158,1805,837,27916
UCL112013,59,40,27,33,40,21,16,3,6,246,518,286,311,302,311,304,244,110,32,2400
UCL112014,349,195,188,169,146,178,162,135,73,1584,3892,2423,2572,2328,2419,2746,2745,2095,938,22150
UCL112015,849,522,730,625,512,322,219,149,61,4005,6534,3785,4773,3997,3761,3808,3641,2302,986,33583
UCL112016,807,435,461,422,403,330,278,185,135,3460,8697,4728,5642,5058,4635,4229,3779,2342,1020,40127
UCL112017,610,433,349,350,377,439,395,303,205,3464,7454,5111,4425,5008,5747,6256,6739,4897,2147,47793
UCL112018,910,561,513,469,443,342,280,266,173,3960,7057,4369,5134,4094,3799,3938,3438,2464,1116,35415
UCL112019,907,586,576,469,476,421,323,197,100,4053,9873,6532,6974,5966,5648,5667,4856,2884,1283,49686
UCL113001,249,154,145,162,180,190,234,167,137,1620,2450,1544,1639,1864,2090,2503,3140,2114,1190,18532
UCL113002,225,126,112,110,174,173,168,124,66,1289,1747,1044,1079,1093,1427,1834,2141,1348,553,12263
UCL113003,420,273,272,263,239,222,166,136,124,2112,2975,1856,2170,1869,1996,2546,2196,1272,590,17456
UCL113004,163,129,234,194,155,140,105,45,27,1180,1418,937,2079,1639,1336,1330,1161,469,168,10538
UCL113005,383,227,231,190,187,160,128,81,56,1637,3236,1973,1929,1825,1933,2121,2006,1427,708,17155
UCL113006,370,337,483,367,218,166,93,82,21,2138,2045,1407,1450,1251,1220,1360,1250,796,297,11073
UCL113007,162,114,86,107,123,134,145,83,27,982,2430,1371,1307,1649,1735,2173,2314,1261,519,14761
UCL113008,219,111,133,124,139,128,108,86,28,1082,1836,1115,1269,1114,1338,1576,1520,1047,382,11197
UCL113009,146,89,76,71,97,42,35,20,7,591,2320,1215,1154,1332,1380,1200,916,435,70,10019
UCL113010,245,109,152,120,120,109,96,66,40,1061,2467,1261,1710,1444,1305,1241,1044,763,340,11563
UCL113011,271,143,145,127,138,109,68,40,21,1054,2368,1321,1566,1361,1364,1295,971,485,175,10901
UCL113012,138,133,95,104,113,138,153,137,125,1140,1997,1356,1122,1377,1770,2273,2533,1597,575,14593
UCL113013,350,130,178,157,162,134,93,75,17,1305,2844,1786,1854,1705,1720,1727,1414,770,252,14081
UCL113014,276,163,196,140,147,143,68,37,15,1181,3086,1688,2201,1756,1803,1604,1156,650,291,14229
UCL113015,191,128,104,122,106,88,127,74,25,960,1733,1079,1088,1114,1241,1522,1834,1085,315,11000
UCL113016,445,237,216,221,181,189,202,166,114,1969,3230,1959,1962,1802,1934,2286,2289,1790,861,18110
UCL113017,210,120,103,131,147,168,147,87,46,1161,2203,1163,1232,1468,1567,2174,2580,1511,498,14396
UCL113018,45,22,18,18,29,31,65,24,7,279,370,188,194,195,271,346,465,290,80,2389
UCL114001,70,34,31,36,52,38,36,32,23,354,823,427,431,508,593,674,764,614,351,5182
UCL114002,52,40,34,34,33,80,115,69,50,505,736,478,365,467,700,1315,1969,1414,605,8037
UCL114003,314,164,147,142,107,106,84,92,49,1208,1937,1187,1130,935,1012,1174,1261,914,419,9968
UCL114004,78,54,129,129,100,65,56,34,18,670,1068,620,853,787,778,874,714,527,240,6447
UCL114005,79,58,38,44,61,58,78,59,18,493,915,540,476,489,596,814,983,669,248,5732
UCL114006,87,58,50,33,53,60,60,27,25,451,781,527,484,434,655,826,890,599,252,5444
UCL114007,159,93,101,81,98,81,80,58,29,778,1463,928,892,791,916,1036,1129,743,346,8254
UCL114008,130,95,93,88,89,86,85,65,26,756,1039,698,677,600,759,923,899,556,272,6431
UCL114009,94,92,90,58,36,24,28,59,65,543,1535,1360,1417,892,542,344,269,242,170,6782
UCL114010,154,106,103,89,80,95,80,68,21,797,1311,792,779,729,752,848,849,587,198,6837
UCL114011,150,80,69,73,62,70,66,68,35,669,873,498,554,473,545,724,789,522,216,5184
UCL114012,98,38,58,74,36,13,17,0,0,332,1874,496,1299,1347,700,291,169,49,6,6224
UCL114013,274,127,170,110,103,101,97,96,58,1134,1824,887,1260,917,802,928,799,635,281,8338
UCL114014,63,48,35,44,51,37,21,20,5,315,1445,789,721,939,905,776,448,220,55,6304
UCL114015,287,124,161,141,119,129,97,78,49,1195,1882,1185,1258,1031,988,1088,1052,826,347,9654
UCL114016,186,101,122,96,83,81,50,33,40,792,1558,975,968,843,817,858,688,487,250,7437
UCL114017,139,65,96,89,77,81,65,26,0,639,1528,702,807,1098,1117,1040,820,288,87,7483
UCL114018,69,53,53,33,86,78,103,78,52,608,1008,637,714,696,947,1329,1592,958,336,8220
UCL114019,348,205,220,222,176,176,132,72,27,1576,1426,794,1015,850,820,911,699,420,140,7070
UCL114020,133,85,46,79,85,74,64,47,13,633,1601,949,963,955,1072,1139,1149,762,183,8774
UCL114021,162,100,72,109,102,107,115,103,147,1029,1763,997,851,1156,1232,1381,1208,769,448,9812
UCL114022,147,65,85,70,62,110,106,58,32,733,903,526,492,544,661,1039,1238,884,376,6668
UCL114023,157,81,81,75,69,78,47,17,9,611,1067,623,804,601,621,704,541,380,159,5499
UCL114024,219,123,119,133,102,114,64,52,33,964,2023,1182,1227,1092,1085,1189,1008,713,315,9832
UCL114025,156,54,49,87,86,62,57,34,14,591,1686,605,542,1100,932,850,860,448,193,7209
UCL114026,90,33,53,54,33,25,32,29,24,369,1067,589,795,682,642,480,599,450,159,5467
UCL114027,47,30,22,30,38,58,57,79,20,385,681,460,386,406,638,889,995,862,291,5605
UCL114028,88,37,61,50,43,46,41,30,26,422,972,512,711,648,572,597,506,335,160,5013
UCL114029,65,68,42,48,57,46,12,9,6,355,1212,720,782,696,742,653,368,144,41,5364
UCL114030,95,30,57,52,51,52,70,47,15,458,688,369,427,429,536,899,1201,671,234,5443
UCL114031,99,71,63,58,67,75,40,35,12,529,1122,713,677,700,885,911,878,476,130,6492
UCL114032,79,53,50,34,51,20,30,15,12,345,1165,618,743,607,644,494,432,246,71,5014
UCL114033,150,62,80,84,72,70,46,57,12,641,1271,718,745,742,725,849,740,527,199,6518
UCL114034,188,92,99,66,77,60,61,43,28,711,1589,874,915,792,925,906,993,675,309,7982
UCL114035,80,46,62,64,58,64,48,26,11,469,901,496,768,663,607,759,903,478,212,5797
UCL114036,66,46,55,48,52,83,96,56,25,524,811,474,511,588,618,939,1240,868,294,6342
UCL114037,89,60,56,57,53,43,40,38,27,456,1144,607,685,737,700,677,643,410,235,5837
UCL114038,166,93,89,79,64,72,60,68,26,725,1515,905,915,840,786,872,933,634,318,7712
