UCL_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
UCL115039,241,277,78,27,162,142,23,51,216,23,162,1552,89,2530,0,0,3,0,3,4,0,0,3,0,4,42,0,69,8,5,0,0,4,3,0,0,5,0,0,16,0,32,0,0,0,0,0,0,0,0,0,0,0,18,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,3,6,12,0,0,0,0,5,0,0,0,0,0,0,40,0,46,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,0,0,0,0,0,0,3,17,0,17,0,0,0,0,5,0,0,0,0,0,0,24,0,27,7,8,4,0,21,10,6,0,9,0,14,200,7,268,8,14,5,0,5,4,0,5,0,3,7,30,506,564,262,295,87,32,191,150,32,59,227,31,183,1786,598,3369,94,136,23,0
UCL115040,135,131,43,5,50,35,10,25,138,15,106,823,53,1306,0,0,0,0,0,0,0,0,3,0,0,6,0,16,21,9,4,0,10,7,0,4,4,3,14,24,3,69,6,5,0,0,3,5,0,0,5,0,3,7,0,16,7,0,0,0,4,0,3,0,0,0,0,17,0,24,0,0,0,0,0,0,0,0,0,0,0,4,0,10,6,0,0,0,0,0,0,0,0,0,0,11,0,19,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,4,0,4,3,0,14,0,0,0,0,0,0,0,0,0,0,5,7,0,11,36,18,10,3,16,16,0,10,15,5,29,95,3,190,0,0,0,0,0,0,0,0,0,0,0,0,28,32,168,153,49,8,63,50,15,32,150,25,132,923,86,1528,60,91,20,0
UCL115041,281,230,61,32,168,120,40,45,194,27,139,1190,76,2056,5,0,0,0,0,0,0,0,0,0,0,9,0,10,0,3,0,0,4,0,0,0,3,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,0,35,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,51,0,55,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,4,0,0,9,0,13,9,8,0,0,9,0,0,0,4,0,9,120,7,159,9,8,3,0,5,8,0,8,0,0,0,23,312,364,297,241,66,34,180,135,40,55,199,32,152,1334,390,2579,83,94,15,0
UCL115042,200,221,68,25,98,86,19,54,160,21,150,821,55,1560,3,4,0,0,0,0,0,0,6,0,4,8,4,16,4,0,3,0,3,4,0,0,0,0,0,10,0,25,3,0,0,0,0,0,0,0,3,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,9,8,0,8,7,0,3,6,0,4,41,0,86,11,3,0,0,5,0,0,0,0,3,0,18,70,103,222,234,75,25,116,95,21,65,175,26,156,881,129,1744,51,86,24,0
UCL115043,363,234,84,42,135,154,38,68,230,30,220,889,77,1859,10,0,0,0,0,4,0,4,4,0,0,5,0,14,10,5,3,3,5,7,0,0,4,0,5,17,0,39,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,11,3,17,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,4,3,0,0,0,0,0,4,0,8,23,8,11,3,12,15,6,11,13,0,14,68,8,135,7,0,0,0,3,4,0,0,0,0,0,8,376,396,392,241,97,51,151,174,37,73,238,34,234,965,457,2387,73,80,21,0
UCL115044,218,296,74,34,180,127,32,57,213,32,141,986,96,1895,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,6,0,3,0,0,0,0,0,0,0,0,10,0,4,0,0,7,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,27,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,9,4,6,0,11,3,0,3,0,0,7,60,0,88,15,5,0,3,11,10,4,3,3,0,5,28,318,378,236,303,76,38,201,146,45,64,222,27,150,1082,410,2353,59,97,24,0
UCL115045,119,106,44,18,67,60,16,40,146,32,85,443,48,924,5,0,0,0,0,0,0,0,4,0,4,5,0,8,6,0,0,0,0,3,6,0,0,0,4,3,0,15,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,4,0,6,9,6,3,10,0,7,33,0,63,5,3,0,0,0,5,0,0,0,0,4,10,149,168,135,116,44,19,72,69,22,41,159,38,94,483,196,1155,30,55,17,0
UCL115046,152,126,42,11,57,62,8,27,171,16,117,812,45,1357,0,4,0,0,0,0,0,0,0,0,8,12,0,27,7,0,0,0,3,0,0,4,0,0,4,23,0,36,4,0,0,0,0,0,0,0,0,0,0,11,0,24,0,0,0,0,0,0,0,0,0,0,6,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,27,0,38,0,0,0,0,0,0,0,0,0,0,0,36,0,30,0,0,0,0,0,0,0,0,0,0,0,17,0,21,0,5,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,6,13,19,5,0,9,8,4,5,8,0,11,143,4,203,3,3,0,0,0,0,0,0,0,0,0,6,75,86,163,147,44,11,69,77,12,32,177,16,132,965,128,1649,48,69,9,0
UCL115047,341,222,70,32,140,132,27,97,199,32,169,912,73,1825,3,0,0,0,0,0,0,0,0,0,0,10,0,9,23,3,4,0,12,3,0,3,12,0,13,16,3,66,5,4,0,0,0,0,0,0,3,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,13,4,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,35,8,4,3,15,12,0,3,13,3,17,61,9,136,10,0,3,3,4,5,0,3,0,3,11,21,100,137,389,235,83,36,157,147,29,102,210,43,191,993,178,2098,97,97,25,0
UCL115048,521,277,133,42,203,187,61,113,369,43,266,1584,119,3005,6,10,0,0,5,3,3,3,8,0,3,25,6,41,42,17,3,11,19,16,6,13,20,8,20,67,3,158,17,4,12,0,12,7,0,0,3,0,7,21,8,59,19,5,3,0,11,11,3,3,3,3,7,27,0,62,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,4,0,0,4,4,0,0,3,0,0,18,0,23,0,0,0,0,0,0,0,0,0,0,0,9,0,16,0,0,0,0,3,0,0,0,0,0,0,7,0,12,4,0,0,0,0,5,0,4,3,0,0,17,0,32,3,0,0,0,0,0,0,0,0,0,5,9,0,21,93,32,24,16,48,46,14,24,49,11,42,205,15,415,12,3,0,3,10,8,0,6,4,0,5,32,93,156,625,311,158,59,264,237,78,134,418,56,311,1822,229,3580,114,131,27,0
UCL115049,140,121,29,6,67,59,23,30,115,7,99,493,34,925,6,7,0,0,7,0,0,0,3,0,6,20,0,34,9,3,0,0,5,4,0,0,6,0,0,12,0,22,5,0,0,0,4,5,0,3,0,4,3,3,0,18,0,0,0,0,0,3,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,5,0,0,0,0,0,0,0,0,0,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,5,24,5,4,0,20,13,0,3,11,4,11,57,0,122,0,0,3,4,0,4,0,3,0,0,5,11,49,76,168,129,37,9,88,68,24,36,131,12,117,560,88,1112,45,53,4,0
UCL115050,97,158,32,3,30,44,17,17,196,10,102,1064,51,1634,7,12,0,0,0,0,0,0,10,0,0,34,0,52,8,8,0,0,0,4,0,4,12,0,7,47,0,82,3,0,0,0,0,0,0,0,0,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,12,0,19,0,0,0,0,0,0,0,0,0,0,3,3,0,6,3,0,0,0,3,0,0,0,3,0,3,30,3,42,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,17,4,0,3,0,0,0,0,0,3,0,0,19,0,28,0,0,0,0,0,0,0,0,0,0,0,10,0,9,30,22,6,3,7,6,3,3,29,0,20,190,5,288,3,0,5,0,4,0,0,4,0,0,0,20,58,88,126,190,38,5,46,55,16,24,224,12,124,1276,116,2011,55,111,17,0
UCL115051,304,166,90,62,105,130,38,65,229,30,232,803,64,1689,11,5,0,0,4,3,0,3,4,0,4,11,5,39,39,11,10,11,16,17,0,10,20,4,22,48,9,146,11,3,5,0,5,8,0,0,5,0,7,19,0,47,13,3,0,3,3,0,0,0,5,0,3,3,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,0,0,0,0,0,0,15,0,20,5,0,3,0,0,0,0,3,4,0,5,9,0,24,0,0,0,0,0,0,0,0,0,0,0,9,0,10,76,27,26,19,37,29,7,15,34,8,44,129,18,321,6,4,3,4,8,4,0,0,6,3,0,11,155,185,389,204,122,81,148,166,47,81,267,39,281,935,223,2194,61,60,20,0
UCL115052,177,155,47,11,102,81,23,55,146,14,111,730,77,1372,0,0,0,0,5,0,0,0,5,0,0,11,0,22,7,4,0,0,3,0,0,0,0,0,0,11,4,34,0,0,0,0,0,0,0,5,5,0,4,5,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,19,5,5,0,12,4,0,0,7,5,8,47,4,88,3,5,0,0,9,0,0,0,4,0,0,3,75,93,198,157,53,18,122,92,24,64,154,18,117,785,158,1547,52,63,17,0
UCL115053,115,74,36,13,63,76,24,37,110,12,95,431,32,845,0,0,3,0,0,0,0,0,0,0,0,4,0,12,14,3,6,5,0,7,0,9,6,0,5,32,3,58,0,0,0,0,5,0,0,0,0,0,0,12,0,22,0,0,0,0,0,0,3,0,0,0,3,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,8,19,9,12,5,3,11,4,7,8,0,17,64,3,124,3,0,0,0,3,0,3,4,0,3,0,6,60,77,134,84,47,16,74,93,29,51,114,17,111,512,99,1046,15,34,6,0
UCL115054,111,75,23,4,36,32,11,11,82,12,85,560,35,908,4,0,0,0,0,0,0,0,0,0,3,3,0,11,6,5,0,0,4,5,0,0,4,4,4,24,0,45,0,0,0,0,0,0,0,0,0,0,0,15,0,11,4,0,0,0,0,0,0,0,0,0,3,6,4,13,0,0,0,0,0,0,0,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,10,8,0,0,12,3,15,67,7,117,0,0,0,0,0,0,0,0,5,0,0,3,46,62,130,86,27,6,41,43,14,14,89,14,102,637,89,1092,52,49,10,0
UCL115055,299,237,104,48,163,138,35,49,227,34,193,1035,69,1970,0,0,0,0,0,0,0,0,4,0,0,0,0,6,6,3,5,0,8,4,0,5,0,0,8,21,6,43,3,0,0,0,3,0,0,0,0,4,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,3,16,7,10,0,9,5,0,4,7,5,9,34,3,84,19,8,3,0,11,9,0,0,8,0,3,14,64,114,332,249,115,46,183,155,40,52,242,38,209,1086,143,2169,70,91,25,0
UCL115056,399,257,94,32,182,188,36,117,279,44,183,1369,98,2542,4,3,0,3,9,0,0,4,9,0,12,25,0,49,33,12,12,5,16,21,3,16,22,6,11,43,0,132,15,0,3,0,4,12,0,8,5,5,16,24,4,66,12,4,8,0,4,8,0,0,4,0,5,13,0,33,3,0,0,0,0,0,0,0,0,0,3,0,0,6,4,0,0,3,0,0,0,0,0,0,3,25,0,29,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,3,12,0,14,3,3,0,0,3,0,0,0,0,0,0,14,0,12,0,0,0,0,0,3,0,0,0,0,0,7,0,15,72,23,24,13,36,47,7,29,35,15,48,165,14,378,11,0,0,0,6,12,5,8,9,4,5,25,259,309,483,282,121,47,225,242,51,154,325,63,236,1564,370,3227,108,91,25,0
UCL115057,401,247,118,17,128,179,31,107,290,46,202,1283,72,2418,7,8,0,0,0,0,0,0,0,0,8,29,0,42,19,8,0,4,3,11,0,6,0,3,7,19,0,57,9,0,0,0,0,3,0,0,0,0,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,16,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,3,0,0,0,0,0,0,8,0,0,18,0,27,0,0,0,0,0,0,0,0,0,0,0,11,0,13,43,18,5,4,7,11,6,15,18,3,15,102,10,193,19,6,0,0,10,8,0,3,0,3,0,38,208,280,458,269,127,19,139,202,37,123,311,51,221,1424,293,2894,81,105,24,0
UCL115058,257,111,80,6,77,114,33,45,111,20,127,629,91,1315,4,0,0,0,0,0,0,0,0,0,4,6,0,19,18,11,4,0,11,10,0,9,9,0,11,42,4,95,9,3,9,0,3,0,0,5,0,0,5,18,4,36,7,0,0,0,3,3,0,3,0,0,6,8,3,28,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,4,0,0,0,0,0,4,0,0,8,4,14,3,0,3,0,0,0,0,0,0,0,7,7,0,14,36,15,18,4,18,17,3,16,17,3,27,101,7,222,21,0,4,0,4,4,0,4,7,0,5,6,74,99,313,126,104,9,104,137,36,56,131,26,159,745,164,1635,34,35,18,0
UCL115059,306,207,93,39,113,138,18,36,225,39,180,621,79,1455,4,0,0,0,0,0,0,0,0,0,0,12,0,15,18,8,0,0,7,11,0,11,9,0,11,17,0,52,4,0,0,0,5,0,0,0,0,0,0,9,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,0,24,0,29,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,12,29,14,6,0,8,12,3,8,14,3,17,97,0,155,3,0,0,0,3,5,0,0,0,0,7,8,232,253,346,232,91,46,119,162,19,49,242,43,198,724,312,1864,87,73,26,0
UCL115060,142,291,45,3,82,48,21,41,254,15,182,1429,93,2265,5,4,6,0,0,0,0,0,0,0,0,23,0,36,4,3,0,0,0,0,0,0,3,0,0,27,0,39,0,0,0,0,3,0,0,0,0,0,0,8,0,7,6,0,0,0,4,0,0,0,0,0,3,4,0,15,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,0,0,0,0,0,0,0,0,54,0,64,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,52,0,55,0,0,0,0,0,0,0,0,0,0,0,16,0,15,6,0,0,0,6,0,0,0,0,0,0,23,3,38,22,13,6,0,13,4,0,0,11,0,8,225,15,290,0,0,0,0,0,0,0,0,0,0,0,7,266,277,160,308,53,7,98,49,20,43,262,15,189,1663,373,2835,69,176,25,0
UCL115061,214,150,56,59,96,91,33,54,137,37,133,486,39,1061,0,0,0,0,5,0,0,0,0,0,0,5,0,12,16,6,4,4,4,5,4,6,5,0,9,8,0,39,3,0,0,5,5,3,0,0,0,3,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,8,0,16,0,0,0,0,0,0,0,0,0,0,4,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,10,6,19,16,0,6,12,12,16,38,0,97,3,0,0,0,0,0,0,0,6,0,3,0,24,35,246,164,62,74,112,100,34,61,151,45,152,524,65,1195,38,47,5,0
UCL115062,90,140,27,0,60,49,5,11,114,6,99,714,53,1166,0,0,0,0,0,0,0,0,0,0,0,10,0,15,13,3,3,0,0,3,0,0,3,0,0,26,0,46,5,0,3,0,0,0,0,0,0,0,3,15,0,23,0,3,0,0,0,0,0,0,0,0,0,9,4,23,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,3,0,8,4,3,4,14,0,7,75,6,139,0,0,0,0,0,0,0,0,0,0,0,5,37,45,115,148,36,3,63,53,9,10,128,8,109,800,88,1343,51,75,14,0
