UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL122005,32,25,11,0,132
UCL122006,23,41,6,9,135
UCL122007,30,40,26,4,179
UCL122008,25,11,8,0,123
UCL122009,16,17,5,0,121
UCL122010,37,17,0,0,149
UCL122011,52,20,4,0,201
UCL122012,15,18,10,0,103
UCL122013,17,15,5,0,87
UCL122014,29,32,9,0,158
UCL122015,35,39,23,3,157
UCL122016,17,20,6,0,129
UCL122017,29,25,8,0,142
UCL122018,26,43,11,5,157
UCL122019,31,15,9,0,132
UCL122020,42,35,13,3,143
UCL122021,23,28,9,0,114
UCL122022,62,43,25,4,238
UCL122023,49,55,26,8,248
UCL122024,21,19,3,0,116
UCL122025,33,10,5,0,123
UCL122026,15,5,4,0,91
UCL122027,26,29,20,6,124
UCL122028,32,20,14,3,159
UCL122029,32,46,19,0,173
UCL122030,63,40,6,0,218
UCL122031,20,18,4,0,201
UCL122032,31,24,9,0,211
UCL122033,18,4,4,0,101
UCL122034,22,14,4,5,116
UCL122035,50,44,18,0,205
UCL122036,31,23,5,0,171
UCL122037,21,5,4,0,135
UCL122038,35,31,7,3,161
UCL122039,44,35,12,3,188
UCL122040,29,21,0,0,105
UCL122041,52,38,8,4,216
UCL122042,17,18,8,0,150
UCL122043,23,21,4,4,136
UCL122044,13,8,0,0,51
UCL122045,22,16,12,0,98
UCL122046,100,75,27,9,300
UCL122047,66,54,25,0,216
UCL122048,42,21,21,3,202
UCL122049,22,44,14,8,148
UCL122050,22,10,5,0,75
UCL122051,20,14,7,7,115
UCL122052,31,38,10,0,145
UCL122053,33,20,18,12,125
UCL122054,24,34,11,4,232
UCL122055,59,68,49,6,250
UCL122056,17,35,10,0,122
UCL122057,21,22,3,0,127
UCL122058,45,51,24,0,239
UCL122059,38,38,13,0,226
UCL122060,37,33,12,4,183
UCL122061,12,4,0,0,65
UCL122062,24,15,4,0,130
UCL122063,20,12,7,4,123
UCL122064,27,14,8,3,114
UCL122065,66,53,23,0,215
UCL122066,43,20,4,0,191
UCL122067,52,48,18,0,239
UCL122068,18,11,0,0,77
UCL122069,47,30,10,5,174
UCL122070,41,36,21,7,237
UCL122071,18,33,16,4,166
UCL122072,22,17,19,0,119
UCL122073,41,35,15,0,149
UCL122074,28,25,7,0,99
UCL122075,26,10,4,0,137
UCL122076,24,15,9,0,99
UCL122077,33,20,8,0,141
UCL122078,39,31,19,5,159
UCL122079,31,28,13,3,168
UCL122080,34,19,15,0,206
UCL122081,23,20,14,6,120
UCL122082,25,29,16,0,101
UCL122083,34,16,3,0,160
UCL122084,17,7,3,0,86
UCL122085,15,21,8,0,105
UCL122086,24,32,9,0,141
UCL122087,19,36,4,0,106
UCL122088,22,28,3,0,118
UCL122089,34,31,12,3,227
UCL122090,65,52,17,3,294
UCL122091,27,18,15,7,159
UCL122092,46,47,16,3,215
UCL122093,24,13,16,4,155
UCL122094,43,32,17,3,189
UCL122095,32,12,0,5,115
UCL122096,40,26,19,0,130
UCL122097,18,14,13,0,101
UCL122098,76,60,11,10,290
UCL122099,25,25,5,0,115
UCL122100,74,75,32,9,298
UCL122101,46,57,6,0,225
UCL122102,46,37,13,0,157
UCL122103,23,11,3,0,89
UCL122104,55,25,12,0,205
UCL122105,50,18,3,0,186
UCL122106,41,27,15,0,157
UCL122107,41,28,7,0,187
UCL122108,33,49,26,6,142
UCL122109,10,4,0,0,69
UCL122110,37,25,14,0,196
UCL122111,52,31,3,0,199
UCL122112,49,47,23,4,170
UCL122113,29,19,9,0,104
UCL122114,47,49,20,3,170
UCL122115,38,37,14,0,165
UCL122116,50,48,29,11,194
UCL122117,38,29,8,0,218
UCL122118,23,12,3,0,155
UCL122119,55,59,21,0,219
UCL122120,42,30,9,4,224
UCL122121,25,16,4,0,146
UCL122122,46,39,14,3,276
UCL122123,18,21,11,5,88
UCL122124,20,9,11,0,168
UCL122125,27,36,15,6,116
UCL122126,77,36,19,0,227
UCL122127,34,26,3,8,149
UCL122128,21,15,3,0,83
UCL122129,29,24,10,6,148
UCL122130,17,23,7,0,106
UCL122131,35,16,6,5,267
UCL122132,30,8,10,0,139
UCL122133,25,36,19,3,127
UCL122134,48,38,4,0,230
UCL122135,15,12,10,3,110
UCL122136,7,0,0,0,39
UCL122137,28,15,8,11,115
UCL122138,27,24,17,6,162
UCL122139,27,23,7,0,111
UCL122140,18,16,5,8,106
UCL122141,60,24,6,0,230
UCL122142,33,25,3,0,108
UCL122143,23,21,3,0,127
UCL122144,40,34,15,7,195
UCL122145,20,23,6,0,83
UCL122146,33,20,3,4,97
UCL122147,14,23,5,5,78
UCL122148,39,16,10,0,104
UCL122149,17,9,0,0,119
UCL122150,49,22,10,0,221
UCL122151,33,28,16,5,141
UCL122152,30,35,20,0,134
UCL122153,55,40,16,0,218
UCL122154,81,61,5,0,276
UCL122155,52,29,5,4,215
UCL122156,29,31,10,0,169
UCL122157,54,20,5,0,219
UCL122158,16,0,9,5,69
UCL131001,64023,47124,17711,3611,299166
UCL179997,0,0,0,0,0
UCL199994,1165,680,173,28,7237
