UCL_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
UCL101001,851874,558215,731906,699730,583756,496062,366276,206084,87045,4580940,386,382,484,493,521,524,727,903,1266,5690,10380,12228,16568,11200,9033,8444,6974,4974,3588,83379,154,332,612,396,289,335,222,79,21,2438,195,676,683,406,448,538,423,141,41,3546,21,102,150,68,70,70,73,22,6,580,35,237,213,154,122,123,103,35,3,1026,14,46,65,47,37,45,53,21,3,329,10,33,48,25,27,22,19,3,0,187,50,335,207,146,102,131,92,17,3,1083,0,3,0,3,0,0,7,0,0,17,10853,13984,18550,12441,10135,9716,7954,5296,3669,92593,11235,14371,19038,12937,10660,10241,8685,6196,4932,98283,863109,572578,750942,712667,594413,506304,374958,212276,91978,4679221
UCL102001,6727,4174,5944,5194,5177,4426,2684,1375,551,36232,0,5,0,3,3,5,3,8,3,28,69,134,110,68,104,105,67,35,17,708,0,3,6,3,6,19,6,0,0,39,4,3,6,3,5,12,0,0,0,36,0,0,4,0,5,4,3,0,0,9,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,4,38,54,67,40,26,13,8,3,7,253,0,0,0,0,0,0,0,0,0,0,115,197,193,113,140,150,89,40,19,1069,115,196,197,120,144,155,96,48,26,1091,6839,4367,6138,5312,5321,4581,2776,1423,573,37328
UCL102002,57592,34873,35066,38066,39919,40153,36549,23624,9747,315593,42,43,25,38,39,63,101,79,52,484,1201,1249,1052,839,948,958,844,503,329,7927,4,7,8,18,5,16,16,11,0,91,19,38,31,18,31,35,44,11,3,232,0,0,0,3,0,5,4,0,0,13,0,6,7,0,3,5,0,5,0,32,0,3,0,3,4,10,8,4,0,31,0,0,3,4,0,0,0,0,0,8,3,9,5,5,3,6,4,0,0,31,0,0,0,0,0,0,0,0,0,0,1232,1316,1107,883,1004,1041,928,530,336,8374,1271,1354,1133,919,1040,1104,1029,613,394,8856,58861,36232,36202,38981,40960,41257,37580,24238,10135,324446
UCL102003,9746,5698,5760,6817,7341,8286,8608,6042,2792,61091,9,9,7,6,10,17,15,35,12,126,173,186,223,203,234,338,392,148,56,1955,5,3,18,5,21,49,160,142,6,421,48,79,107,93,89,107,86,35,7,667,0,0,3,0,0,14,14,19,0,51,3,0,0,0,0,3,3,0,0,12,0,0,0,4,0,9,20,19,4,50,5,0,0,4,0,0,0,0,0,4,0,0,0,3,4,9,25,14,0,56,0,0,0,0,0,0,0,0,0,0,230,270,358,309,359,538,697,372,75,3211,246,280,359,320,368,553,705,409,93,3328,9998,5976,6125,7133,7706,8837,9313,6448,2880,64421
UCL102004,58710,41647,44982,42488,41828,40110,34644,21061,9115,334590,34,65,39,41,62,79,79,106,82,596,1264,1785,1659,1142,1029,1018,849,573,327,9647,9,30,35,14,27,21,20,12,3,162,0,36,39,23,35,37,30,6,0,208,4,0,6,3,7,8,3,7,0,35,0,5,0,0,9,15,3,0,0,35,0,4,9,3,7,9,3,4,0,32,4,3,5,3,0,0,0,4,0,12,0,11,8,4,4,13,4,0,0,45,0,0,0,0,0,0,0,0,0,4,1282,1871,1758,1200,1116,1119,915,597,327,10185,1311,1936,1802,1237,1183,1196,997,708,411,10777,60022,43579,46785,43726,43012,41309,35640,21773,9523,345367
UCL102005,49123,35160,35608,33802,34110,33324,26911,16795,6991,271818,34,39,35,27,45,49,54,56,41,371,827,1162,1002,722,641,626,504,383,314,6188,9,12,17,13,8,12,10,3,0,76,10,14,10,11,22,30,27,8,0,141,0,0,0,0,0,4,4,4,0,10,0,4,0,0,3,11,5,5,0,35,0,4,0,0,0,5,5,0,0,17,0,0,4,0,7,3,0,0,0,11,0,27,9,7,9,10,4,0,0,63,0,0,0,0,0,0,0,0,0,0,847,1229,1038,754,695,700,552,407,321,6544,884,1270,1074,781,737,747,604,463,358,6915,49999,36430,36685,34586,34845,34072,27513,17256,7347,278728
UCL111001,9869,6233,6923,6374,6118,6070,5340,3248,1311,51484,9,8,14,11,8,19,23,22,9,126,155,219,168,136,112,147,131,60,47,1170,62,120,118,64,75,66,55,31,4,596,3,4,15,4,3,19,8,0,0,47,0,0,4,0,0,6,5,0,0,20,0,0,4,6,0,0,0,0,0,10,0,3,0,0,0,3,0,0,0,6,0,0,4,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,222,360,312,208,197,236,200,92,53,1877,229,365,327,219,207,250,224,118,61,2000,10101,6604,7249,6589,6327,6316,5565,3368,1369,53488
UCL111002,8717,5179,5369,5715,6034,6196,6033,3958,1736,48937,8,7,13,13,9,23,17,21,19,124,196,341,323,258,278,297,295,125,64,2179,4,10,7,9,6,11,73,37,3,153,15,14,27,9,22,24,17,9,0,124,0,0,0,0,0,7,8,0,0,18,0,0,0,0,0,6,0,3,0,6,0,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,9,0,26,0,0,0,0,0,0,0,0,0,3,209,367,363,277,308,332,403,183,72,2510,213,376,371,288,319,361,421,202,91,2636,8935,5558,5741,6004,6351,6552,6454,4155,1824,51576
UCL111003,18542,10398,12611,11560,10444,9389,7832,4357,1460,86604,14,6,9,8,9,12,22,14,4,100,415,390,378,257,206,219,160,112,63,2193,0,0,3,8,0,5,4,0,0,15,3,0,7,3,10,3,10,4,0,40,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,4,7,0,0,9,0,0,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,422,393,388,262,213,230,183,119,63,2283,433,403,402,272,224,238,208,131,70,2377,18979,10803,13015,11836,10670,9623,8039,4496,1529,88984
UCL112001,3669,3423,2923,2290,2043,2192,1745,1320,530,20136,0,10,6,5,4,4,5,7,5,50,69,328,127,87,90,66,52,29,19,863,0,11,9,0,7,0,0,0,0,31,0,38,13,0,9,24,3,0,0,95,0,4,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,10,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,73,387,146,97,113,94,55,34,20,1022,74,402,156,103,118,103,64,39,26,1072,3746,3819,3080,2389,2152,2292,1806,1357,558,21205
UCL112002,6823,4772,4866,4207,4151,3898,3245,1977,911,34856,0,11,7,0,5,10,13,6,12,69,127,380,225,147,155,118,110,75,20,1374,0,12,4,0,3,0,4,0,0,24,4,0,8,0,0,4,4,0,0,23,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,133,401,245,159,171,133,122,75,26,1461,136,415,251,159,181,142,134,83,38,1530,6954,5188,5114,4371,4335,4037,3378,2060,946,36385
UCL112003,4591,2790,2602,3429,4149,4412,4357,2063,652,29045,4,4,4,0,4,4,4,3,4,29,119,110,108,108,125,153,136,60,32,952,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,4,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,119,115,109,116,125,164,148,61,38,1003,121,114,116,118,130,168,149,68,40,1026,4711,2905,2713,3544,4280,4581,4504,2132,692,30072
UCL112004,3666,1986,1859,2274,2799,2926,3497,2794,1055,22863,0,0,0,3,6,4,9,4,0,26,112,140,113,81,87,101,121,72,31,863,0,0,0,0,0,3,9,0,0,14,0,6,0,4,10,3,0,3,0,28,0,0,4,0,0,0,3,0,0,10,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,115,156,120,86,98,113,135,75,35,929,116,156,123,92,99,116,146,77,36,953,3779,2144,1978,2368,2903,3040,3645,2869,1085,23815
UCL112005,4110,2656,3169,2801,2704,2627,2346,1344,637,22388,5,7,6,4,0,7,7,4,0,44,140,115,135,94,62,69,45,20,7,690,0,0,0,0,0,0,3,0,0,9,0,0,0,4,5,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,116,135,96,65,75,56,23,7,716,148,124,141,96,72,81,60,24,13,760,4259,2779,3306,2904,2773,2707,2410,1365,644,23152
