UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL101001,4303,8061,5944,4418,5854,3084,1768,33430,1673,2048,1508,1089,1487,883,613,9305,309,445,309,218,257,176,111,1825,10685,20864,16354,12646,17628,9841,5834,93854,428,761,553,465,639,351,220,3418,593,891,604,436,521,250,172,3465,1025,1652,1158,899,1164,598,393,6886,11709,22516,17510,13549,18789,10437,6225,100739,14759,16746,10115,7025,8699,4579,2753,64672,365,454,303,192,153,71,44,1579,26837,39711,27929,20765,27636,15086,9019,166990
UCL102001,55,98,54,38,35,14,5,287,16,23,9,7,3,6,3,61,0,0,6,5,3,0,0,19,136,282,221,123,170,64,32,1028,3,10,6,7,5,0,0,30,4,6,6,4,4,0,0,24,6,18,9,7,11,0,0,55,145,298,227,133,182,64,29,1083,129,117,62,39,40,10,3,391,4,0,4,5,0,0,0,11,276,412,287,177,219,72,35,1480
UCL102002,674,1205,849,582,732,192,83,4319,250,315,187,142,147,49,13,1096,45,43,37,23,17,6,3,184,1333,2454,1950,1409,1861,594,265,9861,43,83,70,42,58,10,9,316,82,94,59,35,42,19,4,329,126,182,129,73,97,30,8,647,1460,2632,2088,1483,1955,617,275,10509,1673,1707,960,693,638,143,67,5890,26,32,25,24,19,8,0,128,3153,4366,3065,2203,2622,771,343,16524
UCL102003,124,246,188,127,171,30,20,921,24,30,10,24,23,9,3,123,13,12,7,4,7,0,0,49,211,459,354,267,367,93,46,1796,6,10,7,11,7,0,0,40,3,12,14,7,6,0,0,51,16,26,17,14,12,0,0,87,224,480,375,286,377,96,46,1886,185,189,122,111,101,19,14,741,5,14,4,0,0,0,0,27,414,689,506,397,477,113,65,2654
UCL102004,676,1266,851,636,702,213,96,4435,124,130,74,60,69,24,16,498,27,51,18,16,13,5,4,136,1166,2441,1872,1458,1806,659,323,9732,41,63,52,35,48,9,3,263,66,130,80,41,52,15,4,376,104,194,134,77,97,20,6,638,1267,2634,2011,1532,1906,684,333,10362,1171,1179,740,518,483,100,74,4259,23,30,14,13,9,0,0,85,2463,3840,2754,2069,2398,781,404,14705
UCL102005,468,908,619,439,522,180,84,3229,173,209,151,86,97,38,15,767,26,26,12,14,15,3,5,109,896,1773,1409,1087,1318,515,258,7248,23,56,40,38,45,8,7,216,43,55,36,34,38,15,4,213,64,119,78,70,79,21,6,432,961,1883,1485,1155,1396,534,264,7680,1193,1265,715,515,521,145,73,4423,17,30,34,19,7,3,0,105,2174,3182,2228,1686,1923,682,341,12216
UCL111001,151,268,166,99,108,20,7,822,30,26,15,4,10,3,0,85,7,10,9,4,0,0,0,29,258,491,322,239,309,69,16,1719,6,23,5,7,11,0,0,58,21,26,15,13,12,0,0,90,28,47,20,17,25,0,0,146,285,540,344,260,332,76,15,1866,331,258,158,113,114,25,4,1006,8,12,6,9,0,0,0,32,631,808,512,382,452,96,23,2908
UCL111002,142,252,161,125,111,32,14,827,13,17,8,12,6,0,0,64,10,13,12,9,3,0,0,48,234,474,353,279,312,84,28,1769,7,10,12,14,12,0,0,58,13,30,20,5,18,0,0,83,24,40,35,21,22,0,0,144,255,515,387,302,335,86,33,1913,258,215,144,101,82,17,8,835,8,3,6,0,5,0,0,20,516,740,541,401,426,104,41,2763
UCL111003,248,441,255,173,204,31,19,1374,54,53,34,19,29,4,6,201,22,26,19,4,0,0,0,68,477,878,568,401,526,141,66,3059,11,31,16,19,13,5,0,96,37,51,32,20,21,0,0,162,47,79,49,37,35,5,0,252,527,953,617,441,558,140,66,3308,502,558,300,205,157,34,17,1773,10,4,8,7,0,0,0,28,1038,1526,927,648,716,174,83,5107
UCL112001,46,89,53,44,63,8,5,309,3,3,5,0,0,0,0,14,5,0,5,0,0,0,0,15,86,165,117,92,141,23,9,628,5,11,6,4,0,0,0,35,3,5,4,3,0,0,0,16,7,19,12,10,0,5,0,56,98,184,124,102,143,24,9,685,152,129,75,54,42,15,11,484,4,3,0,4,0,0,0,5,249,317,202,155,187,38,20,1170
