UCL_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
UCL101001,157,343,819,736,737,700,322,124,14,3944,16,86,486,700,578,511,167,37,0,2579,1404,4437,14674,17656,18484,16037,3995,453,29,77169,107,522,2565,3672,3217,2121,508,48,0,12759,6486,15350,39233,31770,24826,16163,3968,396,27,138227,556,2313,8486,11505,10555,7864,2064,314,28,43697,8222,15480,22339,18359,13035,9577,2927,476,36,90456,11891,10723,14752,10364,6594,4888,1307,189,19,60722,1221,5332,17588,20052,19327,16454,4302,338,9,84618,364,1751,8037,10656,7542,3746,765,95,14,32961,265,5153,21964,28487,19111,8774,2103,369,57,86288,337,1507,5211,5889,4605,3197,1341,328,62,22470,780,8994,38028,40627,26420,16305,6687,1224,83,139156,739,3319,8830,8234,6861,5324,1779,244,13,35338,535,3780,14948,16184,14571,10650,2784,232,12,63687,2221,4907,12189,11474,10050,8466,3234,396,19,52951,905,5396,18375,16302,13626,11236,4657,765,44,71314,1045,2253,4613,3772,2723,1887,692,114,11,17109,1325,3188,8349,8029,7549,6107,1934,301,15,36808,1728,5809,17308,15776,12058,8572,2497,531,96,64377
UCL102001,0,6,7,7,3,11,4,0,0,39,0,0,6,0,8,6,0,0,0,20,24,48,141,107,114,93,28,3,0,560,0,7,26,48,37,34,8,0,0,161,96,272,550,396,346,294,70,3,0,2037,5,21,52,41,48,31,11,0,0,222,119,120,255,120,86,90,19,6,0,812,169,92,148,78,45,35,11,0,0,569,10,31,127,91,119,127,30,4,0,541,3,7,39,41,30,19,4,0,0,142,6,6,17,9,23,15,6,0,0,73,4,13,24,33,32,20,4,0,0,126,8,47,211,207,168,117,36,3,0,792,3,31,70,46,69,54,12,0,0,296,11,105,447,722,779,440,76,0,0,2583,18,30,106,83,75,59,22,0,0,395,9,33,111,86,95,73,22,4,0,431,22,20,25,17,29,18,7,0,0,132,20,45,103,82,75,55,24,5,0,406,22,57,130,97,85,66,18,9,0,476
UCL102002,20,55,123,89,92,88,26,5,0,496,0,20,104,171,160,117,18,0,0,595,223,467,1155,1262,1435,1185,225,22,0,5974,15,47,190,262,324,285,34,0,0,1166,878,1669,3418,3174,2654,1824,428,33,0,14082,43,95,310,417,553,458,96,18,0,1996,893,904,1241,1034,1035,775,241,30,0,6153,1589,722,733,567,453,338,103,20,3,4528,73,170,531,749,1064,1156,315,40,0,4104,43,91,282,405,386,266,53,5,3,1526,10,101,344,582,584,340,104,22,0,2083,21,51,158,211,266,173,84,22,0,989,57,213,777,1172,1089,700,339,57,5,4402,76,217,404,489,535,472,148,16,0,2367,47,182,743,1204,1350,952,173,15,0,4670,72,188,652,720,655,617,225,14,0,3158,73,376,1157,1129,1162,1147,347,33,0,5424,95,97,197,197,164,152,63,13,4,973,143,285,550,622,571,523,132,17,0,2844,153,307,727,727,726,547,172,48,18,3434
UCL102003,10,14,28,32,22,24,11,12,0,146,0,6,42,38,53,26,3,0,0,161,42,79,123,183,157,148,40,4,0,780,0,12,26,54,66,51,10,0,0,222,111,287,617,620,617,435,88,9,0,2788,17,18,41,71,78,63,24,0,0,311,168,182,229,204,177,186,64,3,0,1212,338,141,183,167,158,142,47,9,0,1183,13,29,72,76,155,187,71,15,3,612,7,12,20,43,37,23,3,0,0,148,3,15,29,59,49,50,12,0,0,219,4,6,32,39,47,58,27,8,0,214,4,30,127,172,168,114,72,10,3,699,10,34,65,87,113,110,46,0,0,464,0,27,79,166,213,180,24,3,0,696,8,34,97,148,166,140,62,9,0,664,15,46,167,233,241,257,63,9,0,1027,15,28,31,39,56,32,11,0,0,219,17,34,87,121,91,80,31,7,0,465,46,59,139,138,126,89,42,12,0,659
UCL102004,13,39,92,72,75,70,31,7,0,400,17,119,841,1023,781,513,51,0,0,3350,178,487,1348,1498,1678,1315,212,31,0,6740,7,67,344,453,475,322,48,8,0,1725,872,1756,3544,2832,2406,1710,362,41,0,13520,65,157,460,585,618,443,128,14,0,2464,980,1370,1501,930,870,654,192,23,0,6527,1836,1248,1146,625,436,319,107,15,0,5730,68,247,770,994,1229,1225,275,33,0,4846,35,83,203,188,180,117,26,7,0,831,9,119,507,591,485,286,68,10,0,2076,24,70,188,241,222,201,90,27,3,1076,79,541,1586,1717,1173,866,333,57,0,6341,75,224,504,502,531,402,106,18,0,2358,55,334,1223,1396,1532,1017,182,12,0,5748,93,383,1074,1081,1018,848,279,25,0,4812,119,700,2165,1774,1597,1288,377,56,0,8062,185,173,222,185,153,88,29,8,0,1042,168,340,645,602,615,505,158,31,0,3062,142,408,836,768,749,508,135,33,13,3580
UCL102005,9,25,55,26,50,31,12,7,0,214,16,92,556,758,560,319,29,4,0,2332,169,417,1126,1130,1560,1449,218,11,4,6085,15,65,217,276,281,212,35,0,0,1103,820,1548,2825,2242,1929,1376,260,10,0,11020,31,99,304,357,372,314,59,3,0,1543,664,893,1109,788,721,528,152,23,0,4877,1211,952,849,436,294,226,67,4,0,4042,66,234,808,1067,1252,1091,245,26,0,4776,8,69,168,224,198,90,22,5,0,784,8,130,381,445,409,196,54,5,0,1621,16,65,151,163,153,107,35,9,0,709,45,396,1065,1045,806,535,219,35,0,4141,48,156,395,400,399,336,85,4,0,1825,39,252,1007,1297,1247,872,146,15,0,4875,70,272,881,891,865,644,200,24,0,3845,58,374,1229,1058,980,801,258,26,0,4775,96,133,193,157,153,82,30,3,3,849,148,315,576,496,523,437,101,13,0,2613,121,305,714,597,541,441,106,33,9,2856
UCL111001,5,14,28,43,47,41,23,8,0,209,0,4,8,13,15,7,0,0,0,47,49,131,382,371,355,274,53,6,0,1609,0,13,24,41,23,41,9,0,0,151,147,317,585,425,293,293,87,6,0,2154,8,15,80,83,100,77,43,9,0,410,191,160,253,203,154,124,58,0,4,1148,218,140,190,122,81,63,25,4,0,840,19,46,179,155,190,194,72,8,0,861,5,8,27,20,23,16,8,0,0,112,0,16,24,44,49,26,7,0,0,173,6,5,33,27,26,25,12,0,0,139,11,30,141,111,93,76,44,12,0,521,13,31,59,77,78,79,34,0,0,359,9,46,193,198,257,156,32,0,0,896,18,38,138,166,151,135,52,3,0,701,12,78,242,228,202,151,58,6,0,983,23,15,19,21,10,12,11,0,0,117,34,67,122,97,74,78,22,7,0,498,39,64,143,128,112,98,25,10,0,620
UCL111002,11,21,103,126,67,53,26,6,0,416,0,4,9,10,16,13,5,0,0,58,16,32,104,115,105,107,22,3,0,494,0,5,24,41,34,33,5,0,0,144,95,220,380,351,324,262,67,0,0,1705,6,19,44,70,76,61,14,6,0,303,193,146,220,188,176,153,52,8,0,1136,279,133,179,128,121,109,37,3,3,992,8,19,74,89,117,157,60,5,0,527,5,10,15,22,26,21,3,0,0,101,0,3,36,45,46,35,11,0,0,176,0,4,22,24,30,42,20,3,0,146,9,19,111,103,103,75,66,3,0,496,15,20,61,81,107,85,24,5,0,395,3,16,114,151,211,136,22,5,0,660,14,19,99,124,119,112,53,3,0,544,21,68,235,264,279,200,67,8,0,1147,18,11,26,27,44,22,8,3,0,159,26,45,99,91,106,67,18,0,0,448,23,44,113,126,97,86,22,9,0,518
UCL111003,8,28,54,42,50,34,21,7,0,240,15,99,514,676,508,290,30,3,0,2142,70,181,539,452,458,391,54,10,0,2157,6,25,101,113,115,86,13,0,0,470,204,451,842,701,506,414,83,4,0,3213,21,52,224,212,178,143,21,0,0,845,264,270,436,293,246,157,49,7,0,1719,476,202,204,141,90,69,29,4,0,1213,18,63,232,340,390,323,115,12,0,1484,11,7,42,28,30,21,0,4,0,144,6,23,90,88,69,44,12,7,0,327,9,19,50,51,54,27,20,3,0,234,25,57,267,268,202,148,50,7,0,1026,16,65,202,163,130,99,25,0,0,695,10,74,380,412,348,217,38,0,0,1478,13,50,200,153,179,133,44,3,0,779,34,105,308,289,253,184,48,5,0,1235,34,18,29,36,19,27,9,0,0,173,65,124,271,199,157,128,36,7,0,985,52,129,286,231,183,136,33,10,0,1060
UCL112001,8,32,75,60,30,35,14,7,0,265,0,3,17,10,9,5,0,0,0,42,21,33,69,40,32,25,0,0,0,213,0,9,8,12,15,13,3,0,0,59,40,76,142,91,64,83,21,4,0,522,5,9,13,14,10,13,10,0,0,85,74,83,115,51,56,43,10,3,0,434,101,93,73,59,17,29,11,0,0,385,3,6,27,21,35,44,14,0,0,154,4,12,11,9,6,3,3,0,0,48,0,4,20,19,20,7,0,0,0,70,0,3,7,10,6,4,4,3,0,34,0,18,49,58,44,40,36,0,0,240,5,12,41,36,31,25,9,0,0,150,3,16,52,60,72,70,11,4,0,288,15,53,134,154,160,155,46,4,0,714,0,40,128,83,49,61,13,5,0,381,5,7,12,13,11,12,0,0,0,56,9,14,47,24,26,26,8,0,0,158,13,21,32,35,23,10,9,6,0,151
