UCL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
UCL101001,423157,856230,9563,56508,58633,275097,11796,56364,327234,1265952,407228,1653923,34108,149523,55579,197440,108783,364077,198474,711039,605701,2364957,2602,12688,12057,42563,5102,19147,58920,157107,78687,231512,8915,30229,21046,48819,74859,170452,104827,249506,183509,481018,21788,46655,1234155,3748859
UCL102001,3551,7109,72,400,389,1790,126,585,2537,9628,3129,12406,226,951,364,1267,822,2647,1415,4872,4542,17273,20,83,87,267,62,200,676,1715,847,2265,65,200,131,292,612,1330,812,1825,1652,4090,163,347,9919,28816
UCL102002,34916,70215,655,3642,3353,15474,1147,5341,18648,72931,23811,97392,1767,7452,2616,8917,7121,23025,11504,39392,35307,136781,252,1182,1140,3891,669,2464,6466,17472,8532,25004,663,2126,1437,3187,6776,14881,8878,20196,17406,45198,1167,2434,88800,254625
UCL102003,7886,15749,82,439,532,2439,192,838,3295,12793,4094,16510,268,1128,446,1504,1179,3784,1890,6421,5993,22931,43,196,200,692,111,398,1035,2702,1386,3993,101,306,275,605,1307,2804,1677,3723,3062,7711,254,531,17193,46922
UCL102004,37785,75648,560,3093,3545,16251,978,4407,20830,80465,25907,104216,1834,7670,3132,10661,7146,22806,12114,41140,38016,145353,172,803,1038,3502,621,2236,6008,15455,7843,21998,606,1868,1563,3425,6203,13506,8369,18799,16208,40807,1511,3143,93522,264950
UCL102005,28966,58318,557,3148,3046,14056,917,4264,16725,65370,21243,86837,1785,7627,2406,8443,6957,22804,11142,38874,32387,125714,185,853,858,2952,521,1911,4668,12459,6234,18182,556,1779,1150,2549,5406,11959,7115,16287,13347,34468,1112,2327,75811,220827
UCL111001,5708,11367,98,525,494,2294,151,709,3117,12154,3871,15683,220,914,353,1162,879,2772,1455,4850,5322,20533,34,162,209,725,108,405,1194,3149,1552,4445,82,253,219,469,812,1743,1109,2465,2661,6908,223,461,13913,39267
UCL111002,5783,11591,78,467,486,2298,157,736,2567,10164,3289,13674,180,742,323,1057,906,2868,1404,4661,4698,18333,30,141,194,650,124,442,1130,3007,1475,4241,78,268,231,507,1006,2173,1315,2946,2788,7185,199,419,13468,37529
UCL111003,9139,18324,184,1026,1004,4653,410,1894,6132,23669,7730,31235,479,2003,659,2214,1954,6258,3089,10479,10821,41714,78,352,334,1179,199,733,2027,5567,2633,7827,159,515,341,770,1556,3454,2063,4732,4693,12562,365,770,25021,73368
UCL112001,2078,4156,52,310,179,878,57,259,1017,3994,1299,5443,61,270,124,402,228,711,413,1384,1716,6817,19,83,78,327,24,86,424,1187,547,1677,34,117,100,198,278,590,413,910,959,2586,81,174,4825,13736
