UCL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
UCL101001,30453,28810,59260,12452,15408,27856,619,288,903,657,573,1233,1633,1633,3265,431004,285742,716747,20570,36049,56616,10732,166,10899,8057,1048,9103,6630,1996,8627,6134,4256,10390,24659,27888,52545,553597,403852,957450,9737,11874,21610,102,81,184,402,450,850,3374,1965,5336,675,1355,2031,899,512,1406,15194,16230,31427,106,78,184,246,264,506,659,511,1167,435,1010,1444,403,452,855,1842,2310,4155,4785,2750,7530,21819,21291,43106,3011,3171,6181,275,295,576,174,81,255,3463,3548,7012,418888,461371,880258,133637,160377,294009,5249,3861,9110,1136652,1054301,2190950
UCL102001,0,0,6,86,144,231,6,0,3,0,0,0,26,18,51,8051,6567,14615,444,677,1123,143,4,145,153,12,168,78,12,94,57,25,83,187,213,394,9228,7674,16904,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,5,10,23,36,10,21,30,0,6,11,25,57,82,79,56,137,108,117,223,0,0,0,3,9,11,8,0,7,10,10,19,691,977,1677,742,1189,1932,33,19,51,10809,9999,20802
UCL102002,701,405,1104,361,491,848,24,5,29,6,0,9,31,41,75,39035,30514,69546,2228,2421,4642,1008,19,1033,387,37,419,208,64,268,309,212,522,769,927,1698,45049,35137,80183,224,159,388,5,7,8,0,0,5,273,102,369,35,32,65,42,15,55,582,316,899,3,4,10,0,0,0,19,21,37,34,58,94,12,16,33,70,98,167,409,162,571,1060,575,1634,92,64,158,17,14,28,15,3,16,128,80,211,15511,20176,35690,8867,13642,22508,328,286,609,70948,69895,140842
UCL102003,9,3,9,79,69,148,0,0,0,0,0,0,15,12,21,8526,8118,16643,484,652,1132,180,3,182,112,13,127,158,86,240,79,40,119,284,356,640,9913,9352,19264,4,0,4,0,0,0,0,0,0,12,6,21,3,0,8,0,0,0,19,7,28,0,0,0,0,0,0,5,0,4,7,16,24,0,4,6,12,22,32,97,53,142,131,81,205,8,0,3,3,3,7,0,0,0,8,4,13,1534,2177,3705,1240,2004,3245,71,77,150,12899,13691,26594
UCL102004,155,70,225,532,723,1250,19,30,50,34,29,62,87,92,175,49449,40058,89510,2336,3063,5401,891,28,924,641,116,760,724,281,1011,329,224,551,1477,1632,3101,56678,46346,103024,43,21,71,0,0,0,5,5,10,29,20,44,11,6,22,13,6,22,107,62,173,8,4,8,4,5,9,44,41,82,42,87,126,16,35,57,111,171,280,506,304,814,719,539,1260,41,27,66,23,23,48,18,11,32,84,58,143,16156,21121,37275,10337,15913,26246,316,262,577,84292,84236,168526
UCL102005,493,249,744,379,478,859,12,0,13,0,3,7,70,55,122,37496,27293,64790,1762,2155,3916,784,15,797,385,35,417,396,76,473,291,189,481,1039,1154,2192,43099,31714,74813,53,60,112,0,0,0,3,0,3,146,54,203,21,21,48,27,10,36,254,147,398,0,0,0,0,0,0,33,29,53,30,64,92,19,14,31,76,99,178,330,176,500,654,424,1074,36,31,67,7,14,21,9,6,15,52,52,100,12865,17707,30567,7970,11994,19966,245,216,462,64887,62094,126982
UCL111001,4,5,13,41,50,94,6,0,9,0,0,3,31,28,65,9288,8362,17649,531,629,1160,119,0,122,68,16,88,160,47,205,52,18,71,342,346,693,10645,9508,20154,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,5,4,6,7,10,11,0,0,0,12,11,24,71,53,116,81,61,147,0,0,0,0,0,0,7,0,8,10,5,10,902,1275,2174,848,1603,2451,69,48,120,12551,12509,25063
UCL111002,5,3,9,64,65,127,4,0,4,0,0,0,10,28,43,7241,7090,14332,558,678,1233,131,4,129,124,20,143,135,35,170,58,24,82,221,274,491,8552,8210,16756,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,4,0,4,7,0,5,0,0,0,0,0,0,0,4,6,5,7,13,0,0,0,6,12,20,69,48,119,82,64,144,0,0,0,0,0,0,7,0,7,7,0,9,908,1245,2146,946,1486,2425,67,63,125,10557,11064,21619
UCL111003,88,56,147,58,63,119,7,0,6,0,0,0,20,11,29,14306,11045,25351,741,818,1559,265,5,268,140,9,144,59,17,73,87,69,156,208,246,455,15969,12344,28315,15,20,29,0,0,0,6,7,11,21,9,30,6,5,10,18,5,20,62,47,105,0,0,0,0,0,0,7,0,9,4,12,12,0,0,4,10,14,21,130,64,198,205,118,328,20,19,39,0,0,0,6,0,10,24,21,49,2666,4321,6988,2685,4109,6790,68,56,125,21625,20971,42593
UCL112001,0,3,3,15,10,28,0,0,0,0,0,0,12,16,25,2464,2155,4616,183,250,434,45,0,45,35,4,39,44,18,58,19,19,37,155,168,327,2980,2646,5623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,24,21,42,27,26,56,0,0,0,0,0,0,0,0,0,0,4,6,803,1074,1872,621,796,1415,25,24,45,4450,4561,9013
