UCL_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
UCL101001,1456,3063,1654,1010,362,0,0,0,7545,316,732,514,396,415,0,0,0,2382,364,2460,3301,4950,6104,8947,7813,5325,39254,2130,6259,5469,6357,6885,8947,7813,5325,49180,278053,341137,329201,271891,230771,162390,83830,25290,1722563,16486,25380,20273,14192,11320,8287,6718,4956,107607,296670,372776,354942,292439,248972,179630,98353,35570,1879348,594,886,366,180,59,0,0,0,2093,68,134,114,88,59,0,0,0,463,121,384,553,899,969,717,427,472,4529,781,1399,1033,1167,1090,717,427,472,7081,264554,357364,341203,290785,249104,188921,105667,45876,1843470,13906,22109,17330,12126,9852,8527,8620,10154,102629,279236,380866,359568,304077,260048,198163,114713,56501,1953176,2051,3953,2020,1187,424,0,0,0,9632,375,866,632,483,476,0,0,0,2837,483,2840,3853,5849,7070,9660,8237,5796,43789,2912,7659,6508,7523,7972,9660,8237,5796,56261,542605,698503,670402,562675,479875,351315,189493,71164,3566037,30383,47482,37604,26317,21173,16815,15332,15112,210231,575904,753648,714513,596518,509021,377790,213068,92069,3832530
UCL102001,12,85,188,184,36,0,0,0,506,5,46,50,51,62,0,0,0,218,9,84,129,243,288,203,76,33,1067,30,212,371,479,382,203,76,33,1790,2128,2668,2156,2075,1875,1154,520,157,12736,91,199,131,105,118,73,41,28,780,2246,3086,2656,2660,2379,1422,632,221,15307,20,53,66,59,14,0,0,0,211,0,9,24,20,19,0,0,0,70,5,34,50,93,93,32,9,3,321,25,96,145,180,124,32,9,3,605,1962,2830,2395,2425,2019,1326,751,317,14026,87,174,118,81,97,79,53,44,738,2074,3103,2658,2683,2242,1435,810,364,15368,30,138,255,241,48,0,0,0,717,9,55,72,76,77,0,0,0,287,22,115,180,338,383,234,87,39,1392,54,308,511,655,505,234,87,39,2397,4086,5499,4551,4500,3898,2475,1272,476,26761,176,378,249,192,213,152,90,70,1515,4324,6190,5318,5340,4613,2867,1445,579,30675
UCL102002,27,29,39,24,13,0,0,0,135,21,54,37,32,19,0,0,0,165,56,318,372,682,886,1618,1506,918,6359,108,405,450,738,923,1618,1506,918,6658,17573,16252,17346,18111,17798,15016,8827,2188,113112,908,1014,973,973,883,850,816,637,7058,18588,17674,18763,19826,19597,17484,11152,3740,126826,5,5,6,5,0,0,0,0,25,5,7,0,8,3,0,0,0,27,21,42,55,147,168,172,91,76,778,32,57,64,164,176,172,91,76,827,16736,17547,19229,20198,20888,19239,11868,4962,130666,839,965,975,849,836,1040,1264,1397,8167,17603,18565,20272,21205,21903,20461,13222,6435,139658,36,38,47,35,19,0,0,0,159,32,57,41,40,26,0,0,0,188,78,360,432,830,1059,1784,1594,992,7135,138,454,517,900,1099,1784,1594,992,7481,34306,33800,36575,38310,38685,34263,20695,7149,243778,1749,1982,1948,1822,1708,1897,2082,2037,15225,36195,36234,39039,41031,41494,37943,24371,10181,266486
UCL102003,6,0,6,0,5,0,0,0,19,9,8,11,9,11,0,0,0,40,0,74,93,154,209,473,453,305,1766,16,85,107,164,220,473,453,305,1829,2839,2518,3003,3257,3547,3578,2224,674,21641,182,234,218,226,206,207,189,138,1602,3035,2836,3326,3653,3973,4261,2867,1118,25070,0,3,0,0,3,0,0,0,10,0,5,5,7,0,0,0,0,9,6,7,24,34,41,59,52,42,264,12,11,29,40,42,59,52,42,290,2775,2936,3489,3766,4510,4592,3059,1476,26596,160,234,231,216,201,223,291,261,1809,2947,3173,3747,4018,4757,4866,3401,1787,28700,5,7,10,5,5,0,0,0,31,10,11,16,14,12,0,0,0,55,5,82,113,186,253,535,500,352,2032,21,101,137,208,263,535,500,352,2117,5622,5449,6485,7016,8055,8162,5283,2149,48235,341,465,448,442,404,431,487,400,3411,5983,6014,7071,7668,8725,9131,6271,2908,53762
UCL102004,147,335,212,129,48,0,0,0,867,42,126,110,82,72,0,0,0,437,90,516,656,954,1090,1790,1426,938,7445,275,976,971,1174,1208,1790,1426,938,8754,20961,21310,19610,19084,18242,14819,7873,2046,123951,1146,1143,968,873,781,772,647,474,6806,22388,23433,21542,21130,20237,17378,9949,3456,139510,70,114,49,19,3,0,0,0,253,11,28,28,25,8,0,0,0,111,22,80,148,227,205,150,63,49,947,103,221,223,271,220,150,63,49,1305,20646,22512,21376,21150,20804,18163,10922,4972,140542,1020,1006,814,701,691,837,936,1056,7051,21776,23729,22414,22124,21716,19145,11920,6078,148902,219,448,259,149,52,0,0,0,1118,56,152,139,112,86,0,0,0,540,115,591,799,1184,1294,1941,1493,984,8398,384,1198,1192,1443,1426,1941,1493,984,10061,41607,43819,40987,40236,39046,32981,18798,7020,264496,2168,2147,1778,1570,1469,1612,1586,1526,13859,44159,47160,43956,43254,41949,36526,21875,9530,288407
UCL102005,29,93,62,40,10,0,0,0,223,26,61,36,32,20,0,0,0,172,45,283,368,476,683,851,752,452,3911,102,438,460,539,710,851,752,452,4312,17686,17037,15717,15744,15331,11861,6635,1957,101975,924,903,749,708,597,532,523,435,5373,18712,18377,16924,16997,16645,13244,7912,2842,111655,7,19,14,3,5,0,0,0,49,6,4,11,7,8,0,0,0,37,17,63,76,111,117,63,25,30,499,29,87,104,120,124,63,25,30,584,17310,17550,16896,17247,16980,13891,8678,3633,112189,844,854,726,600,533,584,682,796,5613,18190,18492,17733,17967,17634,14536,9386,4455,118387,36,113,76,42,14,0,0,0,279,34,67,47,34,26,0,0,0,210,62,348,438,585,792,908,784,483,4407,132,521,565,666,835,908,784,483,4899,34997,34588,32620,32995,32314,25752,15313,5585,214162,1770,1757,1474,1304,1127,1113,1205,1233,10985,36900,36870,34658,34966,34272,27781,17304,7298,230048
UCL111001,20,33,21,25,4,0,0,0,104,0,8,11,9,7,0,0,0,36,14,61,100,138,189,318,233,136,1182,40,105,133,170,193,318,233,136,1321,2970,3193,2861,2689,2675,2273,1169,317,18154,211,223,201,182,157,131,89,46,1254,3220,3516,3196,3040,3029,2723,1495,497,20723,9,11,4,0,0,0,0,0,27,0,3,0,0,3,0,0,0,8,7,13,25,45,53,40,20,12,218,15,23,31,50,57,40,20,12,248,3096,3447,3180,3108,3141,2876,1755,781,21388,187,204,182,137,156,134,162,91,1255,3295,3676,3391,3294,3362,3049,1942,882,22897,32,39,29,23,3,0,0,0,134,0,8,13,9,11,0,0,0,45,21,73,121,188,242,361,256,145,1398,54,126,164,214,256,361,256,145,1574,6063,6637,6039,5799,5819,5150,2928,1101,39537,404,428,379,323,314,265,249,138,2511,6517,7189,6586,6342,6392,5776,3437,1379,43620
UCL111002,4,5,6,0,0,0,0,0,10,0,3,6,4,3,0,0,0,20,10,58,77,143,163,325,275,168,1216,17,61,91,148,171,325,275,168,1251,2551,2474,2546,2607,2730,2506,1380,410,17204,193,223,199,189,148,146,162,114,1382,2761,2761,2838,2943,3049,2977,1816,694,19833,0,0,0,0,0,0,0,0,6,0,0,5,3,0,0,0,0,8,4,3,7,28,34,33,17,14,145,4,8,19,26,34,33,17,14,158,2533,2671,2912,3124,3334,3191,2023,842,20633,171,217,191,157,159,183,235,247,1562,2706,2900,3119,3312,3526,3411,2274,1112,22351,4,6,7,0,6,0,0,0,13,0,9,10,3,3,0,0,0,26,18,60,86,169,199,365,286,188,1363,16,71,107,172,201,365,286,188,1406,5086,5148,5456,5732,6061,5697,3404,1258,37831,357,441,390,347,303,328,400,368,2944,5463,5653,5951,6255,6573,6387,4087,1807,42183
UCL111003,29,157,123,66,17,0,0,0,395,8,38,26,10,17,0,0,0,104,21,153,222,291,297,488,335,173,1980,58,349,370,370,334,488,335,173,2475,5141,5673,5177,4627,4136,3256,1607,308,29926,223,303,258,177,169,126,99,63,1422,5424,6326,5806,5178,4636,3877,2045,541,33828,13,51,19,7,5,0,0,0,89,0,3,7,6,0,0,0,0,13,17,30,46,79,68,59,18,4,321,30,88,64,88,73,59,18,4,427,5173,6415,5816,5305,4927,4153,2302,860,34945,204,254,239,162,143,132,142,127,1409,5404,6763,6121,5557,5143,4338,2469,986,36782,43,213,137,70,18,0,0,0,486,10,43,32,17,24,0,0,0,120,37,187,270,371,366,548,357,171,2303,85,441,436,463,405,548,357,171,2907,10314,12085,10995,9935,9060,7403,3909,1171,64875,432,560,499,340,311,260,244,188,2829,10831,13090,11929,10735,9777,8218,4512,1528,70615
UCL112001,0,4,0,0,0,0,0,0,4,3,0,3,6,3,0,0,0,20,4,24,22,52,60,68,60,50,338,13,32,23,51,60,68,60,50,364,1477,1296,1044,868,976,750,469,126,7005,301,150,79,67,69,49,61,32,800,1784,1482,1146,985,1100,866,593,215,8175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12,19,9,0,0,56,5,5,6,18,19,9,0,0,58,1669,1436,1102,1056,1109,929,706,282,8286,396,150,102,59,70,66,84,71,997,2061,1590,1212,1137,1188,1006,785,354,9343,0,7,0,0,0,0,0,0,4,9,0,3,10,3,0,0,0,23,3,25,32,61,76,80,65,57,392,11,34,32,73,77,80,65,57,424,3149,2737,2146,1928,2078,1683,1173,409,15293,698,305,175,126,136,117,143,108,1802,3852,3073,2351,2121,2295,1870,1382,566,17514
