UCL_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL101001,1292,7816,53795,309849,340951,110789,24466,9661,858616,671,5004,24211,30389,6083,958,216,967,68499,574,7948,30759,73839,28164,4043,736,1861,147929,1241,12950,54977,104232,34252,5001,949,2828,216434,2354,18848,47600,13973,1569,338,198,1638,86513,2620,23044,103235,20769,955,114,120,2201,153046,3928,40672,108817,26894,993,140,78,2389,183907,3344,34500,62678,15213,593,43,46,1593,118012,129,1097,3171,1536,915,451,176,211,7695,12368,118165,325500,78388,5032,1085,612,8020,549172,303,1733,2882,1441,293,84,43,165,6931,203,774,1091,537,357,146,56,335,3506,15409,141445,438240,494445,380883,117107,26126,21009,1634660
UCL102001,6,52,440,3496,3701,837,209,90,8830,0,122,806,578,48,0,0,18,1571,0,110,696,577,48,3,3,18,1457,0,230,1496,1151,100,3,4,42,3024,23,481,434,63,8,0,3,23,1040,13,135,368,19,0,0,0,5,540,0,216,665,39,0,0,0,17,934,0,17,58,6,0,0,0,0,81,0,6,5,10,3,0,0,0,19,35,851,1534,138,12,0,5,41,2618,4,9,12,7,0,0,0,0,29,0,10,12,0,0,0,0,3,18,45,1147,3485,4790,3821,843,216,174,14520
UCL102002,218,1620,11471,38206,33700,8178,1629,1179,96195,64,633,4555,3854,177,25,14,266,9579,19,469,1665,3422,360,32,12,116,6097,77,1101,6219,7283,535,63,28,380,15675,83,955,3048,1935,202,31,16,159,6419,21,107,949,388,22,0,0,23,1521,36,265,1692,423,21,4,4,34,2471,0,68,364,157,6,0,0,3,600,12,60,180,81,31,19,4,9,396,149,1462,6237,2985,273,46,21,229,11403,63,264,401,141,21,10,0,39,947,23,70,56,41,19,4,3,29,239,520,4513,24382,48653,34557,8296,1676,1857,124458
UCL102003,32,338,1597,5647,5295,1163,236,213,14523,4,209,1512,1964,92,7,4,74,3865,3,135,863,1316,102,11,3,43,2485,11,336,2380,3283,195,23,8,113,6348,26,233,867,318,19,3,0,42,1503,0,111,962,314,8,3,0,26,1419,0,67,352,161,9,0,0,14,609,0,46,334,124,5,0,0,14,525,0,26,15,0,6,4,0,0,47,35,486,2529,925,37,10,0,89,4112,38,257,198,14,4,0,0,12,535,8,21,19,8,3,0,0,5,63,115,1433,6724,9879,5539,1195,244,441,25578
UCL102004,130,1210,13404,47999,31665,6556,1212,975,103145,21,1023,4923,2554,211,32,14,158,8937,47,740,3024,4079,506,90,29,132,8640,64,1754,7948,6633,713,121,41,293,17579,153,2014,2471,588,78,15,15,167,5492,44,561,1601,317,6,4,3,55,2603,57,583,1269,613,29,0,8,43,2590,24,472,774,332,23,0,0,13,1640,7,110,165,92,30,18,3,8,439,282,3745,6278,1944,168,39,27,282,12764,43,175,176,71,29,9,0,19,523,15,57,45,34,13,3,6,28,206,540,6954,27843,56684,32586,6725,1289,1588,134205
UCL102005,71,674,5460,33931,26127,5906,1192,784,74149,38,520,2708,2143,199,27,5,110,5751,13,566,2382,4243,527,43,14,111,7900,56,1084,5092,6389,729,66,19,219,13652,63,1343,3729,1036,133,28,16,132,6474,18,377,2111,472,17,3,0,54,3053,24,487,2367,956,37,0,3,52,3927,12,242,1103,657,37,0,0,23,2075,5,66,128,78,58,20,8,3,361,128,2516,9435,3190,274,60,29,261,15898,21,230,428,97,32,14,4,26,858,10,34,45,47,10,5,9,16,173,285,4552,20462,43653,27173,6053,1246,1308,104731
UCL111001,15,125,1868,8177,5867,731,126,204,17127,11,418,2370,513,36,4,6,84,3443,0,126,180,96,13,3,0,8,431,9,544,2550,609,46,8,6,94,3873,0,87,98,21,0,0,0,8,219,4,8,64,0,0,0,0,0,69,0,0,22,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,96,184,27,4,0,0,12,325,12,16,20,6,4,0,0,8,58,0,0,4,7,13,0,0,18,44,44,774,4631,8829,5932,747,134,332,21423
UCL111002,30,147,919,6236,4833,968,185,163,13482,3,111,997,591,45,8,0,51,1813,3,63,352,697,101,16,5,17,1259,4,178,1354,1287,144,21,5,69,3071,20,280,1302,465,26,6,0,54,2158,7,63,228,60,3,0,0,6,365,0,52,133,69,10,0,0,3,265,5,0,66,36,0,0,0,0,115,3,21,13,9,3,3,0,0,47,31,413,1746,638,39,3,3,68,2948,24,118,94,34,0,0,3,13,285,0,14,17,15,4,5,0,12,64,99,870,4136,8207,5027,999,195,317,19852
UCL111003,24,150,1946,11496,12756,1757,279,265,28673,4,213,1365,870,122,0,6,51,2627,0,142,274,132,14,8,4,6,583,4,354,1636,1013,140,6,5,54,3212,12,244,314,45,4,0,0,27,654,0,0,0,0,0,0,0,4,7,0,12,15,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,8,29,15,9,0,0,0,77,15,269,367,59,17,0,0,32,764,12,56,102,26,4,0,0,9,211,3,11,0,15,9,3,0,5,45,55,849,4050,12605,12917,1772,290,369,32903
UCL112001,8,80,658,3064,1909,377,95,68,6268,4,139,568,169,14,5,0,25,923,0,31,81,43,10,6,0,3,162,4,167,642,210,21,3,0,31,1080,8,126,202,42,5,0,3,6,395,0,7,35,7,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,8,141,232,53,5,5,3,7,449,3,5,12,5,0,0,0,3,32,0,6,6,0,3,0,0,10,31,24,400,1556,3331,1945,385,99,113,7860
