UCL_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
UCL101001,551,1007,5044,7997,11732,20142,31065,28772,15793,122100,195,1119,5851,6254,8301,12116,11874,9711,6107,61541,10984,17800,47657,38424,27841,24491,22645,20836,17340,228023,108269,312957,752663,713735,595670,508149,377066,212732,91945,3673186
UCL102001,10,3,50,38,80,152,284,287,150,1056,0,0,16,17,11,20,29,38,32,170,74,96,383,259,210,236,180,126,69,1638,829,2287,6182,5317,5341,4613,2864,1445,579,29458
UCL102002,104,58,256,327,621,1388,2404,2240,1455,8841,16,33,76,94,118,166,192,173,126,997,806,837,1968,1933,1885,1956,2476,2749,2179,16789,8353,17291,36217,39019,41010,41469,37926,24343,10171,255813
UCL102003,14,9,49,69,105,240,543,693,481,2195,7,0,3,6,18,30,28,31,29,164,159,167,480,469,460,487,548,677,589,4024,1411,2766,6012,7066,7668,8719,9129,6272,2908,51945
UCL102004,92,104,321,415,584,1280,2218,2095,1641,8760,12,28,112,143,174,219,199,169,140,1191,854,1180,2162,1827,1684,1773,2086,2256,1827,15644,9357,23991,47145,43934,43233,41931,36508,21860,9527,277483
UCL102005,68,73,256,387,530,1357,2769,2837,1695,9965,14,34,113,152,177,215,368,449,342,1860,752,903,1764,1517,1400,1353,1534,1779,1438,12440,8028,19714,36849,34643,34948,34249,27740,17285,7292,220753
UCL111001,17,17,92,138,114,228,375,441,285,1713,0,11,43,56,101,74,53,40,21,401,176,203,436,396,345,373,356,352,192,2831,1411,3348,7184,6585,6335,6391,5773,3436,1378,41830
UCL111002,23,36,114,193,134,265,397,390,279,1830,3,14,91,77,55,68,45,18,16,377,183,148,448,400,362,349,400,502,443,3234,1335,2462,5644,5946,6250,6560,6381,4086,1807,40469
UCL111003,43,36,107,115,221,435,708,567,348,2580,0,4,29,27,40,56,45,28,13,240,186,215,574,495,367,388,406,401,242,3278,2515,5447,13083,11918,10730,9770,8212,4507,1526,67703
UCL112001,15,29,42,50,46,91,122,140,94,616,3,21,50,40,24,18,22,14,4,193,339,355,295,185,141,151,135,189,121,1911,1040,2030,3073,2351,2121,2291,1869,1379,566,16722
