UCL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL101001,..,3152,97049,211100,180823,156388,119083,64438,16970,849007,..,10884,68766,38432,25239,16577,7747,2494,355,170495,..,287,1534,5328,9899,8043,3826,2266,1563,32755,420784,..,..,..,..,..,..,..,..,420784,..,128306,..,..,..,..,..,..,..,128306,..,80699,69405,21834,13194,5684,881,28,0,191727,..,13352,14631,5787,5088,6470,5349,3103,1781,55561,..,8098,15338,6038,4122,3053,1362,381,81,38481,..,21665,44815,13477,8140,7245,4853,1738,363,102307,..,7163,29571,28340,26968,29612,23917,14575,6639,166790,4335,5118,6239,3975,3146,2553,1755,781,299,28193,425117,278727,347340,334316,276632,235631,168783,89807,28044,2184396,..,7934,138016,221212,180708,147221,105006,45021,7281,852395,..,16066,71858,34628,22433,13353,5511,1373,162,165378,..,2474,15209,32779,43446,28379,13243,9195,6035,150758,398491,..,..,..,..,..,..,..,..,398491,..,131640,..,..,..,..,..,..,..,131640,..,55802,47277,12025,7802,4538,1022,50,0,128510,..,11033,10309,3700,4767,11899,14626,10544,6167,73052,..,7328,10693,3468,2084,1643,812,263,120,26408
UCL102001,..,23,904,1407,1403,1271,798,343,109,6261,..,155,607,352,303,173,77,17,0,1683,..,3,27,89,136,84,34,13,7,399,3346,..,..,..,..,..,..,..,..,3346,..,809,..,..,..,..,..,..,..,809,..,739,399,140,100,52,3,0,0,1438,..,106,108,28,42,35,26,20,10,367,..,58,128,40,18,11,4,0,0,263,..,103,226,96,58,74,34,10,4,600,..,114,384,336,417,489,288,145,30,2200,41,51,85,36,49,24,35,13,0,340,3388,2158,2875,2524,2519,2211,1309,567,165,17706,..,64,1199,1449,1508,1118,694,262,42,6332,..,222,657,339,280,155,44,7,0,1707,..,31,215,315,335,170,75,81,37,1258,3102,..,..,..,..,..,..,..,..,3102,..,829,..,..,..,..,..,..,..,829,..,495,250,62,42,21,6,0,0,878,..,81,57,22,34,77,88,48,16,414,..,44,78,17,16,10,4,0,0,162
UCL102002,..,143,4367,9971,10526,10683,10555,6733,1581,54565,..,1178,4530,2908,2438,1804,992,423,57,14326,..,32,213,651,1063,682,342,206,134,3324,28606,..,..,..,..,..,..,..,..,28606,..,6749,..,..,..,..,..,..,..,6749,..,7059,3664,1417,1005,565,102,5,0,13816,..,619,554,318,327,480,458,258,117,3123,..,525,620,319,276,232,104,41,0,2117,..,592,1078,423,640,772,614,280,50,4440,..,331,1201,1434,2188,3017,2962,2207,933,14270,441,434,382,321,278,258,214,79,31,2436,29049,17659,16607,17759,18726,18483,16348,10232,2905,147770,..,265,6046,11028,10846,11094,10033,5106,764,55183,..,1776,4805,2861,2396,1692,870,265,26,14693,..,428,2109,3280,3790,2123,1009,752,586,14084,26717,..,..,..,..,..,..,..,..,26717,..,7115,..,..,..,..,..,..,..,7115,..,4694,2015,564,474,413,112,5,0,8280,..,537,306,145,267,773,916,696,419,4062,..,555,377,137,156,130,53,29,11,1445
UCL102003,..,12,631,1681,1831,2030,2396,1702,504,10787,..,148,728,569,455,404,282,124,23,2739,..,4,27,111,199,104,58,51,29,579,4825,..,..,..,..,..,..,..,..,4825,..,1064,..,..,..,..,..,..,..,1064,..,1124,525,242,213,143,25,0,0,2269,..,132,90,38,44,92,88,48,17,548,..,110,126,51,58,52,27,9,3,429,..,121,238,93,118,191,189,89,28,1066,..,50,167,213,379,594,763,571,275,3005,63,85,65,59,57,69,72,25,14,507,4887,2850,2594,3057,3347,3680,3897,2616,886,27823,..,27,920,1953,1967,2199,2274,1347,274,10955,..,207,867,549,433,411,252,93,16,2830,..,47,260,542,711,354,204,201,157,2476,4425,..,..,..,..,..,..,..,..,4425,..,1189,..,..,..,..,..,..,..,1189,..,792,294,109,95,128,39,0,0,1449,..,106,66,23,43,133,189,116,92,772,..,119,94,37,32,47,12,11,5,355
UCL102004,..,153,5356,11329,11285,11205,10592,6195,1468,57579,..,1548,6136,3280,2440,1742,911,293,44,16393,..,27,240,682,1129,646,328,210,126,3389,29356,..,..,..,..,..,..,..,..,29356,..,7293,..,..,..,..,..,..,..,7293,..,6481,3314,1379,1055,631,96,3,0,12962,..,893,697,254,294,432,343,200,112,3230,..,651,823,266,242,148,97,23,8,2263,..,2364,2826,757,645,708,438,171,35,7936,..,608,1967,1962,2511,3223,2969,1788,839,15862,496,823,698,409,360,248,224,104,30,3398,29852,20836,22058,20319,19959,18985,16010,8990,2658,159668,..,281,7318,12196,11880,11391,9898,4775,730,58470,..,2303,6386,3239,2415,1663,703,222,21,16951,..,288,1641,3090,3642,1904,947,757,555,12820,27617,..,..,..,..,..,..,..,..,27617,..,7428,..,..,..,..,..,..,..,7428,..,4311,1932,595,429,342,88,4,0,7696,..,771,450,143,253,566,737,533,298,3755,..,644,505,137,112,93,33,17,0,1545
UCL102005,..,138,4527,9381,9595,9744,8620,5077,1308,48391,..,1127,4365,2311,1846,1305,619,202,49,11823,..,31,157,524,873,572,251,175,122,2699,24422,..,..,..,..,..,..,..,..,24422,..,6093,..,..,..,..,..,..,..,6093,..,6300,3460,1330,1002,523,83,5,0,12696,..,646,503,234,262,343,291,179,83,2543,..,425,544,201,138,125,47,17,9,1517,..,1831,2041,386,371,464,298,132,25,5543,..,369,1337,1421,1873,2642,2181,1427,634,11878,355,602,418,275,239,192,148,54,32,2327,24777,17553,17354,16069,16193,15911,12543,7268,2265,129925,..,256,6175,10133,10039,9784,8007,3882,618,48890,..,1637,4608,2245,1822,1207,500,155,20,12192,..,272,1430,2513,2866,1703,724,665,475,10646,22886,..,..,..,..,..,..,..,..,22886,..,6668,..,..,..,..,..,..,..,6668,..,4218,2012,534,410,308,82,4,0,7568,..,586,326,127,202,577,652,521,315,3311,..,467,331,89,104,81,38,14,5,1131
UCL111001,..,19,908,1607,1524,1598,1576,910,218,8352,..,289,854,459,336,275,131,50,4,2402,..,17,35,122,151,80,34,18,6,471,4770,..,..,..,..,..,..,..,..,4770,..,893,..,..,..,..,..,..,..,893,..,982,387,149,108,54,9,0,0,1689,..,126,95,58,43,51,41,17,4,429,..,96,99,33,18,18,11,0,0,279,..,279,357,81,103,82,78,28,6,1014,..,166,442,371,495,583,512,284,135,2982,70,91,97,64,50,34,38,9,9,462,4836,2965,3265,2958,2822,2778,2433,1312,380,23748,..,52,1213,1708,1636,1630,1441,691,114,8490,..,426,843,450,346,230,115,45,0,2449,..,110,418,572,573,259,116,89,62,2193,4568,..,..,..,..,..,..,..,..,4568,..,1031,..,..,..,..,..,..,..,1031,..,620,206,56,48,46,6,0,0,984,..,126,77,33,43,90,92,50,26,533,..,88,57,15,17,5,6,4,0,190
UCL111002,..,25,654,1300,1443,1528,1698,1121,331,8105,..,191,594,439,366,298,195,59,9,2160,..,3,55,123,171,117,52,27,19,561,4113,..,..,..,..,..,..,..,..,4113,..,891,..,..,..,..,..,..,..,891,..,898,448,196,157,90,19,0,0,1809,..,151,89,54,33,65,50,21,21,477,..,100,108,65,48,28,15,10,0,380,..,136,208,93,105,124,98,39,13,811,..,74,232,251,326,510,557,312,142,2402,58,76,89,58,44,60,48,9,4,442,4173,2544,2479,2570,2706,2815,2729,1600,532,22149,..,51,901,1461,1537,1604,1632,873,153,8202,..,280,624,431,385,295,163,44,5,2214,..,68,338,571,586,279,162,133,88,2231,4168,..,..,..,..,..,..,..,..,4168,..,949,..,..,..,..,..,..,..,949,..,564,249,87,60,56,22,0,0,1040,..,125,64,23,49,104,130,76,58,620,..,90,81,50,32,22,7,0,0,279
UCL111003,..,60,1872,3150,2876,2744,2545,1375,260,14884,..,524,1765,879,639,373,162,58,9,4407,..,15,99,209,259,162,68,44,24,882,9157,..,..,..,..,..,..,..,..,9157,..,1746,..,..,..,..,..,..,..,1746,..,1988,912,335,256,98,14,0,0,3605,..,245,211,94,75,113,102,57,13,912,..,176,196,95,76,41,29,4,0,610,..,183,302,138,126,164,123,34,0,1067,..,132,487,490,581,630,570,350,123,3354,171,144,154,99,86,65,38,15,4,763,9328,5211,5988,5483,4965,4379,3657,1921,442,41375,..,110,2544,3320,3011,2768,2353,1038,123,15272,..,780,1797,872,617,365,130,39,7,4603,..,141,775,1014,953,457,220,154,96,3818,8786,..,..,..,..,..,..,..,..,8786,..,1987,..,..,..,..,..,..,..,1987,..,1429,520,151,83,65,20,0,0,2267,..,177,100,48,95,215,212,144,71,1055,..,151,110,39,29,23,11,3,0,366
UCL112001,..,31,358,556,488,511,474,326,104,2849,..,139,321,139,109,104,51,14,0,878,..,5,20,34,43,37,19,11,6,171,1678,..,..,..,..,..,..,..,..,1678,..,368,..,..,..,..,..,..,..,368,..,293,139,53,38,23,3,0,0,556,..,60,39,17,15,21,13,8,4,179,..,43,36,18,6,7,0,3,0,118,..,166,138,40,26,29,20,12,0,440,..,74,155,150,155,241,178,114,50,1124,44,125,41,34,27,16,15,0,4,312,1715,1313,1247,1039,911,989,783,496,166,8669,..,42,477,565,489,523,437,292,40,2857,..,188,310,141,118,98,30,5,0,895,..,32,152,209,202,87,42,41,23,783,1643,..,..,..,..,..,..,..,..,1643,..,376,..,..,..,..,..,..,..,376,..,184,66,18,16,18,0,0,0,304,..,53,27,11,17,29,42,13,17,198,..,32,26,7,3,0,0,0,0,73
