UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL101001,1879348,1953176,3832530,747171,547232,1294401,252826,373749,626573,136653,133317,269972,65331,53774,119104,1201977,1108073,2310052,573656,741399,1315055,5.4,4.9,5.2,64,56.7,60.3,60.5,54,57.2,191326,191754,383075,30915,51784,82702,405105,471115,876218,161992,207764,369753,273211,140479,413683,11825,21547,33371,28592,44587,73175,313622,206612,520233,1816190,1868721,3684918,361286,365195,726476,1144938,1194399,2339338,911992,926009,1838004
UCL102001,15307,15368,30675,8300,5934,14227,2017,3396,5415,494,660,1152,400,337,739,11213,10334,21544,3324,4312,7634,3.6,3.3,3.4,73.2,67.2,70.2,70.6,65,67.8,1410,1193,2609,309,558,867,2009,2703,4709,1344,1661,3004,3323,1838,5157,159,221,381,202,353,557,3679,2410,6093,14842,14771,29615,2892,2753,5643,9539,9468,19006,7225,7137,14364
UCL102002,126826,139658,266486,45601,28466,74066,17792,31580,49378,7552,9838,17396,3961,3121,7086,74910,73019,147925,44878,58600,103479,5.3,4.3,4.8,59.1,52.3,55.5,55.9,50,52.9,4409,4964,9367,1494,3206,4697,13347,20056,33398,10060,15996,26058,35453,20248,55707,1317,2465,3784,2473,4166,6638,39244,26877,66122,126338,134980,261319,20622,21959,42574,83421,88828,172253,55492,60468,115965
UCL102003,25070,28700,53762,8204,5215,13419,3761,7231,10991,931,1251,2181,736,618,1356,13642,14311,27949,9799,12588,22385,5.4,4.3,4.9,54.4,49.9,52,51.5,47.7,49.5,767,920,1684,309,670,978,2579,4044,6621,1976,3276,5244,6865,3697,10560,241,449,690,460,844,1305,7563,4997,12554,23532,26129,49658,4474,4868,9342,14920,16630,31548,11777,13100,24876
UCL102004,139510,148902,288407,58666,36754,95416,20510,40620,61130,5123,6863,11979,4836,3386,8222,89127,87621,176751,43651,54282,97933,5.4,3.9,4.7,63.9,58.8,61.3,60.4,56.6,58.4,7222,8033,15253,2162,4335,6495,19891,27581,47472,11151,15649,26792,37481,19716,57198,1378,2373,3750,2263,3940,6197,41115,26027,67145,136039,141608,277651,24707,26610,51319,89913,93266,183182,62633,67045,129677
UCL102005,111655,118387,230048,43109,25885,68995,15099,27628,42722,6687,8577,15266,3613,2801,6413,68504,64890,133390,37754,47939,85697,5.3,4.3,4.8,61.3,54.8,58,58.1,52.4,55.2,6051,6439,12488,1536,3214,4749,13618,18652,32269,8891,12485,21378,30472,16127,46600,1020,2071,3086,1777,3534,5313,33274,21724,54998,111174,115073,226245,18229,19353,37587,75702,78597,154301,46751,49338,96086
UCL111001,20723,22897,43620,9198,5518,14710,2779,6170,8950,575,817,1395,713,575,1290,13265,13086,26350,6189,8565,14753,5.4,4.4,4.9,64,57.1,60.4,60.6,54.6,57.5,699,874,1581,336,691,1023,2093,3502,5599,1573,2374,3949,5649,3405,9054,210,396,609,303,538,843,6163,4337,10503,19885,21537,41425,4053,4410,8454,12347,13307,25649,10146,11237,21389
UCL111002,19833,22351,42183,6780,4688,11468,3114,5599,8713,661,774,1436,689,554,1242,11243,11614,22859,7218,9188,16410,6.1,4.8,5.4,56.7,52,54.2,53.2,49.5,51.2,607,727,1334,293,590,879,2126,3208,5337,1439,2480,3918,5165,3266,8435,241,412,656,376,628,1005,5782,4313,10091,18915,20886,39798,3441,3851,7291,11843,13143,24989,9386,10465,19852
UCL111003,33828,36782,70615,15956,9479,25432,4376,9703,14081,1287,1791,3076,1168,993,2157,22793,21962,44755,9616,13397,23016,5.1,4.5,4.8,67.4,59.7,63.4,63.9,57,60.3,851,1069,1921,336,792,1124,2751,4742,7492,2604,3888,6492,10664,6681,17345,385,743,1124,498,911,1404,11540,8333,19878,34766,36766,71531,6352,6935,13284,21375,22319,43697,17158,18926,36080
UCL112001,8175,9343,17514,2958,2143,5099,1251,2083,3335,237,342,575,316,277,593,4766,4836,9605,2592,3513,6107,6.6,5.7,6.2,58.3,51.8,54.8,54.5,48.8,51.5,810,908,1717,170,328,496,1072,1590,2667,446,818,1272,1562,918,2482,115,167,288,96,205,306,1780,1293,3077,6898,7640,14540,2037,2303,4338,3983,4378,8359,4438,5082,9523
