UCL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
UCL112018,..,4431,4431,4208,379,4590,1897,81,1972,1551,30,1583,711,16,730,403,11,412,8770,4943,13712
UCL112019,..,5869,5869,5934,544,6474,2608,124,2729,2318,40,2354,1160,18,1173,625,9,626,12635,6593,19226
UCL113001,..,2888,2888,2851,272,3121,897,42,942,731,6,741,250,4,248,99,0,99,4822,3217,8043
UCL113002,..,1784,1784,1906,114,2018,543,12,557,425,5,429,187,0,193,121,0,121,3181,1923,5104
UCL113003,..,2701,2701,2350,140,2493,911,16,934,722,0,722,272,0,277,133,0,133,4398,2862,7255
UCL113004,..,1117,1117,1064,221,1284,486,136,625,449,83,531,159,36,195,56,8,70,2224,1597,3821
UCL113005,..,2332,2332,2108,203,2313,895,18,910,716,4,720,356,0,355,180,0,185,4255,2562,6817
UCL113006,..,1206,1206,1168,92,1261,507,19,522,383,4,386,204,0,204,163,0,163,2426,1316,3746
UCL113007,..,1331,1331,2203,82,2283,735,16,749,806,3,808,344,0,345,114,0,114,4199,1434,5632
UCL113008,..,1916,1916,1524,124,1646,511,15,526,490,6,491,180,0,180,98,0,94,2796,2060,4850
UCL113009,..,476,476,1086,36,1122,596,4,600,653,5,655,334,0,334,143,0,143,2806,518,3333
UCL113010,..,1265,1265,1349,126,1474,657,23,678,584,7,590,271,0,273,121,0,121,2976,1425,4401
UCL113011,..,1252,1252,1221,103,1320,594,11,606,571,0,568,255,0,259,142,0,138,2785,1370,4148
UCL113012,..,1725,1725,2406,131,2541,675,18,692,648,3,648,256,4,259,118,0,121,4097,1886,5985
UCL113013,..,1528,1528,1608,145,1755,803,18,823,696,8,704,320,0,322,193,0,193,3615,1709,5319
UCL113014,..,1436,1436,1595,118,1711,778,13,792,780,3,790,390,0,394,177,0,180,3729,1580,5306
UCL113015,..,1283,1283,1765,109,1881,562,7,576,457,5,462,196,0,197,103,0,103,3091,1404,4489
UCL113016,..,2511,2511,2344,187,2526,876,23,899,691,6,695,344,7,347,204,0,206,4456,2740,7190
UCL113017,..,1783,1783,2403,122,2521,707,24,725,606,5,609,247,3,245,108,0,108,4061,1931,5992
UCL113018,..,278,278,398,25,420,88,0,88,89,0,91,38,0,38,24,0,24,637,301,943
UCL114001,..,743,743,785,40,821,266,5,269,227,0,226,110,0,107,34,0,34,1419,787,2200
UCL114002,..,1350,1350,1676,85,1761,318,5,321,211,0,211,94,0,94,38,0,38,2333,1438,3776
UCL114003,..,1377,1377,1272,99,1371,487,13,500,367,0,371,192,0,192,126,0,126,2445,1486,3930
UCL114004,..,928,928,860,68,926,335,8,344,260,3,261,114,0,114,51,0,50,1614,1017,2634
UCL114005,..,886,886,910,44,951,228,0,235,226,0,224,103,0,98,57,0,57,1521,935,2450
UCL114006,..,856,856,862,54,915,247,0,247,213,0,213,83,0,83,39,0,39,1450,912,2361
UCL114007,..,1244,1244,1098,69,1167,411,4,423,330,0,331,162,0,162,83,0,87,2088,1325,3409
UCL114008,..,969,969,929,61,989,262,3,272,258,0,262,105,0,106,47,0,45,1607,1041,2646
UCL114009,..,385,385,562,77,631,375,60,433,417,30,446,175,12,187,49,5,55,1579,556,2140
UCL114010,..,961,961,923,61,984,295,3,299,279,0,279,160,0,160,68,0,68,1721,1029,2752
UCL114011,..,857,857,737,54,788,227,10,232,183,0,185,87,0,85,29,0,30,1263,919,2181
UCL114012,..,167,167,526,12,534,429,4,433,545,0,545,177,0,179,67,0,67,1740,183,1929
UCL114013,..,1039,1039,974,88,1062,398,18,414,378,5,385,191,0,191,79,0,80,2018,1153,3177
UCL114014,..,311,311,597,21,618,410,0,411,529,0,532,191,0,195,55,0,55,1785,331,2116
UCL114015,..,1309,1309,1172,95,1268,541,12,556,377,7,388,177,5,184,88,0,88,2359,1428,3789
UCL114016,..,867,867,859,42,906,369,14,376,313,3,313,185,3,187,78,4,78,1799,936,2734
UCL114017,..,476,476,907,83,996,423,19,446,480,10,488,168,3,170,66,0,65,2041,597,2639
UCL114018,..,1214,1214,1461,84,1546,361,5,371,281,3,283,115,0,115,51,0,51,2273,1308,3577
UCL114019,..,785,785,749,76,830,327,10,332,264,3,267,135,0,135,65,0,67,1544,868,2419
UCL114020,..,1009,1009,1136,63,1197,476,9,485,449,4,452,212,4,214,85,0,85,2355,1091,3448
UCL114021,..,1150,1150,1173,99,1273,526,14,545,463,0,469,223,0,223,109,0,109,2494,1266,3757
UCL114022,..,1248,1248,963,91,1050,299,3,307,181,0,179,110,0,110,57,0,57,1609,1340,2946
UCL114023,..,723,723,713,49,762,260,12,274,227,3,225,126,0,128,45,0,51,1365,787,2152
UCL114024,..,1242,1242,1187,81,1271,480,19,496,428,4,432,242,3,248,119,0,119,2457,1342,3805
UCL114025,..,504,504,854,38,893,358,4,361,496,0,496,184,0,184,66,0,66,1961,548,2508
UCL114026,..,524,524,693,41,741,320,0,319,270,0,271,149,0,149,66,0,66,1504,566,2069
UCL114027,..,804,804,985,30,1016,261,9,267,209,0,214,91,0,95,42,0,42,1590,846,2437
UCL114028,..,621,621,661,47,714,282,14,295,232,3,236,126,0,126,40,0,40,1341,690,2034
UCL114029,..,241,241,476,12,491,299,6,296,366,0,366,196,0,196,96,0,96,1430,254,1689
UCL114030,..,714,714,1052,60,1109,247,3,252,166,4,168,72,0,72,34,0,34,1574,783,2353
UCL114031,..,571,571,909,50,960,368,3,369,337,0,337,165,0,165,65,0,65,1851,624,2472
UCL114032,..,410,410,511,32,547,283,3,290,300,0,300,152,3,156,68,0,68,1316,454,1774
UCL114033,..,812,812,853,38,890,344,4,354,318,0,318,125,3,130,60,0,60,1699,859,2558
UCL114034,..,830,830,1060,86,1141,420,5,427,357,0,358,174,0,174,99,0,99,2112,923,3037
UCL114035,..,681,681,699,79,776,282,16,302,232,4,240,114,6,120,89,9,100,1421,790,2214
UCL114036,..,870,870,1192,69,1259,273,13,283,223,0,227,78,0,78,37,0,37,1805,959,2763
UCL114037,..,634,634,710,26,739,319,5,327,279,0,287,151,0,151,57,0,57,1525,673,2197
UCL114038,..,1109,1109,951,72,1029,378,12,391,304,0,304,183,0,183,95,0,95,1915,1191,3103
UCL115001,..,231,231,257,17,273,104,0,104,81,0,81,57,0,57,16,0,16,510,246,759
UCL115002,..,322,322,538,33,568,240,4,248,240,0,240,103,0,103,50,0,50,1171,364,1539
UCL115003,..,106,106,212,12,219,168,0,167,207,0,207,107,0,107,59,0,59,751,122,871
UCL115004,..,199,199,289,15,304,79,3,81,79,8,91,32,0,33,18,7,22,495,232,729
UCL115005,..,146,146,138,8,148,48,6,55,32,0,32,19,0,19,14,0,11,247,159,411
UCL115006,..,143,143,212,25,232,155,16,163,140,4,150,46,0,46,17,0,17,573,177,758
UCL115007,..,280,280,360,14,376,180,0,183,179,0,179,113,0,113,54,0,54,886,297,1185
UCL115008,..,221,221,187,9,199,40,0,40,27,0,27,19,0,19,9,0,9,285,230,515
UCL115009,..,193,193,278,13,287,86,5,87,79,0,79,36,0,36,12,0,12,495,211,704
UCL115010,..,244,244,175,15,194,43,0,43,19,0,19,5,0,5,9,0,9,247,260,506
UCL115011,..,152,152,209,28,235,88,3,91,81,0,81,37,0,37,12,0,12,421,185,602
UCL115012,..,147,147,154,9,165,50,6,53,28,0,28,23,0,23,5,0,5,262,161,418
UCL115013,..,605,605,571,46,620,223,10,231,185,0,181,75,0,81,44,0,44,1095,664,1762
UCL115014,..,378,378,353,53,408,181,8,187,158,0,158,69,0,69,29,0,29,793,436,1227
UCL115015,..,265,265,326,18,342,70,0,69,60,0,60,15,0,15,16,0,16,489,281,773
UCL115016,..,131,131,135,15,143,55,0,55,51,0,51,20,0,20,5,0,5,260,149,407
UCL115017,..,291,291,447,15,464,101,0,101,104,0,104,50,0,50,7,0,7,715,308,1021
UCL115018,..,175,175,195,14,215,37,0,36,28,0,28,11,0,11,5,0,5,281,190,471
UCL115019,..,743,743,766,52,821,260,6,266,143,6,149,59,0,60,20,0,20,1249,803,2055
UCL115020,..,363,363,383,20,405,170,0,172,132,0,132,71,0,77,42,0,42,800,386,1185
UCL115021,..,176,176,159,9,165,52,3,53,46,0,47,20,0,20,5,0,8,284,192,468
UCL115022,..,236,236,459,21,480,133,4,143,154,0,154,51,0,51,25,0,25,824,262,1090
UCL115023,..,195,195,196,5,200,54,0,54,46,0,46,22,0,22,20,0,20,330,206,539
UCL115024,..,162,162,122,3,127,87,6,87,55,0,56,41,0,41,22,0,22,321,175,495
UCL115025,..,74,74,147,4,148,105,0,109,90,0,90,46,0,46,22,0,22,412,83,493
UCL115026,..,211,211,196,10,203,73,0,69,56,0,56,21,0,21,11,0,11,354,220,576
UCL115027,..,233,233,335,12,348,180,0,178,160,0,165,83,0,80,43,0,43,794,247,1046
UCL115028,..,287,287,381,17,398,125,4,127,119,0,118,44,0,46,15,0,15,683,310,993
UCL115029,..,265,265,200,48,249,91,13,107,68,0,71,29,0,28,7,0,7,397,320,719
UCL115030,..,146,146,184,17,197,58,0,59,36,0,33,22,0,22,9,0,9,311,160,473
UCL115031,..,355,355,498,15,518,102,4,106,98,0,103,42,0,42,15,0,18,759,377,1138
UCL115032,..,178,178,305,17,327,101,0,100,118,0,114,44,0,44,26,0,26,590,202,795
UCL115033,..,182,182,418,7,426,247,0,250,299,0,299,104,0,104,39,0,39,1117,186,1303
UCL115034,..,87,87,168,10,184,108,0,107,125,0,125,51,0,51,20,0,20,474,97,572
UCL115035,..,310,310,424,24,456,234,0,234,241,4,247,118,0,118,42,0,42,1055,344,1402
UCL115036,..,329,329,534,25,559,144,4,145,128,0,128,54,0,54,26,0,26,889,356,1250
UCL115037,..,58,58,148,10,154,77,0,77,70,0,71,36,0,36,13,0,13,343,61,411
UCL115038,..,216,216,216,24,239,68,0,68,44,0,44,18,0,18,21,0,21,361,243,603
UCL115039,..,409,409,373,21,396,141,3,146,140,0,137,65,0,65,35,0,35,753,432,1188
UCL115040,..,103,103,166,6,181,94,0,95,88,0,88,37,0,37,36,0,36,417,108,533
UCL115041,..,327,327,293,18,309,138,3,140,92,0,92,64,0,64,23,0,23,603,351,950
UCL115042,..,188,188,254,11,255,83,0,83,59,3,57,55,0,59,20,0,20,467,198,670
UCL115043,..,323,323,301,15,318,103,0,103,77,0,77,33,0,33,24,0,24,532,341,878
UCL115044,..,294,294,240,34,269,120,0,125,73,0,73,46,0,46,32,0,32,517,328,843
UCL115045,..,125,125,130,21,144,53,0,53,32,0,32,23,0,23,19,0,19,254,140,398
UCL115046,..,108,108,202,21,224,87,3,91,93,4,95,43,0,43,23,4,23,450,133,581
UCL115047,..,309,309,327,12,336,107,0,107,78,0,78,35,0,35,29,0,29,569,313,891
UCL115048,..,479,479,593,44,635,180,8,188,142,6,143,63,3,65,21,0,24,996,534,1527
UCL115049,..,152,152,143,11,155,54,0,55,48,0,48,26,0,26,13,0,13,287,157,448
UCL115050,..,71,71,202,8,206,117,6,122,152,6,159,61,0,66,18,0,18,552,86,643
UCL115051,..,255,255,374,21,394,72,4,75,71,0,71,35,0,35,13,0,13,566,275,843
UCL115052,..,206,206,200,4,204,83,0,83,76,0,76,29,0,29,19,0,19,412,207,623
UCL115053,..,195,195,171,6,178,45,0,45,38,0,38,14,0,14,4,0,4,270,208,482
UCL115054,..,46,46,103,5,106,52,0,52,68,0,68,31,0,31,30,0,30,289,48,339
UCL115055,..,326,326,313,15,329,108,0,108,92,0,92,48,0,48,20,0,20,576,346,922
UCL115056,..,441,441,494,30,527,134,3,135,103,0,105,56,0,56,34,0,34,820,479,1297
UCL115057,..,436,436,477,34,510,122,0,123,109,0,108,40,0,40,30,0,30,774,472,1251
UCL115058,..,210,210,337,11,346,69,0,69,46,0,45,26,0,26,3,0,3,486,220,703
UCL115059,..,300,300,273,19,296,59,0,59,57,0,57,28,0,28,9,0,9,433,317,754
UCL115060,..,152,152,214,14,230,131,0,135,150,0,157,46,0,46,33,0,33,580,170,745
UCL115061,..,125,125,146,5,156,67,4,70,42,0,42,19,0,19,17,0,17,292,136,427
UCL115062,..,73,73,139,16,155,69,3,76,84,0,84,45,0,45,18,0,18,362,90,453
UCL115063,..,79,79,129,3,133,59,3,58,105,0,105,31,0,31,13,0,13,328,86,415
UCL115064,..,373,373,598,34,631,202,4,208,236,0,236,141,0,141,39,0,39,1218,405,1635
UCL115065,..,336,336,329,20,350,120,0,122,81,0,83,44,0,44,17,0,17,593,356,947
UCL115066,..,111,111,250,7,256,159,0,160,181,0,181,77,0,77,41,0,41,708,121,827
UCL115067,..,413,413,396,30,424,106,0,113,90,0,91,44,0,44,14,0,14,655,443,1103
UCL115068,..,190,190,228,16,244,52,0,57,46,0,46,18,0,18,6,0,6,352,202,557
UCL115069,..,358,358,335,22,356,95,0,97,60,0,60,21,0,21,21,0,21,531,382,912
UCL115070,..,245,245,313,24,338,187,5,189,210,0,214,93,0,93,49,0,49,853,273,1124
UCL115071,..,266,266,261,12,274,100,0,100,98,0,98,47,0,47,24,0,24,523,273,800
UCL115072,..,62,62,337,12,352,70,0,70,86,0,86,49,0,49,35,0,35,584,79,662
UCL115073,..,264,264,248,16,267,82,6,82,74,5,81,49,0,49,16,0,16,468,289,758
UCL115074,..,277,277,227,23,248,83,8,97,67,9,76,35,0,34,26,0,26,440,311,746
UCL115075,..,161,161,245,9,252,35,0,35,40,0,40,14,0,14,9,0,9,343,170,510
UCL115076,..,280,280,276,15,292,74,0,74,68,0,68,35,0,35,16,0,16,466,301,764
UCL115077,..,455,455,792,25,816,131,0,130,68,0,68,34,0,34,16,0,16,1037,478,1517
UCL115078,..,212,212,280,10,288,52,0,52,40,0,39,11,0,11,4,0,4,387,223,609
UCL115079,..,332,332,316,11,329,110,7,113,77,0,77,32,0,32,17,0,17,553,353,899
UCL115080,..,159,159,228,22,247,152,0,149,136,0,136,67,0,67,33,0,33,612,188,802
UCL115081,..,121,121,143,15,158,52,7,58,46,4,49,13,0,21,0,0,0,261,147,409
UCL115082,..,212,212,194,15,210,43,0,46,42,0,42,20,0,20,8,0,8,309,223,529
UCL115083,..,291,291,445,24,469,122,5,134,122,6,127,50,0,54,16,0,16,761,322,1080
UCL115084,..,308,308,368,39,403,72,0,75,57,0,57,9,0,9,5,0,5,506,341,852
UCL115085,..,78,78,179,5,184,66,0,66,83,0,83,28,0,28,9,0,9,354,81,439
UCL115086,..,239,239,189,71,263,122,32,157,86,24,108,39,4,37,4,10,16,440,382,825
UCL115087,..,87,87,135,13,140,60,0,60,77,0,80,37,0,37,20,0,20,333,98,434
UCL115088,..,123,123,255,13,270,79,0,90,77,0,79,25,0,25,15,0,15,456,141,595
UCL115089,..,471,471,492,35,530,196,5,205,199,5,204,94,3,93,42,5,46,1024,523,1547
UCL115090,..,294,294,179,12,191,40,0,40,26,0,26,20,0,20,8,0,8,274,300,575
UCL115091,..,170,170,235,17,251,60,0,61,50,0,50,26,0,26,17,0,17,387,187,572
UCL115092,..,200,200,231,12,247,108,0,112,94,0,94,29,0,29,20,0,20,485,218,697
UCL115093,..,101,101,164,4,174,56,0,56,63,0,63,26,0,26,16,0,16,328,105,434
UCL115094,..,423,423,376,41,419,126,9,134,88,0,88,63,0,63,24,0,24,679,470,1147
UCL115095,..,148,148,132,7,141,55,0,55,31,0,31,38,0,38,17,0,17,269,156,426
UCL115096,..,388,388,725,18,753,187,0,187,193,0,193,84,0,84,32,0,32,1229,405,1636
UCL115097,..,318,318,443,36,478,138,5,140,89,0,89,41,0,41,34,0,34,747,358,1101
UCL115098,..,184,184,136,14,155,55,0,58,32,0,32,24,0,24,16,0,16,263,201,470
UCL115099,..,381,381,395,32,425,156,8,160,117,0,120,66,0,66,32,0,32,771,420,1188
UCL115100,..,379,379,423,27,447,119,0,123,91,0,91,36,0,36,24,0,24,691,411,1103
UCL115101,..,238,238,452,18,470,96,3,96,106,4,110,36,0,36,12,0,12,704,257,963
UCL115102,..,307,307,260,17,274,101,3,104,89,0,93,33,0,33,18,0,18,494,326,823
UCL115103,..,135,135,127,11,139,45,0,43,44,0,44,22,0,22,15,0,15,249,146,393
UCL115104,..,150,150,243,16,253,65,0,64,59,0,59,31,0,31,12,0,12,412,157,570
UCL115105,..,211,211,204,10,215,92,0,92,60,0,60,38,0,38,18,0,18,414,220,628
UCL115106,..,375,375,392,36,423,120,4,122,124,0,125,48,0,48,17,0,17,700,415,1119
UCL115107,..,377,377,385,65,456,212,27,243,171,0,174,65,5,67,37,0,37,874,478,1354
UCL115108,..,70,70,210,3,212,107,0,106,150,0,150,89,0,89,35,0,35,592,71,660
UCL115109,..,586,586,610,29,644,134,3,133,96,0,96,49,0,49,26,0,26,917,622,1539
UCL115110,..,521,521,482,35,517,197,0,199,128,3,126,71,0,71,39,0,39,911,561,1478
UCL115111,..,396,396,412,29,444,172,5,176,130,0,130,85,0,85,46,0,46,835,436,1275
UCL115112,..,128,128,245,11,253,148,0,148,164,0,164,65,0,65,28,0,28,639,142,789
UCL115113,..,241,241,217,17,230,91,0,96,88,0,88,35,0,35,19,0,19,451,256,711
UCL115114,..,346,346,341,21,358,118,4,118,102,0,102,36,0,36,29,0,29,623,366,994
UCL115115,..,508,508,550,117,667,281,32,316,242,9,247,75,4,80,39,0,38,1182,670,1855
UCL115116,..,597,597,695,53,748,222,9,229,191,0,191,79,3,82,37,7,41,1225,668,1890
UCL115117,..,247,247,322,21,344,49,0,49,54,0,54,28,0,28,11,0,11,464,269,739
UCL115118,..,213,213,236,21,252,83,0,80,75,0,75,27,0,27,5,0,5,420,233,654
UCL115119,..,333,333,436,18,454,225,0,230,227,0,227,102,0,102,61,0,61,1048,354,1406
UCL115120,..,104,104,287,4,290,162,5,170,283,0,283,136,0,136,47,0,47,919,110,1024
UCL115121,..,268,268,252,15,264,98,0,98,74,0,74,38,0,38,11,0,11,477,282,754
UCL115122,..,354,354,336,28,364,118,0,118,94,0,94,55,0,55,19,0,19,621,384,1007
UCL115123,..,116,116,187,10,199,71,0,69,93,0,93,46,0,46,12,0,12,403,126,531
UCL115124,..,295,295,561,42,602,262,11,271,265,0,265,114,0,114,45,0,45,1248,352,1599
UCL115125,..,522,522,554,40,590,144,0,144,133,0,139,49,0,49,21,0,21,894,561,1462
UCL115126,..,113,113,166,4,165,53,0,53,49,0,52,24,0,24,11,0,11,303,120,422
UCL115127,..,138,138,216,11,223,59,0,59,62,0,62,25,0,25,13,0,13,374,146,516
UCL115128,..,174,174,255,37,295,121,16,139,121,3,118,57,0,57,16,0,16,575,227,799
UCL115129,..,78,78,195,7,202,93,0,98,118,4,122,51,0,51,18,0,13,477,91,567
UCL115130,..,639,639,692,33,724,141,3,143,104,3,111,40,0,40,22,0,22,1002,675,1674
UCL115131,..,438,438,632,47,678,209,0,209,187,0,187,77,4,76,54,0,54,1165,492,1658
UCL115132,..,254,254,288,20,304,67,4,71,55,0,55,19,0,19,3,0,3,439,275,712
UCL115133,..,409,409,810,25,836,83,4,87,40,0,40,22,0,22,9,0,9,969,435,1405
UCL115134,..,627,627,585,20,605,185,0,185,159,0,161,64,0,64,52,0,52,1047,650,1694
UCL115135,..,518,518,449,28,482,127,4,135,86,0,86,37,0,37,28,0,28,722,553,1275
UCL115136,..,103,103,186,7,198,126,0,126,153,0,153,79,0,79,40,0,40,589,110,699
UCL115137,..,357,357,519,17,538,219,0,219,231,0,228,108,0,108,57,0,57,1142,373,1511
UCL115138,..,109,109,239,16,255,134,0,135,128,0,128,65,0,65,28,0,28,594,125,726
UCL115139,..,321,321,405,19,426,110,6,109,78,0,78,41,0,41,16,0,16,647,350,997
UCL115140,..,155,155,207,8,217,48,0,46,55,0,60,24,0,24,8,0,8,344,168,513
UCL115141,..,183,183,227,10,241,68,0,68,60,0,62,31,0,31,17,0,17,405,199,605
UCL115142,..,364,364,523,23,550,79,0,83,53,0,53,27,0,27,4,0,4,690,391,1083
UCL115143,..,327,327,358,26,384,116,0,116,85,0,85,48,0,48,30,0,30,635,345,988
UCL115144,..,412,412,435,52,479,129,3,138,96,0,96,46,0,46,14,0,14,717,466,1184
UCL115145,..,205,205,250,16,271,65,0,69,63,0,63,28,0,28,4,0,4,409,227,635
UCL115146,..,359,359,478,29,499,140,3,139,113,0,113,29,0,29,7,0,7,773,391,1157
UCL115147,..,71,71,186,9,188,68,0,68,76,0,76,21,0,21,6,0,6,350,77,432
UCL115148,..,228,228,224,11,232,69,0,69,41,0,41,19,0,19,8,0,8,360,239,598
UCL115149,..,93,93,89,10,97,41,0,40,34,0,34,14,0,14,11,0,11,185,109,293
UCL115150,..,108,108,113,3,123,55,0,55,75,0,75,28,0,28,14,0,13,282,114,395
UCL115151,..,207,207,236,15,249,133,3,136,105,0,107,47,0,47,33,0,33,551,230,777
UCL115152,..,182,182,158,14,171,53,0,53,39,0,39,14,0,14,13,0,13,279,198,479
UCL115153,..,218,218,192,18,206,50,0,50,42,0,42,24,0,24,3,0,3,315,238,554
UCL115154,..,184,184,168,16,184,86,0,91,60,0,60,30,0,30,20,0,20,365,206,570
UCL115155,..,609,609,515,54,564,216,9,219,167,0,170,80,3,88,58,3,61,1033,674,1700
UCL115156,..,195,195,202,12,215,55,0,55,32,0,32,12,0,12,5,0,5,316,204,518
UCL115157,..,209,209,195,15,212,75,0,75,43,0,43,25,0,25,14,0,14,348,227,575
UCL115158,..,389,389,374,15,388,124,3,129,105,0,105,61,0,61,30,0,30,691,409,1098
UCL115159,..,86,86,178,7,193,116,0,116,123,0,123,57,0,57,28,0,28,504,96,603
UCL115160,..,69,69,222,9,230,128,0,128,257,0,257,144,0,144,37,0,37,794,74,861
UCL115161,..,609,609,599,43,642,243,4,248,184,0,184,95,0,96,55,0,55,1176,661,1832
UCL115162,..,235,235,380,32,413,179,0,185,179,0,179,85,0,85,25,0,25,848,264,1118
UCL115163,..,121,121,172,15,183,111,0,111,106,0,109,55,0,55,35,0,35,484,132,618
UCL115164,..,143,143,220,15,236,74,0,72,50,0,50,27,0,27,12,0,12,385,160,542
UCL115165,..,108,108,122,3,133,68,0,71,50,0,50,26,0,26,16,0,16,285,114,403
UCL121001,..,116,116,138,9,143,32,0,32,39,0,39,19,0,19,7,0,7,232,125,354
UCL121002,..,95,95,66,10,69,26,0,26,16,0,16,16,0,16,8,0,8,119,100,225
UCL121003,..,75,75,125,4,129,36,0,36,28,0,28,17,0,17,3,0,3,206,79,283
UCL121004,..,46,46,117,4,117,55,0,56,46,0,46,34,0,34,13,0,13,259,55,310
UCL121005,..,17,17,54,3,53,23,0,23,34,0,34,20,0,20,19,0,19,149,19,170
UCL121006,..,87,87,93,9,104,27,0,27,24,0,24,11,0,11,0,0,0,157,96,253
UCL121007,..,149,149,157,8,161,47,0,47,31,0,31,9,0,9,13,0,13,248,160,407
UCL121008,..,51,51,37,0,42,10,0,10,15,0,15,5,0,5,12,0,12,86,57,138
UCL121009,..,118,118,104,7,115,36,0,37,41,0,41,16,0,16,3,0,3,199,131,331
UCL121010,..,85,85,111,5,118,24,0,24,24,0,24,14,0,14,6,0,6,184,95,273
UCL121011,..,122,122,104,15,118,39,0,39,31,0,31,24,0,24,14,0,18,219,141,360
UCL121012,..,26,26,98,0,100,49,0,49,51,0,51,33,0,33,15,0,15,246,23,273
UCL121013,..,106,106,64,12,72,26,0,23,26,0,24,10,0,10,17,0,17,136,116,252
UCL121014,..,83,83,60,7,71,21,0,21,24,0,23,13,0,13,0,0,0,121,93,217
