UCL_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
UCL101001,13749,3709,5234,544,23234,3659,703,1139,151,5656,2572,1310,2431,216,6522,2116,1268,3918,197,7493,9949,3108,6645,470,20178,6853,4636,10083,542,22114,33648,9274,11926,896,55747,21334,12783,15401,1801,51320,24843,21232,17098,1968,65137,30017,28309,16591,2412,77320,19259,26744,13264,1617,60880,22281,28844,11715,1623,64471,51115,71282,21650,3068,147112,38720,61140,10454,2013,112331,31450,59762,7705,1166,100089,22298,44408,3567,670,70943,70776,189162,11454,1315,272707,13256,33032,10587,733,57606,5262,4998,2649,381,13293,423157,605701,183509,21788,1234155
UCL102001,43,7,26,0,72,17,0,3,0,17,11,8,17,0,33,11,10,33,0,46,46,3,59,3,117,36,16,92,3,145,189,38,80,8,316,167,48,136,12,359,166,81,140,19,407,270,138,128,17,549,201,136,146,13,493,234,205,139,9,588,495,518,215,33,1265,408,518,101,13,1039,321,525,87,6,939,219,432,42,6,705,546,1557,75,5,2184,139,287,116,7,550,34,27,25,4,94,3551,4542,1652,163,9919
UCL102002,640,99,251,18,1007,272,26,64,3,361,185,25,176,8,390,167,29,331,14,542,870,95,641,26,1639,608,143,1262,31,2047,4520,401,1539,72,6536,2928,576,1986,146,5644,3075,1060,2162,180,6472,3491,1853,1848,162,7348,1926,1985,1253,84,5246,2099,2218,1126,79,5519,4243,5393,1722,122,11479,2687,4935,745,64,8433,1923,4288,414,34,6655,1076,2766,166,14,4026,2488,6743,377,26,9625,1189,2428,1080,50,4747,537,248,258,31,1071,34916,35307,17406,1167,88800
UCL102003,133,14,39,0,186,81,4,30,0,110,43,8,32,3,86,44,10,48,4,98,222,21,115,5,367,153,33,206,5,393,1187,63,252,14,1522,775,113,382,41,1310,759,224,419,46,1447,870,400,352,42,1662,400,356,235,15,1005,488,378,186,9,1064,848,953,241,26,2067,507,805,117,9,1436,342,672,54,8,1070,161,415,11,0,590,391,978,47,12,1425,315,492,234,11,1055,159,58,63,6,293,7886,5993,3062,254,17193
UCL102004,543,95,209,25,870,219,25,62,9,320,185,38,169,11,398,132,30,303,12,474,799,77,568,29,1473,618,154,1001,41,1810,4000,321,1226,81,5634,2809,473,1779,182,5249,3051,933,1946,179,6108,3500,1502,1710,185,6894,2027,1622,1295,125,5070,2190,1854,1097,109,5249,4839,5227,1755,191,12013,3535,5119,775,110,9538,2632,4999,473,65,8170,1561,3492,168,24,5247,3325,9137,389,44,12896,1344,2720,1083,56,5207,474,193,197,34,897,37785,38016,16208,1511,93522
UCL102005,572,90,181,25,863,219,17,62,3,302,141,44,157,11,357,137,32,319,11,493,775,97,558,30,1460,601,149,912,32,1701,3622,380,1099,72,5175,2382,506,1544,145,4576,2394,974,1509,143,5020,2660,1512,1390,145,5701,1532,1537,982,89,4139,1665,1791,824,75,4352,3392,4595,1341,118,9452,2525,4391,543,57,7510,1832,4003,405,35,6277,1122,2800,154,21,4094,2163,7193,339,30,9718,848,2076,816,47,3784,385,209,198,22,822,28966,32387,13347,1112,75811
UCL111001,61,10,31,0,104,36,0,5,3,46,25,10,33,0,76,12,4,58,4,82,122,10,125,7,267,100,23,265,12,402,634,65,272,15,991,447,101,303,36,881,472,179,359,22,1033,589,330,254,27,1205,352,352,192,18,923,388,403,153,13,956,799,900,228,28,1959,563,724,82,8,1367,336,605,37,7,984,158,394,15,7,569,294,770,38,5,1100,211,415,159,5,789,88,39,48,3,180,5708,5322,2661,223,13913
UCL111002,77,14,31,0,128,43,3,15,6,63,28,13,33,5,75,27,7,58,3,97,162,33,110,10,313,101,19,232,3,362,780,83,273,22,1155,505,122,314,18,962,583,221,359,30,1196,638,361,338,21,1354,350,286,231,15,885,367,336,156,9,875,693,780,197,21,1693,395,645,69,13,1117,270,450,47,7,774,142,307,11,0,462,305,618,50,0,983,211,360,200,9,775,111,27,47,13,197,5783,4698,2788,199,13468
UCL111003,138,15,43,5,207,50,8,19,0,81,35,16,54,3,103,37,9,92,7,149,195,37,212,8,445,152,34,317,3,502,1155,97,437,24,1715,742,154,576,41,1517,694,310,606,54,1670,839,527,467,49,1882,453,628,359,31,1470,558,709,296,24,1583,1308,1757,472,43,3587,808,1565,189,11,2574,608,1297,108,15,2028,320,844,38,3,1211,550,1831,80,11,2477,369,920,258,18,1564,114,63,63,11,262,9139,10821,4693,365,25021
UCL112001,22,13,12,0,52,13,0,4,0,22,8,0,16,0,28,3,0,19,0,31,40,14,43,3,104,22,19,89,3,127,231,32,96,3,366,141,46,128,14,328,167,90,123,7,386,217,106,81,12,419,142,103,59,9,313,158,128,56,7,341,287,273,81,7,640,185,212,24,3,425,123,169,13,4,306,77,128,3,0,207,143,253,20,3,422,78,113,66,6,266,26,12,11,0,51,2078,1716,959,81,4825
UCL112002,50,3,18,0,74,20,0,8,0,34,15,3,21,0,38,22,0,34,0,61,76,10,60,3,150,45,12,131,0,190,359,40,154,14,564,227,63,237,15,537,321,120,239,16,690,381,179,191,24,780,220,194,140,13,569,224,228,105,11,576,513,545,202,24,1275,355,510,79,11,954,203,424,43,6,676,123,311,18,0,451,234,618,25,5,879,156,305,137,5,605,58,18,48,3,123,3606,3590,1878,153,9224
UCL112003,52,9,3,3,68,27,8,5,0,41,26,3,14,3,42,18,3,29,0,49,81,8,46,7,144,69,19,107,9,202,342,31,131,8,513,274,56,166,17,516,315,122,158,10,609,396,187,156,8,746,213,173,99,5,488,258,189,88,3,536,473,456,132,7,1063,311,371,65,9,750,266,376,35,3,670,119,243,13,3,372,345,585,31,0,959,106,198,100,5,410,20,17,11,0,52,3699,3040,1385,91,8217
UCL112004,48,10,19,0,76,44,5,0,0,49,22,0,6,0,30,13,0,13,0,33,87,6,31,0,123,52,6,32,3,95,303,19,57,6,375,246,35,78,8,370,300,63,89,5,465,360,102,86,15,570,163,91,80,0,338,227,117,61,7,418,391,308,89,8,796,269,292,52,6,617,191,269,31,3,493,108,182,8,0,297,404,713,37,0,1150,116,182,56,5,354,48,11,10,0,70,3399,2404,849,75,6725
UCL112005,27,8,15,3,55,18,0,5,0,22,14,0,17,0,30,18,0,55,0,75,48,4,80,0,136,37,9,154,7,208,354,49,186,7,593,224,52,215,25,515,182,98,205,8,499,201,152,143,12,503,119,152,97,9,370,128,137,78,3,349,258,339,102,8,709,141,260,44,6,450,86,195,29,0,310,41,136,4,0,183,75,263,16,0,355,84,158,90,9,345,38,11,36,4,90,2086,2026,1577,96,5782
UCL112006,56,15,28,0,98,26,0,3,0,28,16,0,31,0,44,12,4,33,0,49,75,10,83,0,169,55,13,144,4,214,367,51,172,16,601,235,59,214,24,529,246,136,282,14,681,339,218,188,21,768,201,238,158,19,626,241,276,118,3,640,599,671,162,32,1466,370,539,69,10,986,265,426,39,5,738,120,287,24,6,427,249,573,27,0,847,188,380,124,11,703,79,19,53,10,161,3732,3915,1956,175,9770
UCL112007,25,0,8,0,27,11,0,0,0,11,9,0,3,0,9,6,0,4,0,9,32,0,3,0,37,20,0,10,0,30,172,6,13,0,193,118,9,21,0,148,98,14,15,7,133,108,34,19,0,164,41,36,5,0,84,37,54,18,3,112,96,103,23,0,220,52,84,7,0,149,40,88,5,0,130,24,68,0,0,95,33,105,3,0,143,38,80,21,0,143,21,8,3,6,30,966,696,179,15,1861
UCL112008,63,10,15,0,87,41,0,8,3,52,28,0,15,0,38,21,3,18,3,41,111,4,40,0,161,68,6,78,4,155,663,24,108,3,801,379,47,148,21,599,360,89,142,7,599,355,109,95,9,568,139,112,61,8,313,150,113,55,0,324,266,223,50,11,547,136,148,26,0,318,97,113,9,0,222,43,71,0,0,112,102,145,6,0,260,125,119,80,0,336,90,13,27,0,139,3241,1341,991,78,5654
UCL112009,37,10,7,3,58,16,0,10,0,27,14,4,9,0,25,12,3,29,0,40,50,8,49,0,110,43,15,92,3,146,317,28,114,4,465,166,39,140,3,355,191,67,157,13,432,252,132,137,12,533,143,157,96,6,396,173,158,69,6,409,321,380,127,12,839,248,330,55,6,634,151,257,25,9,445,76,189,13,0,279,156,299,13,0,470,87,173,68,3,325,45,14,19,0,79,2476,2267,1221,88,6057
UCL112010,49,13,10,0,69,16,0,3,0,20,9,4,11,0,24,7,3,22,0,35,46,7,42,0,98,28,12,55,0,94,178,30,72,5,285,128,54,98,4,289,149,92,111,6,357,196,158,73,15,448,123,146,64,12,340,192,178,52,5,426,296,423,90,11,825,175,349,25,7,550,125,212,20,3,364,66,153,15,0,244,108,320,13,0,444,80,198,61,11,348,56,14,21,3,95,2029,2377,860,87,5355
UCL112011,21,4,15,0,42,13,0,4,0,18,7,0,15,3,25,6,0,47,3,55,51,6,58,0,112,40,13,112,0,159,273,27,151,9,460,153,39,170,10,372,155,92,163,16,426,171,147,126,13,461,130,185,84,3,400,110,175,67,6,356,282,415,103,7,801,171,310,40,4,524,117,235,20,4,374,43,138,6,0,193,78,222,16,3,313,76,186,73,9,337,38,13,15,3,81,1932,2204,1296,89,5517
UCL112012,33,0,13,0,55,14,0,13,0,27,13,6,19,0,33,11,4,44,0,55,56,8,77,0,144,45,13,150,6,212,337,30,184,6,561,247,70,235,23,573,245,118,214,18,601,286,197,194,25,701,164,178,147,4,493,185,206,104,11,511,386,499,126,11,1026,216,339,72,3,630,102,237,35,3,384,60,134,11,0,199,98,208,33,0,340,81,127,126,7,342,42,19,32,4,91,2629,2390,1823,136,6978
